"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-11-22",247932,889,28828,16219,2273,83870,543179,144261686,1251069,3094,5233,12077354,150098,4526513,56,179340847,1726449
"2020-11-21",247043,1506,28693,16054,3241,83227,540906,143010617,1426550,3087,5103,11927256,178309,4529700,56,177614398,1977400
"2020-11-20",245537,1862,28472,15915,3821,82178,537665,141584067,1389882,3078,5055,11748947,192805,4457930,56,175636998,1917476
"2020-11-19",243675,1971,28216,15573,4676,80698,533844,140194185,1286632,3052,4859,11556142,182832,4410709,56,173719522,1817525
"2020-11-18",241704,1869,27989,15350,4490,79410,529168,138907553,1074463,3024,4701,11373310,163975,4348089,56,171901997,1534573
"2020-11-17",239835,1555,27681,14851,3915,76958,524678,137833090,1092462,3004,4379,11209335,156722,4292094,56,170367424,1503534
"2020-11-16",238280,637,27437,14317,3148,73268,520763,136740628,1103527,2988,4166,11052613,148868,4242683,56,168863890,1478180
"2020-11-15",237643,677,27269,13693,1876,70113,517615,135637101,1162554,2975,3939,10903745,144434,4183378,56,167385710,1614984
"2020-11-14",236966,1312,27172,13337,3465,69498,515739,134474547,1174712,2972,3945,10759311,163540,4146419,56,165770726,1661289
"2020-11-13",235654,1275,26997,13132,3693,68496,512274,133299835,1237330,2967,3769,10595771,172106,4093148,56,164109437,1695579
"2020-11-12",234379,1141,26803,12796,3672,67100,508581,132062505,970737,2954,3622,10423665,152003,4049143,56,162413858,1472332
"2020-11-11",233238,1543,26584,12518,3423,65463,504909,131091768,1019589,2947,3367,10271662,144801,3995023,56,160941526,1412859
"2020-11-10",231695,1360,26335,11961,4111,62059,501486,130072179,941962,2922,3201,10126861,131182,3959700,56,159528667,1246063
"2020-11-09",230335,589,26087,11533,2370,59301,497375,129130217,1222518,2907,3110,9995679,119432,3926618,56,158282604,1512607
"2020-11-08",229746,485,25819,11120,1506,56842,495005,127907699,921916,2900,2977,9876247,110281,3879255,56,156769997,1251959
"2020-11-07",229261,1104,25721,11082,2291,55925,493499,126985783,984198,2898,2947,9765966,129215,3849345,56,155518038,1412176
"2020-11-06",228157,1168,25498,11085,3142,54851,491208,126001585,1140845,2885,2850,9636751,125753,3808730,56,154105862,1561333
"2020-11-05",226989,1131,25276,10918,3413,53375,488066,124860740,1177362,2872,2877,9510998,116441,3779523,56,152544529,1564524
"2020-11-04",225858,1126,25041,10761,3137,52086,484653,123683378,869804,2853,2832,9394557,103304,3741442,56,150980005,1217991
"2020-11-03",224732,1515,24796,10406,3227,50426,481516,122813574,839539,2833,2733,9291253,86662,3702925,56,149762014,1123667
"2020-11-02",223217,499,24560,9858,1518,48557,478289,121974035,1070744,2809,2637,9204591,82047,3672742,56,148638347,1322758
"2020-11-01",222718,388,24457,9553,1145,47531,476771,120903291,814180,2797,2553,9122544,73849,3631622,56,147315589,1127464
"2020-10-31",222330,951,24375,9499,2029,47402,475626,120089111,1043992,2786,2502,9048695,90587,3610296,56,146188125,1389909
"2020-10-30",221379,952,24230,9437,2424,46738,473597,119045119,975467,2776,2477,8958108,97233,3576201,56,144798216,1360460
"2020-10-29",220427,1030,24082,9208,2324,46126,471173,118069652,1009464,2760,2403,8860875,88728,3552166,56,143437756,1332268
"2020-10-28",219397,1044,23883,9034,2471,45124,468849,117060188,803139,2744,2347,8772147,78748,3515953,56,142105488,1092079
"2020-10-27",218353,920,23701,8909,2345,44287,466378,116257049,806695,2719,2287,8693399,72082,3485474,56,141013409,1066081
"2020-10-26",217433,402,23542,8842,1859,42924,464033,115450354,983869,2703,2301,8621317,62526,3458204,56,139947328,1205446
"2020-10-25",217031,374,23420,8489,1106,41786,462174,114466485,900669,2693,2176,8558791,64893,3420713,56,138741882,1187853
"2020-10-24",216657,882,23356,8561,1751,41989,461068,113565816,961479,2691,2230,8493898,83286,3404503,56,137554029,1322647
"2020-10-23",215775,923,23221,8237,14992,41501,459317,112604337,1042693,2679,2180,8410612,82332,3373284,56,136231382,1381536
"2020-10-22",214852,1136,23018,8086,2627,41036,444325,111561644,917903,2641,2147,8328280,72842,3350982,56,134849846,1225535
