Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2005-09-27,21.05,21.4,19.1,19.3,18.1920173026,2576944.0,0.0,1.0
2005-09-28,19.3,20.53,19.2,20.5,19.323127186700003,15409920.0,0.0,1.0
2005-09-29,20.4,20.58,20.1,20.21,19.0497756314,2890617.0,0.0,1.0
2005-09-30,20.26,21.05,20.18,21.01,19.8038488875,8373458.0,0.0,1.0
2005-10-03,20.9,21.75,20.9,21.5,20.265718756800002,2836193.0,0.0,1.0
2005-10-04,21.44,22.5,21.44,22.16,20.8878291931,4742091.0,0.0,1.0
2005-10-05,22.1,22.31,21.75,22.2,20.9255328559,2424397.0,0.0,1.0
2005-10-06,22.6,23.0,22.4,22.58,21.2837176525,4327614.0,0.0,1.0
2005-10-07,22.25,22.6,21.8,22.15,20.8784032774,2019839.0,0.0,1.0
2005-10-10,22.28,22.29,22.1,22.21,20.9349587716,1444236.0,0.0,1.0
2005-10-11,22.26,22.3,21.8,21.98,20.7181627105,2049866.0,0.0,1.0
2005-10-12,21.9,22.05,21.64,21.76,20.5107925651,2447453.0,0.0,1.0
2005-10-13,21.7,21.8,21.4,21.71,20.4636629866,1424397.0,0.0,1.0
2005-10-14,21.85,22.4,21.85,22.27,20.9915142658,2380161.0,0.0,1.0
2005-10-17,22.15,22.22,21.85,22.08,20.8124218675,1243968.0,0.0,1.0
2005-10-18,22.06,22.3,21.35,21.49,20.2562928411,4867292.0,0.0,1.0
2005-10-19,21.37,21.6,20.85,21.38,20.1526077684,3930295.0,0.0,1.0
2005-10-20,21.35,21.48,20.85,21.02,19.8132748032,1718231.0,0.0,1.0
2005-10-21,21.02,22.42,21.01,21.96,20.6993108791,2458445.0,0.0,1.0
2005-10-24,22.01,22.36,21.95,22.31,21.029217928599998,1364075.0,0.0,1.0
2005-10-25,22.25,22.54,21.7,22.0,20.7370145419,1172386.0,0.0,1.0
2005-10-26,22.0,22.45,21.99,22.32,21.0386438443,1456300.0,0.0,1.0
2005-10-27,22.26,22.56,22.2,22.56,21.2648658211,941555.0,0.0,1.0
2005-10-28,22.55,23.9,22.37,23.9,22.527938525,4329491.0,0.0,1.0
2005-10-31,24.0,25.35,24.0,24.68,23.263159949699997,1893834.0,0.0,1.0
2005-11-01,24.7,25.08,24.69,25.02,23.583641083499998,2323861.0,0.0,1.0
2005-11-02,25.23,28.1,25.2,27.55,25.968397755799998,7694906.0,0.0,1.0
2005-11-03,27.6,28.1,27.6,27.87,26.2700270583,2429223.0,0.0,1.0
2005-11-04,27.8,29.0,27.77,28.8,27.1466372185,2446649.0,0.0,1.0
2005-11-07,29.0,29.43,28.38,28.93,27.269174122600003,1305362.0,0.0,1.0
2005-11-08,29.1,29.7,29.0,29.43,27.7404699076,3739946.0,0.0,1.0
2005-11-09,29.43,31.3,29.43,31.3,29.503116143699998,3518231.0,0.0,1.0
2005-11-10,31.15,33.96,31.15,32.8,30.9170034988,5224933.0,0.0,1.0
2005-11-11,33.05,33.95,33.0,33.35,31.4354288623,3173995.0,0.0,1.0
2005-11-14,33.5,34.5,33.45,33.75,31.8124654904,2839678.0,0.0,1.0
2005-11-15,33.75,33.88,32.84,33.88,31.9350023945,2035389.0,0.0,1.0
2005-11-16,33.51,33.85,33.4,33.6,31.671076754899996,1454692.0,0.0,1.0
2005-11-17,33.4,34.55,33.23,34.32,32.3497426853,2712869.0,0.0,1.0
2005-11-18,34.35,34.35,32.86,33.05,31.1526513913,1420375.0,0.0,1.0
2005-11-21,32.75,32.75,31.26,31.99,30.153504326999997,1705898.0,0.0,1.0
2005-11-22,31.99,32.74,31.6,32.5,30.6342260278,1131099.0,0.0,1.0
2005-11-23,32.2,33.68,32.16,33.04,31.143225475599998,1799732.0,0.0,1.0
2005-11-25,33.01,33.2,32.72,32.85,30.9641330773,371314.0,0.0,1.0
2005-11-28,33.05,33.85,33.0,33.41,31.4919843565,1690080.0,0.0,1.0
2005-11-29,33.3,33.5,32.63,32.9,31.0112626558,1149062.0,0.0,1.0
2005-11-30,32.9,33.8,32.9,33.59,31.6616508392,1850134.0,0.0,1.0
2005-12-01,34.0,34.94,34.0,34.28,32.3120390225,996783.0,0.0,1.0
2005-12-02,34.4,34.65,34.25,34.28,32.3120390225,1149062.0,0.0,1.0
2005-12-05,32.08,32.64,31.38,32.35,30.4928372923,3014477.0,0.0,1.0
2005-12-06,32.04,33.75,32.04,33.62,31.689928586300002,2119571.0,0.0,1.0
2005-12-07,33.4,34.18,33.3,33.95,32.0009838044,2101609.0,0.0,1.0
2005-12-08,33.95,33.98,33.53,33.66,31.727632249099997,1028686.0,0.0,1.0
2005-12-09,33.41,34.07,33.35,33.88,31.9350023945,1098391.0,0.0,1.0
2005-12-12,33.8,33.91,33.71,33.76,31.8218914061,1130027.0,0.0,1.0
2005-12-13,33.76,33.8,33.05,33.25,31.3411697053,607775.0,0.0,1.0
2005-12-14,33.4,33.69,33.25,33.54,31.614521260700002,424665.0,0.0,1.0
2005-12-15,33.64,33.88,33.35,33.63,31.699354502,841555.0,0.0,1.0
2005-12-16,33.68,35.5,33.68,35.15,33.1320936885,4415282.0,0.0,1.0
2005-12-19,35.18,35.45,34.89,35.25,33.2263528455,1011796.0,0.0,1.0
2005-12-20,35.25,35.46,34.02,35.32,33.2923342554,1513405.0,0.0,1.0
2005-12-21,35.38,37.0,35.33,36.51,34.4140182238,1879893.0,0.0,1.0
2005-12-22,36.6,37.05,36.35,36.83,34.7156475262,664343.0,0.0,1.0
2005-12-23,36.73,38.0,36.73,37.73,35.5639799393,1321716.0,0.0,1.0
2005-12-27,37.99,38.8,37.2,37.46,35.3094802154,1277212.0,0.0,1.0
2005-12-28,38.0,38.15,36.35,37.45,35.3000542997,878820.0,0.0,1.0
2005-12-29,37.45,37.95,37.19,37.38,35.23407288980001,508847.0,0.0,1.0
2005-12-30,37.55,37.58,36.92,37.14,35.007850913,463271.0,0.0,1.0
2006-01-03,37.2,38.28,36.85,37.45,35.3000542997,2716354.0,0.0,1.0
2006-01-04,37.7,40.6,37.7,39.2,36.9495895473,5169973.0,0.0,1.0
2006-01-05,39.18,39.71,38.91,39.71,37.4303112481,852279.0,0.0,1.0
2006-01-06,39.71,39.71,38.14,39.0,36.7610712333,936193.0,0.0,1.0
2006-01-09,38.8,38.88,38.5,38.61,36.393460521,591957.0,0.0,1.0
2006-01-10,38.61,38.71,37.4,37.8,35.6299613492,512869.0,0.0,1.0
2006-01-11,37.8,37.8,34.65,34.8,32.802186639,2612064.0,0.0,1.0
2006-01-12,33.0,35.35,32.96,34.99,32.9812790373,5385791.0,0.0,1.0
2006-01-13,35.0,35.42,33.31,34.05,32.0952429614,1968365.0,0.0,1.0
2006-01-17,33.55,33.55,29.62,30.0,28.277747102600003,6303485.0,0.0,1.0
2006-01-18,29.1,31.16,28.88,31.0,29.220338672600004,4755228.0,0.0,1.0
2006-01-19,30.8,31.24,29.34,30.39,28.6453578149,2298123.0,0.0,1.0
2006-01-20,30.28,30.28,28.6,29.24,27.561377509299998,2114477.0,0.0,1.0
2006-01-23,29.49,30.05,29.15,29.42,27.731043991900002,1423056.0,0.0,1.0
2006-01-24,29.9,31.47,29.75,31.02,29.239190504,1739678.0,0.0,1.0
2006-01-25,31.15,31.51,30.75,31.0,29.220338672600004,2242091.0,0.0,1.0
2006-01-26,31.05,31.25,30.0,30.25,28.5133949951,841019.0,0.0,1.0
2006-01-27,30.2,30.2,28.3,28.89,27.2314704598,1390349.0,0.0,1.0
2006-01-30,28.73,29.58,28.73,29.0,27.3351555325,2459249.0,0.0,1.0
2006-01-31,29.17,30.41,29.01,29.34,27.6556366663,1315282.0,0.0,1.0
2006-02-01,29.1,29.62,28.35,29.38,27.6933403291,2189812.0,0.0,1.0
2006-02-02,29.38,30.2,29.0,30.01,28.2871730183,2056836.0,0.0,1.0
2006-02-03,30.01,30.01,29.2,29.55,27.853580896,1065952.0,0.0,1.0
2006-02-06,29.2,29.7,28.66,29.27,27.5896552564,1476944.0,0.0,1.0
2006-02-07,29.35,29.45,28.62,29.0,27.3351555325,1313137.0,0.0,1.0
2006-02-08,29.1,30.76,29.01,29.99,28.2683211869,2331635.0,0.0,1.0
