Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2001-11-29,40.2,43.4,40.15,41.7,13.136404635,123700.0,0.0,1.0
2001-11-30,41.7,42.85,41.65,42.85,13.498679583,55100.0,0.0,1.0
2001-12-03,42.7,42.7,41.35,41.35,13.0261470422,42500.0,0.0,1.0
2001-12-04,41.35,41.35,39.7,39.7,12.506361247300001,31800.0,0.0,1.0
2001-12-05,40.3,44.35,40.3,44.0,13.860954530999999,199400.0,0.0,1.0
2001-12-06,44.2,44.2,43.71,43.72,13.7727484567,52400.0,0.0,1.0
2001-12-07,44.0,44.0,43.4,44.0,13.860954530999999,71700.0,0.0,1.0
2001-12-10,43.9,43.92,43.76,43.85,13.8137012769,39700.0,0.0,1.0
2001-12-11,43.8,44.13,43.76,43.76,13.7853493244,126200.0,0.0,1.0
2001-12-12,43.75,43.75,42.11,42.3,13.3254176514,38200.0,0.0,1.0
2001-12-13,42.25,42.8,41.9,41.9,13.1994089738,37900.0,0.0,1.0
2001-12-14,41.85,41.85,40.55,40.89,12.881237063,77800.0,0.0,1.0
2001-12-17,40.99,42.0,40.99,41.0,12.9158894493,35400.0,0.0,1.0
2001-12-18,41.05,41.6,41.0,41.0,12.9158894493,33800.0,0.0,1.0
2001-12-19,41.0,41.05,40.74,41.05,12.931640534000001,52600.0,0.0,1.0
2001-12-20,41.2,42.69,41.2,42.3,13.3254176514,32400.0,0.0,1.0
2001-12-21,42.55,45.9,42.5,45.34,14.2830836008,219800.0,0.0,1.0
2001-12-24,45.3,46.05,45.2,45.8,14.42799358,16900.0,0.0,1.0
2001-12-26,45.9,46.96,45.8,46.0,14.490997918699998,126000.0,0.0,1.0
2001-12-27,47.25,47.65,46.2,46.95,14.7902685279,116400.0,0.0,1.0
2001-12-28,47.2,47.2,46.9,47.05,14.8217706973,98500.0,0.0,1.0
2001-12-31,47.1,49.75,46.7,49.75,15.672329270799999,85300.0,0.0,1.0
2002-01-02,48.5,48.5,47.65,47.78,15.051736533900002,44100.0,0.0,1.0
2002-01-03,47.71,47.71,45.3,45.3,14.270482733,29900.0,0.0,1.0
2002-01-04,45.6,45.6,41.0,42.5,13.3884219901,115500.0,0.0,1.0
2002-01-07,42.5,43.1,39.85,41.8,13.167906804400001,200500.0,0.0,1.0
2002-01-08,41.55,41.8,40.5,41.1,12.9473916187,147400.0,0.0,1.0
2002-01-09,41.15,41.6,41.1,41.2,12.978893788099999,20000.0,0.0,1.0
2002-01-10,41.2,42.4,41.2,42.1,13.2624133126,72100.0,0.0,1.0
2002-01-11,43.0,44.25,42.95,43.5,13.703443684000002,113600.0,0.0,1.0
2002-01-14,43.5,43.7,42.9,42.9,13.5144306677,76900.0,0.0,1.0
2002-01-15,44.25,46.35,44.25,46.01,14.4941481357,343400.0,0.0,1.0
2002-01-16,45.93,47.35,45.5,46.9,14.774517443199999,175400.0,0.0,1.0
2002-01-17,47.0,47.8,47.0,47.2,14.8690239514,14300.0,0.0,1.0
2002-01-18,47.1,48.0,46.7,47.3,14.900526120799999,23500.0,0.0,1.0
2002-01-22,47.31,47.31,45.7,46.7,14.7115131045,43600.0,0.0,1.0
2002-01-23,47.15,47.15,46.7,46.9,14.774517443199999,12900.0,0.0,1.0
2002-01-24,47.0,47.2,46.0,46.25,14.5697533422,41700.0,0.0,1.0
2002-01-25,46.4,47.3,45.95,46.9,14.774517443199999,29600.0,0.0,1.0
2002-01-28,47.7,47.7,45.78,46.3,14.5855044269,25100.0,0.0,1.0
2002-01-29,46.35,46.6,46.3,46.36,14.6044057285,9100.0,0.0,1.0
2002-01-30,46.4,46.7,46.1,46.65,14.6957620198,22600.0,0.0,1.0
2002-01-31,46.75,47.1,46.45,46.85,14.758766358599999,12200.0,0.0,1.0
2002-02-01,47.2,47.2,46.95,47.1,14.837521782,3000.0,0.0,1.0
2002-02-04,47.0,47.0,46.3,46.33,14.5949550777,4400.0,0.0,1.0
2002-02-05,46.15,46.15,45.85,45.89,14.4563455324,13100.0,0.0,1.0
2002-02-06,45.79,45.8,45.5,45.7,14.3964914106,18100.0,0.0,1.0
2002-02-07,44.5,44.85,43.8,44.7,14.081469716700001,72000.0,0.0,1.0
2002-02-08,44.65,44.85,44.5,44.8,14.112971886099999,23700.0,0.0,1.0
2002-02-11,44.7,45.5,44.6,45.4,14.301984902400001,7200.0,0.0,1.0
2002-02-12,45.5,46.2,45.5,46.2,14.5540022575,4700.0,0.0,1.0
2002-02-13,46.0,46.1,44.9,45.0,14.1759762249,24700.0,0.0,1.0
2002-02-14,45.1,45.1,44.4,44.65,14.065718632000001,19500.0,0.0,1.0
2002-02-15,44.6,44.6,44.5,44.6,14.0499675473,5700.0,0.0,1.0
2002-02-19,44.7,44.79,44.45,44.5,14.0184653779,3300.0,0.0,1.0
2002-02-20,45.75,45.75,43.9,44.2,13.9239588698,29500.0,0.0,1.0
2002-02-21,44.0,44.38,43.8,44.38,13.9806627747,44100.0,0.0,1.0
2002-02-22,44.38,44.95,44.38,44.9,14.1444740555,15200.0,0.0,1.0
2002-02-25,44.8,45.3,44.8,45.0,14.1759762249,8600.0,0.0,1.0
2002-02-26,45.1,45.3,45.0,45.1,14.2074783943,29600.0,0.0,1.0
2002-02-27,45.15,45.6,44.95,45.1,14.2074783943,42400.0,0.0,1.0
2002-02-28,45.2,45.2,44.5,44.8,14.112971886099999,7500.0,0.0,1.0
2002-03-01,44.8,44.8,43.55,43.9,13.829452361600001,73000.0,0.0,1.0
2002-03-04,43.8,44.2,43.55,43.9,13.829452361600001,43100.0,0.0,1.0
2002-03-05,43.9,43.9,43.2,43.7,13.7664480228,89700.0,0.0,1.0
2002-03-06,43.6,43.99,43.35,43.6,13.7349458534,167000.0,0.0,1.0
2002-03-07,41.5,42.2,40.8,40.9,12.8843872799,4510100.0,0.0,1.0
2002-03-08,41.01,41.59,40.52,41.5,13.073400296300001,1045000.0,0.0,1.0
2002-03-11,41.5,42.2,41.0,41.99,13.227760926300002,1049200.0,0.0,1.0
2002-03-12,41.95,41.95,41.4,41.8,13.167906804400001,552600.0,0.0,1.0
2002-03-13,41.5,41.85,41.5,41.7,13.136404635,259300.0,0.0,1.0
2002-03-14,43.2,43.2,41.9,43.1,13.577435006500002,901800.0,0.0,1.0
2002-03-15,43.1,44.45,42.85,44.35,13.9712121238,574400.0,0.0,1.0
2002-03-18,44.0,44.31,43.75,44.25,13.939709954400001,431900.0,0.0,1.0
2002-03-19,44.15,45.1,44.0,45.0,14.1759762249,309800.0,0.0,1.0
2002-03-20,45.0,45.0,44.48,44.56,14.0373666796,188400.0,0.0,1.0
2002-03-21,44.6,44.6,43.8,44.5,14.0184653779,174200.0,0.0,1.0
2002-03-22,44.35,44.53,44.15,44.25,13.939709954400001,305500.0,0.0,1.0
2002-03-25,44.0,44.4,43.75,44.05,13.876705615699999,145800.0,0.0,1.0
2002-03-26,44.0,45.0,44.0,45.0,14.1759762249,312300.0,0.0,1.0
2002-03-27,45.1,45.1,44.95,45.05,14.191727309600001,119200.0,0.0,1.0
2002-03-28,45.1,46.05,45.1,46.0,14.490997918699998,337700.0,0.0,1.0
2002-04-01,46.08,46.08,45.62,46.01,14.4941481357,174900.0,0.0,1.0
2002-04-02,46.0,46.0,44.86,45.0,14.1759762249,672800.0,0.0,1.0
2002-04-03,45.0,45.0,43.69,43.85,13.8137012769,398500.0,0.0,1.0
2002-04-04,43.85,44.2,43.8,43.98,13.854654097100001,200700.0,0.0,1.0
2002-04-05,44.25,44.5,44.1,44.5,14.0184653779,161200.0,0.0,1.0
2002-04-08,44.5,45.0,43.95,45.0,14.1759762249,170300.0,0.0,1.0
2002-04-09,45.15,46.75,45.15,46.7,14.7115131045,198200.0,0.0,1.0
2002-04-10,46.7,47.75,46.7,47.75,15.042285883,277800.0,0.0,1.0
2002-04-11,47.63,48.0,47.4,47.71,15.0296850153,179100.0,0.0,1.0
2002-04-12,47.6,47.85,47.4,47.6,14.995032629,261600.0,0.0,1.0
2002-04-15,48.3,48.7,47.9,48.2,15.1840456453,322800.0,0.0,1.0
2002-04-16,48.3,48.75,48.3,48.65,15.3258054075,272800.0,0.0,1.0
2002-04-17,48.7,49.2,48.5,49.0,15.436063000399999,59200.0,0.0,1.0
2002-04-18,49.0,49.2,48.0,49.08,15.461264735899999,235800.0,0.0,1.0
2002-04-19,49.2,50.05,49.2,50.0,15.751084694300001,280500.0,0.0,1.0
2002-04-22,50.25,50.25,49.65,49.9,15.7195825249,198300.0,0.0,1.0
2002-04-23,49.9,51.0,49.8,51.0,16.066106388199998,265200.0,0.0,1.0
2002-04-24,51.15,51.55,51.15,51.35,16.176363980999998,238300.0,0.0,1.0
2002-04-25,54.5,57.5,54.35,57.5,18.113747398399997,1264800.0,0.0,1.0
2002-04-26,57.4,57.4,56.1,56.75,17.877481128,351400.0,0.0,1.0
2002-04-29,56.9,57.4,56.0,56.3,17.7357213658,174900.0,0.0,1.0
2002-04-30,56.3,59.2,56.3,59.2,18.649284278,368500.0,0.0,1.0
2002-05-01,59.6,60.2,58.62,59.1,18.6177821087,439400.0,0.0,1.0
2002-05-02,59.1,59.25,58.62,58.9,18.5547777699,61800.0,0.0,1.0
2002-05-03,59.1,59.15,58.8,58.89,18.5516275529,109800.0,0.0,1.0
2002-05-06,58.8,59.15,58.4,58.5,18.4287690923,134000.0,0.0,1.0
2002-05-07,58.5,60.9,58.5,60.38,19.0210098768,196300.0,0.0,1.0
2002-05-08,60.38,60.9,59.44,59.95,18.8855505485,215200.0,0.0,1.0
2002-05-09,59.9,59.95,59.11,59.3,18.6807864474,137000.0,0.0,1.0
