Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2013-01-02,34.92,35.4,34.1,35.12,25.377322594000002,13767900.0,0.0,1.0
2013-01-03,35.0,35.0,34.16,34.83,25.1677718095,16739300.0,0.0,1.0
2013-01-04,34.62,34.89,34.25,34.3908,24.850410759299997,21372100.0,0.0,1.0
2013-01-07,34.15,35.45,34.15,34.46,24.900413911999998,17897100.0,0.0,1.0
2013-01-08,34.29,34.64,33.36,33.71,24.3584722279,17863300.0,0.0,1.0
2013-01-09,33.61,33.95,33.61,33.9,24.4957641212,18800400.0,0.0,1.0
2013-01-10,33.66,34.0,33.33,34.0,24.568023012399998,15658100.0,0.0,1.0
2013-01-11,33.59,33.9,33.35,33.85,24.7486702404,11191500.0,0.4,1.0
2013-01-14,34.01,34.25,33.8,34.09,24.9241408714,11584900.0,0.0,1.0
2013-01-15,33.71,34.72,33.71,34.6,25.2970159621,13040200.0,0.0,1.0
2013-01-16,34.47,35.54,34.45,35.54,25.984275933400003,16512700.0,0.0,1.0
2013-01-17,35.75,36.7,35.75,36.42,26.6276682469,14424800.0,0.0,1.0
2013-01-18,36.43,37.32,36.04,37.32,27.2856831129,17842200.0,0.0,1.0
2013-01-22,36.98,37.25,35.93,36.42,26.6276682469,15809700.0,0.0,1.0
2013-01-23,36.91,37.84,36.5,37.8,27.6366243748,10981600.0,0.0,1.0
2013-01-24,37.79,38.52,37.23,37.46,27.388040981,11327100.0,0.0,1.0
2013-01-25,37.52,37.84,36.64,37.6,27.490398849,8934600.0,0.0,1.0
2013-01-28,37.65,37.87,36.71,36.89,26.9712982325,7140100.0,0.0,1.0
2013-01-29,36.71,37.46,36.25,37.31,27.278371836599998,8838500.0,0.0,1.0
2013-01-30,36.81,37.525,36.81,36.93,27.000543337600003,10841800.0,0.0,1.0
2013-01-31,36.84,36.93,36.27,36.69,26.825072706700002,10720700.0,0.0,1.0
2013-02-01,36.84,37.2,36.52,37.18,27.183325244899997,9527500.0,0.0,1.0
2013-02-04,36.64,37.3,36.55,37.28,27.256438007800003,6348000.0,0.0,1.0
2013-02-05,37.42,37.73,37.18,37.2,27.1979477975,7284400.0,0.0,1.0
2013-02-06,36.96,37.28,36.86,37.14,27.1540801397,5738900.0,0.0,1.0
2013-02-07,37.57,37.57,35.8,36.42,26.6276682469,9872500.0,0.0,1.0
2013-02-08,36.37,36.42,35.825,36.25,26.503376549899997,13858700.0,0.0,1.0
2013-02-11,36.13,36.18,35.75,35.85,26.2109254984,6032100.0,0.0,1.0
2013-02-12,35.77,35.9,35.2,35.42,25.8965406179,7473800.0,0.0,1.0
2013-02-13,35.42,35.57,35.15,35.27,25.7868714736,4859800.0,0.0,1.0
2013-02-14,35.05,36.73,35.01,36.57,26.7373373912,7570100.0,0.0,1.0
2013-02-15,36.93,37.81,36.93,37.58,27.4757762965,13296300.0,0.0,1.0
2013-02-19,37.54,38.33,37.11,38.19,27.921764150100003,8292700.0,0.0,1.0
2013-02-20,38.16,39.13,37.61,38.61,28.2288377543,8096400.0,0.0,1.0
2013-02-21,38.49,39.025,38.19,38.78,28.353129451199997,7260900.0,0.0,1.0
2013-02-22,38.79,38.85,38.14,38.46,28.11916861,4490400.0,0.0,1.0
2013-02-25,38.54,38.61,37.37,37.37,27.3222394944,4665600.0,0.0,1.0
2013-02-26,37.6,37.6,36.96,37.09,27.1175237583,4463000.0,0.0,1.0
2013-02-27,36.97,36.98,36.4,36.73,26.854317811799998,12238400.0,0.0,1.0
2013-02-28,36.66,37.14,36.5,36.92,26.993232061300002,10321000.0,0.0,1.0
2013-03-01,36.8,38.07,36.551,37.81,27.6439356511,8929400.0,0.0,1.0
2013-03-04,37.53,38.25,37.53,38.24,27.9583205316,5420800.0,0.0,1.0
2013-03-05,38.45,38.57,37.29,37.51,27.424597362399997,6650400.0,0.0,1.0
2013-03-06,37.56,37.86,37.37,37.74,27.592756717100002,5489500.0,0.0,1.0
2013-03-07,37.65,38.01,37.44,37.49,27.409974809899996,4442500.0,0.0,1.0
2013-03-08,37.64,37.65,37.16,37.34,27.3003056655,4114500.0,0.0,1.0
2013-03-11,37.25,38.15,37.08,37.67,27.5415777831,4614400.0,0.0,1.0
2013-03-12,37.7,38.3,37.05,37.17,27.176013968600003,6523900.0,0.0,1.0
2013-03-13,37.2,37.5899,37.04,37.17,27.176013968600003,3710600.0,0.0,1.0
2013-03-14,37.43,37.59,36.86,37.56,27.4611537439,9859700.0,0.0,1.0
2013-03-15,37.44,38.54,37.28,38.5,28.148413715100002,12208300.0,0.0,1.0
2013-03-18,38.05,38.49,37.99,38.16,27.8998303213,5178700.0,0.0,1.0
2013-03-19,38.25,38.4,37.84,38.36,28.0460558471,5108400.0,0.0,1.0
2013-03-20,38.5,39.19,38.41,39.06,28.5578451873,7072900.0,0.0,1.0
2013-03-21,38.82,38.97,38.48,38.49,28.1411024388,4736100.0,0.0,1.0
2013-03-22,38.57,38.97,38.3,38.97,28.492043700700002,3323400.0,0.0,1.0
2013-03-25,39.12,39.52,38.93,39.32,28.747938370900002,6065000.0,0.0,1.0
2013-03-26,39.57,40.52,39.57,40.21,29.3986419606,7249500.0,0.0,1.0
2013-03-27,40.22,40.29,39.66,40.15,29.3547743029,4274800.0,0.0,1.0
2013-03-28,40.26,40.8,39.775,40.78,29.815384709099998,7263400.0,0.0,1.0
2013-04-01,39.96,41.14,39.96,41.12,30.063968103,5740000.0,0.0,1.0
2013-04-02,41.22,41.22,40.52,40.71,29.764205775100002,5510700.0,0.0,1.0
2013-04-03,40.75,41.45,40.35,40.57,29.6618479071,4122100.0,0.0,1.0
2013-04-04,40.77,41.78,40.624,41.6,30.414909364899998,20687600.0,0.0,1.0
2013-04-05,41.31,41.5,41.09,41.31,30.2028823525,14089800.0,0.0,1.0
2013-04-08,41.27,41.87,41.07,41.77,30.5392010618,16449200.0,0.0,1.0
2013-04-09,41.96,43.56,41.8,42.55,31.1094806124,8673900.0,0.0,1.0
2013-04-10,42.65,43.77,42.5,43.62,31.8917871754,7809200.0,0.0,1.0
2013-04-11,43.42,43.705,43.11,43.2,31.877164622800002,6494100.0,0.4,1.0
2013-04-12,42.97,43.29,42.62,43.09,31.7959959166,4199800.0,0.0,1.0
2013-04-15,42.87,43.03,41.41,41.44,30.578465323400003,7152500.0,0.0,1.0
2013-04-16,41.67,42.53,41.13,42.45,31.323741625900002,6998000.0,0.0,1.0
2013-04-17,42.14,42.43,41.42,42.24,31.1687831868,5046200.0,0.0,1.0
2013-04-18,42.37,42.64,41.89,42.32,31.2278149731,5009000.0,0.0,1.0
2013-04-19,42.51,42.58,42.2,42.39,31.2794677861,6493200.0,0.0,1.0
2013-04-22,43.0,44.83,42.88,44.2,32.6150619521,8531300.0,0.0,1.0
2013-04-23,44.61,46.32,44.4,45.14,33.3086854415,9378100.0,0.0,1.0
2013-04-24,45.14,45.34,43.94,44.32,32.703609631599996,5541300.0,0.0,1.0
2013-04-25,44.75,44.7899,43.76,44.24,32.6445778452,5236900.0,0.0,1.0
2013-04-26,44.95,46.31,44.75,45.84,33.825213571999996,10096800.0,0.0,1.0
2013-04-29,45.83,45.93,45.05,45.23,33.3750962012,6024700.0,0.0,1.0
2013-04-30,45.05,46.23,45.01,46.05,33.9801720111,6798600.0,0.0,1.0
2013-05-01,45.74,46.09,45.55,45.55,33.6112233465,6398100.0,0.0,1.0
