Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2001-07-19,15.1,15.29,15.0,15.17,11.2454165296,34994300.0,0.0,1.0
2001-07-20,15.05,15.05,14.8,15.01,11.1268096315,9238500.0,0.0,1.0
2001-07-23,15.0,15.01,14.55,15.0,11.1193967004,7501000.0,0.0,1.0
2001-07-24,14.95,14.97,14.7,14.86,11.0156156645,3537300.0,0.0,1.0
2001-07-25,14.7,14.95,14.65,14.95,11.082332044700001,4208100.0,0.0,1.0
2001-07-26,14.95,14.99,14.5,14.5,10.748750143699999,6335300.0,0.0,1.0
2001-07-27,14.51,14.59,14.5,14.51,10.7561630748,3524000.0,0.0,1.0
2001-07-30,14.5,14.78,14.5,14.7,10.8970087664,3654300.0,0.0,1.0
2001-07-31,14.71,15.01,14.6,14.96,11.089744975799999,1429000.0,0.0,1.0
2001-08-01,15.0,15.5,14.9,15.5,11.490043257,2087900.0,0.0,1.0
2001-08-02,15.4,15.5,15.1,15.4,11.4159139457,1717400.0,0.0,1.0
2001-08-03,15.4,15.4,14.98,15.15,11.2305906674,983600.0,0.0,1.0
2001-08-06,15.15,15.22,15.02,15.1,11.193526011700001,777400.0,0.0,1.0
2001-08-07,15.1,15.55,15.1,15.5,11.490043257,788900.0,0.0,1.0
2001-08-08,15.4,15.6,15.0,15.0,11.1193967004,2190300.0,0.0,1.0
2001-08-09,15.05,15.5,15.0,15.5,11.490043257,928000.0,0.0,1.0
2001-08-10,15.4,15.4,15.12,15.19,11.2602423919,703300.0,0.0,1.0
2001-08-13,15.15,15.34,14.9,15.01,11.1268096315,1770400.0,0.0,1.0
2001-08-14,15.05,15.06,14.65,14.7,10.8970087664,1000800.0,0.0,1.0
2001-08-15,14.75,14.9,14.7,14.79,10.963725146600002,530900.0,0.0,1.0
2001-08-16,14.78,14.78,14.05,14.05,10.4151682427,1522700.0,0.0,1.0
2001-08-17,14.06,14.8,13.9,14.52,10.7635760059,2342400.0,0.0,1.0
2001-08-20,14.6,15.35,14.49,15.35,11.37884929,1434900.0,0.0,1.0
2001-08-21,15.25,15.6,15.01,15.46,11.4603915325,1038200.0,0.0,1.0
2001-08-22,15.32,15.39,14.78,15.34,11.3714363589,829000.0,0.0,1.0
2001-08-23,15.45,15.45,15.25,15.25,11.3047199787,470000.0,0.0,1.0
2001-08-24,15.25,15.48,15.0,15.4,11.4159139457,689000.0,0.0,1.0
2001-08-27,15.48,15.65,15.4,15.48,11.4752173948,827700.0,0.0,1.0
2001-08-28,15.42,15.58,15.25,15.36,11.386262221199999,736900.0,0.0,1.0
2001-08-29,15.29,15.31,15.0,15.01,11.1268096315,397400.0,0.0,1.0
2001-08-30,15.04,15.04,14.85,14.95,11.082332044700001,640100.0,0.0,1.0
2001-08-31,15.0,15.1,14.9,14.9,11.045267389000001,3337900.0,0.0,1.0
2001-09-04,15.0,15.65,15.0,15.38,11.4010880834,1068600.0,0.0,1.0
2001-09-05,15.38,15.38,14.9,14.91,11.0526803202,1053200.0,0.0,1.0
2001-09-06,14.75,15.01,14.4,14.5,10.748750143699999,1384500.0,0.0,1.0
2001-09-07,14.45,14.64,14.35,14.52,10.7635760059,1408500.0,0.0,1.0
2001-09-10,14.58,15.16,14.55,15.15,11.2305906674,622100.0,0.0,1.0
2001-09-17,15.14,15.14,14.47,14.6,10.822879455,1934300.0,0.0,1.0
2001-09-18,14.6,15.0,14.35,14.55,10.7858147993,902800.0,0.0,1.0
2001-09-19,14.69,14.69,13.72,13.95,10.3410389313,2415400.0,0.0,1.0
2001-09-20,13.9,13.9,12.84,12.95,9.59974581798,3498900.0,0.0,1.0
2001-09-21,13.0,13.0,12.16,12.75,9.4514871953,2051800.0,0.0,1.0
2001-09-24,13.28,13.28,12.95,13.2,9.785069096319999,1964200.0,0.0,1.0
2001-09-25,13.2,13.2,12.7,12.8,9.48855185097,1827300.0,0.0,1.0
2001-09-26,12.96,12.96,12.2,12.2,9.04377598296,3327200.0,0.0,1.0
