Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,12.15,12.21,11.72,11.9,7.180804221830001,820800.0,0.0,1.0
1999-11-02,11.9,12.15,11.78,12.15,7.331661453380001,975600.0,0.0,1.0
1999-11-03,11.95,12.01,11.83,11.89,7.2021360378,1110200.0,0.0454,1.0
1999-11-04,11.89,11.89,11.58,11.7,7.087047236519999,1386400.0,0.0,1.0
1999-11-05,11.83,11.95,11.64,11.64,7.05070340454,1061500.0,0.0,1.0
1999-11-08,11.64,11.89,11.58,11.83,7.16579220582,1148500.0,0.0,1.0
1999-11-09,11.7,11.83,11.45,11.7,7.087047236519999,1754200.0,0.0,1.0
1999-11-10,11.83,12.01,11.7,11.95,7.238479869780001,1100200.0,0.0,1.0
1999-11-11,11.83,12.07,11.83,12.07,7.31116753374,1220200.0,0.0,1.0
1999-11-12,12.45,12.7,12.39,12.63,7.6503766322399995,2406900.0,0.0,1.0
1999-11-15,12.51,12.7,12.45,12.63,7.6503766322399995,1942200.0,0.0,1.0
1999-11-16,12.76,13.07,12.63,13.01,7.8805542348,2540500.0,0.0,1.0
1999-11-17,13.13,14.13,13.07,14.07,8.522628599819999,3152800.0,0.0,1.0
1999-11-18,13.94,14.07,13.63,13.69,8.292450997260001,1722200.0,0.0,1.0
1999-11-19,13.75,13.88,13.44,13.69,8.292450997260001,1728100.0,0.0,1.0
1999-11-22,13.44,13.51,13.19,13.32,8.068330700039999,1211600.0,0.0,1.0
1999-11-23,13.19,13.19,12.63,12.82,7.76546543352,1419200.0,0.0,1.0
1999-11-24,12.76,12.95,12.57,12.88,7.801809265499999,1180300.0,0.0,1.0
1999-11-26,12.76,12.82,12.63,12.63,7.6503766322399995,301800.0,0.0,1.0
1999-11-29,12.51,12.7,12.14,12.51,7.57768896828,990600.0,0.0,1.0
1999-11-30,12.51,12.76,12.2,12.32,7.462600167000001,1730200.0,0.0,1.0
1999-12-01,12.26,12.32,12.07,12.07,7.31116753374,1183700.0,0.0,1.0
1999-12-02,12.07,12.7,12.07,12.51,7.57768896828,1375600.0,0.0,1.0
