Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,48.5,48.69,47.94,48.06,24.4695661338,1184400.0,0.0,1.0
1999-11-02,48.0,48.38,47.25,47.56,24.2149930363,1229000.0,0.0,1.0
1999-11-03,47.5,47.81,46.63,47.13,23.996060172399996,1644700.0,0.0,1.0
1999-11-04,47.38,47.38,46.5,46.69,23.772035846599998,2105200.0,0.0,1.0
1999-11-05,47.25,47.88,47.13,47.75,24.3117308133,1532500.0,0.0,1.0
1999-11-08,47.88,48.69,47.44,48.63,24.759779465,1331700.0,0.0,1.0
1999-11-09,48.75,48.75,47.81,48.13,24.5052063675,880700.0,0.0,1.0
1999-11-10,48.38,48.88,47.88,48.56,24.7241392313,1433800.0,0.0,1.0
1999-11-11,48.81,49.44,48.56,49.31,25.1059988776,1001900.0,0.0,1.0
1999-11-12,49.19,49.94,49.19,49.56,25.2332854264,1361400.0,0.0,1.0
1999-11-15,49.63,49.81,49.19,49.63,25.26892566,1131700.0,0.0,1.0
1999-11-16,49.94,51.0,49.44,50.94,25.935907175500002,1780600.0,0.0,1.0
1999-11-17,50.94,51.25,50.5,50.69,25.8086206268,950000.0,0.0,1.0
1999-11-18,51.06,51.06,49.69,50.13,25.5234987575,1438600.0,0.0,1.0
1999-11-19,49.88,50.5,49.69,50.44,25.681334078000003,1164100.0,0.0,1.0
1999-11-22,50.5,51.0,49.69,50.06,25.487858523899998,1443500.0,0.0,1.0
1999-11-23,49.81,49.94,49.0,49.0,24.9481635571,1393000.0,0.0,1.0
1999-11-24,48.75,50.06,48.44,49.94,25.426760980500003,1528000.0,0.0,1.0
1999-11-26,49.44,50.06,49.31,50.0,25.457309752199997,339000.0,0.0,1.0
1999-11-29,49.38,49.88,48.25,49.13,25.0143525625,1011400.0,0.0,1.0
1999-11-30,49.13,49.63,49.06,49.38,25.1416391113,1063700.0,0.0,1.0
1999-12-01,49.0,49.56,48.38,48.56,24.7241392313,1165900.0,0.0,1.0
1999-12-02,49.0,50.44,48.94,50.19,25.5540475292,1068000.0,0.0,1.0
1999-12-03,50.0,51.88,50.0,51.25,26.093742495999997,1684600.0,0.0,1.0
1999-12-06,50.88,51.0,49.94,50.38,25.6507853063,1011500.0,0.0,1.0
1999-12-07,50.44,51.69,50.38,51.13,26.032644952600002,1531800.0,0.0,1.0
1999-12-08,51.63,51.75,50.75,50.94,25.9804574676,1237500.0,0.0875,1.0
1999-12-09,51.13,51.75,50.63,51.25,26.1385639029,1642100.0,0.0,1.0
1999-12-10,51.25,51.25,49.81,50.25,25.6285431438,1188500.0,0.0,1.0
1999-12-13,50.31,51.13,50.06,50.5,25.756048333600003,1044900.0,0.0,1.0
1999-12-14,50.75,51.25,50.38,50.44,25.7254470881,1263400.0,0.0,1.0
1999-12-15,50.06,50.63,49.44,49.83,25.414334425,1324000.0,0.0,1.0
1999-12-16,49.56,50.88,49.31,50.75,25.8835535234,1297200.0,0.0,1.0
1999-12-17,50.06,51.19,49.88,50.06,25.5316391996,2287800.0,0.0,1.0
1999-12-20,50.25,52.31,50.25,50.94,25.9804574676,1431200.0,0.0,1.0
1999-12-21,51.38,52.94,51.0,52.94,27.0004989858,1413700.0,0.0,1.0
1999-12-22,52.81,52.81,50.94,51.38,26.2048666016,1248100.0,0.0,1.0
1999-12-23,51.75,52.75,51.56,52.5,26.7760898518,629600.0,0.0,1.0
1999-12-27,52.44,52.88,51.81,52.88,26.9698977402,1264300.0,0.0,1.0
1999-12-28,52.81,53.19,52.0,52.25,26.648584661999998,1013900.0,0.0,1.0
1999-12-29,52.5,53.81,52.38,53.56,27.316711856399998,1010900.0,0.0,1.0
1999-12-30,53.31,54.69,53.31,54.69,27.893035314099997,1099700.0,0.0,1.0
1999-12-31,54.69,54.81,53.38,53.88,27.4799184993,512400.0,0.0,1.0
2000-01-03,53.5,53.94,51.94,52.0,26.521079472199997,2698900.0,0.0,1.0
2000-01-04,51.63,53.0,51.5,52.0,26.521079472199997,3141100.0,0.0,1.0
2000-01-05,51.94,51.94,50.69,51.56,26.296670338200002,3008800.0,0.0,1.0
2000-01-06,51.88,52.94,51.31,52.19,26.617983416399998,2121700.0,0.0,1.0
