Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,18.94,19.63,18.31,18.69,4.511284326499999,953600.0,0.0,1.0
1999-11-02,18.88,19.0,18.25,18.5,4.46542322313,810500.0,0.0,1.0
1999-11-03,18.63,19.19,18.5,19.06,4.6005927909699995,583400.0,0.0,1.0
1999-11-04,19.25,19.38,17.88,18.0,4.34473610899,742000.0,0.0,1.0
1999-11-05,18.5,18.56,18.0,18.06,4.35921856269,374700.0,0.0,1.0
1999-11-08,18.25,19.63,18.06,19.63,4.7381761010900005,838600.0,0.0,1.0
1999-11-09,19.94,21.38,19.88,20.31,4.90231057631,1414200.0,0.0,1.0
1999-11-10,20.25,21.5,20.25,21.06,5.08334124752,618600.0,0.0,1.0
1999-11-11,21.25,21.56,20.75,20.81,5.02299769045,543500.0,0.0,1.0
1999-11-12,20.81,21.94,20.44,21.94,5.29575056841,589000.0,0.0,1.0
1999-11-15,21.94,22.25,20.94,21.25,5.12920235089,635200.0,0.0,1.0
1999-11-16,21.38,21.81,21.25,21.56,5.20402836166,776600.0,0.0,1.0
1999-11-17,21.63,21.69,20.63,20.94,5.05437634013,494200.0,0.0,1.0
1999-11-18,21.0,23.5,20.94,23.0,5.55160725038,1151000.0,0.0,1.0
1999-11-19,23.38,25.31,23.0,24.75,5.97401214987,1545900.0,0.0,1.0
1999-11-22,24.53,24.63,23.13,24.06,5.80746393235,723800.0,0.0,1.0
1999-11-23,23.88,25.88,23.69,25.5,6.15504282107,1724900.0,0.0,1.0
1999-11-24,28.56,29.81,27.38,27.94,6.743995938069999,6387100.0,0.0,1.0
1999-11-26,28.44,28.44,26.5,26.69,6.442278152719999,610100.0,0.0,1.0
1999-11-29,27.03,28.94,25.94,28.31,6.8333044025300005,2415100.0,0.0,1.0
1999-11-30,28.5,29.63,27.25,29.31,7.074678630810001,1480400.0,0.0,1.0
1999-12-01,29.47,29.94,28.88,29.5,7.120539734179999,1275500.0,0.0,1.0
1999-12-02,29.44,30.94,29.31,30.63,7.39329261214,1194500.0,0.0,1.0
1999-12-03,31.25,34.13,31.0,33.94,8.19224130773,2935400.0,0.0,1.0
1999-12-06,33.94,33.94,32.25,33.0,7.96534953315,938900.0,0.0,1.0
1999-12-07,33.0,33.31,32.25,32.88,7.936384625760001,1034200.0,0.0,1.0
1999-12-08,32.81,33.0,31.31,31.48,7.59846070617,659500.0,0.0,1.0
1999-12-09,31.5,31.88,31.13,31.63,7.63466684041,1185000.0,0.0,1.0
1999-12-10,31.63,33.25,31.5,32.56,7.85914487271,1217100.0,0.0,1.0
1999-12-13,32.56,32.56,30.0,31.88,7.69501039748,1100400.0,0.0,1.0
1999-12-14,31.63,32.5,30.25,30.5,7.36191396246,1080600.0,0.0,1.0
1999-12-15,30.25,32.06,30.25,31.88,7.69501039748,1694100.0,0.0,1.0
1999-12-16,32.06,32.13,31.38,31.94,7.70949285118,1054200.0,0.0,1.0
1999-12-17,32.44,32.45,29.5,29.94,7.226744394630001,2678100.0,0.0,1.0
1999-12-20,29.81,31.75,29.75,31.56,7.617770644430001,994500.0,0.0,1.0
1999-12-21,31.28,32.13,31.0,31.63,7.63466684041,1257900.0,0.0,1.0
1999-12-22,31.66,32.44,31.31,32.06,7.73845775857,983400.0,0.0,1.0
1999-12-23,32.03,32.63,31.75,31.94,7.70949285118,547900.0,0.0,1.0
1999-12-27,32.0,32.13,31.0,31.13,7.5139797262800005,454700.0,0.0,1.0
1999-12-28,31.0,31.88,30.88,31.81,7.6781142015,407300.0,0.0,1.0
1999-12-29,31.25,33.25,31.19,33.13,7.99672818283,486000.0,0.0,1.0
1999-12-30,33.13,33.25,31.75,32.0,7.7239753048800015,538300.0,0.0,1.0
1999-12-31,32.0,34.13,31.75,33.75,8.146380204360003,482900.0,0.0,1.0
2000-01-03,34.0,34.62,32.12,33.38,8.0570717399,711400.0,0.0,1.0
2000-01-04,32.19,32.5,31.5,31.75,7.66363174781,837200.0,0.0,1.0
2000-01-05,31.0,31.06,29.63,29.81,7.19536574495,1074400.0,0.0,1.0
2000-01-06,29.5,29.88,27.63,27.94,6.743995938069999,964200.0,0.0,1.0
2000-01-07,28.06,31.5,28.0,31.25,7.542944633669999,1596900.0,0.0,1.0
2000-01-10,31.63,32.13,30.0,30.88,7.4681186229,295200.0,0.06,1.0
2000-01-11,30.5,31.25,30.06,30.06,7.269807182789999,233500.0,0.0,1.0
2000-01-12,30.0,30.13,28.81,29.56,7.14888557296,279400.0,0.0,1.0
2000-01-13,29.56,30.63,29.06,29.25,7.07391417487,304300.0,0.0,1.0
2000-01-14,29.41,30.13,29.25,30.13,7.286736208160001,306400.0,0.0,1.0
2000-01-18,29.75,30.0,29.0,29.31,7.088424768049999,404500.0,0.0,1.0
2000-01-19,29.09,30.63,29.06,30.19,7.30124680134,797200.0,0.0,1.0
2000-01-20,30.25,31.09,29.88,30.25,7.31575739452,342900.0,0.0,1.0
2000-01-21,30.38,30.88,30.06,30.75,7.436679004349999,492100.0,0.0,1.0
2000-01-24,31.44,34.88,31.13,33.63,8.13318747695,2112900.0,0.0,1.0
2000-01-25,33.41,34.13,32.38,33.06,7.9953368417499995,693200.0,0.0,1.0
2000-01-26,32.5,33.25,32.31,32.31,7.8139544270100005,892500.0,0.0,1.0
2000-01-27,32.31,33.0,32.0,32.5,7.85990463874,695100.0,0.0,1.0
2000-01-28,32.0,32.31,30.88,30.88,7.4681186229,376500.0,0.0,1.0
2000-01-31,30.63,31.13,29.75,30.56,7.39072879261,466100.0,0.0,1.0
2000-02-01,30.19,32.0,29.88,31.69,7.66401163082,174700.0,0.0,1.0
2000-02-02,31.5,32.5,30.63,31.88,7.70996184256,311400.0,0.0,1.0
2000-02-03,32.0,33.25,31.88,33.0,7.98082624857,842000.0,0.0,1.0
2000-02-04,33.0,33.19,31.5,32.69,7.90585485048,397400.0,0.0,1.0
2000-02-07,32.75,37.25,32.69,36.56,8.84178811054,2782800.0,0.0,1.0
2000-02-08,36.88,40.19,36.75,39.5,9.55280717632,3209200.0,0.0,1.0
2000-02-09,39.0,39.31,36.5,38.06,9.20455294002,966500.0,0.0,1.0
2000-02-10,38.31,39.5,37.31,38.13,9.22148196539,440400.0,0.0,1.0
2000-02-11,38.25,38.69,36.56,36.88,8.919177940820001,426200.0,0.0,1.0
2000-02-14,36.69,38.81,35.95,37.19,8.99414933892,818000.0,0.0,1.0
2000-02-15,37.13,37.25,35.75,36.81,8.90224891545,492300.0,0.0,1.0
2000-02-16,36.75,37.63,36.56,37.25,9.0086599321,534400.0,0.0,1.0
2000-02-17,37.25,39.13,37.0,38.75,9.37142476158,922100.0,0.0,1.0
2000-02-18,38.56,38.88,37.25,38.06,9.20455294002,750200.0,0.0,1.0
2000-02-22,37.88,38.0,35.0,36.13,8.737795526080001,830800.0,0.0,1.0
2000-02-23,36.75,38.63,36.75,38.5,9.31096395666,767700.0,0.0,1.0
2000-02-24,38.38,42.13,38.38,41.06,9.93008259898,3196200.0,0.0,1.0
2000-02-25,43.0,49.0,43.0,48.0,11.6084745434,4548800.0,0.0,1.0
2000-02-28,47.5,47.5,43.88,45.56,11.0183770874,1915600.0,0.0,1.0
2000-02-29,45.0,45.38,43.5,44.69,10.807973486300002,2045300.0,0.0,1.0
2000-03-01,44.63,45.56,44.0,44.81,10.8369946727,1182100.0,0.0,1.0
2000-03-02,44.63,45.69,43.75,43.94,10.6265910716,1307800.0,0.0,1.0
2000-03-03,43.94,47.0,43.94,45.94,11.1102775109,2726200.0,0.0,1.0
2000-03-06,45.94,47.63,45.75,47.06,11.3811419169,1290500.0,0.0,1.0
2000-03-07,47.0,49.44,47.0,48.0,11.6084745434,3093400.0,0.0,1.0
2000-03-08,48.13,48.5,46.69,48.0,11.6084745434,1625200.0,0.0,1.0
2000-03-09,48.25,50.38,48.13,50.31,12.1671323808,2619100.0,0.0,1.0
2000-03-10,53.44,56.06,52.44,54.88,13.2723558946,2645200.0,0.0,1.0
2000-03-13,52.5,53.25,51.06,52.94,12.8031800485,1618200.0,0.0,1.0
2000-03-14,53.06,53.69,52.38,52.75,12.7572298367,1230200.0,0.0,1.0
2000-03-15,52.22,52.5,48.19,51.13,12.3654438209,1363200.0,0.0,1.0
2000-03-16,50.97,51.06,46.25,50.94,12.3194936092,1272100.0,0.0,1.0
2000-03-17,49.88,50.63,47.0,49.13,11.881757381600002,1710200.0,0.0,1.0
2000-03-20,49.06,49.88,47.75,49.0,11.850317763,1550900.0,0.0,1.0
2000-03-21,49.09,51.25,48.13,51.19,12.3799544141,1266700.0,0.0,1.0
2000-03-22,51.31,51.31,49.63,50.19,12.1381111944,1020700.0,0.0,1.0
2000-03-23,49.75,51.25,49.0,50.56,12.2275931857,1065400.0,0.0,1.0
2000-03-24,50.5,51.75,49.06,49.75,12.0317001778,1011400.0,0.0,1.0
2000-03-27,50.38,51.25,49.88,50.19,12.1381111944,545400.0,0.0,1.0
2000-03-28,49.56,49.88,48.39,48.88,11.8212965767,789600.0,0.0,1.0
2000-03-29,48.25,48.56,44.75,45.5,11.0038664942,1165900.0,0.0,1.0
2000-03-30,44.81,46.25,43.75,44.38,10.733002088200001,1222300.0,0.0,1.0
2000-03-31,44.38,45.5,41.63,45.5,11.0038664942,934400.0,0.0,1.0
2000-04-03,45.0,45.44,43.5,44.0,10.6411016648,1389500.0,0.0,1.0
2000-04-04,44.13,45.05,39.0,44.19,10.6870518765,2575800.0,0.0,1.0
2000-04-05,43.81,47.63,43.31,45.31,10.9724268757,1667700.0,0.06,1.0
2000-04-06,46.59,47.0,44.44,44.88,10.8682965831,560600.0,0.0,1.0
2000-04-07,44.94,47.13,44.88,46.13,11.171000922000001,491500.0,0.0,1.0
2000-04-10,45.88,47.13,44.25,44.31,10.7302634046,232800.0,0.0,1.0
2000-04-11,44.0,45.13,42.63,42.81,10.3670181979,577100.0,0.0,1.0
2000-04-12,42.88,43.88,38.38,38.94,9.42984556476,1196700.0,0.0,1.0
2000-04-13,39.5,42.13,37.94,39.0,9.44437537302,719900.0,0.0,1.0
2000-04-14,37.69,38.91,35.81,35.81,8.6718739002,760300.0,0.0,1.0
2000-04-17,35.56,37.81,35.5,37.44,9.066600358099999,945100.0,0.0,1.0
2000-04-18,37.69,39.5,37.0,39.19,9.49038643253,543900.0,0.0,1.0
2000-04-19,38.97,40.88,38.0,39.75,9.62599797635,387800.0,0.0,1.0
2000-04-20,39.78,39.81,36.25,36.63,8.87044794651,644600.0,0.0,1.0
2000-04-24,36.13,37.19,34.25,36.44,8.824436887000001,556500.0,0.0,1.0
2000-04-25,36.13,38.94,36.13,38.56,9.337823445739998,345000.0,0.0,1.0
