Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,56.69,56.94,56.06,56.38,19.4644768658,568300.0,0.0,1.0
1999-11-02,56.63,57.38,56.31,57.38,19.8097141284,899900.0,0.0,1.0
1999-11-03,57.63,57.88,55.88,55.94,19.3125724703,857000.0,0.0,1.0
1999-11-04,56.19,56.63,55.63,55.75,19.246977390399998,363900.0,0.0,1.0
1999-11-05,56.75,57.88,56.5,56.94,19.6578097329,594800.0,0.0,1.0
1999-11-08,56.75,57.0,56.5,56.69,19.5715004172,260200.0,0.0,1.0
1999-11-09,56.81,56.88,56.0,56.56,19.5266195731,467700.0,0.0,1.0
1999-11-10,56.56,57.75,56.56,57.44,19.8304283642,813800.0,0.0,1.0
1999-11-11,57.38,58.75,57.38,57.81,19.958166151300002,993500.0,0.0,1.0
1999-11-12,57.88,58.5,57.31,58.44,20.1756656268,643000.0,0.0,1.0
1999-11-15,58.81,59.94,58.5,59.75,20.6279264408,711000.0,0.0,1.0
1999-11-16,59.25,61.25,59.25,61.13,21.1043538632,1092200.0,0.0,1.0
1999-11-17,61.0,61.25,60.19,60.31,20.8212593079,766900.0,0.0,1.0
1999-11-18,60.31,61.56,60.25,61.25,21.1457823347,801000.0,0.0,1.0
1999-11-19,61.13,61.38,60.88,60.94,21.0387587833,608300.0,0.0,1.0
1999-11-22,62.0,62.31,60.0,60.31,20.8212593079,670100.0,0.0,1.0
1999-11-23,60.25,60.25,58.44,58.56,20.2170940983,539800.0,0.0,1.0
1999-11-24,58.56,58.56,55.56,56.69,19.5715004172,824400.0,0.0,1.0
1999-11-26,56.75,57.25,56.63,56.94,19.6578097329,625600.0,0.0,1.0
1999-11-29,56.94,57.25,54.31,56.63,19.5507861815,768400.0,0.0,1.0
1999-11-30,56.63,59.0,56.63,57.94,20.0030469955,843200.0,0.0,1.0
1999-12-01,57.75,58.0,57.56,58.0,20.023761231199998,518200.0,0.0,1.0
1999-12-02,57.88,58.44,57.63,58.44,20.1756656268,427400.0,0.0,1.0
1999-12-03,58.44,60.5,58.44,59.31,20.4760220453,694300.0,0.0,1.0
1999-12-06,60.25,60.5,58.63,58.69,20.2619749424,361900.0,0.0,1.0
1999-12-07,58.75,60.81,58.5,60.69,20.9524494676,833900.0,0.0,1.0
1999-12-08,60.75,62.25,60.19,61.5,21.2320916504,1263100.0,0.0,1.0
1999-12-09,63.0,64.88,63.0,63.69,21.988161255500003,720000.0,0.0,1.0
1999-12-10,63.5,63.5,61.69,61.81,21.339115201800002,514400.0,0.0,1.0
1999-12-13,61.88,62.0,61.06,61.56,21.2528058861,773900.0,0.0,1.0
1999-12-14,61.31,61.63,60.81,61.5,21.2320916504,871900.0,0.0,1.0
1999-12-15,61.38,62.88,61.13,62.75,21.6636382286,601400.0,0.0,1.0
1999-12-16,63.75,63.75,60.94,61.0,21.0594730191,807400.0,0.0,1.0
1999-12-17,61.25,65.0,61.0,65.0,22.4404220695,1081400.0,0.0,1.0
1999-12-20,64.88,68.0,64.75,67.5,23.303515226,1144200.0,0.0,1.0
1999-12-21,67.0,70.38,66.88,70.38,24.2977985423,1508400.0,0.0,1.0
1999-12-22,70.88,70.88,67.63,68.31,23.5831574087,1183900.0,0.0,1.0
1999-12-23,66.38,68.63,66.38,67.94,23.455419621599997,681100.0,0.0,1.0
1999-12-27,69.0,71.88,69.0,71.06,24.532559880900003,663300.0,0.0,1.0
1999-12-28,71.0,71.06,69.75,71.06,24.532559880900003,306500.0,0.0,1.0
1999-12-29,71.19,71.88,69.88,71.38,24.6430358049,297800.0,0.0,1.0
1999-12-30,71.0,73.5,71.0,72.0,24.8570829077,644000.0,0.0,1.0
1999-12-31,72.0,76.38,71.56,74.75,25.806485379899996,518800.0,0.0,1.0
2000-01-03,74.75,74.75,71.25,72.5,25.029701539,667200.0,0.0,1.0
2000-01-04,71.88,71.94,69.25,69.63,24.0388705954,742400.0,0.0,1.0
2000-01-05,69.69,70.25,68.5,70.06,24.187322618299998,784900.0,0.0,1.0
2000-01-06,70.63,71.63,70.0,70.94,24.4911314094,854200.0,0.0,1.0
2000-01-07,70.69,72.31,70.19,72.31,24.964106459099998,724700.0,0.0,1.0
2000-01-10,72.5,75.94,72.5,75.56,26.0861275626,1728900.0,0.0,1.0
2000-01-11,75.94,76.63,74.56,75.94,26.217317722399997,1305000.0,0.0,1.0
2000-01-12,76.0,78.94,76.0,77.5,26.7558878521,1410000.0,0.0,1.0
2000-01-13,77.38,80.69,76.75,78.81,27.2081486661,1661300.0,0.0,1.0
2000-01-14,81.0,83.38,80.63,83.25,28.741002112100002,1066300.0,0.0,1.0
2000-01-18,81.75,81.75,77.75,77.94,26.907792247600003,937200.0,0.0,1.0
2000-01-19,78.0,79.38,77.63,78.38,27.059696643200002,1174000.0,0.0,1.0
2000-01-20,79.0,79.0,77.5,77.69,26.821482932,734900.0,0.0,1.0
2000-01-21,78.5,80.0,78.13,80.0,27.618981008600002,824400.0,0.0,1.0
2000-01-24,80.0,81.44,79.44,80.0,27.618981008600002,1738800.0,0.0,1.0
2000-01-25,80.0,80.56,75.88,76.0,26.2380319582,1027300.0,0.0,1.0
2000-01-26,75.75,75.75,72.44,72.44,25.0089873033,1461100.0,0.0,1.0
2000-01-27,73.5,77.56,73.44,75.88,26.1966034867,1142400.0,0.0,1.0
2000-01-28,76.13,76.69,74.88,76.38,26.369222118000003,635200.0,0.0,1.0
2000-01-31,78.0,80.94,77.06,80.13,27.6638618527,918700.0,0.0,1.0
2000-02-01,80.13,81.5,78.38,80.75,27.8779089556,1016100.0,0.0,1.0
2000-02-02,80.69,81.38,77.5,79.31,27.3807672974,939800.0,0.0,1.0
2000-02-03,79.81,82.81,78.81,80.38,27.7501711684,1303700.0,0.0,1.0
2000-02-04,80.38,80.38,72.63,75.25,25.9791040112,2203800.0,0.0,1.0
2000-02-07,77.0,80.5,76.5,80.0,27.618981008600002,1297800.0,0.0,1.0
2000-02-08,81.25,85.88,80.75,84.44,29.1518344546,1554600.0,0.0,1.0
2000-02-09,84.44,86.5,83.19,85.88,29.6489761127,1046600.0,0.0,1.0
2000-02-10,85.0,85.75,82.38,82.88,28.613264324899998,792300.0,0.0,1.0
2000-02-11,81.5,82.56,80.75,82.0,28.3094555338,523300.0,0.0,1.0
2000-02-14,82.0,85.69,81.38,85.5,29.5177859529,965900.0,0.0,1.0
2000-02-15,85.5,87.69,84.63,86.38,29.821594744000002,914000.0,0.0,1.0
2000-02-16,86.13,89.38,85.75,88.19,30.4464741894,993000.0,0.0,1.0
2000-02-17,88.25,89.44,87.25,87.94,30.3601648737,541200.0,0.0,1.0
2000-02-18,88.0,89.0,87.38,88.0,30.380879109499997,669600.0,0.0,1.0
2000-02-22,87.75,88.0,84.69,85.94,29.669690348499998,562500.0,0.0,1.0
2000-02-23,85.5,85.5,82.0,84.19,29.0655251389,943100.0,0.0,1.0
2000-02-24,85.0,85.44,83.31,84.88,29.303738850100004,817100.0,0.0,1.0
2000-02-25,84.88,85.0,82.75,84.5,29.1725486903,486200.0,0.0,1.0
2000-02-28,84.75,85.81,84.5,85.81,29.6248095043,581400.0,0.0,1.0
2000-02-29,85.81,86.44,83.31,83.81,28.934334979099997,790000.0,0.0,1.0
2000-03-01,83.81,84.38,80.88,81.94,28.2887412981,848800.0,0.0,1.0
2000-03-02,82.5,87.44,82.38,87.13,30.080522691,973600.0,0.0,1.0
2000-03-03,87.75,88.5,86.0,86.94,30.014927611100003,1086200.0,0.0,1.0
