Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,102.7,103.0,99.88,100.3,902.7974402210001,2793333.0,0.0,1.0
1999-11-02,100.4,102.2,99.13,99.25,893.346420158,2446667.0,0.0,1.0
1999-11-03,99.44,101.9,98.63,101.6,914.498703155,2389333.0,0.0,1.0
1999-11-04,103.0,106.9,101.9,102.1,918.9991888989999,2826667.0,0.0,1.0
1999-11-05,104.5,108.2,104.5,105.4,948.702394808,3261333.0,0.0,1.0
1999-11-08,106.1,108.1,105.8,107.6,968.5045320810001,1530667.0,0.0,1.0
1999-11-09,109.5,109.5,106.1,107.3,965.804240635,2053333.0,0.0,1.0
1999-11-10,106.0,107.4,105.8,106.6,959.503560593,2257333.0,0.0,1.0
1999-11-11,106.8,106.8,105.1,105.9,953.202880552,1353333.0,0.0,1.0
1999-11-12,106.3,109.7,105.0,105.8,952.302783403,2754667.0,0.0,1.0
1999-11-15,105.9,106.1,103.4,104.2,937.901229023,2586667.0,0.0,1.0
1999-11-16,105.1,109.9,105.1,109.8,988.306669354,3972000.0,0.0,1.0
1999-11-17,108.5,111.2,108.3,110.3,992.8071550980001,3050667.0,0.0,1.0
1999-11-18,110.1,111.9,109.6,111.6,1004.50841803,2498667.0,0.0,1.0
1999-11-19,111.9,111.9,108.8,109.6,986.506475057,1733333.0,0.0,1.0
1999-11-22,108.7,109.1,105.6,108.9,980.205795015,2017333.0,0.0,1.0
1999-11-23,108.7,109.2,105.3,105.5,949.602491957,2196000.0,0.0,1.0
1999-11-24,106.0,107.6,104.8,106.1,955.00307485,1772000.0,0.0,1.0
1999-11-26,107.5,107.5,104.6,105.7,951.402686254,844000.0,0.0,1.0
1999-11-29,104.8,104.9,102.1,102.6,923.499674642,2150667.0,0.0,1.0
1999-11-30,102.6,105.3,102.6,103.8,934.750889002,3056000.0,0.05,1.0
1999-12-01,102.6,104.7,102.5,103.4,931.148766116,1873333.0,0.0,1.0
1999-12-02,103.0,103.9,102.3,103.0,927.546643229,2144000.0,0.0,1.0
1999-12-03,104.1,106.5,103.5,104.0,936.551950445,3604000.0,0.0,1.0
