Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,37.75,38.25,37.75,38.13,11.461042352,78200.0,0.0,1.0
1999-11-02,38.06,38.94,38.06,38.44,11.5542215581,150400.0,0.0,1.0
1999-11-03,38.63,38.63,38.38,38.44,11.5542215581,79500.0,0.0,1.0
1999-11-04,38.0,38.75,37.88,38.44,11.7420828608,258700.0,0.625,1.0
1999-11-05,38.5,38.75,38.25,38.63,11.8001212516,58200.0,0.0,1.0
1999-11-08,38.44,38.75,38.38,38.5,11.760410773699999,90700.0,0.0,1.0
1999-11-09,38.69,39.0,38.25,38.88,11.876487555399999,76000.0,0.0,1.0
1999-11-10,39.0,39.0,38.25,38.63,11.8001212516,125100.0,0.0,1.0
1999-11-11,38.69,39.06,38.69,38.75,11.8367770774,104300.0,0.0,1.0
1999-11-12,38.75,38.81,38.38,38.5,11.760410773699999,71600.0,0.0,1.0
1999-11-15,38.69,38.75,37.75,37.81,11.5496397754,143500.0,0.0,1.0
1999-11-16,37.94,37.94,37.75,37.88,11.571022340499999,132800.0,0.0,1.0
1999-11-17,37.88,37.88,37.38,37.5,11.4549455588,229300.0,0.0,1.0
1999-11-18,37.31,37.31,37.0,37.0,11.302212951300001,153900.0,0.0,1.0
1999-11-19,37.75,37.75,37.25,37.5,11.4549455588,101800.0,0.0,1.0
1999-11-22,37.31,37.44,36.75,36.88,11.265557125499999,276900.0,0.0,1.0
1999-11-23,36.75,36.94,36.19,36.75,11.2258466476,216700.0,0.0,1.0
1999-11-24,36.75,37.25,36.63,36.88,11.265557125499999,188400.0,0.0,1.0
1999-11-26,36.75,36.88,36.63,36.63,11.1891908218,26100.0,0.0,1.0
1999-11-29,36.5,36.75,36.44,36.56,11.1678082568,90700.0,0.0,1.0
1999-11-30,36.69,37.25,36.44,37.19,11.3602513422,138800.0,0.0,1.0
1999-12-01,37.19,37.56,37.19,37.56,11.4732734717,203500.0,0.0,1.0
1999-12-02,37.44,37.56,37.13,37.31,11.396907168,177200.0,0.0,1.0
1999-12-03,37.44,37.75,37.25,37.44,11.436617645899998,117500.0,0.0,1.0
1999-12-06,37.44,37.44,37.38,37.38,11.418289733,206700.0,0.0,1.0
1999-12-07,37.31,37.44,37.25,37.38,11.418289733,111500.0,0.0,1.0
1999-12-08,37.38,37.38,36.94,37.06,11.320540864200002,133300.0,0.0,1.0
1999-12-09,37.0,37.06,36.81,36.81,11.2441745605,248800.0,0.0,1.0
1999-12-10,37.0,37.0,36.63,36.75,11.2258466476,176100.0,0.0,1.0
1999-12-13,36.81,36.88,36.63,36.69,11.2075187347,119500.0,0.0,1.0
1999-12-14,36.63,36.75,36.31,36.31,11.091441953099999,192800.0,0.0,1.0
1999-12-15,36.25,36.31,35.63,35.81,10.9387093456,74400.0,0.0,1.0
1999-12-16,35.56,35.69,34.56,34.69,10.596588304900001,412600.0,0.0,1.0
1999-12-17,34.44,36.0,34.06,35.12,10.7279383473,798700.0,0.0,1.0
1999-12-20,35.38,35.81,35.31,35.81,10.9387093456,248400.0,0.0,1.0
1999-12-21,35.75,35.88,35.0,35.75,10.9203814327,165200.0,0.0,1.0
1999-12-22,35.75,36.0,35.56,35.56,10.8623430419,81400.0,0.0,1.0
1999-12-23,35.81,36.56,35.81,36.38,11.1128245181,145000.0,0.0,1.0
1999-12-27,36.31,37.0,36.31,36.81,11.2441745605,110300.0,0.0,1.0
1999-12-28,36.88,39.0,36.88,38.75,11.8367770774,301500.0,0.0,1.0
1999-12-29,38.75,39.25,38.75,38.94,11.8948154682,124200.0,0.0,1.0
1999-12-30,38.94,40.13,38.94,39.94,12.200280683099999,159800.0,0.0,1.0
1999-12-31,39.94,40.19,39.75,39.81,12.160570205199999,82200.0,0.0,1.0
2000-01-03,39.75,39.81,37.81,38.0,11.6076781662,181500.0,0.0,1.0
2000-01-04,38.0,38.0,37.31,37.5,11.4549455588,250900.0,0.0,1.0
2000-01-05,37.63,37.75,37.38,37.75,11.5313118625,108100.0,0.0,1.0
2000-01-06,37.81,38.75,37.81,38.63,11.8001212516,71000.0,0.0,1.0
2000-01-07,38.63,39.38,38.63,39.06,11.931471294000001,108300.0,0.0,1.0
2000-01-10,39.0,39.75,38.88,39.69,12.1239143794,244100.0,0.0,1.0
2000-01-11,39.75,39.75,38.56,39.5,12.065875988599998,292800.0,0.0,1.0
2000-01-12,39.63,39.63,39.38,39.5,12.065875988599998,55600.0,0.0,1.0
2000-01-13,39.38,39.5,38.81,38.88,11.876487555399999,60300.0,0.0,1.0
2000-01-14,38.94,39.19,37.5,37.56,11.4732734717,1043900.0,0.0,1.0
2000-01-18,37.56,38.19,37.38,38.19,11.6657165571,95100.0,0.0,1.0
2000-01-19,38.06,38.81,38.06,38.5,11.760410773699999,96900.0,0.0,1.0
2000-01-20,38.31,38.44,37.81,37.88,11.571022340499999,65300.0,0.0,1.0
2000-01-21,37.88,38.19,37.5,38.19,11.6657165571,151600.0,0.0,1.0
2000-01-24,38.06,38.13,37.69,37.75,11.5313118625,75900.0,0.0,1.0
2000-01-25,37.81,38.0,37.19,37.25,11.3785792551,298000.0,0.0,1.0
2000-01-26,37.25,37.25,36.63,36.94,11.2838850384,182000.0,0.0,1.0
2000-01-27,37.0,37.88,37.0,37.75,11.5313118625,226500.0,0.0,1.0
2000-01-28,37.81,38.13,37.38,37.75,11.5313118625,268000.0,0.0,1.0
2000-01-31,37.75,37.88,37.63,37.88,11.571022340499999,144800.0,0.0,1.0
