Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2019-06-11,11.11,11.35,11.06,11.18,10.4580376513,268169400.0,0.0,1.0
2019-06-12,11.21,11.35,11.11,11.22,10.495454601699999,16955751.0,0.0,1.0
2019-06-13,11.19,11.19,10.79,10.98,10.270952899,15375399.0,0.0,1.0
2019-06-14,11.0,11.04,10.85,10.93,10.224181711,12995016.0,0.0,1.0
2019-06-17,10.77,10.83,10.61,10.65,9.9622630578,11991150.0,0.0,1.0
2019-06-18,10.73,10.8,10.66,10.8,10.102576622,6940340.0,0.0,1.0
2019-06-19,10.75,10.77,10.46,10.59,9.90613763212,7823884.0,0.0,1.0
2019-06-20,10.72,10.945,10.71,10.87,10.1680562853,7407696.0,0.0,1.0
2019-06-21,10.93,11.06,10.85,11.02,10.3083698495,15210912.0,0.0,1.0
2019-06-24,11.05,11.19,10.79,11.14,10.4206207008,23175767.0,0.0,1.0
2019-06-25,11.22,11.5,11.15,11.46,10.7199563044,12368227.0,0.0,1.0
2019-06-26,11.4,11.54,11.33,11.51,10.7667274925,9356126.0,0.0,1.0
2019-06-27,11.57,11.6,11.47,11.49,10.7480190173,5419324.0,0.0,1.0
2019-06-28,11.41,11.5,11.37,11.49,10.7480190173,7604545.0,0.0,1.0
2019-07-01,11.38,11.43,11.3,11.43,10.6918935916,7831894.0,0.0,1.0
2019-07-02,11.47,11.6,11.45,11.58,10.832207155799999,6608736.0,0.0,1.0
2019-07-03,11.76,11.77,11.65,11.68,10.925749531900001,3013458.0,0.0,1.0
2019-07-05,11.58,11.65,11.55,11.61,10.8602698686,3565063.0,0.0,1.0
2019-07-08,11.48,11.51,11.35,11.44,10.7012478292,3031014.0,0.0,1.0
2019-07-09,11.28,11.28,10.94,11.02,10.3083698495,6699071.0,0.0,1.0
2019-07-10,11.03,11.11,10.94,10.96,10.2522444238,3642419.0,0.0,1.0
2019-07-11,10.94,11.08,10.87,11.08,10.3644952752,4404543.0,0.0,1.0
2019-07-12,11.1,11.16,10.99,11.15,10.429974938400001,5162567.0,0.0,1.0
2019-07-15,11.0,11.08,10.9,11.08,10.3644952752,3025163.0,0.0,1.0
2019-07-16,11.09,11.09,10.82,10.9,10.1961189981,5764858.0,0.0,1.0
2019-07-17,10.93,11.23,10.89,11.18,10.4580376513,8203866.0,0.0,1.0
2019-07-18,11.17,11.37,10.88,11.28,10.5515800274,8345719.0,0.0,1.0
2019-07-19,11.33,11.41,11.24,11.27,10.5422257898,3358112.0,0.0,1.0
2019-07-22,11.07,11.07,10.66,10.74,10.0464511963,8515464.0,0.0,1.0
2019-07-23,10.8,10.88,10.76,10.86,10.1587020477,2969530.0,0.0,1.0
2019-07-24,10.84,10.9,10.67,10.79,10.0932223844,3836784.0,0.0,1.0
2019-07-25,10.76,11.1,10.76,10.98,10.270952899,5477810.0,0.0,1.0
2019-07-26,10.93,11.13,10.83,10.96,10.2522444238,3171773.0,0.0,1.0
2019-07-29,10.96,10.96,10.77,10.87,10.1680562853,1736629.0,0.0,1.0
2019-07-30,10.79,10.82,10.52,10.61,9.92484610735,3826461.0,0.0,1.0
2019-07-31,10.65,10.95,10.58,10.6,9.915491869730001,6685894.0,0.0,1.0
2019-08-01,10.61,10.74,10.48,10.51,9.83130373122,3703248.0,0.0,1.0
2019-08-02,10.58,10.72,10.52,10.54,9.85936644406,3722701.0,0.0,1.0
2019-08-05,10.52,10.61,10.28,10.3,9.63486474135,5603145.0,0.0,1.0
2019-08-06,10.3,10.35,10.11,10.24,9.57873931567,4701463.0,0.0,1.0
2019-08-07,10.16,10.46,10.13,10.43,9.75646983031,5080965.0,0.0,1.0
2019-08-08,10.41,10.65,10.41,10.61,9.92484610735,5529700.0,0.0,1.0
2019-08-09,10.61,10.65,10.38,10.47,9.79388678077,3043162.0,0.0,1.0
2019-08-12,10.34,10.41,10.22,10.27,9.606802028510002,2505115.0,0.0,1.0
2019-08-13,10.2,10.52,10.15,10.43,9.75646983031,3282534.0,0.0,1.0
