Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2005-09-15,38.02,38.1,37.0,37.01,26.7924586179,1529800.0,0.0,1.0
2005-09-16,37.0,37.0,36.6,36.6,26.495649430300002,62400.0,0.0,1.0
2005-09-19,36.6,36.7,36.45,36.7,26.568041915100004,1162300.0,0.0,1.0
2005-09-20,36.6,37.0,36.6,36.7,26.568041915100004,654900.0,0.0,1.0
2005-09-21,36.6,36.6,36.0,36.4,26.350864460700002,424300.0,0.0,1.0
2005-09-22,36.4,37.2,36.4,37.2,26.930004339,864800.0,0.0,1.0
2005-09-23,37.2,38.1,37.2,37.68,27.277488266,1249900.0,0.0,1.0
2005-09-26,37.75,38.15,37.75,37.75,27.328163005300002,821400.0,0.0,1.0
2005-09-27,37.75,37.9,37.14,37.25,26.9662005814,1514000.0,0.0,1.0
2005-09-28,37.24,37.4,36.8,37.0,26.7852193694,875700.0,0.0,1.0
2005-09-29,36.91,36.91,36.25,36.6,26.495649430300002,2659200.0,0.0,1.0
2005-09-30,36.6,36.6,35.6,35.8,25.916509551999997,4014800.0,0.0,1.0
2005-10-03,35.3,35.9,34.17,34.7,25.1201922194,10007600.0,0.0,1.0
2005-10-04,34.0,34.3,33.25,33.9,24.5410523412,8040300.0,0.0,1.0
2005-10-05,34.0,34.1,33.32,33.65,24.3600711292,6304400.0,0.0,1.0
2005-10-06,33.4,33.65,33.21,33.37,24.1573721718,7552200.0,0.0,1.0
2005-10-07,33.28,33.6,33.13,33.6,24.3238748868,7055200.0,0.0,1.0
2005-10-10,33.6,33.6,33.0,33.03,23.911237723600003,3400800.0,0.0,1.0
2005-10-11,33.04,33.39,32.98,33.0,23.8895199781,3675400.0,0.0,1.0
2005-10-12,32.9,33.3,32.72,32.77,23.7230172631,4134500.0,0.0,1.0
2005-10-13,32.53,32.7,32.48,32.55,23.563753796599997,3184100.0,0.0,1.0
2005-10-14,32.52,32.75,32.38,32.39,23.447925821,2487500.0,0.0,1.0
2005-10-17,32.34,32.77,32.0,32.48,23.5130790573,1910400.0,0.0,1.0
2005-10-18,32.3,32.55,32.15,32.43,23.476882814899998,1737900.0,0.0,1.0
2005-10-19,32.28,33.16,32.21,33.16,24.0053479538,1784400.0,0.0,1.0
2005-10-20,33.16,34.06,33.1,33.58,24.309396389899998,2789600.0,0.0,1.0
2005-10-21,33.78,34.501,33.63,34.0,24.613444826,2881800.0,0.0,1.0
2005-10-24,35.25,36.48,34.93,36.29,26.2712327275,4013400.0,0.0,1.0
2005-10-25,35.34,37.47,35.28,37.18,26.915525841999997,2900400.0,0.0,1.0
2005-10-26,36.85,37.72,36.7,37.0,26.7852193694,2208000.0,0.0,1.0
2005-10-27,36.95,37.0,35.8,36.28,26.263993479,2033000.0,0.0,1.0
2005-10-28,36.5,37.2,36.21,37.1,26.8576118542,1430200.0,0.0,1.0
2005-10-31,37.21,37.6,36.96,37.22,26.944482836,1211600.0,0.0,1.0
2005-11-01,36.9,36.96,36.46,36.56,26.4666924364,1574900.0,0.0,1.0
2005-11-02,36.22,36.9,36.18,36.8,26.720066133099998,1201600.0,0.11,1.0
