Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,19.31,19.44,18.56,18.94,16.132755696500002,577800.0,0.0,1.0
1999-11-02,19.0,20.06,19.0,19.38,16.507539883699998,942200.0,0.0,1.0
1999-11-03,19.5,20.0,19.44,19.75,16.8226993139,1599200.0,0.0,1.0
1999-11-04,20.25,20.38,19.75,19.94,16.9845379402,758700.0,0.0,1.0
1999-11-05,20.13,20.81,20.13,20.75,17.6744815577,2583300.0,0.0,1.0
1999-11-08,20.75,21.19,20.69,21.06,17.938534053199998,2423200.0,0.0,1.0
1999-11-09,22.5,22.88,22.0,22.88,19.4887777368,1695300.0,0.0,1.0
1999-11-10,22.25,23.31,22.25,23.31,19.8550441016,1090300.0,0.0,1.0
1999-11-11,23.5,23.94,23.13,23.81,20.2809352235,1733800.0,0.0,1.0
1999-11-12,24.0,24.0,23.06,23.5,20.016882728,907200.0,0.0,1.0
1999-11-15,23.75,24.81,23.5,24.5,20.8686649717,1352100.0,0.0,1.0
1999-11-16,24.5,25.5,24.38,25.5,21.7204472154,1243800.0,0.0,1.0
1999-11-17,25.31,26.31,25.19,25.63,21.8311789071,913700.0,0.0,1.0
1999-11-18,25.94,27.25,25.81,27.06,23.0492275157,2400200.0,0.0,1.0
1999-11-19,27.19,27.25,26.63,26.88,22.8959067118,1112400.0,0.0,1.0
1999-11-22,27.06,27.06,26.69,26.88,22.8959067118,404000.0,0.0,1.0
1999-11-23,26.88,26.88,25.25,25.94,22.0952314027,798100.0,0.0,1.0
1999-11-24,25.81,26.19,24.25,25.88,22.044124468099998,882800.0,0.0,1.0
1999-11-26,26.13,26.38,26.0,26.25,22.3592838982,214400.0,0.0,1.0
1999-11-29,27.0,27.0,26.13,26.56,22.623336393800002,686800.0,0.0,1.0
1999-11-30,26.56,26.69,26.0,26.13,22.257070029,1074500.0,0.0,1.0
1999-12-01,26.06,26.5,25.69,26.38,22.470015589899997,745300.0,0.0,1.0
1999-12-02,26.38,27.38,26.38,26.5,22.5722294592,1298700.0,0.0,1.0
1999-12-03,27.0,27.63,26.75,27.13,23.1088522727,519500.0,0.0,1.0
1999-12-06,27.38,27.88,26.75,27.0,22.9981205811,843400.0,0.0,1.0
1999-12-07,27.0,27.5,27.0,27.5,23.4240117029,1084500.0,0.0,1.0
1999-12-08,27.5,28.0,27.31,28.0,23.8499028248,1556100.0,0.0,1.0
1999-12-09,28.0,28.88,28.0,28.75,24.488739507600002,2774700.0,0.0,1.0
1999-12-10,29.0,29.25,28.75,29.0,24.701685068499998,987900.0,0.0,1.0
1999-12-13,28.88,28.88,28.38,28.69,24.437632573000002,577600.0,0.0,1.0
1999-12-14,28.75,29.19,27.75,27.75,23.636957263899998,977600.0,0.0,1.0
1999-12-15,29.38,31.38,29.25,30.81,26.243410929699998,2975500.0,0.0,1.0
1999-12-16,31.0,31.25,29.75,30.19,25.7153059386,1272800.0,0.0,1.0
1999-12-17,30.56,32.0,30.38,31.75,27.044086238800002,1142800.0,0.0,1.0
1999-12-20,31.88,33.25,31.75,31.94,27.205924865100002,1343600.0,0.0,1.0
1999-12-21,31.81,31.81,29.75,30.63,26.0900901258,363900.0,0.0,1.0
