Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,27.63,28.69,27.5,28.06,17.2155170608,1395700.0,0.0,1.0
1999-11-02,28.25,28.44,27.94,28.13,17.2584638247,820800.0,0.0,1.0
1999-11-03,28.25,28.25,27.25,27.25,16.7185616503,903100.0,0.0,1.0
1999-11-04,27.38,28.0,27.38,27.75,17.0253242494,499700.0,0.0,1.0
1999-11-05,27.88,28.0,26.69,26.81,16.4486105631,1847500.0,0.0,1.0
1999-11-08,26.81,26.94,25.69,26.44,16.2216062398,730400.0,0.0,1.0
1999-11-09,26.81,27.19,26.31,26.63,16.3381760274,553000.0,0.0,1.0
1999-11-10,26.63,27.63,26.56,27.38,16.7983199261,814900.0,0.0,1.0
1999-11-11,28.0,28.63,27.44,27.81,17.062135761300002,1000600.0,0.0,1.0
1999-11-12,29.5,31.56,28.75,31.13,19.0990394192,1690000.0,0.0,1.0
1999-11-15,31.0,32.06,30.56,31.88,19.5591833179,1567500.0,0.0,1.0
1999-11-16,31.94,32.88,31.69,32.88,20.172708516,697100.0,0.0,1.0
1999-11-17,32.75,33.63,32.75,33.63,20.6328524147,1164800.0,0.0,1.0
1999-11-18,33.5,33.69,32.5,33.13,20.3260898156,1178000.0,0.0,1.0
1999-11-19,32.63,33.88,31.0,31.81,19.516236554000002,1081000.0,0.0,1.0
1999-11-22,31.56,31.94,31.25,31.56,19.3628552545,866600.0,0.0,1.0
1999-11-23,31.81,32.13,31.69,32.06,19.6696178535,753200.0,0.0,1.0
1999-11-24,32.13,33.0,32.06,32.38,19.865945917,652700.0,0.0,1.0
1999-11-26,32.38,32.38,31.94,32.19,19.7493761293,202200.0,0.0,1.0
1999-11-29,32.0,32.0,31.5,31.75,19.4794250421,530600.0,0.0,1.0
1999-11-30,31.56,32.44,31.5,32.38,19.865945917,668200.0,0.0,1.0
1999-12-01,32.0,32.63,31.94,32.25,19.786187641199998,718100.0,0.0,1.0
1999-12-02,32.13,32.69,32.13,32.63,20.019327216500002,395500.0,0.0,1.0
1999-12-03,32.88,33.0,31.56,31.63,19.405802018299998,824800.0,0.0,1.0
1999-12-06,31.75,32.19,31.25,31.5,19.3260437426,1038700.0,0.0,1.0
1999-12-07,31.88,31.94,30.75,30.81,18.902711355799998,1159100.0,0.0,1.0
1999-12-08,30.63,31.63,30.0,31.63,19.405802018299998,610000.0,0.0,1.0
1999-12-09,31.75,31.81,30.63,31.44,19.289232230699998,445500.0,0.0,1.0
1999-12-10,31.69,31.75,31.25,31.63,19.405802018299998,575700.0,0.0,1.0
1999-12-13,31.0,31.5,30.31,30.5,18.7125185444,561400.0,0.0,1.0
1999-12-14,30.25,31.81,30.13,31.63,19.405802018299998,522100.0,0.0,1.0
1999-12-15,31.56,31.56,30.69,31.13,19.0990394192,519200.0,0.0,1.0
1999-12-16,30.88,31.0,30.44,30.94,18.9824696316,433900.0,0.0,1.0
1999-12-17,31.38,31.75,30.38,31.44,19.289232230699998,1038800.0,0.0,1.0
1999-12-20,31.25,31.75,29.94,30.56,18.7493300563,695800.0,0.0,1.0
1999-12-21,30.56,31.0,29.06,29.31,17.982423558599997,814500.0,0.0,1.0
1999-12-22,29.63,30.25,28.5,29.13,17.8719890229,918600.0,0.0,1.0
1999-12-23,29.75,31.25,29.25,30.81,18.902711355799998,420700.0,0.0,1.0
1999-12-27,30.44,31.5,30.44,30.88,18.9456581197,378500.0,0.0,1.0
1999-12-28,30.63,31.38,30.5,31.38,19.2524207188,392800.0,0.0,1.0
1999-12-29,31.5,33.88,31.5,33.5,20.5530941389,714100.0,0.0,1.0
1999-12-30,33.25,33.88,33.0,33.13,20.3260898156,464400.0,0.0,1.0
1999-12-31,32.94,33.69,32.81,33.56,20.7003401865,248100.0,0.18,1.0
2000-01-03,33.31,33.63,32.75,32.81,20.2377282932,551200.0,0.0,1.0
2000-01-04,32.5,32.56,31.25,31.81,19.6209124354,430100.0,0.0,1.0
2000-01-05,31.81,32.25,31.06,31.75,19.583903483900002,665300.0,0.0,1.0
2000-01-06,32.5,35.44,31.81,34.13,21.051925225399998,1373900.0,0.0,1.0
2000-01-07,34.19,37.0,33.69,36.5,22.5137788083,1199900.0,0.0,1.0
2000-01-10,35.0,35.63,33.75,34.25,21.125943128299998,973600.0,0.0,1.0
2000-01-11,34.0,34.63,32.44,32.69,20.1637103902,1166200.0,0.0,1.0
2000-01-12,33.0,33.81,32.75,33.25,20.5091272706,1473100.0,0.0,1.0
2000-01-13,33.06,34.0,33.0,33.0,20.354923306099998,444000.0,0.0,1.0
2000-01-14,33.0,33.31,32.25,32.38,19.9724974743,1187500.0,0.0,1.0
2000-01-18,32.13,32.38,30.75,30.81,19.0040965776,971400.0,0.0,1.0
2000-01-19,31.5,31.63,30.69,30.88,19.0472736877,814400.0,0.0,1.0
2000-01-20,30.63,30.63,29.75,29.88,18.4304578299,599500.0,0.0,1.0
2000-01-21,31.0,31.31,28.5,28.94,17.8506509236,923800.0,0.0,1.0
2000-01-24,30.75,30.75,29.38,30.19,18.6216707458,974600.0,0.0,1.0
2000-01-25,30.25,31.25,29.75,31.06,19.1583005421,1499500.0,0.0,1.0
2000-01-26,30.5,31.56,29.88,31.5,19.4296995195,998700.0,0.0,1.0
2000-01-27,30.88,31.19,30.44,30.88,19.0472736877,589200.0,0.0,1.0
2000-01-28,30.63,30.63,29.0,29.81,18.3872807199,861200.0,0.0,1.0
2000-01-31,30.06,30.06,29.44,29.63,18.2762538655,698600.0,0.0,1.0
2000-02-01,29.63,30.88,29.5,30.63,18.8930697232,663600.0,0.0,1.0
2000-02-02,30.63,30.75,30.06,30.38,18.7388657588,783600.0,0.0,1.0
2000-02-03,30.38,31.06,30.38,30.75,18.967087626199998,540100.0,0.0,1.0
2000-02-04,31.0,31.0,30.56,30.88,19.0472736877,439800.0,0.0,1.0
2000-02-07,30.88,31.0,30.5,30.81,19.0040965776,501700.0,0.0,1.0
2000-02-08,30.38,30.88,30.06,30.19,18.6216707458,436800.0,0.0,1.0
2000-02-09,29.81,30.0,28.63,28.63,17.6594380077,812400.0,0.0,1.0
2000-02-10,28.94,28.94,27.56,28.06,17.307852968800002,810800.0,0.0,1.0
2000-02-11,28.06,28.38,26.5,26.94,16.6170192081,666300.0,0.0,1.0
2000-02-14,27.5,28.69,27.25,28.69,17.6964469592,581600.0,0.0,1.0
2000-02-15,28.94,29.69,28.13,29.0,17.8876598751,615400.0,0.0,1.0
2000-02-16,28.94,29.25,27.94,28.06,17.307852968800002,503700.0,0.0,1.0
2000-02-17,28.38,28.94,27.5,28.5,17.5792519462,401000.0,0.0,1.0
2000-02-18,28.25,28.31,26.56,27.06,16.691037111,451100.0,0.0,1.0
2000-02-22,26.56,28.31,26.56,27.81,17.1536490043,762500.0,0.0,1.0
2000-02-23,28.0,28.06,27.13,27.19,16.7712231725,474100.0,0.0,1.0
2000-02-24,27.19,27.38,26.06,26.38,16.2716023277,983500.0,0.0,1.0
2000-02-25,26.63,26.75,26.0,26.13,16.117398363299998,1034400.0,0.0,1.0
2000-02-28,26.38,26.88,25.94,26.13,16.117398363299998,481300.0,0.0,1.0
2000-02-29,25.94,26.44,25.63,25.75,15.8830083374,971000.0,0.0,1.0
2000-03-01,25.75,26.13,25.31,25.94,16.0002033503,1885200.0,0.0,1.0
2000-03-02,25.94,26.0,25.44,25.5,15.728804372899999,1139700.0,0.0,1.0
2000-03-03,25.5,26.88,25.5,26.31,16.2284252177,2605800.0,0.0,1.0
2000-03-06,26.06,26.06,24.88,25.31,15.611609359900001,923700.0,0.0,1.0
2000-03-07,25.06,25.19,23.81,24.19,14.9207755993,1031500.0,0.0,1.0
2000-03-08,23.94,25.0,23.0,24.81,15.3032014311,1596300.0,0.0,1.0
2000-03-09,24.19,26.06,23.94,24.81,15.3032014311,731500.0,0.0,1.0
2000-03-10,25.25,25.75,24.38,24.94,15.3833874926,504500.0,0.0,1.0
2000-03-13,24.63,24.94,23.75,24.69,15.2291835281,963000.0,0.0,1.0
2000-03-14,24.69,25.19,24.06,24.88,15.346378541099998,988100.0,0.0,1.0
2000-03-15,24.94,27.88,24.75,27.38,16.8884181855,2144600.0,0.0,1.0
2000-03-16,27.63,30.31,27.63,29.69,18.3132628169,1471200.0,0.0,1.0
2000-03-17,29.63,29.69,27.06,27.56,16.9994450399,922000.0,0.0,1.0
2000-03-20,27.63,28.81,27.63,28.0,17.2708440173,795900.0,0.0,1.0
2000-03-21,27.75,28.56,27.38,28.5,17.5792519462,802200.0,0.0,1.0
2000-03-22,27.75,27.81,26.25,27.06,16.691037111,828200.0,0.0,1.0
2000-03-23,27.63,28.88,27.5,28.31,17.4620569332,836500.0,0.0,1.0
2000-03-24,27.75,29.12,27.75,28.94,17.8506509236,992000.0,0.0,1.0
2000-03-27,28.5,28.56,27.88,27.94,17.2338350659,583800.0,0.0,1.0
2000-03-28,27.88,29.0,27.88,28.06,17.307852968800002,650400.0,0.0,1.0
2000-03-29,27.94,28.75,27.56,28.44,17.5422429947,817000.0,0.0,1.0
2000-03-30,28.5,29.31,28.0,28.75,17.844482765,953500.0,0.18,1.0
2000-03-31,28.88,30.0,28.44,28.44,17.65207269,952000.0,0.0,1.0
2000-04-03,28.69,30.5,28.69,30.13,18.7010179378,810700.0,0.0,1.0
2000-04-04,30.5,30.63,29.0,29.75,18.4651604264,842300.0,0.0,1.0
2000-04-05,29.81,31.0,29.44,29.69,18.4279197667,786500.0,0.0,1.0
2000-04-06,29.56,30.44,29.13,29.56,18.3472316708,464500.0,0.0,1.0
2000-04-07,29.44,29.69,29.0,29.25,18.1548215957,444000.0,0.0,1.0
2000-04-10,29.31,30.19,29.0,29.44,18.272750351400003,359500.0,0.0,1.0
2000-04-11,29.44,31.31,29.44,30.94,19.2037668435,749000.0,0.0,1.0
2000-04-12,31.38,32.56,31.25,31.69,19.6692750895,1082900.0,0.0,1.0
2000-04-13,31.38,31.94,30.06,30.06,18.6575705015,642200.0,0.0,1.0
2000-04-14,30.06,30.44,28.75,28.94,17.962411520699998,813400.0,0.0,1.0
2000-04-17,29.06,30.0,28.94,29.88,18.5458485224,1022500.0,0.0,1.0
2000-04-18,29.88,29.88,28.38,29.38,18.2355096917,780000.0,0.0,1.0
2000-04-19,29.44,29.75,27.56,27.88,17.3044931996,761800.0,0.0,1.0
2000-04-20,27.81,30.38,27.81,29.88,18.5458485224,966300.0,0.0,1.0
2000-04-24,29.0,32.44,29.0,31.56,19.5885869936,1186000.0,0.0,1.0
2000-04-25,32.0,33.0,31.13,32.75,20.3271934106,1310900.0,0.0,1.0
2000-04-26,31.0,32.5,30.56,30.81,19.1230787475,1024100.0,0.0,1.0
2000-04-27,30.44,31.69,30.06,30.75,19.0858380878,578800.0,0.0,1.0
2000-04-28,30.0,31.38,30.0,31.06,19.2782481629,697000.0,0.0,1.0
2000-05-01,30.81,32.06,30.31,31.56,19.5885869936,608000.0,0.0,1.0
2000-05-02,31.31,32.25,31.19,32.06,19.8989258242,1113600.0,0.0,1.0
2000-05-03,31.63,31.63,30.5,30.56,18.9679093322,493300.0,0.0,1.0
2000-05-04,31.44,31.94,30.94,31.0,19.2410075032,471300.0,0.0,1.0
2000-05-05,30.5,31.81,30.5,31.38,19.4768650145,426200.0,0.0,1.0
2000-05-08,31.25,31.5,30.94,31.25,19.3961769185,604100.0,0.0,1.0
2000-05-09,31.0,31.13,30.31,30.31,18.812739916800002,1525400.0,0.0,1.0
2000-05-10,30.44,31.75,30.44,31.19,19.3589362588,928400.0,0.0,1.0
2000-05-11,33.0,35.0,32.88,34.75,21.5685487334,2731000.0,0.0,1.0
2000-05-12,33.5,36.0,33.19,35.75,22.1892263948,1522200.0,0.0,1.0
2000-05-15,34.5,35.69,34.19,34.81,21.6057893931,768200.0,0.0,1.0
2000-05-16,35.5,35.5,33.69,34.06,21.140281147,520600.0,0.0,1.0
2000-05-17,34.06,35.06,33.88,34.25,21.2582099027,839300.0,0.0,1.0
2000-05-18,34.25,35.25,34.25,34.97,21.705097818899997,499900.0,0.0,1.0
2000-05-19,34.75,36.31,34.69,36.0,22.344395810100004,748200.0,0.0,1.0
2000-05-22,36.25,37.25,36.19,36.59,22.7105956304,827700.0,0.0,1.0
