Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,59.88,60.25,58.5,59.5,3.3893800735000004,58400.0,0.0,1.0
1999-11-02,59.5,60.75,59.0,60.25,3.4321033517400004,60600.0,0.0,1.0
1999-11-03,60.38,61.25,59.5,59.75,3.40362116625,40000.0,0.0,1.0
1999-11-04,60.25,63.5,60.25,61.06,3.4782444922300004,100000.0,0.0,1.0
1999-11-05,61.0,62.0,61.0,61.56,3.5067266777199997,41600.0,0.0,1.0
1999-11-08,61.38,63.0,61.0,62.56,3.56369104871,53000.0,0.0,1.0
1999-11-09,62.56,63.69,62.56,63.69,3.62806078792,35800.0,0.0,1.0
1999-11-10,63.25,64.5,63.25,64.25,3.6599608356699997,44600.0,0.0,1.0
1999-11-11,64.25,64.44,64.0,64.31,3.6633786979300003,21200.0,0.0,1.0
1999-11-12,64.38,64.38,63.63,64.0,3.64571974292,55000.0,0.0,1.0
1999-11-15,64.0,69.25,64.0,68.0,3.8735772268599997,161200.0,0.0,1.0
1999-11-16,67.94,68.0,67.63,67.75,3.8593361341100003,11200.0,0.0,1.0
1999-11-17,67.69,67.75,67.69,67.75,3.8593361341100003,28800.0,0.0,1.0
1999-11-18,67.5,69.5,66.5,68.0,3.8735772268599997,345800.0,0.0,1.0
1999-11-19,68.0,68.0,66.5,66.5,3.7881306703800006,29200.0,0.0,1.0
1999-11-22,66.25,68.25,66.25,67.75,3.8593361341100003,36400.0,0.0,1.0
1999-11-23,67.63,68.44,67.0,67.88,3.8667415023400014,57400.0,0.0,1.0
1999-11-24,67.88,67.88,66.63,66.63,3.79553603861,36400.0,0.0,1.0
1999-11-26,66.63,66.63,65.69,66.13,3.7670538531199997,12600.0,0.0,1.0
1999-11-29,66.13,67.75,65.88,67.5,3.8450950413599996,58200.0,0.0,1.0
1999-11-30,67.5,68.5,67.5,68.31,3.89123618186,39000.0,0.0,1.0
1999-12-01,68.19,68.19,67.75,68.0,3.8735772268599997,34000.0,0.0,1.0
1999-12-02,68.0,68.5,68.0,68.19,3.8844004573400004,27200.0,0.0,1.0
1999-12-03,68.19,68.81,68.0,68.38,3.8952236878300006,29600.0,0.0,1.0
1999-12-06,68.5,69.0,68.5,68.75,3.91630050509,24800.0,0.0,1.0
1999-12-07,69.0,70.25,69.0,69.56,3.9624416455900002,123600.0,0.0,1.0
