Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2011-11-17,21.25,21.92,21.25,21.33,16.0872805391,17557500.0,0.0,1.0
2011-11-18,21.35,21.53,20.75,21.0,15.8383915294,2718500.0,0.0,1.0
2011-11-21,21.0,21.23,20.02,20.3,15.3104451451,2366400.0,0.0,1.0
2011-11-22,20.3,20.71,19.65,19.9,15.0087614969,2988700.0,0.0,1.0
2011-11-23,19.7,19.75,19.22,19.63,14.805125034400001,1061400.0,0.0,1.0
2011-11-25,19.55,19.82,19.5,19.65,14.8202092168,279600.0,0.0,1.0
2011-11-28,19.86,20.32,19.67,20.04,15.114350773699998,700300.0,0.0,1.0
2011-11-29,20.0,20.0,19.7,19.99,15.076640317699999,534000.0,0.0,1.0
2011-11-30,20.15,21.46,20.1216,20.84,15.7177180701,569700.0,0.0,1.0
2011-12-01,20.95,21.05,20.35,20.81,15.695091796500002,479900.0,0.0,1.0
2011-12-02,20.95,21.45,20.9,21.37,16.1174489039,584500.0,0.0,1.0
2011-12-05,21.45,21.91,21.4,21.77,16.4191325521,2067800.0,0.0,1.0
2011-12-06,21.64,22.25,21.61,22.13,16.6906478355,524100.0,0.0,1.0
2011-12-07,21.93,22.1,21.82,22.0,16.5926006498,157600.0,0.0,1.0
2011-12-08,21.72,21.94,21.62,21.69,16.3587958225,377900.0,0.0,1.0
2011-12-09,21.62,21.98,21.25,21.75,16.4040483697,492700.0,0.0,1.0
2011-12-12,21.4,21.59,21.25,21.51,16.2230381808,431500.0,0.0,1.0
2011-12-13,21.65,21.82,21.21,21.31,16.0721963567,558700.0,0.0,1.0
2011-12-14,21.08,21.19,20.55,20.64,15.566876246,1052600.0,0.0,1.0
2011-12-15,20.98,21.88,20.79,20.96,15.808223164500001,712900.0,0.0,1.0
2011-12-16,20.96,21.5,20.74,20.97,15.815765255799999,210300.0,0.0,1.0
2011-12-19,21.07,21.17,20.76,20.99,15.8308494382,149000.0,0.0,1.0
2011-12-20,21.43,21.69,21.17,21.5,16.215496089600002,320200.0,0.0,1.0
2011-12-21,21.37,21.68,21.29,21.4,16.1400751775,268600.0,0.0,1.0
2011-12-22,21.43,21.85,21.43,21.79,16.4342167345,374500.0,0.0,1.0
2011-12-23,21.82,22.45,21.63,21.94,16.5473481026,542500.0,0.0,1.0
2011-12-27,22.89,22.89,21.38,21.65,16.3286274577,443100.0,0.0,1.0
2011-12-28,21.77,21.82,21.09,21.19,15.9816912623,144800.0,0.0,1.0
2011-12-29,21.22,21.43,21.02,21.42,16.15515936,289100.0,0.0,1.0
2011-12-30,21.46,21.64,21.09,21.54,16.2456644544,128000.0,0.0,1.0
2012-01-03,22.11,22.93,21.7601,22.24,16.773610838699998,980300.0,0.0,1.0
2012-01-04,23.23,23.23,21.85,22.54,16.9998735749,393700.0,0.0,1.0
2012-01-05,22.44,22.44,21.76,22.14,16.6981899267,672500.0,0.0,1.0
2012-01-06,22.14,22.825,22.0,22.55,17.007415666099998,578900.0,0.0,1.0
2012-01-09,22.61,22.71,22.48,22.71,17.1280891253,418800.0,0.0,1.0
2012-01-10,22.92,24.0,22.92,23.83,17.9728033402,948800.0,0.0,1.0
2012-01-11,23.8,24.02,23.59,23.95,18.0633084347,227400.0,0.0,1.0
2012-01-12,24.1,25.0,23.85,24.69,18.6214231838,1013400.0,0.0,1.0
2012-01-13,24.53,25.3241,24.28,24.8,18.7043861871,540900.0,0.0,1.0
2012-01-17,24.95,25.13,24.27,24.36,18.3725341741,887800.0,0.0,1.0
2012-01-18,24.21,25.0,24.21,24.5,18.4781234509,569700.0,0.0,1.0
2012-01-19,24.68,25.17,24.59,25.07,18.9080226496,956500.0,0.0,1.0
2012-01-20,25.02,25.195,24.94,25.1,18.9306489232,532000.0,0.0,1.0
2012-01-23,25.18,25.83,25.08,25.48,19.217248389,489600.0,0.0,1.0
2012-01-24,25.3,25.87,25.18,25.81,19.4661373987,408100.0,0.0,1.0
2012-01-25,25.81,25.89,25.47,25.76,19.4284269427,603700.0,0.0,1.0
2012-01-26,25.85,26.64,25.1645,25.95,19.5717266756,801600.0,0.0,1.0
2012-01-27,26.96,27.4,26.17,27.16,20.4843197113,2554800.0,0.0,1.0
2012-01-30,27.15,27.55,26.57,27.08,20.4239829817,675200.0,0.0,1.0
2012-01-31,27.27,27.49,26.57,26.83,20.235430701600002,553600.0,0.0,1.0
2012-02-01,27.13,28.69,26.99,28.59,21.5628387536,713000.0,0.0,1.0
2012-02-02,28.13,29.04,27.87,28.97,21.849438219299998,571700.0,0.0,1.0
2012-02-03,29.24,31.03,29.22,30.75,23.1919304537,2728300.0,0.0,1.0
2012-02-06,30.62,30.78,29.9,30.52,23.018462356,1650400.0,0.0,1.0
2012-02-07,30.5,30.5,29.68,30.08,22.686610343,791900.0,0.0,1.0
2012-02-08,30.18,30.25,29.09,29.9,22.550852701300002,1511100.0,0.0,1.0
2012-02-09,29.99,30.02,29.42,29.8,22.4754317893,1509800.0,0.0,1.0
2012-02-10,29.49,30.165,29.36,30.04,22.6564419782,1489800.0,0.0,1.0
2012-02-13,30.01,30.25,29.93,30.01,22.6338157046,1477600.0,0.0,1.0
2012-02-14,29.19,29.49,28.75,29.06,21.9173170402,8621700.0,0.0,1.0
2012-02-15,29.24,29.81,29.13,29.38,22.1586639587,4789300.0,0.0,1.0
2012-02-16,29.5,30.79,29.36,30.32,22.867620531900002,4869500.0,0.0,1.0
2012-02-17,30.56,31.5,30.17,31.29,23.599203378800002,4487500.0,0.0,1.0
2012-02-21,32.91,32.98,30.34,30.93,23.3276880954,3841400.0,0.0,1.0
2012-02-22,31.05,31.35,30.31,31.02,23.3955669162,1451700.0,0.0,1.0
2012-02-23,31.17,31.4,30.56,31.0,23.3804827338,1172000.0,0.0,1.0
2012-02-24,30.95,31.75,30.8,31.39,23.6746242908,1117000.0,0.0,1.0
2012-02-27,31.39,31.63,31.03,31.29,23.599203378800002,2161700.0,0.0,1.0
2012-02-28,31.47,32.18,31.4,31.88,24.0441867598,1289800.0,0.0,1.0
2012-02-29,32.18,32.45,31.61,32.0,24.134691854299998,2462100.0,0.0,1.0
2012-03-01,32.13,32.49,31.37,32.0,24.134691854299998,2565300.0,0.0,1.0
2012-03-02,31.73,32.49,31.73,32.33,24.383580864000002,1627300.0,0.0,1.0
2012-03-05,32.3,32.629,31.35,31.64,23.863176570900002,1848400.0,0.0,1.0
2012-03-06,31.37,31.65,29.79,29.98,22.611189431,1050600.0,0.0,1.0
2012-03-07,29.8,30.87,29.8,30.01,22.6338157046,681500.0,0.0,1.0
2012-03-08,30.46,31.91,30.25,31.7,23.9084291181,3596200.0,0.0,1.0
2012-03-09,31.55,31.9,31.45,31.83,24.0064763038,640500.0,0.0,1.0
2012-03-12,31.91,32.3,31.54,31.92,24.0743551246,3487700.0,0.0,1.0
2012-03-13,32.04,32.06,31.67,31.95,24.0969813983,1291600.0,0.0,1.0
2012-03-14,31.86,32.29,31.05,31.78,23.968765847800004,1888600.0,0.0,1.0
2012-03-15,31.9,32.13,31.61,31.72,23.9235133005,1337300.0,0.0,1.0
2012-03-16,31.75,32.1,31.64,32.0,24.134691854299998,1708000.0,0.0,1.0
2012-03-19,31.93,32.06,31.48,31.55,23.7952977501,2131200.0,0.0,1.0
2012-03-20,31.15,31.49,30.64,31.14,23.486072010700003,1751200.0,0.0,1.0
2012-03-21,31.39,31.74,31.14,31.26,23.576577105100004,879700.0,0.0,1.0
2012-03-22,31.17,31.17,30.78,30.97,23.3578564602,384400.0,0.0,1.0
2012-03-23,30.93,31.08,30.39,30.97,23.3578564602,722200.0,0.0,1.0
2012-03-26,31.35,31.97,31.07,31.96,24.104523489499996,1234300.0,0.0,1.0
2012-03-27,32.23,32.61,31.71,31.91,24.066813033400003,1401600.0,0.0,1.0
2012-03-28,31.8,32.06,30.58,31.56,23.802839841300003,1451600.0,0.0,1.0
2012-03-29,32.4,32.4,31.4001,31.77,23.9612237566,1822300.0,0.0,1.0
2012-03-30,32.08,32.17,31.43,31.6,23.8330082061,10099000.0,0.0,1.0
2012-04-02,31.7,31.76,31.47,31.55,23.7952977501,2317300.0,0.0,1.0
2012-04-03,31.58,31.75,31.0,31.27,23.5841191963,1203700.0,0.0,1.0
2012-04-04,31.06,31.67,30.75,31.63,23.855634479699997,2185400.0,0.0,1.0
2012-04-05,31.5,32.0,31.5,31.76,23.9536816654,813000.0,0.0,1.0
2012-04-09,31.24,31.57,31.15,31.27,23.5841191963,1284700.0,0.0,1.0
