Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2009-08-06,16.5,16.91,15.56,16.18,12.9524933226,24197800.0,0.0,1.0
2009-08-07,16.15,16.76,16.03,16.43,13.152624554400001,2454300.0,0.0,1.0
2009-08-10,16.63,16.63,15.61,15.97,12.7843830878,2421000.0,0.0,1.0
2009-08-11,15.98,16.0,15.5,15.67,12.5442256097,2305400.0,0.0,1.0
2009-08-12,16.15,16.2,15.66,16.0,12.808398835699995,1451300.0,0.0,1.0
2009-08-13,16.0,16.72,16.0,16.55,13.2486875456,1150600.0,0.0,1.0
2009-08-14,16.5,17.0,16.25,16.6,13.288713792000001,637800.0,0.0,1.0
2009-08-17,16.27,16.37,16.2,16.22,12.9845143197,254400.0,0.0,1.0
2009-08-18,16.48,17.2,16.35,17.07,13.6649605078,1446700.0,0.0,1.0
2009-08-19,16.84,17.94,16.8,17.89,14.3213909481,2070800.0,0.0,1.0
2009-08-20,17.95,17.95,17.29,17.76,14.2173227076,1882100.0,0.0,1.0
2009-08-21,17.79,17.97,17.58,17.82,14.2653542032,863600.0,0.0,1.0
2009-08-24,17.52,17.85,17.3,17.5,14.0091862265,1021600.0,0.0,1.0
2009-08-25,17.65,17.9,17.55,17.85,14.289369951,530800.0,0.0,1.0
2009-08-26,17.69,17.85,17.15,17.85,14.289369951,708600.0,0.0,1.0
2009-08-27,17.85,18.21,17.55,18.16,14.5375326785,1161100.0,0.0,1.0
2009-08-28,18.1,19.0,18.0,18.47,14.785695405899999,1295000.0,0.0,1.0
2009-08-31,18.35,18.4,17.81,18.2,14.5695536756,1004800.0,0.0,1.0
2009-09-01,18.25,18.44,16.94,17.85,14.289369951,1383500.0,0.0,1.0
2009-09-02,17.76,18.25,17.48,17.68,14.1532807134,1293400.0,0.0,1.0
2009-09-03,17.97,17.97,17.0,17.45,13.9691599801,3657700.0,0.0,1.0
2009-09-04,17.75,17.9989,17.49,17.76,14.2173227076,1158600.0,0.0,1.0
2009-09-08,17.76,17.93,17.45,17.7,14.169291212000001,574900.0,0.0,1.0
2009-09-09,17.85,17.85,17.22,17.26,13.817060244,551200.0,0.0,1.0
2009-09-10,17.01,17.46,16.95,17.05,13.6489500093,415200.0,0.0,1.0
2009-09-11,17.0,17.33,16.54,16.88,13.512860771600002,620300.0,0.0,1.0
2009-09-14,16.64,16.8999,16.31,16.65,13.3287400384,1614500.0,0.0,1.0
2009-09-15,17.25,17.35,16.63,17.18,13.7530182498,1986900.0,0.0,1.0
2009-09-16,17.4,17.75,17.11,17.58,14.073228220699999,2021100.0,0.0,1.0
2009-09-17,17.66,17.9,16.53,16.64,13.320734789100001,1446400.0,0.0,1.0
2009-09-18,16.57,17.02,16.18,16.2,12.968503821099999,899900.0,0.0,1.0
