Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,65.25,65.63,63.88,63.94,12.1067528152,659000.0,0.0,1.0
1999-11-02,64.0,64.5,62.88,63.06,11.940128753900002,982900.0,0.0,1.0
1999-11-03,64.13,64.63,63.38,63.88,12.095392083699998,881400.0,0.0,1.0
1999-11-04,64.5,64.5,63.38,63.56,12.034801516,679400.0,0.0,1.0
1999-11-05,64.81,67.13,64.63,65.31,12.3661561833,866500.0,0.0,1.0
1999-11-08,65.38,65.94,64.25,64.5,12.212786308699998,412500.0,0.0,1.0
1999-11-09,64.75,64.75,62.88,63.69,12.059416434100001,686100.0,0.0,1.0
1999-11-10,63.63,63.75,63.06,63.19,11.964743672100001,801500.0,0.0,1.0
1999-11-11,63.38,65.19,63.31,64.56,12.2241470402,535400.0,0.0,1.0
1999-11-12,64.81,65.75,64.63,65.69,12.4381074825,593300.0,0.0,1.0
1999-11-15,64.63,65.75,64.56,65.75,12.449468213900001,615500.0,0.0,1.0
1999-11-16,65.63,68.13,65.63,67.63,12.8054377994,689400.0,0.0,1.0
1999-11-17,67.63,68.0,67.25,67.63,12.8054377994,808400.0,0.0,1.0
1999-11-18,68.63,69.63,65.0,67.0,12.6861501191,1431900.0,0.0,1.0
1999-11-19,67.0,69.25,67.0,68.75,13.017504786400002,1306300.0,0.0,1.0
1999-11-22,68.56,69.31,68.0,68.54,12.9777422264,396700.0,0.0,1.0
1999-11-23,68.13,68.25,65.75,65.88,12.4740831321,505200.0,0.0,1.0
1999-11-24,65.88,67.69,65.75,67.5,12.780822881199999,886300.0,0.0,1.0
1999-11-26,67.5,67.94,67.31,67.63,12.8054377994,258400.0,0.0,1.0
1999-11-29,67.63,68.0,67.25,67.94,12.8641349119,720800.0,0.0,1.0
1999-11-30,67.75,68.75,67.44,67.56,12.7921836127,1016000.0,0.0,1.0
1999-12-01,67.75,68.5,67.75,68.13,12.900110561400002,1348200.0,0.0,1.0
1999-12-02,67.94,68.0,66.88,67.69,12.8167985308,467800.0,0.0,1.0
1999-12-03,67.69,68.44,67.19,67.44,12.7694621498,741100.0,0.0,1.0
1999-12-06,67.69,67.69,65.75,65.94,12.485443863499999,661300.0,0.0,1.0
1999-12-07,65.88,65.94,63.5,64.31,12.176810659100001,915600.0,0.0,1.0
1999-12-08,63.75,63.94,61.69,62.63,11.913809726099998,1437700.0,0.29100000000000004,1.0
1999-12-09,62.75,62.81,62.13,62.38,11.8662534043,579300.0,0.0,1.0
1999-12-10,62.5,62.75,62.0,62.0,11.7939677952,704500.0,0.0,1.0
1999-12-13,62.5,62.63,61.5,62.05,11.8034790596,573700.0,0.0,1.0
1999-12-14,61.06,63.0,61.06,62.75,11.936636760499999,685800.0,0.0,1.0
1999-12-15,62.88,63.0,61.88,62.0,11.7939677952,984200.0,0.0,1.0
1999-12-16,61.88,62.0,59.0,60.31,11.4724870602,1400200.0,0.0,1.0
1999-12-17,60.31,60.62,59.62,60.44,11.4972163475,1497400.0,0.0,1.0
