Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,34.88,34.88,33.69,34.25,7.109007880739999,384600.0,0.0,1.0
1999-11-02,34.25,34.44,33.38,33.38,6.92842870245,372200.0,0.0,1.0
1999-11-03,33.0,33.0,31.63,32.13,6.668975860090001,639700.0,0.0,1.0
1999-11-04,32.13,33.38,32.13,32.81,6.81011820634,358400.0,0.0,1.0
1999-11-05,33.38,34.06,32.94,33.13,6.87653813398,309000.0,0.0,1.0
1999-11-08,33.31,33.31,31.44,31.63,6.56519472315,399000.0,0.0,1.0
1999-11-09,31.75,32.38,31.75,32.0,6.64199276449,390300.0,0.0,1.0
1999-11-10,31.25,31.44,30.94,30.94,6.42197675416,190000.0,0.0,1.0
1999-11-11,31.13,31.19,30.5,30.81,6.39499365856,158000.0,0.0,1.0
1999-11-12,30.81,33.25,30.38,33.0,6.849555038380001,374600.0,0.0,1.0
1999-11-15,32.88,32.88,32.25,32.63,6.77275699704,184600.0,0.0,1.0
1999-11-16,32.75,34.38,32.75,33.69,6.99277300736,413300.0,0.0,1.0
1999-11-17,33.25,33.38,32.5,32.88,6.82464756551,308700.0,0.0,1.0
1999-11-18,32.13,33.0,32.06,32.81,6.81011820634,188700.0,0.0,1.0
1999-11-19,32.88,33.63,32.63,33.63,6.980319270930001,409600.0,0.0,1.0
1999-11-22,33.19,33.63,32.94,33.44,6.940882438889999,467800.0,0.0,1.0
1999-11-23,33.56,34.19,32.31,32.94,6.83710130194,947100.0,0.0,1.0
1999-11-24,32.88,34.0,32.75,33.75,7.00522674379,1302400.0,0.0,1.0
1999-11-26,33.5,33.5,32.56,32.75,6.7976644699,226900.0,0.0,1.0
1999-11-29,32.0,32.38,31.06,31.56,6.550665363969999,396100.0,0.0,1.0
1999-11-30,31.5,32.44,31.31,31.44,6.52575789111,720000.0,0.0,1.0
1999-12-01,31.13,31.75,31.06,31.56,6.550665363969999,360900.0,0.0,1.0
1999-12-02,31.31,31.94,30.88,30.88,6.40952301773,261300.0,0.0,1.0
1999-12-03,31.13,32.56,31.13,32.0,6.64199276449,364400.0,0.0,1.0
1999-12-06,31.75,31.75,30.94,31.06,6.446884227030001,307500.0,0.0,1.0
1999-12-07,30.81,31.56,30.5,31.5,6.538211627540001,346900.0,0.0,1.0
1999-12-08,31.56,32.13,30.56,30.69,6.37008618569,360400.0,0.0,1.0
1999-12-09,30.69,31.5,30.69,31.19,6.47386732263,241200.0,0.0,1.0
1999-12-10,31.19,32.19,31.19,31.5,6.538211627540001,354100.0,0.0,1.0
1999-12-13,32.38,32.38,30.25,30.31,6.29121252161,1511400.0,0.0,1.0
1999-12-14,30.13,30.75,30.13,30.63,6.35763244926,704600.0,0.0,1.0
1999-12-15,30.5,31.31,30.44,30.81,6.39499365856,834400.0,0.0,1.0
1999-12-16,30.88,30.88,30.13,30.44,6.31819561722,592900.0,0.0,1.0
1999-12-17,30.38,31.12,30.19,31.06,6.446884227030001,1413400.0,0.0,1.0
1999-12-20,30.63,31.19,30.13,30.38,6.30574188078,872000.0,0.0,1.0
1999-12-21,30.63,30.94,30.13,30.81,6.39499365856,437000.0,0.0,1.0
1999-12-22,30.56,30.63,30.0,30.13,6.253851312309999,285700.0,0.0,1.0
1999-12-23,30.19,31.0,30.06,31.0,6.4344304906,595000.0,0.0,1.0
1999-12-27,30.75,31.38,30.69,30.75,6.38253992212,559300.0,0.0,1.0
1999-12-28,30.5,31.69,30.31,31.5,6.538211627540001,702000.0,0.0,1.0
1999-12-29,31.63,32.31,31.44,32.31,6.71879080582,247400.0,0.06,1.0
1999-12-30,32.06,32.38,31.69,32.19,6.693837079530001,161700.0,0.0,1.0
1999-12-31,32.44,32.44,32.0,32.06,6.6668038760399995,153100.0,0.0,1.0
2000-01-03,32.0,32.44,31.12,31.69,6.58986321995,396000.0,0.0,1.0
2000-01-04,31.63,31.75,30.56,31.13,6.47341249722,521900.0,0.0,1.0
2000-01-05,31.06,31.63,30.44,31.5,6.55035315331,820600.0,0.0,1.0
2000-01-06,31.56,34.38,31.56,33.56,6.97872545477,1209900.0,0.0,1.0
2000-01-07,34.56,34.56,33.0,33.81,7.03071238455,479900.0,0.0,1.0
2000-01-10,34.06,34.25,33.63,34.0,7.070222451189999,249600.0,0.0,1.0
2000-01-11,33.63,33.94,33.25,33.44,6.9537717284700005,275400.0,0.0,1.0
2000-01-12,33.06,33.81,33.06,33.56,6.97872545477,288200.0,0.0,1.0
2000-01-13,33.94,34.19,33.38,33.56,6.97872545477,965900.0,0.0,1.0
2000-01-14,33.56,33.69,32.81,33.38,6.94129486532,1694600.0,0.0,1.0
