Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,15.0,15.0,14.63,14.75,9.88685405945,41800.0,0.0,1.0
1999-11-02,14.75,14.88,14.31,14.75,9.88685405945,66600.0,0.0,1.0
1999-11-03,14.69,14.88,14.69,14.75,9.88685405945,18500.0,0.0,1.0
1999-11-04,14.88,15.13,14.5,14.94,10.0142101456,72100.0,0.0,1.0
1999-11-05,15.0,15.88,14.88,15.75,10.5571492499,122900.0,0.0,1.0
1999-11-08,15.88,17.38,15.81,16.63,11.1470090175,240000.0,0.0,1.0
1999-11-09,16.75,16.75,16.13,16.13,10.8118614223,42400.0,0.0,1.0
1999-11-10,16.0,16.13,15.81,16.06,10.764940759000002,59900.0,0.0,1.0
1999-11-11,16.06,16.25,16.06,16.13,10.8118614223,20000.0,0.0,1.0
1999-11-12,16.25,18.5,16.25,18.0,12.0653134285,248500.0,0.0,1.0
1999-11-15,18.19,18.19,17.5,17.69,11.8575219194,99200.0,0.0,1.0
1999-11-16,17.69,17.69,17.38,17.44,11.6899481218,95300.0,0.0,1.0
1999-11-17,17.69,18.25,17.25,17.5,11.7301658332,107900.0,0.0,1.0
1999-11-18,17.5,17.5,17.25,17.25,11.5625920356,67500.0,0.0,1.0
1999-11-19,17.25,17.75,17.19,17.63,11.817304208,31200.0,0.0,1.0
1999-11-22,17.56,17.88,17.56,17.81,11.9379573423,36500.0,0.0,1.0
1999-11-23,17.81,19.38,17.81,19.13,12.8227469937,65500.0,0.0,1.0
1999-11-24,19.0,19.0,18.38,18.56,12.4406787351,53800.0,0.0,1.0
1999-11-26,18.5,18.5,18.38,18.44,12.3602433123,2600.0,0.0,1.0
1999-11-29,18.38,18.38,17.88,18.13,12.1524518032,20200.0,0.0,1.0
1999-11-30,18.19,18.5,18.19,18.38,12.3200256009,38100.0,0.0,1.0
1999-12-01,18.38,18.63,18.25,18.56,12.4406787351,43800.0,0.0,1.0
1999-12-02,18.56,19.0,18.56,19.0,12.735608619,33200.0,0.0,1.0
1999-12-03,19.13,19.38,19.06,19.19,12.8629647051,62000.0,0.0,1.0
