Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,40.31,40.69,39.5,40.06,2.04714789042,90200.0,0.0,1.0
1999-11-02,40.31,40.31,39.44,39.75,2.03130625672,167900.0,0.0,1.0
1999-11-03,40.5,40.5,40.06,40.13,2.05072503351,81400.0,0.0,1.0
1999-11-04,40.19,40.38,39.06,39.44,2.01546462302,102600.0,0.0,1.0
1999-11-05,39.63,39.81,39.19,39.56,2.02159686832,148100.0,0.0,1.0
1999-11-08,39.31,40.06,39.25,39.81,2.03437237937,72300.0,0.0,1.0
1999-11-09,39.81,39.81,37.88,38.38,1.9612964561700001,275000.0,0.0,1.0
1999-11-10,38.38,40.31,37.75,39.75,2.03130625672,147500.0,0.0,1.0
1999-11-11,39.5,40.75,39.44,40.44,2.06656666721,153800.0,0.0,1.0
1999-11-12,40.44,40.81,38.25,39.13,1.9996229893200002,139300.0,0.0,1.0
1999-11-15,39.0,39.88,39.0,39.5,2.01853074567,204000.0,0.0,1.0
1999-11-16,39.69,39.88,39.38,39.44,2.01546462302,173600.0,0.0,1.0
1999-11-17,39.38,39.56,38.88,39.5,2.01853074567,95800.0,0.0,1.0
1999-11-18,39.38,40.56,38.94,39.31,2.00882135727,88400.0,0.0,1.0
1999-11-19,38.81,39.44,38.06,38.88,1.9868474782700003,169100.0,0.0,1.0
1999-11-22,39.13,39.31,38.06,38.13,1.9485209451199998,65200.0,0.0,1.0
1999-11-23,38.25,39.0,37.81,39.0,1.99297972357,169800.0,0.0,1.0
1999-11-24,38.63,38.63,37.88,38.19,1.95158706777,65600.0,0.0,1.0
1999-11-26,38.44,38.44,37.75,37.75,1.92910216833,19600.0,0.0,1.0
1999-11-29,37.81,38.31,37.44,37.44,1.9209258412599999,176100.0,0.15,1.0
1999-11-30,37.19,37.69,36.31,37.19,1.90809914627,159000.0,0.0,1.0
1999-12-01,36.94,38.0,36.25,37.75,1.9368309430400001,233900.0,0.0,1.0
1999-12-02,38.0,38.69,37.69,38.5,1.9753110280000001,134600.0,0.0,1.0
1999-12-03,38.75,39.44,38.75,39.19,2.01071270617,87300.0,0.0,1.0
1999-12-06,39.0,39.75,38.75,39.44,2.0235394011500003,112900.0,0.0,1.0
1999-12-07,39.19,39.94,38.81,39.38,2.02046099436,81100.0,0.0,1.0
1999-12-08,39.13,39.31,38.44,38.56,1.9783894348,43100.0,0.0,1.0
1999-12-09,38.44,38.63,37.19,37.44,1.9209258412599999,59800.0,0.0,1.0
1999-12-10,37.69,38.25,37.31,38.13,1.95632751942,79800.0,0.0,1.0
