Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,29.94,30.13,29.75,29.94,11.610735964100002,281400.0,0.0,1.0
1999-11-02,29.94,30.5,29.88,30.44,11.8046360303,309900.0,0.0,1.0
1999-11-03,30.5,30.69,30.38,30.63,11.8783180555,239500.0,0.0,1.0
1999-11-04,30.75,30.88,30.5,30.56,11.851172046199999,167700.0,0.0,1.0
1999-11-05,30.5,30.69,30.0,30.25,11.7309540052,132800.0,0.0,1.0
1999-11-08,30.0,30.0,29.31,29.5,11.4401039059,285100.0,0.0,1.0
1999-11-09,29.5,29.63,29.31,29.31,11.366421880699999,189100.0,0.0,1.0
1999-11-10,29.31,29.31,28.69,28.75,11.1492538066,1277000.0,0.0,1.0
1999-11-11,28.75,28.94,28.63,28.75,11.1492538066,94500.0,0.0,1.0
1999-11-12,28.88,28.88,28.56,28.63,11.1027177907,119800.0,0.0,1.0
1999-11-15,28.75,28.81,28.13,28.19,10.932085732400001,193700.0,0.0,1.0
1999-11-16,28.25,28.44,28.19,28.38,11.0057677576,137200.0,0.0,1.0
1999-11-17,28.31,28.75,28.25,28.63,11.1027177907,189600.0,0.0,1.0
1999-11-18,28.5,28.81,28.44,28.5,11.052303773499998,137000.0,0.0,1.0
1999-11-19,28.56,28.56,28.0,28.31,10.978621748299998,168000.0,0.0,1.0
1999-11-22,28.44,28.5,27.88,28.0,10.8584037073,610800.0,0.0,1.0
1999-11-23,28.0,28.0,27.5,27.63,10.714917658300001,142200.0,0.0,1.0
1999-11-24,27.75,28.31,27.75,28.25,10.9553537404,230400.0,0.0,1.0
1999-11-26,28.13,28.19,28.0,28.06,10.8816717152,17400.0,0.0,1.0
1999-11-29,28.25,28.38,28.06,28.25,10.9553537404,137600.0,0.0,1.0
1999-11-30,28.13,28.5,28.13,28.31,10.978621748299998,124600.0,0.0,1.0
1999-12-01,28.5,29.0,28.5,29.0,11.2462038397,255600.0,0.0,1.0
1999-12-02,29.0,29.06,28.81,29.06,11.2694718476,266200.0,0.0,1.0
