Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2020-03-19,12.0,12.0,12.0,12.0,11.9275483976,100.0,0.0,1.0
2020-03-20,13.0,13.0,12.0,12.75,12.6730201724,2348.0,0.0,1.0
2020-03-23,12.75,12.75,11.5,11.54,11.470325709,18710.0,0.0,1.0
2020-03-24,12.9,12.9,11.5,11.7,11.6293596877,96074.0,0.0,1.0
2020-03-25,11.8,13.45,11.8,13.45,13.368793829000001,19242.0,0.0,1.0
2020-03-26,14.0,15.45,14.0,15.45,15.356718561900001,76379.0,0.0,1.0
2020-03-27,15.0,16.0,14.55,14.55,14.4621524321,114014.0,0.0,1.0
2020-03-30,15.25,16.5,15.25,15.9,15.8040016268,209978.0,0.0,1.0
2020-03-31,16.39,17.25,14.56,17.25,17.1458508215,461468.0,0.0,1.0
2020-04-01,16.0,16.0,14.56,15.05,14.959133615299999,2998918.0,0.0,1.0
2020-04-02,15.66,15.9,12.12,13.28,13.1998202267,15965880.0,0.0,1.0
2020-04-03,13.75,17.0,13.38,16.92,16.8178432406,66927998.0,0.0,1.0
2020-04-06,17.06,17.15,14.85,15.44,15.3467789382,37134054.0,0.0,1.0
2020-04-07,15.2,15.8,14.55,15.25,15.157926088599998,23484053.0,0.0,1.0
2020-04-08,14.5,15.25,13.73,14.26,14.1739033458,49372245.0,0.0,1.0
2020-04-09,14.0,15.5,13.9,14.78,14.6907637764,34923923.0,0.0,1.0
2020-04-13,14.5,14.5,13.98,13.99,13.905533506900001,21496433.0,0.0,1.0
2020-04-14,14.0,14.2,13.78,13.87,13.7862580229,22348627.0,0.0,1.0
2020-04-15,13.53,13.655,12.94,13.36,13.279337215999998,14988852.0,0.0,1.0
2020-04-16,13.15,13.25,12.26,12.89,12.812174903699999,21687002.0,0.0,1.0
2020-04-17,13.3,13.83,12.93,13.74,13.6570429152,21332013.0,0.0,1.0
2020-04-20,13.5,14.74,13.475,14.45,14.3627561954,20020359.0,0.0,1.0
2020-04-21,14.22,15.25,14.18,14.69,14.6013071634,16233901.0,0.0,1.0
2020-04-22,14.95,15.16,14.22,14.79,14.700703400000002,12539535.0,0.0,1.0
2020-04-23,14.7,15.92,14.61,15.72,15.6250884008,12222199.0,0.0,1.0
2020-04-24,15.6,16.67,15.29,16.25,16.1518884551,17389952.0,0.0,1.0
