Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2010-06-15,32.8,33.75,32.3,32.49,26.93701757860001,17022500.0,0.0,1.0
2010-06-16,32.37,32.79,31.97,32.07,26.588801284899997,2158800.0,0.0,1.0
2010-06-17,32.35,32.48,31.25,31.5,26.116222029099998,1467700.0,0.0,1.0
2010-06-18,31.45,31.6494,30.76,31.01,25.709969686399997,1132200.0,0.0,1.0
2010-06-21,31.66,33.0,31.01,32.04,26.5639286925,1066900.0,0.0,1.0
2010-06-22,32.38,33.15,31.81,32.69,27.1028348613,1008800.0,0.0,1.0
2010-06-23,33.0,33.5,32.0,33.48,27.7578131281,1029400.0,0.0,1.0
2010-06-24,33.49,34.18,32.76,33.29,27.600286709499997,1600800.0,0.0,1.0
2010-06-25,33.3,33.35,32.07,32.07,26.588801284899997,640100.0,0.0,1.0
2010-06-28,32.47,33.05,31.76,32.78,27.1774526385,718200.0,0.0,1.0
2010-06-29,32.25,32.3,31.27,31.76,26.331784496599997,622300.0,0.0,1.0
2010-06-30,31.99,32.65,31.65,32.55,26.9867627634,402400.0,0.0,1.0
2010-07-01,32.25,32.5,30.0,30.31,25.1296091969,1023200.0,0.0,1.0
2010-07-02,30.25,31.0,30.02,30.86,25.5856067244,483700.0,0.0,1.0
2010-07-06,31.4,31.4,29.7,29.8,24.706775125900002,805200.0,0.0,1.0
2010-07-07,29.8,30.43,29.17,29.23,24.2341958702,583700.0,0.0,1.0
2010-07-08,29.05,30.32,28.45,29.01,24.0517968592,2176300.0,0.0,1.0
2010-07-09,29.22,29.3299,28.66,28.97,24.018633402600003,448600.0,0.0,1.0
2010-07-12,28.75,28.84,26.67,26.8,22.2195158851,1194500.0,0.0,1.0
2010-07-13,27.38,27.97,26.92,27.85,23.090056619400002,877900.0,0.0,1.0
2010-07-14,27.87,27.87,27.13,27.34,22.6672225484,885100.0,0.0,1.0
2010-07-15,27.2,27.25,26.1,26.5,21.970789960999998,642100.0,0.0,1.0
2010-07-16,26.26,27.15,26.215,26.45,21.929335640300003,708700.0,0.0,1.0
2010-07-19,26.93,26.93,26.06,26.49,21.9624990969,306000.0,0.0,1.0
2010-07-20,26.24,26.7,26.0,26.08,21.6225736673,490100.0,0.0,1.0
2010-07-21,26.11,27.08,26.11,26.61,22.061989466500002,854200.0,0.0,1.0
2010-07-22,26.9,27.6,26.75,27.03,22.4102057602,322600.0,0.0,1.0
2010-07-23,26.89,27.19,26.63,27.15,22.509696129800002,233300.0,0.0,1.0
2010-07-26,27.0,27.1399,26.11,26.5,21.970789960999998,631200.0,0.0,1.0
2010-07-27,26.41,27.65,26.25,27.19,22.5428595864,537900.0,0.0,1.0
2010-07-28,27.05,27.22,26.57,27.15,22.509696129800002,131300.0,0.0,1.0
2010-07-29,27.0,27.21,26.3,26.67,22.1117346513,296200.0,0.0,1.0
2010-07-30,26.47,27.19,26.32,26.6,22.053698602399997,220100.0,0.0,1.0
2010-08-02,27.14,27.63,26.68,27.54,22.833039831199997,356600.0,0.0,1.0
2010-08-03,27.34,27.63,27.15,27.25,22.592604771199998,254100.0,0.0,1.0
2010-08-04,27.3,27.5,26.65,26.71,22.144898107800003,412500.0,0.0,1.0
2010-08-05,26.26,26.26,24.24,24.8,20.5613430578,1554200.0,0.0,1.0
2010-08-06,24.25,24.355999999999998,23.12,23.8,19.7322566442,1221700.0,0.0,1.0
2010-08-09,24.0,24.19,23.53,23.97,19.8732013345,436800.0,0.0,1.0
2010-08-10,23.89,23.89,23.0,23.0,19.068987513299998,396600.0,0.0,1.0
2010-08-11,22.86,23.17,22.38,22.95,19.0275331926,578900.0,0.0,1.0
2010-08-12,22.94,23.55,22.7,23.31,19.3260043015,515200.0,0.0,1.0
2010-08-13,23.1,23.36,22.8,23.0,19.068987513299998,322000.0,0.0,1.0
2010-08-16,22.79,23.22,22.73,22.79,18.8948793665,190700.0,0.0,1.0
2010-08-17,22.87,23.15,22.46,23.12,19.1684778829,329500.0,0.0,1.0
2010-08-18,22.88,23.18,22.5,23.11,19.160187018800002,361500.0,0.0,1.0
2010-08-19,23.43,23.65,22.8,23.0,19.068987513299998,655000.0,0.0,1.0
2010-08-20,22.91,23.01,22.63,22.87,18.9612062795,326700.0,0.0,1.0
2010-08-23,22.78,23.2,22.78,23.0,19.068987513299998,279500.0,0.0,1.0
2010-08-24,22.5,22.67,21.25,21.79,18.0657929528,762400.0,0.0,1.0
2010-08-25,21.29,21.83,21.25,21.67,17.9663025832,242700.0,0.0,1.0
2010-08-26,21.76,22.28,21.25,21.28,17.6429588819,213900.0,0.0,1.0
2010-08-27,21.36,21.42,20.25,20.87,17.3030334523,378500.0,0.0,1.0
2010-08-30,20.87,21.17,20.35,20.62,17.0957618489,273200.0,0.0,1.0
2010-08-31,20.51,20.98,20.41,20.91,17.3361969088,110300.0,0.0,1.0
2010-09-01,21.06,21.9899,20.95,21.62,18.007756903900002,257000.0,0.1,1.0
2010-09-02,21.79,21.91,21.03,21.67,18.0494029652,143800.0,0.0,1.0
2010-09-03,21.75,22.43,21.55,22.17,18.4658635781,233400.0,0.0,1.0
2010-09-07,22.23,22.23,21.71,22.23,18.5158388517,188100.0,0.0,1.0
2010-09-08,22.22,22.58,21.81,22.05,18.365913030999998,263000.0,0.0,1.0
2010-09-09,22.51,22.51,21.51,21.8,18.1576827245,214400.0,0.0,1.0
2010-09-10,21.79,22.2482,21.701,21.94,18.2742916962,136100.0,0.0,1.0
2010-09-13,22.18,22.18,21.36,21.83,18.1826703613,237700.0,0.0,1.0
2010-09-14,21.57,22.66,21.52,22.17,18.4658635781,375100.0,0.0,1.0
2010-09-15,21.9,22.56,21.9,22.34,18.607460186500003,245800.0,0.0,1.0
2010-09-16,22.34,22.66,22.01,22.3,18.5741433375,327700.0,0.0,1.0
2010-09-17,22.3,22.85,22.25,22.46,18.7074107336,404600.0,0.0,1.0
2010-09-20,22.29,22.4,21.42,21.86,18.2076579981,379500.0,0.0,1.0
2010-09-21,21.93,21.98,21.38,21.52,17.924464781300003,298500.0,0.0,1.0
2010-09-22,21.61,21.84,21.2,21.33,17.766209748399998,256100.0,0.0,1.0
2010-09-23,21.06,21.22,20.58,20.58,17.1415188289,319600.0,0.0,1.0
2010-09-24,20.8,20.95,20.53,20.61,17.1665064657,237000.0,0.0,1.0
2010-09-27,20.66,21.31,20.38,21.07,17.5496502296,397100.0,0.0,1.0
2010-09-28,21.03,21.4691,20.84,21.31,17.749551323800002,204900.0,0.0,1.0
2010-09-29,21.35,21.4697,20.76,20.78,17.3081030741,298300.0,0.0,1.0
2010-09-30,20.97,21.0,19.6,20.2,16.825008763099998,1710100.0,0.0,1.0
2010-10-01,20.25,20.68,19.83,20.6,17.1581772535,480700.0,0.0,1.0
2010-10-04,20.57,20.69,20.02,20.39,16.983263796,271400.0,0.0,1.0
2010-10-05,20.47,20.93,20.32,20.83,17.3497491354,385200.0,0.0,1.0
2010-10-06,20.8,21.1,20.55,20.83,17.3497491354,179400.0,0.0,1.0
2010-10-07,20.83,20.9399,20.322,20.6,17.1581772535,176900.0,0.0,1.0
2010-10-08,20.57,20.99,20.5,20.85,17.3664075599,168900.0,0.0,1.0
2010-10-11,20.9,21.43,20.57,21.06,17.5413210174,279200.0,0.0,1.0
2010-10-12,21.06,22.38,21.0001,22.23,18.5158388517,608600.0,0.0,1.0
2010-10-13,22.48,22.8,22.1,22.21,18.4991804272,714000.0,0.0,1.0
2010-10-14,22.3,22.84,22.18,22.63,18.849007342,287000.0,0.0,1.0
2010-10-15,22.69,22.69,22.22,22.48,18.7240691581,250500.0,0.0,1.0
2010-10-18,22.45,23.49,22.351,23.2,19.3237724408,467600.0,0.0,1.0
2010-10-19,23.2,23.5,23.07,23.13,19.265467955,432900.0,0.0,1.0
2010-10-20,23.2,23.92,22.91,23.73,19.765220690499998,394200.0,0.0,1.0
2010-10-21,23.88,24.06,23.42,23.91,19.9151465112,243700.0,0.0,1.0
2010-10-22,24.04,24.61,23.99,24.54,20.439886883499998,454800.0,0.0,1.0
2010-10-25,24.62,24.98,24.25,24.37,20.2982902751,329600.0,0.0,1.0
2010-10-26,24.6,24.75,24.0,24.23,20.1816813035,161600.0,0.0,1.0
2010-10-27,24.0,24.21,23.9,24.17,20.1317060299,228400.0,0.0,1.0
2010-10-28,24.18,24.2399,23.56,24.0,19.9901094215,166400.0,0.0,1.0
2010-10-29,23.92,24.1906,23.92,24.01,19.998438633800003,195000.0,0.0,1.0
2010-11-01,24.03,24.5,23.13,23.59,19.6486117189,269800.0,0.0,1.0
2010-11-02,23.69,24.15,23.2301,24.11,20.081730756400002,279600.0,0.0,1.0
2010-11-03,24.06,24.25,23.6,24.0,19.9901094215,229500.0,0.0,1.0
2010-11-04,24.45,24.45,23.8,24.01,19.998438633800003,456600.0,0.0,1.0
2010-11-05,24.09,25.0,23.98,24.654,20.534839903199998,474200.0,0.0,1.0
2010-11-08,24.67,25.0,23.98,24.87,20.714750888,587400.0,0.0,1.0
2010-11-09,25.0,25.18,24.56,24.92,20.7563969493,499300.0,0.0,1.0
2010-11-10,25.0,25.18,24.61,24.84,20.6897632513,159100.0,0.0,1.0
2010-11-11,24.6,24.93,24.35,24.71,20.581483491900002,145900.0,0.0,1.0
2010-11-12,24.58,24.79,24.1,24.15,20.1150476054,127000.0,0.0,1.0
2010-11-15,24.1,24.5,24.05,24.34,20.2733026383,136700.0,0.0,1.0
2010-11-16,24.12,24.94,24.08,24.6,20.489862157,482000.0,0.0,1.0
2010-11-17,24.75,24.775,24.33,24.4,20.3232779119,120000.0,0.0,1.0
2010-11-18,24.55,24.8,24.39,24.71,20.581483491900002,142100.0,0.0,1.0
2010-11-19,24.71,25.3,24.274,25.02,20.8396890719,327900.0,0.0,1.0
2010-11-22,24.9,24.95,24.59,24.8,20.6564464022,151000.0,0.0,1.0
2010-11-23,24.5,24.9,24.5,24.69,20.5648250674,104600.0,0.0,1.0
2010-11-24,24.49,24.49,23.1,23.88,19.8901588744,533700.0,0.0,1.0
2010-11-26,23.73,24.57,23.36,23.5,19.573648808599998,95700.0,0.0,1.0
2010-11-29,23.5,23.85,23.22,23.63,19.6819285679,198700.0,0.0,1.0
2010-11-30,23.53,23.83,23.42,23.79,19.815195964100003,397000.0,0.0,1.0
2010-12-01,23.95,24.33,23.9,23.91,19.998438633800003,350500.0,0.1,1.0
2010-12-02,23.91,24.34,23.91,24.34,20.3580926954,177900.0,0.0,1.0
2010-12-03,24.07,24.45,24.01,24.4,20.408276983,162200.0,0.0,1.0
2010-12-06,24.4,25.16,24.2,24.82,20.759566996700002,192900.0,0.0,1.0
2010-12-07,25.06,25.06,24.39,24.79,20.7344748528,133900.0,0.0,1.0
2010-12-08,24.71,24.77,24.0604,24.23,20.266088168,231300.0,0.0,1.0
2010-12-09,24.35,24.4,23.3,23.53,19.6806048119,305300.0,0.0,1.0
2010-12-10,23.47,23.6499,22.9,22.97,19.212218127,388600.0,0.0,1.0
2010-12-13,22.92,23.29,22.57,23.01,19.245674318800003,436100.0,0.0,1.0
2010-12-14,22.95,23.42,22.65,22.95,19.1954900312,376600.0,0.0,1.0
2010-12-15,22.75,23.4,22.54,22.86,19.1202135997,411200.0,0.0,1.0
2010-12-16,22.92,23.16,22.0,22.035,18.4301796443,861100.0,0.0,1.0
2010-12-17,21.94,22.28,21.78,22.11,18.4929100039,636300.0,0.0,1.0
2010-12-20,22.11,22.32,21.795,22.2,18.5681864354,429200.0,0.0,1.0
2010-12-21,22.25,22.295,22.02,22.2,18.5681864354,486300.0,0.0,1.0
2010-12-22,22.17,22.31,22.01,22.1,18.4845459559,504300.0,0.0,1.0
2010-12-23,22.02,22.55,22.01,22.42,18.7521954901,406200.0,0.0,1.0
2010-12-27,22.29,22.62,22.29,22.43,18.7605595381,237500.0,0.0,1.0
2010-12-28,22.25,23.2,22.25,23.04,19.2707664627,481400.0,0.0,1.0
2010-12-29,23.15,23.15,22.63,22.69,18.9780247846,192400.0,0.0,1.0
2010-12-30,22.51,22.97,22.5,22.73,19.0114809764,339200.0,0.0,1.0
2010-12-31,22.65,22.99,22.65,22.86,19.1202135997,269700.0,0.0,1.0
2011-01-03,23.02,23.85,22.88,23.75,19.8646138667,576400.0,0.0,1.0
2011-01-04,23.69,24.15,23.63,23.82,19.9231622023,505600.0,0.0,1.0
