Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2013-06-27,17.64,18.75,17.38,18.37,17.062955522,8285800.0,0.0,1.0
2013-06-28,18.4,19.17,18.38,18.62,17.2951677637,717400.0,0.0,1.0
2013-07-01,18.65,18.9,18.34,18.34,17.035090053,394200.0,0.0,1.0
2013-07-02,18.34,19.643,18.2633,19.22,17.8524771438,223800.0,0.0,1.0
2013-07-03,18.99,19.205,18.67,19.08,17.722438288499998,103700.0,0.0,1.0
2013-07-05,18.8,19.36,18.55,19.22,17.8524771438,111800.0,0.0,1.0
2013-07-08,19.05,19.48,18.86,19.23,17.8617656335,110500.0,0.0,1.0
2013-07-09,19.13,19.92,19.06,19.5,18.1125548546,206400.0,0.0,1.0
2013-07-10,19.47,19.95,19.05,19.1,17.741015267799998,334900.0,0.0,1.0
2013-07-11,19.05,19.65,19.05,19.58,18.1868627719,108800.0,0.0,1.0
2013-07-12,19.23,19.54,19.21,19.51,18.121843344200002,114600.0,0.0,1.0
2013-07-15,19.36,19.75,19.22,19.56,18.1682857926,177300.0,0.0,1.0
2013-07-16,19.04,20.65,19.04,20.1,18.6698642347,239300.0,0.0,1.0
2013-07-17,20.01,20.47,19.72,20.37,18.9206534558,139200.0,0.0,1.0
2013-07-18,20.5,20.995,20.064,20.83,19.3479239805,162000.0,0.0,1.0
2013-07-19,21.0,21.3916,20.77,20.84,19.3572124702,631400.0,0.0,1.0
2013-07-22,20.6,20.7,20.22,20.34,18.892787986800002,492900.0,0.0,1.0
2013-07-23,20.29,20.69,20.0001,20.22,18.7813261107,41500.0,0.0,1.0
2013-07-24,20.23,20.69,20.05,20.57,19.1064232491,43600.0,0.0,1.0
2013-07-25,20.34,21.98,20.0001,21.98,20.4161002925,232400.0,0.0,1.0
2013-07-26,22.12,22.14,21.05,21.59,20.053849195399998,141300.0,0.0,1.0
2013-07-29,21.5,22.0,21.06,21.7,20.1560225817,85200.0,0.0,1.0
2013-07-30,21.71,21.8,20.8,21.6,20.063137685,94600.0,0.0,1.0
2013-07-31,21.79,21.79,21.19,21.5,19.9702527884,52500.0,0.0,1.0
2013-08-01,21.45,21.799,21.165,21.66,20.1188686231,181600.0,0.0,1.0
2013-08-02,21.67,22.5,21.17,22.43,20.8340823276,224500.0,0.0,1.0
2013-08-05,22.43,23.0,22.26,22.79,21.1684679557,104800.0,0.0,1.0
2013-08-06,22.83,23.1,22.59,22.81,21.187044935,419400.0,0.0,1.0
2013-08-07,22.8,22.99,22.64,22.95,21.317083790399998,82800.0,0.0,1.0
2013-08-08,23.0,23.1,22.8,23.07,21.4285456664,74100.0,0.0,1.0
2013-08-09,22.85,23.12,22.85,23.05,21.4099686871,67400.0,0.0,1.0
2013-08-12,22.85,23.2,22.85,23.16,21.512142073400003,116200.0,0.0,1.0
2013-08-13,23.14,23.55,22.85,23.4,21.7350658255,102400.0,0.0,1.0
2013-08-14,23.3,23.4,23.15,23.36,21.6979118668,72100.0,0.0,1.0
2013-08-15,23.4,23.4,22.8,23.0,21.3635262387,280100.0,0.0,1.0
2013-08-16,22.98,23.09,22.8,23.05,21.4099686871,82200.0,0.0,1.0
2013-08-19,23.0,23.14,22.695999999999998,23.09,21.4471226457,196100.0,0.0,1.0
2013-08-20,23.07,23.75,22.87,23.11,21.4656996251,138000.0,0.0,1.0
2013-08-21,23.07,23.3,22.8,23.03,21.3913917077,89000.0,0.0,1.0
2013-08-22,23.05,23.295,22.85,23.01,21.372814728399998,52600.0,0.0,1.0
2013-08-23,22.96,23.31,22.87,23.27,21.6143154598,38900.0,0.0,1.0
