Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2005-08-11,16.25,16.55,16.0,16.2,2.4884667804400005,15334300.0,0.0,1.0
2005-08-12,16.25,18.0,16.25,17.93,2.75421045514,5822700.0,0.0,1.0
2005-08-15,17.75,17.85,17.26,17.3,2.65743674702,2119300.0,0.0,1.0
2005-08-16,16.9,17.3,16.9,17.15,2.63439538794,1028200.0,0.0,1.0
2005-08-17,17.15,17.2,16.8,16.85,2.5883126697799996,1284700.0,0.0,1.0
2005-08-18,16.95,16.98,16.25,16.35,2.51150813952,2545400.0,0.0,1.0
2005-08-19,16.49,16.69,16.25,16.6,2.54991040465,605900.0,0.0,1.0
2005-08-22,16.65,17.02,16.41,17.0,2.6113540288599997,581900.0,0.0,1.0
2005-08-23,17.5,17.94,17.3,17.56,2.6973751027499997,2693200.0,0.0,1.0
2005-08-24,17.5,17.75,17.33,17.5,2.68815855912,616600.0,0.0,1.0
2005-08-25,17.7,17.74,17.4,17.46,2.6820141967,933400.0,0.0,1.0
2005-08-26,17.55,17.61,17.4,17.47,2.6835502873,540800.0,0.0,1.0
2005-08-29,16.9,17.18,16.84,17.0,2.6113540288599997,1091600.0,0.0,1.0
2005-08-30,17.11,17.39,16.95,17.03,2.61596230067,516200.0,0.0,1.0
2005-08-31,17.06,17.06,16.61,16.79,2.57909612615,600900.0,0.0,1.0
2005-09-01,16.85,16.85,15.53,16.25,2.49614723347,2493700.0,0.0,1.0
2005-09-02,16.41,16.58,16.01,16.07,2.46849760257,1149700.0,0.0,1.0
2005-09-06,16.2,16.45,16.17,16.4,2.51918859255,545300.0,0.0,1.0
2005-09-07,16.41,16.43,16.02,16.19,2.4869306898400003,728700.0,0.0,1.0
2005-09-08,16.25,16.52,16.25,16.32,2.5068998677,511700.0,0.0,1.0
2005-09-09,16.55,16.6,16.42,16.57,2.54530213283,493700.0,0.0,1.0
2005-09-12,16.45,16.52,16.01,16.09,2.4715697837799997,660100.0,0.0,1.0
2005-09-13,16.12,16.12,15.7,15.88,2.4393118810799996,759700.0,0.0,1.0
2005-09-14,15.75,15.87,15.65,15.72,2.4147344313900003,411100.0,0.0,1.0
2005-09-15,15.75,15.81,15.03,15.1,2.31949681387,1200800.0,0.0,1.0
2005-09-16,15.06,15.34,14.55,15.32,2.35329080718,1911000.0,0.0,1.0
2005-09-19,15.25,15.95,15.19,15.5,2.38094043808,1111800.0,0.0,1.0
2005-09-20,15.5,16.03,15.45,15.8,2.4270231562299998,835600.0,0.0,1.0
2005-09-21,15.7,15.7,14.7,15.0,2.30413590782,1662700.0,0.0,1.0
2005-09-22,15.0,15.07,14.5,14.51,2.22886746816,1436800.0,0.0,1.0
2005-09-23,14.5,15.7,14.48,15.59,2.39476525352,966100.0,0.0,1.0
2005-09-26,15.6,15.8,15.25,15.5,2.38094043808,1565300.0,0.0,1.0
2005-09-27,15.45,15.56,15.34,15.46,2.37479607566,901000.0,0.0,1.0
2005-09-28,15.38,15.38,14.98,15.15,2.32717726689,611000.0,0.0,1.0
2005-09-29,15.19,15.5,14.82,15.0,2.30413590782,1228200.0,0.0,1.0
2005-09-30,15.05,15.1,14.66,14.81,2.27495018632,2421800.0,0.0,1.0
2005-10-03,14.85,14.85,14.35,14.5,2.2273313775599997,855800.0,0.0,1.0
2005-10-04,14.45,14.5,14.03,14.07,2.16127948153,400400.0,0.0,1.0
2005-10-05,14.0,14.0,12.825,13.15,2.01995914585,2165200.0,0.0,1.0
2005-10-06,13.2,13.49,13.1,13.41,2.05989750159,824200.0,0.0,1.0
2005-10-07,13.8,13.8,13.46,13.5,2.0737223170299997,434900.0,0.0,1.0
2005-10-10,13.57,13.64,12.44,12.55,1.9277937095400002,488600.0,0.0,1.0
2005-10-11,12.65,12.65,12.01,12.15,1.86635008533,651300.0,0.0,1.0
2005-10-12,12.12,12.18,11.8001,11.94,1.8340921826199998,509100.0,0.0,1.0
2005-10-13,11.93,11.93,11.19,11.3,1.7357823838900004,711000.0,0.0,1.0
2005-10-14,11.34,12.5,11.32,12.36,1.8986079880400002,1445900.0,0.0,1.0
2005-10-17,12.36,12.39,12.1,12.2,1.87403053836,601400.0,0.0,1.0
2005-10-18,12.2,12.2,11.94,12.0,1.84330872625,515000.0,0.0,1.0
2005-10-19,12.1,12.26,11.94,12.16,1.86788617594,1010400.0,0.0,1.0
2005-10-20,12.2,13.09,12.19,12.82,1.96926815588,1513700.0,0.0,1.0
2005-10-21,12.83,13.07,12.77,12.96,1.99077342435,805900.0,0.0,1.0
2005-10-24,12.96,13.2,12.96,13.13,2.0168869646400003,432000.0,0.0,1.0
2005-10-25,13.23,13.41,13.08,13.2,2.02763959888,525900.0,0.0,1.0
2005-10-26,13.15,13.35,12.95,13.09,2.01074260222,567900.0,0.0,1.0
2005-10-27,13.05,13.18,12.95,13.0,1.99691778677,162000.0,0.0,1.0
2005-10-28,13.2,13.46,13.2,13.35,2.0506809579599996,332900.0,0.0,1.0
2005-10-31,13.5,13.99,13.5,13.82,2.1228772164,783000.0,0.0,1.0
2005-11-01,14.15,14.25,13.55,13.6,2.0890832230900003,566000.0,0.0,1.0
2005-11-02,13.62,13.75,13.25,13.54,2.07986667946,691000.0,0.0,1.0
2005-11-03,13.4,13.5,13.21,13.3,2.04300050493,363000.0,0.0,1.0
2005-11-04,13.3,13.78,13.22,13.4,2.05836141098,520100.0,0.0,1.0
2005-11-07,13.4,13.81,13.36,13.53,2.07833058885,356700.0,0.0,1.0
