Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,26.38,26.94,26.31,26.38,3.37383019865,219267.0,0.0,1.0
1999-11-02,26.75,28.13,26.75,28.06,3.58869125755,121867.0,0.0,1.0
1999-11-03,28.13,29.5,27.75,28.0,3.5810176483,336400.0,0.0,1.0
1999-11-04,28.13,29.38,28.0,29.38,3.7575106609699995,157800.0,0.0,1.0
1999-11-05,29.75,30.13,28.63,29.06,3.72553728911,245200.0,0.07,1.0
1999-11-08,29.06,29.06,28.0,28.5,3.65374441636,90267.0,0.0,1.0
1999-11-09,28.38,28.69,28.19,28.38,3.63836022935,56600.0,0.0,1.0
1999-11-10,28.38,28.94,28.13,28.31,3.62938612025,86400.0,0.0,1.0
1999-11-11,28.44,28.69,28.25,28.63,3.6704106189599996,70000.0,0.0,1.0
1999-11-12,28.63,29.5,28.63,29.44,3.7742538813199995,188800.0,0.0,1.0
1999-11-15,29.56,29.75,29.06,29.75,3.81399636445,94800.0,0.0,1.0
1999-11-16,29.63,30.19,29.38,30.19,3.87040505018,159467.0,0.0,1.0
1999-11-17,30.0,30.13,29.13,29.81,3.82168845796,191867.0,0.0,1.0
1999-11-18,29.56,29.94,29.19,29.75,3.81399636445,113000.0,0.0,1.0
1999-11-19,29.63,29.69,29.25,29.56,3.78963806834,92600.0,0.0,1.0
1999-11-22,29.56,29.88,29.44,29.56,3.78963806834,47400.0,0.0,1.0
1999-11-23,29.63,29.94,28.56,28.56,3.6614365098699997,157067.0,0.0,1.0
1999-11-24,28.56,29.31,28.44,28.75,3.685794805980002,131000.0,0.0,1.0
1999-11-26,28.88,28.88,28.69,28.81,3.69348689949,31867.0,0.0,1.0
1999-11-29,28.69,28.69,26.94,27.88,3.5742594501099996,117067.0,0.0,1.0
1999-11-30,27.88,28.38,27.63,28.0,3.5896436371300005,89800.0,0.0,1.0
1999-12-01,28.0,28.0,27.69,28.0,3.5896436371300005,81200.0,0.0,1.0
1999-12-02,28.0,28.06,28.0,28.06,3.5973357306400002,197800.0,0.0,1.0
1999-12-03,28.13,28.13,27.88,28.0,3.5896436371300005,100600.0,0.0,1.0
1999-12-06,28.0,28.0,27.69,27.88,3.5742594501099996,107600.0,0.0,1.0
1999-12-07,27.81,27.81,26.63,27.19,3.48580037477,102467.0,0.0,1.0
1999-12-08,27.06,27.44,26.75,27.19,3.48580037477,98467.0,0.0,1.0
1999-12-09,27.13,27.13,26.31,26.38,3.38195711241,81600.0,0.0,1.0
1999-12-10,26.5,26.5,25.75,26.13,3.3499067227900015,107400.0,0.0,1.0
1999-12-13,25.75,26.63,25.56,26.19,3.3575988163,119267.0,0.0,1.0
1999-12-14,25.94,25.94,25.63,25.63,3.28580594356,71267.0,0.0,1.0
1999-12-15,25.69,26.31,25.56,26.13,3.3499067227900015,86000.0,0.0,1.0
1999-12-16,26.31,27.13,26.31,27.13,3.47810828126,135067.0,0.0,1.0
1999-12-17,26.87,27.75,26.69,27.25,3.49349246828,121600.0,0.0,1.0
1999-12-20,27.0,27.44,26.81,27.25,3.49349246828,77600.0,0.0,1.0
1999-12-21,27.25,27.44,26.94,27.44,3.51785076439,87667.0,0.0,1.0
1999-12-22,27.44,28.13,27.44,27.75,3.55759324751,155467.0,0.0,1.0
1999-12-23,27.94,29.0,27.88,28.19,3.61400193324,109000.0,0.0,1.0
1999-12-27,28.44,28.5,27.25,27.69,3.5499011539999996,68400.0,0.0,1.0
1999-12-28,27.56,27.75,26.25,26.88,3.44605789164,88400.0,0.0,1.0
1999-12-29,26.94,26.94,26.56,26.69,3.4216995955400002,70667.0,0.0,1.0
1999-12-30,26.63,26.75,25.75,26.25,3.36529090981,229067.0,0.0,1.0
1999-12-31,26.44,26.94,25.94,26.69,3.4216995955400002,76267.0,0.0,1.0
2000-01-03,27.06,27.19,25.25,26.0,3.33324052019,119867.0,0.0,1.0
2000-01-04,26.0,26.19,25.19,25.38,3.25375555394,136067.0,0.0,1.0
2000-01-05,25.5,25.75,25.25,25.44,3.2614476474500003,127800.0,0.0,1.0
2000-01-06,25.38,26.38,25.25,26.25,3.36529090981,161667.0,0.0,1.0
2000-01-07,26.25,27.25,26.25,27.25,3.49349246828,78400.0,0.0,1.0
2000-01-10,27.38,27.44,26.56,26.88,3.44605789164,51067.0,0.0,1.0
2000-01-11,27.0,27.13,26.44,26.63,3.41400750203,99867.0,0.0,1.0
2000-01-12,26.69,26.88,25.94,26.13,3.3499067227900015,69200.0,0.0,1.0
2000-01-13,26.63,27.38,26.13,27.31,3.50118456179,89067.0,0.0,1.0
2000-01-14,27.25,27.75,27.0,27.06,3.4691341721699995,93667.0,0.0,1.0
2000-01-18,26.94,26.94,25.25,26.19,3.3575988163,87467.0,0.0,1.0
2000-01-19,26.06,26.13,25.5,25.88,3.3178563331800004,47800.0,0.0,1.0
2000-01-20,26.0,26.13,25.44,25.75,3.3011901305699998,46667.0,0.0,1.0
2000-01-21,25.81,25.81,24.75,24.81,3.1806806656099997,90600.0,0.0,1.0
2000-01-24,24.81,25.06,23.94,24.31,3.1165798863800003,105867.0,0.0,1.0
2000-01-25,24.25,24.5,21.75,22.88,2.93325165777,232600.0,0.0,1.0
2000-01-26,23.13,23.38,23.0,23.31,2.98837832791,69600.0,0.0,1.0
2000-01-27,23.75,23.94,22.88,22.94,2.9409437512800003,97467.0,0.0,1.0
2000-01-28,23.13,23.38,22.13,22.19,2.8447925824299998,99400.0,0.0,1.0
2000-01-31,22.25,22.63,21.69,22.06,2.82812637982,104600.0,0.0,1.0
2000-02-01,22.19,22.19,20.56,20.56,2.6358240421200003,197867.0,0.0,1.0
2000-02-02,20.75,21.81,20.75,21.25,2.7242831174599997,125467.0,0.0,1.0
2000-02-03,21.5,21.81,20.44,20.69,2.65249024472,121667.0,0.0,1.0
2000-02-04,20.81,20.88,19.81,20.25,2.596081559,108400.0,0.0,1.0
2000-02-07,20.0,20.13,19.38,19.38,2.48454620313,207667.0,0.0,1.0
2000-02-08,19.0,19.69,17.0,18.25,2.3486525511500003,388267.0,0.07,1.0
2000-02-09,18.0,18.0,15.25,16.44,2.11571769539,886000.0,0.0,1.0
2000-02-10,16.5,17.25,15.75,16.38,2.1079960979599996,532067.0,0.0,1.0
2000-02-11,16.38,16.75,15.63,15.94,2.0513710501599998,240667.0,0.0,1.0
2000-02-14,16.31,16.81,16.19,16.81,2.16333421287,260000.0,0.0,1.0
2000-02-15,17.06,18.5,17.06,18.5,2.38082587377,243867.0,0.0,1.0
2000-02-16,18.38,19.69,17.38,18.06,2.3242008259599998,241200.0,0.0,1.0
2000-02-17,18.19,18.31,17.5,18.06,2.3242008259599998,100800.0,0.0,1.0
2000-02-18,17.88,18.31,17.0,17.06,2.1955075354900004,141467.0,0.0,1.0
2000-02-22,16.94,17.56,16.69,17.19,2.21223766325,106800.0,0.0,1.0
2000-02-23,17.63,17.63,17.25,17.31,2.2276808581,139267.0,0.0,1.0
2000-02-24,17.25,17.5,16.81,16.88,2.1723427431999998,123200.0,0.0,1.0
2000-02-25,16.81,17.0,16.56,16.63,2.14016942058,86667.0,0.0,1.0
2000-02-28,16.75,17.38,16.31,17.19,2.21223766325,170067.0,0.0,1.0
2000-02-29,17.13,17.63,17.06,17.06,2.1955075354900004,241667.0,0.0,1.0
2000-03-01,17.06,17.5,16.88,17.06,2.1955075354900004,112800.0,0.0,1.0
2000-03-02,17.06,17.31,16.81,16.94,2.18006434063,104467.0,0.0,1.0
2000-03-03,16.88,17.63,16.88,17.63,2.2688627110599997,327600.0,0.0,1.0
2000-03-06,17.88,18.13,17.56,17.88,2.30103603368,174200.0,0.0,1.0
2000-03-07,17.75,17.81,17.0,17.13,2.20451606582,174667.0,0.0,1.0
2000-03-08,17.13,17.63,16.81,16.81,2.16333421287,168267.0,0.0,1.0
2000-03-09,16.94,17.44,16.88,16.94,2.18006434063,141600.0,0.0,1.0
2000-03-10,16.44,16.63,14.94,14.94,1.92267775968,318400.0,0.0,1.0
2000-03-13,15.0,15.5,14.69,15.0,1.93039935711,273200.0,0.0,1.0
2000-03-14,15.0,15.38,14.75,14.81,1.90594763192,270067.0,0.0,1.0
2000-03-15,14.94,15.44,14.69,15.19,1.9548510822999998,292800.0,0.0,1.0
2000-03-16,15.31,16.5,15.25,15.75,2.02691932497,403667.0,0.0,1.0
2000-03-17,15.38,16.13,15.25,15.31,1.9702942771599998,258467.0,0.0,1.0
2000-03-20,15.25,16.06,14.75,16.0,2.05909264758,458000.0,0.0,1.0
2000-03-21,15.88,15.94,15.38,15.94,2.0513710501599998,141200.0,0.0,1.0
2000-03-22,15.88,16.0,15.63,15.81,2.0346409223900004,64267.0,0.0,1.0
2000-03-23,15.75,16.63,15.69,16.13,2.07582277535,124400.0,0.0,1.0
2000-03-24,16.19,16.31,15.31,15.38,1.97930280749,158467.0,0.0,1.0
2000-03-27,15.5,15.63,15.25,15.25,1.9625726797299998,84200.0,0.0,1.0
2000-03-28,15.38,15.38,15.0,15.0,1.93039935711,249600.0,0.0,1.0
2000-03-29,15.13,15.38,15.0,15.06,1.9381209545400002,101800.0,0.0,1.0
2000-03-30,15.19,16.88,15.19,16.44,2.11571769539,209200.0,0.0,1.0
2000-03-31,16.5,17.5,16.31,17.19,2.21223766325,306800.0,0.0,1.0
2000-04-03,17.19,17.88,16.56,17.88,2.30103603368,122867.0,0.0,1.0
2000-04-04,17.88,17.94,16.69,17.06,2.1955075354900004,109400.0,0.0,1.0
2000-04-05,16.88,17.38,16.75,17.06,2.1955075354900004,77400.0,0.0,1.0
2000-04-06,17.0,17.19,16.63,16.69,2.14789101801,54800.0,0.0,1.0
2000-04-07,16.63,16.69,16.38,16.5,2.12343929282,99467.0,0.0,1.0
2000-04-10,16.63,17.25,16.63,17.0,2.1877859380599998,85467.0,0.0,1.0
2000-04-11,17.25,17.25,16.69,16.81,2.16333421287,58200.0,0.0,1.0
2000-04-12,16.94,17.38,16.5,16.63,2.14016942058,219067.0,0.0,1.0
2000-04-13,16.75,17.25,16.63,17.13,2.20451606582,107800.0,0.0,1.0
2000-04-14,17.06,17.06,16.06,16.38,2.1079960979599996,201600.0,0.0,1.0
