Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,40.81,43.88,40.62,42.88,24.684310606999997,1264200.0,0.0,1.0
1999-11-02,42.31,43.31,41.44,41.81,24.0683541622,936300.0,0.0,1.0
1999-11-03,41.81,41.81,40.12,40.81,23.4926939335,683800.0,0.0,1.0
1999-11-04,41.0,41.5,40.56,40.56,23.348778876399997,728100.0,0.0,1.0
1999-11-05,41.12,41.38,40.06,40.25,23.170324205500002,454000.0,0.0,1.0
1999-11-08,40.38,41.25,40.25,40.31,23.2048638192,395200.0,0.0,1.0
1999-11-09,43.75,44.5,42.5,43.12,24.8224690618,1816600.0,0.0,1.0
1999-11-10,44.0,46.5,43.94,45.94,26.445830906799998,1936100.0,0.0,1.0
1999-11-11,46.0,47.0,45.06,45.12,25.9737895193,1520900.0,0.0,1.0
1999-11-12,45.31,45.56,44.0,45.06,25.939249905500002,537800.0,0.0,1.0
1999-11-15,45.31,45.81,44.5,45.38,26.123461178699998,567000.0,0.0,1.0
1999-11-16,46.38,47.56,46.31,47.31,27.234485420100004,747600.0,0.0,1.0
1999-11-17,47.25,50.31,47.25,49.0,28.2073512066,1451900.0,0.0,1.0
1999-11-18,49.31,49.38,46.75,47.19,27.1654061927,1247300.0,0.0,1.0
1999-11-19,45.62,45.69,44.12,45.0,25.904710291799997,1410100.0,0.0,1.0
1999-11-22,45.25,45.25,43.62,44.25,25.472965120300003,1417500.0,0.0,1.0
1999-11-23,44.75,45.5,44.25,44.69,25.7262556209,857100.0,0.0,1.0
1999-11-24,45.12,45.25,44.56,45.0,25.904710291799997,796500.0,0.0,1.0
1999-11-26,44.75,44.81,44.25,44.38,25.54780095,307700.0,0.0,1.0
1999-11-29,43.25,43.69,42.94,43.44,25.006680335,979900.0,0.0,1.0
1999-11-30,44.0,45.25,44.0,44.56,25.6514197912,1128800.0,0.0,1.0
1999-12-01,44.81,45.25,44.31,44.31,25.507504734,794100.0,0.0,1.0
1999-12-02,45.0,45.25,44.25,44.75,25.7607952346,498000.0,0.0,1.0
1999-12-03,45.31,47.44,45.12,46.81,26.9466553058,1480200.0,0.0,1.0
1999-12-06,50.0,50.0,48.0,48.19,27.7410664214,2269500.0,0.0,1.0
1999-12-07,48.19,49.5,47.94,49.5,28.495181321,1099200.0,0.0,1.0
1999-12-08,49.5,49.5,48.81,49.06,28.2418908204,1006800.0,0.0,1.0
1999-12-09,49.06,49.31,48.12,49.12,28.2764304341,527000.0,0.0,1.0
1999-12-10,49.25,49.38,48.25,48.56,27.954060706,1207200.0,0.0,1.0
1999-12-13,49.0,49.88,49.0,49.44,28.4606417073,1334500.0,0.0,1.0
1999-12-14,50.12,53.0,49.94,51.25,29.5025867212,2197400.0,0.0,1.0
1999-12-15,51.31,52.25,50.5,51.38,29.577422550999998,1309700.0,0.0,1.0
1999-12-16,51.12,51.12,49.5,50.25,28.9269264925,1280300.0,0.0,1.0
1999-12-17,51.12,52.5,50.25,52.06,29.9688715065,1387200.0,0.0,1.0
1999-12-20,51.81,51.81,47.88,50.38,29.0017623223,2152300.0,0.0,1.0
1999-12-21,50.0,52.06,49.5,51.88,29.8652526653,1203800.0,0.0,1.0
1999-12-22,51.62,56.0,50.62,54.12,31.154731577600003,1442300.0,0.0,1.0
1999-12-23,53.94,53.94,50.5,53.5,30.7978222358,977300.0,0.0,1.0
1999-12-27,53.12,53.25,50.62,51.12,29.4277508915,1154900.0,0.0,1.0
1999-12-28,51.06,51.44,49.5,49.81,28.6736359919,858400.0,0.0,1.0
1999-12-29,49.94,51.0,49.25,50.88,29.2895924366,435100.0,0.0,1.0
1999-12-30,50.62,52.25,50.31,50.75,29.2147566069,422300.0,0.0,1.0
1999-12-31,50.75,50.75,49.62,50.38,29.0017623223,142400.0,0.0,1.0
2000-01-03,49.75,49.88,48.75,49.19,28.3167266501,721300.0,0.0,1.0
2000-01-04,48.75,49.0,47.56,47.88,27.5626117505,614000.0,0.0,1.0
2000-01-05,48.12,50.25,47.5,49.12,28.2764304341,743400.0,0.0,1.0
2000-01-06,47.56,50.5,47.06,49.56,28.5297209347,1038500.0,0.0,1.0
2000-01-07,49.75,52.88,49.19,52.31,30.1127865637,1013300.0,0.0,1.0
2000-01-10,52.81,53.25,51.38,51.75,29.7904168356,445400.0,0.0,1.0
2000-01-11,50.94,52.75,50.38,52.25,30.0782469499,882600.0,0.0,1.0
2000-01-12,52.0,52.62,51.0,52.19,30.043707336199997,657500.0,0.0,1.0
2000-01-13,52.81,56.38,52.0,55.0,31.6613125789,2040300.0,0.0,1.0
2000-01-14,54.12,55.5,53.75,54.25,31.229567407399998,938500.0,0.0,1.0
2000-01-18,52.88,53.75,52.19,52.75,30.366077064299997,733900.0,0.0,1.0
2000-01-19,53.25,53.25,50.25,51.94,29.899792279,1142200.0,0.0,1.0
2000-01-20,53.5,53.5,50.62,52.0,29.934331892800003,851000.0,0.0,1.0
2000-01-21,52.0,52.0,49.88,50.62,29.1399207771,1225200.0,0.0,1.0
2000-01-24,50.5,50.56,48.5,48.88,28.138271979200002,1138800.0,0.0,1.0
2000-01-25,48.88,49.94,45.94,47.25,27.1999458064,1151600.0,0.0,1.0
2000-01-26,47.44,48.12,47.38,47.81,27.5223155345,579500.0,0.0,1.0
2000-01-27,49.75,49.75,46.75,47.25,27.3150778521,1877800.0,0.2,1.0
2000-01-28,48.0,48.0,45.0,46.88,27.101182004400002,1265100.0,0.0,1.0
2000-01-31,46.88,48.38,46.88,47.75,27.604126295,1083400.0,0.0,1.0
2000-02-01,47.69,48.19,47.12,48.0,27.7486505165,1054000.0,0.0,1.0
2000-02-02,47.94,49.94,47.88,48.31,27.9278605511,1077300.0,0.0,1.0
2000-02-03,48.5,49.19,45.5,46.62,26.9508768141,1224900.0,0.0,1.0
2000-02-04,46.06,46.75,43.19,43.88,25.3668913471,1816500.0,0.0,1.0
2000-02-07,42.0,43.38,41.81,42.69,24.6789560531,1296700.0,0.0,1.0
2000-02-08,43.5,45.56,42.88,45.0,26.014359859200002,1128200.0,0.0,1.0
2000-02-09,45.38,45.5,44.62,44.81,25.904521450900003,1096400.0,0.0,1.0
2000-02-10,44.56,44.56,41.62,41.88,24.2106975756,853000.0,0.0,1.0
2000-02-11,41.81,41.88,39.56,40.5,23.4129238733,1540100.0,0.0,1.0
2000-02-14,40.56,41.12,39.69,40.94,23.667286503000003,913600.0,0.0,1.0
2000-02-15,41.25,41.62,39.69,41.0,23.7019723161,1114000.0,0.0,1.0
2000-02-16,40.88,41.69,40.25,40.62,23.4822954996,728200.0,0.0,1.0
2000-02-17,41.0,41.5,40.31,40.81,23.5921339079,890100.0,0.0,1.0
2000-02-18,40.0,40.31,38.25,39.0,22.5457785446,1267400.0,0.0,1.0
2000-02-22,39.12,39.75,38.56,39.31,22.7249885792,945100.0,0.0,1.0
2000-02-23,39.25,40.5,38.94,39.56,22.8695128007,1225400.0,0.0,1.0
2000-02-24,40.25,40.25,37.75,38.81,22.4359401363,1066500.0,0.0,1.0
2000-02-25,38.56,38.75,36.44,37.31,21.5687948077,974700.0,0.0,1.0
2000-02-28,37.12,39.5,37.06,39.0,22.5457785446,967200.0,0.0,1.0
2000-02-29,39.06,42.0,39.0,40.44,23.378238060100003,1423100.0,0.0,1.0
2000-03-01,40.94,41.19,40.0,40.12,23.193247056700002,717000.0,0.0,1.0
2000-03-02,40.25,40.81,40.0,40.25,23.2683996518,659500.0,0.0,1.0
2000-03-03,40.62,41.5,40.19,41.19,23.8118107244,851100.0,0.0,1.0
2000-03-06,40.69,40.88,40.0,40.06,23.1585612435,673400.0,0.0,1.0
2000-03-07,38.5,38.5,34.56,36.25,20.9560121088,3258600.0,0.0,1.0
2000-03-08,36.19,36.38,31.5,33.38,19.2968740467,4021000.0,0.0,1.0
2000-03-09,33.5,34.5,33.0,33.81,19.5454557075,1583200.0,0.0,1.0
2000-03-10,32.5,32.56,29.06,29.88,17.2735349465,4337100.0,0.0,1.0
2000-03-13,29.88,30.81,29.5,30.62,17.701326642,2371300.0,0.0,1.0
2000-03-14,31.0,31.25,29.88,29.88,17.2735349465,1388100.0,0.0,1.0
2000-03-15,30.75,34.5,30.12,33.56,19.4009314861,2451600.0,0.0,1.0
2000-03-16,34.12,38.25,33.81,36.62,21.1699079565,2741100.0,0.0,1.0
2000-03-17,36.88,36.88,34.0,35.12,20.302762627899998,1403400.0,0.0,1.0
2000-03-20,34.62,34.94,33.0,33.94,19.6206083027,920800.0,0.0,1.0
2000-03-21,34.38,36.5,33.5,36.44,21.0658505171,1196400.0,0.0,1.0
2000-03-22,36.25,36.38,34.19,34.75,20.0888667802,1579000.0,0.0,1.0
2000-03-23,34.75,35.56,33.62,35.56,20.5571252576,1397800.0,0.0,1.0
2000-03-24,35.56,35.88,31.62,33.0,19.0771972301,2484100.0,0.0,1.0
2000-03-27,32.75,32.88,29.94,30.44,17.5972692025,3173600.0,0.0,1.0
2000-03-28,30.38,31.38,30.38,31.38,18.1406802751,1990900.0,0.0,1.0
2000-03-29,31.5,32.62,31.31,32.06,18.5337861575,1556900.0,0.0,1.0
2000-03-30,32.06,33.0,31.62,32.5,18.7881487872,1645100.0,0.0,1.0
2000-03-31,32.44,33.81,32.31,33.0,19.0771972301,1311700.0,0.0,1.0
2000-04-03,32.38,35.19,32.38,34.56,19.9790283719,1453400.0,0.0,1.0
2000-04-04,34.56,36.38,33.5,35.44,20.487753631300002,1834600.0,0.0,1.0
2000-04-05,36.0,36.56,34.12,35.5,20.5224394445,1788300.0,0.0,1.0
2000-04-06,35.38,35.44,34.12,34.56,19.9790283719,1132200.0,0.0,1.0
2000-04-07,35.38,35.75,34.81,35.62,20.5918110708,844800.0,0.0,1.0
2000-04-10,35.62,36.31,35.06,36.0,20.8114878873,995500.0,0.0,1.0
2000-04-11,36.12,37.31,35.62,37.31,21.5687948077,966600.0,0.0,1.0
2000-04-12,37.81,41.5,37.56,40.06,23.1585612435,2217400.0,0.0,1.0
2000-04-13,39.81,40.81,38.5,40.44,23.378238060100003,1206800.0,0.0,1.0
2000-04-14,40.44,40.44,35.38,35.88,20.742116261099998,1234600.0,0.0,1.0
2000-04-17,37.88,40.75,37.5,40.62,23.4822954996,1685800.0,0.0,1.0
2000-04-18,40.06,40.12,37.81,38.19,22.0775200672,1206600.0,0.0,1.0
2000-04-19,35.94,37.5,35.94,36.38,21.0311647039,953600.0,0.0,1.0
2000-04-20,36.38,37.81,36.38,37.12,21.4589563994,647000.0,0.0,1.0
2000-04-24,37.81,38.94,37.62,38.0,21.9676816589,833800.0,0.0,1.0
2000-04-25,38.0,38.06,36.5,37.25,21.5341089945,896600.0,0.0,1.0
2000-04-26,37.06,37.06,34.5,34.81,20.2391719704,1148400.0,0.2,1.0
2000-04-27,34.25,38.62,33.56,37.56,21.8380723703,2592900.0,0.0,1.0
2000-04-28,37.62,37.62,36.31,36.75,21.3671235253,1453500.0,0.0,1.0
2000-05-01,36.5,37.19,35.56,36.88,21.4427079078,983000.0,0.0,1.0
2000-05-02,35.5,36.44,35.5,36.25,21.0764143616,725700.0,0.0,1.0
2000-05-03,36.0,36.94,35.38,35.62,20.710120815499998,840400.0,0.0,1.0
2000-05-04,35.62,36.75,35.5,36.12,21.0008299791,444400.0,0.0,1.0
2000-05-05,35.81,36.94,35.56,36.56,21.2566540431,395200.0,0.0,1.0
2000-05-08,36.0,37.94,35.75,37.31,21.692717788499998,917700.0,0.0,1.0
2000-05-09,37.62,39.25,37.38,38.94,22.6404296619,837800.0,0.0,1.0
2000-05-10,39.0,40.25,38.88,39.56,23.000909024699997,1173700.0,0.0,1.0
2000-05-11,39.69,41.44,39.25,41.19,23.9486208981,801200.0,0.0,1.0
2000-05-12,41.0,41.0,39.0,39.69,23.0764934073,843800.0,0.0,1.0
2000-05-15,40.81,40.81,39.0,39.5,22.966023925100004,764700.0,0.0,1.0
2000-05-16,39.62,39.69,38.31,38.38,22.3148353986,986800.0,0.0,1.0
2000-05-17,38.56,40.19,38.56,39.56,23.000909024699997,1058700.0,0.0,1.0
2000-05-18,39.31,41.0,39.31,40.81,23.7276819338,563800.0,0.0,1.0
