Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2002-12-06,39.0,43.2,38.9,42.9,5.18820938911,5510200.0,0.0,1.0
2002-12-09,42.7,42.8,41.14,42.02,5.08178458113,629900.0,0.0,1.0
2002-12-10,42.05,43.3,41.65,42.75,5.17006879684,344600.0,0.0,1.0
2002-12-11,42.7,45.5,42.3,45.06,5.4494339177999995,509800.0,0.0,1.0
2002-12-12,45.06,45.06,43.6,43.91,5.310356043730001,271100.0,0.0,1.0
2002-12-13,43.91,43.97,43.25,43.65,5.27891235046,197500.0,0.0,1.0
2002-12-16,43.5,43.75,42.95,43.1,5.21239684547,159600.0,0.0,1.0
2002-12-17,43.0,44.0,42.8,43.27,5.232956183380001,329200.0,0.0,1.0
2002-12-18,43.2,43.2,42.55,42.67,5.1603938143,148400.0,0.0,1.0
2002-12-19,42.55,42.7,42.17,42.3,5.11564702003,136800.0,0.0,1.0
2002-12-20,42.4,44.6,42.0,44.45,5.3756621759000005,180900.0,0.0,1.0
2002-12-23,44.35,44.55,43.35,43.4,5.24867803001,127700.0,0.0,1.0
2002-12-24,43.6,43.6,42.96,43.05,5.20634998138,43600.0,0.0,1.0
2002-12-26,43.1,43.15,42.55,42.6,5.15192820457,65000.0,0.0,1.0
2002-12-27,42.5,42.5,41.75,42.0,5.0793658355,166100.0,0.0,1.0
2002-12-30,42.3,42.85,42.1,42.32,5.11806576567,215300.0,0.0,1.0
2002-12-31,42.27,43.8,42.27,43.66,5.28012172328,355600.0,0.0,1.0
2003-01-02,43.66,43.95,43.45,43.72,5.28737796019,63000.0,0.0,1.0
2003-01-03,43.72,45.8,43.52,45.8,5.53892750633,172300.0,0.0,1.0
2003-01-06,45.03,48.35,45.03,48.1,5.81708325446,374900.0,0.0,1.0
2003-01-07,48.0,48.6,47.25,48.02,5.807408271919999,276600.0,0.0,1.0
2003-01-08,48.03,48.27,47.67,48.01,5.8061988991,82200.0,0.0,1.0
2003-01-09,48.1,49.2,47.66,49.05,5.93197367217,129800.0,0.0,1.0
2003-01-10,48.85,49.35,48.71,48.99,5.92471743526,168800.0,0.0,1.0
