Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,50.69,50.94,49.56,50.19,7.657768469600001,260000.0,0.0,1.0
1999-11-02,51.0,51.5,50.81,50.81,7.752365330549999,180400.0,0.0,1.0
1999-11-03,47.5,47.5,45.31,46.0,7.01847678026,733200.0,0.0,1.0
1999-11-04,46.0,46.5,44.13,44.56,6.7987679419300004,507100.0,0.0,1.0
1999-11-05,44.94,44.94,43.69,44.0,6.71332561591,337200.0,0.0,1.0
1999-11-08,43.94,43.94,42.56,43.13,6.58058485941,233700.0,0.0,1.0
1999-11-09,43.13,43.13,41.5,41.56,6.341041195390001,247500.0,0.0,1.0
1999-11-10,41.5,43.25,41.25,42.38,6.4661531727699995,338600.0,0.0,1.0
1999-11-11,43.0,43.0,42.19,42.25,6.44631834709,398900.0,0.0,1.0
1999-11-12,42.0,42.19,41.25,41.94,6.3990199166199995,272400.0,0.0,1.0
1999-11-15,41.69,43.5,41.25,43.38,6.61872875495,274400.0,0.0,1.0
1999-11-16,43.13,44.25,43.13,43.88,6.69501654604,178400.0,0.0,1.0
1999-11-17,43.75,43.94,42.19,42.31,6.4554728820200005,321800.0,0.0,1.0
1999-11-18,42.5,42.75,40.63,42.63,6.5042970683200005,362800.0,0.0,1.0
1999-11-19,42.63,43.56,42.0,42.75,6.5226061381800005,231700.0,0.0,1.0
1999-11-22,42.88,43.5,42.63,43.25,6.598893929269999,196900.0,0.0,1.0
1999-11-23,43.63,43.63,42.56,43.13,6.58058485941,203000.0,0.0,1.0
1999-11-24,43.0,43.25,41.63,42.19,6.43716381216,130200.0,0.0,1.0
1999-11-26,42.38,44.0,41.75,42.13,6.42800927723,61000.0,0.0,1.0
1999-11-29,41.69,42.31,41.5,41.75,6.41580323066,180400.0,0.3,1.0
1999-11-30,41.5,41.5,40.0,40.5,6.22371331357,354100.0,0.0,1.0
1999-12-01,40.25,40.5,39.5,39.56,6.07926169592,264700.0,0.0,1.0
1999-12-02,39.81,40.56,39.56,39.63,6.09001873128,175500.0,0.0,1.0
1999-12-03,39.69,39.81,38.5,39.06,6.0024257290900005,418200.0,0.0,1.0
1999-12-06,39.88,40.44,39.56,39.84,6.12228983735,238800.0,0.0,1.0
1999-12-07,40.19,41.0,40.0,40.25,6.18529533015,303800.0,0.0,1.0
1999-12-08,40.0,40.19,39.19,40.0,6.14687734674,208500.0,0.0,1.0
1999-12-09,40.0,40.88,39.88,40.75,6.26213129699,351700.0,0.0,1.0
1999-12-10,40.75,41.44,40.75,41.13,6.32052663178,248700.0,0.0,1.0
1999-12-13,41.13,41.69,41.06,41.44,6.36816493122,149900.0,0.0,1.0
1999-12-14,41.44,41.75,40.94,41.31,6.348187579839999,314900.0,0.0,1.0
1999-12-15,41.44,41.94,41.31,41.94,6.445000898049999,379100.0,0.0,1.0
1999-12-16,41.94,43.06,41.69,43.0,6.6078931477400005,176500.0,0.0,1.0
1999-12-17,42.75,42.81,41.88,42.0,6.4542212140699995,185600.0,0.0,1.0
1999-12-20,42.5,42.5,41.06,41.38,6.3589446151999995,130100.0,0.0,1.0
