Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,80.0,81.38,78.5,78.56,27.7288833598,2191100.0,0.0,1.0
1999-11-02,79.5,81.88,79.38,80.56,28.434812162199997,2050200.0,0.0,1.0
1999-11-03,80.94,83.63,80.75,81.31,28.6995354631,2344800.0,0.0,1.0
1999-11-04,82.56,83.94,81.13,81.38,28.7242429712,3217400.0,0.0,1.0
1999-11-05,82.25,85.63,82.25,85.5,30.1784563042,2590500.0,0.0,1.0
1999-11-08,84.5,86.5,83.63,86.5,30.5314207055,1799200.0,0.0,1.0
1999-11-09,85.94,85.94,84.13,85.25,30.090215203899998,2587700.0,0.0,1.0
1999-11-10,85.19,86.88,83.0,85.19,30.069037339899996,2411800.0,0.0,1.0
1999-11-11,85.19,89.5,85.13,89.5,31.590313909099997,3338100.0,0.0,1.0
1999-11-12,90.0,90.63,88.75,88.88,31.3714759804,3856000.0,0.0,1.0
1999-11-15,88.69,89.0,86.75,87.25,30.7961440064,1658300.0,0.0,1.0
1999-11-16,87.75,88.0,86.31,87.06,30.7290807701,1695000.0,0.0,1.0
1999-11-17,86.81,87.38,85.25,86.06,30.3761163689,1594500.0,0.0,1.0
1999-11-18,86.06,86.06,85.0,86.0,30.354938504899998,1177600.0,0.0,1.0
1999-11-19,85.63,85.69,83.81,85.38,30.136100576100002,1253000.0,0.0,1.0
1999-11-22,85.44,85.5,82.75,82.81,29.228982065,1392900.0,0.0,1.0
1999-11-23,83.38,87.38,83.25,85.84,30.298464200700003,2563600.0,0.0,1.0
1999-11-24,85.5,87.5,85.31,87.13,30.753788278200002,1098000.0,0.0,1.0
1999-11-26,87.13,88.94,87.0,88.5,31.2373495079,605100.0,0.0,1.0
1999-11-29,88.56,92.5,88.5,92.31,32.5821438765,2792700.0,0.0,1.0
1999-11-30,92.13,92.75,91.38,91.69,32.3633059478,1906300.0,0.0,1.0
1999-12-01,91.44,97.19,90.63,95.44,33.6869224524,3095600.0,0.0,1.0
1999-12-02,94.38,95.88,88.0,95.63,33.753985688600004,5018800.0,0.0,1.0
1999-12-03,96.25,98.75,96.25,98.69,34.8340567563,4081400.0,0.0,1.0
1999-12-06,98.06,98.69,96.19,98.0,34.590511319499996,1621900.0,0.0,1.0
1999-12-07,97.63,98.44,94.88,95.5,33.7081003164,1598200.0,0.0,1.0
1999-12-08,95.06,95.25,91.63,92.19,32.5397881484,1348300.0,0.0,1.0
1999-12-09,94.5,94.63,90.38,91.94,32.4515470481,4239700.0,0.0,1.0
1999-12-10,92.25,92.75,90.75,91.75,32.3844838119,1925400.0,0.0,1.0
1999-12-13,92.0,95.13,91.44,93.94,33.1574758505,3162100.0,0.0,1.0
1999-12-14,94.13,94.44,91.25,91.44,32.2750648475,1844600.0,0.0,1.0
1999-12-15,91.25,91.69,90.5,91.31,32.2291794753,2766300.0,0.0,1.0
1999-12-16,90.75,91.13,89.5,90.0,31.7667961097,1300200.0,0.0,1.0
1999-12-17,91.19,91.38,89.63,90.56,31.964456174400002,3419100.0,0.0,1.0
1999-12-20,90.56,91.75,88.25,88.31,31.1702862717,1680600.0,0.0,1.0
1999-12-21,88.38,88.5,86.38,87.13,30.753788278200002,3526200.0,0.0,1.0
1999-12-22,87.06,87.63,86.0,87.5,30.8843851067,1997000.0,0.0,1.0
1999-12-23,87.88,89.34,87.56,89.13,31.459717080700003,2142900.0,0.0,1.0
1999-12-27,89.06,90.75,88.0,89.5,31.590313909099997,2061000.0,0.0,1.0
1999-12-28,89.94,92.0,89.63,91.25,32.2080016113,2227200.0,0.0,1.0
1999-12-29,91.13,92.06,90.69,90.88,32.0774047828,795700.0,0.0,1.0
1999-12-30,91.44,91.56,90.88,91.31,32.2291794753,899300.0,0.0,1.0
1999-12-31,91.5,91.5,90.13,91.25,32.2080016113,581500.0,0.0,1.0
2000-01-03,91.06,91.06,87.94,89.0,31.4138317085,3028700.0,0.0,1.0
2000-01-04,88.94,89.13,83.94,84.13,29.6948950746,2861400.0,0.0,1.0
