Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2013-06-13,17.5,17.52,16.9,17.36,14.599635140699998,46263100.0,0.0,1.0
2013-06-14,17.45,17.55,17.2,17.52,14.7341939899,9049500.0,0.0,1.0
2013-06-17,17.61,17.65,17.31,17.39,14.624864925,5489500.0,0.0,1.0
2013-06-18,17.39,17.42,17.16,17.3,14.5491755723,6717200.0,0.0,1.0
2013-06-19,17.25,17.35,16.4,17.19,14.456666363399998,7128600.0,0.0,1.0
2013-06-20,16.8,16.85,16.31,16.75,14.0866295281,2785200.0,0.0,1.0
2013-06-21,16.75,17.07,16.5,16.99,14.288467801900001,2542800.0,0.0,1.0
2013-06-24,16.8,16.82,16.46,16.61,13.968890535,1206100.0,0.0,1.0
2013-06-25,16.7,16.88,16.55,16.75,14.0866295281,1074800.0,0.0,1.0
2013-06-26,16.8,17.14,16.8,17.02,14.313697586099998,3420800.0,0.0,1.0
2013-06-27,17.07,17.24,16.97,17.24,14.498716003800002,1773800.0,0.0,1.0
2013-06-28,17.2,17.23,16.91,17.18,14.4482564353,1904600.0,0.0,1.0
2013-07-01,17.18,17.25,17.07,17.18,14.4482564353,1188800.0,0.0,1.0
2013-07-02,17.18,17.35,17.1,17.26,14.51553586,665300.0,0.0,1.0
2013-07-03,17.2,17.28,17.14,17.25,14.507125931900001,332000.0,0.0,1.0
2013-07-05,17.3,17.31,17.19,17.26,14.51553586,573400.0,0.0,1.0
2013-07-08,17.34,17.34,17.02,17.27,14.523945787999999,855900.0,0.0,1.0
2013-07-09,17.25,17.4,17.24,17.38,14.6164549969,521300.0,0.0,1.0
2013-07-10,17.4,17.48,17.3,17.39,14.624864925,524300.0,0.0,1.0
2013-07-11,17.45,17.49,17.26,17.45,14.6753244934,990200.0,0.0,1.0
2013-07-12,17.4,17.52,17.35,17.5,14.717374133800002,1258600.0,0.0,1.0
2013-07-15,17.5,17.55,17.12,17.18,14.4482564353,242900.0,0.0,1.0
2013-07-16,17.29,17.34,17.2,17.32,14.565995428399999,507600.0,0.0,1.0
2013-07-17,17.13,17.4,17.05,17.3,14.5491755723,995700.0,0.0,1.0
2013-07-18,17.35,17.43,17.11,17.15,14.423026651099999,682700.0,0.0,1.0
2013-07-19,17.15,17.27,17.05,17.08,14.3641571546,599500.0,0.0,1.0
2013-07-22,17.08,17.08,16.93,16.95,14.2548280896,462000.0,0.0,1.0
2013-07-23,17.15,17.22,16.85,17.06,14.3473372984,1619500.0,0.0,1.0
2013-07-24,17.18,17.22,16.9201,17.13,14.406206795,373600.0,0.0,1.0
2013-07-25,17.06,17.4,16.97,17.35,14.5912252126,743800.0,0.0,1.0
