Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,46.69,51.75,46.0,50.88,1.01512528274,331300.0,0.0,1.0
1999-11-02,50.88,58.25,50.5,53.75,1.07238569079,285400.0,0.0,1.0
1999-11-03,57.09,57.13,50.38,52.5,1.04744648868,78700.0,0.0,1.0
1999-11-04,53.34,54.25,51.13,52.25,1.04245864825,48100.0,0.0,1.0
1999-11-05,57.75,57.94,51.88,54.75,1.09233705248,100200.0,0.0,1.0
1999-11-08,54.66,55.0,53.0,53.0,1.0574221695200001,86100.0,0.0,1.0
1999-11-09,52.25,52.38,47.25,48.69,0.971431800641,99300.0,0.0,1.0
1999-11-10,47.41,51.88,46.38,50.5,1.0075437653000001,147900.0,0.0,1.0
1999-11-11,52.47,53.75,51.0,53.25,1.06241000994,75800.0,0.0,1.0
1999-11-12,53.25,53.75,51.63,52.0,1.03747080783,59100.0,0.0,1.0
1999-11-15,51.31,52.0,51.13,51.13,1.02011312316,14700.0,0.0,1.0
1999-11-16,52.09,52.19,51.13,51.63,1.03008880401,34200.0,0.0,1.0
1999-11-17,51.44,51.69,47.63,47.75,0.952677520653,46400.0,0.0,1.0
1999-11-18,47.44,49.88,47.38,49.88,0.9951739210510001,57600.0,0.0,1.0
1999-11-19,49.91,51.5,49.81,51.13,1.02011312316,39600.0,0.0,1.0
1999-11-22,51.13,52.88,50.94,51.88,1.03507664443,53800.0,0.0,1.0
1999-11-23,52.56,58.5,52.0,56.0,1.11727625459,120000.0,0.0,1.0
1999-11-24,55.47,57.13,55.0,56.0,1.11727625459,67200.0,0.0,1.0
1999-11-26,56.25,57.25,54.63,57.13,1.1398212933,16100.0,0.0,1.0
1999-11-29,56.75,61.81,56.0,59.63,1.18969969752,75400.0,0.0,1.0
1999-11-30,60.22,60.25,56.13,59.94,1.19588461964,49400.0,0.0,1.0
1999-12-01,57.19,58.75,57.19,57.88,1.15478481456,21000.0,0.0,1.0
1999-12-02,57.63,62.13,57.63,61.88,1.2345902613200002,45200.0,0.0,1.0
1999-12-03,62.75,67.88,62.75,65.13,1.29943218681,73800.0,0.0,1.0
1999-12-06,66.13,69.63,65.0,68.88,1.3742497931400002,88900.0,0.0,1.0
1999-12-07,68.88,72.0,68.5,71.88,1.4341038782100002,52500.0,0.0,1.0
1999-12-08,73.0,79.8,72.25,79.0,1.5761575734399997,70400.0,0.0,1.0
1999-12-09,79.88,86.5,74.0,80.0,1.5961089351299997,190400.0,0.0,1.0
1999-12-10,80.19,80.63,74.75,78.75,1.57116973301,47000.0,0.0,1.0
1999-12-13,77.13,80.13,77.0,77.5,1.5462305309,82400.0,0.0,1.0
1999-12-14,77.75,79.5,77.0,79.5,1.58613325428,68600.0,0.0,1.0
1999-12-15,79.0,79.88,70.38,72.69,1.45026448118,104100.0,0.0,1.0
1999-12-16,72.88,75.0,71.44,73.0,1.4564494033000002,30700.0,0.0,1.0
1999-12-17,73.63,75.25,73.5,73.56,1.4676221658500002,22700.0,0.0,1.0
1999-12-20,75.25,76.5,70.13,70.13,1.39918899525,87000.0,0.0,1.0
1999-12-21,69.75,100.6,67.0,90.75,1.8105860732799999,208700.0,0.0,1.0
1999-12-22,105.0,120.0,99.5,117.0,2.33430931762,256000.0,0.0,1.0
1999-12-23,112.5,120.0,106.3,109.3,2.1806838326099998,76800.0,0.0,1.0
1999-12-27,105.4,107.6,96.13,98.38,1.9628149629700002,62500.0,0.0,1.0
1999-12-28,97.69,105.0,96.0,99.41,1.98336486551,61800.0,0.0,1.0
1999-12-29,98.75,103.6,98.75,101.9,2.03304375612,35300.0,0.0,1.0
1999-12-30,102.9,114.5,102.1,113.1,2.25649900703,146900.0,0.0,1.0
1999-12-31,117.0,117.0,108.4,109.3,2.1806838326099998,38100.0,0.0,1.0
2000-01-03,110.25,111.0,83.0,96.0,1.91533072215,82400.0,0.0,1.0
2000-01-04,94.06,98.13,89.13,92.75,1.8504887966599999,61900.0,0.0,1.0
2000-01-05,89.63,94.13,81.0,92.69,1.8492917149599999,59100.0,0.0,1.0
2000-01-06,97.5,98.0,92.88,92.88,1.85308247368,23900.0,0.0,1.0
2000-01-07,92.13,94.0,86.0,94.0,1.87542799877,27600.0,0.0,1.0
2000-01-10,99.0,106.6,95.0,95.81,1.9115399634299999,58100.0,0.0,1.0
2000-01-11,96.0,100.8,93.75,94.81,1.8915886017400003,43000.0,0.0,1.0
2000-01-12,94.44,94.88,88.19,90.75,1.8105860732799999,14400.0,0.0,1.0
2000-01-13,91.38,94.0,90.38,94.0,1.87542799877,18900.0,0.0,1.0
2000-01-14,98.0,99.44,90.0,91.25,1.8205617541299999,29100.0,0.0,1.0
2000-01-18,90.5,94.5,80.0,81.38,1.62364181426,48000.0,0.0,1.0
2000-01-19,81.38,90.75,80.88,87.88,1.7533256652400002,29400.0,0.0,1.0
2000-01-20,90.0,94.0,83.75,84.94,1.69466866187,47800.0,0.0,1.0
2000-01-21,83.94,85.63,79.63,82.0,1.6360116585,42300.0,0.0,1.0
2000-01-24,80.75,90.0,80.75,87.75,1.7507319882199999,59000.0,0.0,1.0
2000-01-25,87.94,89.94,85.88,89.75,1.79063471159,19100.0,0.0,1.0
2000-01-26,90.0,101.8,89.69,91.0,1.8155739137,53700.0,0.0,1.0
2000-01-27,93.44,97.25,91.0,91.0,1.8155739137,19000.0,0.0,1.0
2000-01-28,94.5,94.5,89.13,89.63,1.7882405481900001,6200.0,0.0,1.0
2000-01-31,87.69,93.0,73.0,75.25,1.5013399671,114400.0,0.0,1.0
2000-02-01,79.38,90.0,76.0,88.0,1.7557198286400002,63700.0,0.0,1.0
2000-02-02,91.0,94.0,89.25,92.0,1.83552527539,26100.0,0.0,1.0
2000-02-03,92.38,95.0,88.5,93.25,1.8604644775099999,41400.0,0.0,1.0
2000-02-04,97.75,97.75,93.13,96.75,1.93029424342,22900.0,0.0,1.0
2000-02-07,96.63,109.0,96.63,108.6,2.1667178794299997,104400.0,0.0,1.0
2000-02-08,118.2,128.6,112.3,123.6,2.46598830477,212800.0,0.0,1.0
2000-02-09,126.0,126.0,116.0,122.3,2.4400515345700002,78900.0,0.0,1.0
2000-02-10,121.0,124.7,116.1,123.8,2.46997857711,51100.0,0.0,1.0
2000-02-11,123.8,131.8,118.8,130.0,2.59367701958,207800.0,0.0,1.0
2000-02-14,134.8,134.9,124.0,129.1,2.57572079406,104600.0,0.0,1.0
2000-02-15,131.0,131.0,124.0,127.6,2.54579375152,26500.0,0.0,1.0
2000-02-16,126.8,128.0,124.0,124.0,2.47396884944,35600.0,0.0,1.0
2000-02-17,125.0,127.5,120.0,122.9,2.45202235159,118900.0,0.0,1.0
2000-02-18,122.9,122.9,115.6,115.6,2.3063774112599997,51600.0,0.0,1.0
2000-02-22,115.5,117.1,111.0,115.1,2.29640173041,52000.0,0.0,1.0
2000-02-23,115.0,115.4,113.8,113.9,2.2724600963799997,60700.0,0.0,1.0
2000-02-24,114.0,114.8,109.0,109.0,2.17469842411,54800.0,0.0,1.0
2000-02-25,110.0,114.8,109.5,113.0,2.25450387086,52200.0,0.0,1.0
2000-02-28,113.9,115.6,107.9,107.9,2.15275192625,42800.0,0.0,1.0
2000-02-29,110.8,111.3,106.1,109.1,2.17669356028,30000.0,0.0,1.0
2000-03-01,110.0,110.0,106.0,108.3,2.1607324709299998,36700.0,0.0,1.0
2000-03-02,112.5,122.0,111.3,118.4,2.3622412239900004,199800.0,0.0,1.0
2000-03-03,119.0,125.0,118.6,121.1,2.41610990055,117200.0,0.0,1.0
2000-03-06,128.3,129.0,123.0,126.4,2.5218521175,126900.0,0.0,1.0
2000-03-07,128.0,130.4,122.5,122.5,2.44404180691,35600.0,0.0,1.0
2000-03-08,124.5,124.5,115.1,122.7,2.4480320792500003,39800.0,0.0,1.0
2000-03-09,121.0,134.0,117.9,131.3,2.61961378977,42000.0,0.0,1.0
2000-03-10,132.6,134.0,119.5,122.9,2.45202235159,44100.0,0.0,1.0
2000-03-13,119.5,130.4,117.6,120.0,2.3941634026900003,44200.0,0.0,1.0
