Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,67.44,67.75,64.56,64.63,24.994798796100003,2741000.0,0.0,1.0
1999-11-02,66.13,69.88,65.88,69.25,26.781522770100004,2454600.0,0.0,1.0
1999-11-03,71.94,77.25,71.81,72.69,28.111897330799998,5330100.0,0.0,1.0
1999-11-04,75.5,79.13,75.25,77.38,29.9256928801,2675500.0,0.0,1.0
1999-11-05,79.94,83.38,76.0,76.38,29.5389560892,4311900.0,0.0,1.0
1999-11-08,76.63,82.5,76.5,82.13,31.7626926369,4096500.0,0.0,1.0
1999-11-09,83.69,84.5,78.0,79.81,30.865463281999997,3434000.0,0.0,1.0
1999-11-10,78.75,82.81,78.63,81.06,31.3488842706,2675500.0,0.0,1.0
1999-11-11,81.38,83.63,76.38,76.63,29.6356402869,1754900.0,0.0,1.0
1999-11-12,80.0,80.5,75.13,78.5,30.3588380859,2368400.0,0.0,1.0
1999-11-15,79.13,81.5,78.13,80.13,30.9892190551,1394400.0,0.0,1.0
1999-11-16,80.5,82.0,78.75,80.88,31.2792716483,1314500.0,0.0,1.0
1999-11-17,79.63,81.88,76.69,81.75,31.6157326564,2357800.0,0.0,1.0
1999-11-18,89.5,109.3,89.44,98.5,38.093573904,8358000.0,0.0,1.0
1999-11-19,99.56,101.2,91.38,93.0,35.966521554,3100500.0,0.0,1.0
1999-11-22,93.13,93.13,83.38,84.44,32.6560546239,5649400.0,0.0,1.0
1999-11-23,86.38,86.38,77.88,78.06,30.1886738979,5531600.0,0.0,1.0
1999-11-24,80.94,90.5,78.25,90.19,34.8797911716,5855800.0,0.0,1.0
1999-11-26,91.94,95.38,90.63,93.38,36.1134815346,1849800.0,0.0,1.0
1999-11-29,95.0,95.63,88.25,89.31,34.5394627956,4171500.0,0.0,1.0
1999-11-30,90.13,98.5,88.75,94.88,36.6935867209,15595900.0,0.0,1.0
1999-12-01,94.5,97.44,93.94,96.88,37.4670603027,4216800.0,0.0,1.0
1999-12-02,96.69,99.13,94.75,99.0,38.2869422995,1837900.0,0.0,1.0
1999-12-03,101.8,102.1,98.38,100.4,38.8283738067,2285900.0,0.0,1.0
1999-12-06,101.0,106.1,98.69,105.0,40.6073630449,1986700.0,0.0,1.0
1999-12-07,106.4,122.0,101.8,121.1,46.8338253784,3118200.0,0.0,1.0
1999-12-08,115.3,118.0,111.5,115.4,44.629425670299995,3820200.0,0.0,1.0
1999-12-09,119.3,119.8,104.0,108.6,41.9996154921,3263900.0,0.0,1.0
1999-12-10,112.9,113.1,102.3,109.8,42.4636996412,1948000.0,0.0,1.0
1999-12-13,111.1,112.9,109.1,111.0,42.927783790300005,1308000.0,0.0,1.0
1999-12-14,111.4,112.0,106.6,107.8,41.690226059400004,1378800.0,0.0,1.0
