Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2007-06-14,28.0,30.5,28.0,28.75,22.9839943054,3279100.0,0.0,1.0
2007-06-15,29.5,29.8,28.88,29.08,23.2478105879,790100.0,0.0,1.0
2007-06-18,29.32,30.2,29.3,29.93,23.927337376100002,1591000.0,0.0,1.0
2007-06-19,30.0,30.3,29.6,29.7,23.7434654216,1585100.0,0.0,1.0
2007-06-20,30.04,30.1,29.57,29.81,23.831404182399996,855900.0,0.0,1.0
2007-06-21,30.06,31.95,29.61,31.21,24.9506247747,842700.0,0.0,1.0
2007-06-22,31.5,32.17,31.0,31.7,25.342351981999997,1490700.0,0.0,1.0
2007-06-25,31.5,32.0,31.01,31.3,25.0225746699,490000.0,0.0,1.0
2007-06-26,31.3,31.65,30.25,30.41,24.3110701506,853900.0,0.0,1.0
2007-06-27,30.6,30.8,29.57,29.58,23.647532228000003,1127300.0,0.0,1.0
2007-06-28,29.88,29.9,29.16,29.5,23.5835767656,488900.0,0.0,1.0
2007-06-29,29.99,30.3,27.93,28.5,22.784133485399998,3085200.0,0.0,1.0
2007-07-02,28.55,29.15,27.2,27.5,21.9846902052,10999000.0,0.0,1.0
2007-07-03,27.5,27.5,26.15,26.67,21.3211522826,8600100.0,0.0,1.0
2007-07-05,26.25,26.92,25.74,25.93,20.7295642553,8422000.0,0.0,1.0
2007-07-06,25.64,25.86,25.21,25.64,20.497725704100002,7211800.0,0.0,1.0
2007-07-09,25.72,26.54,25.44,25.54,20.417781376,11675200.0,0.0,1.0
2007-07-10,25.6,25.65,24.8,24.9,19.906137676700002,8591800.0,0.0,1.0
2007-07-11,25.02,25.27,24.75,25.21,20.1539650936,10251400.0,0.0,1.0
2007-07-12,25.59,26.59,25.21,26.34,21.0573360002,10297300.0,0.0,1.0
2007-07-13,26.47,27.43,26.02,27.16,21.712879489899997,6752500.0,0.0,1.0
2007-07-16,27.21,27.45,26.66,26.84,21.4570576403,9892000.0,0.0,1.0
2007-07-17,26.96,26.99,26.31,26.5,21.185246925,5434600.0,0.0,1.0
2007-07-18,26.45,26.5,25.7,26.36,21.0733248658,4594800.0,0.0,1.0
2007-07-19,26.25,26.95,26.25,26.71,21.3531300139,4868900.0,0.0,1.0
2007-07-20,26.71,27.12,26.25,26.3,21.025358269,5751300.0,0.0,1.0
2007-07-23,26.3,26.51,26.1,26.12,20.8814584785,4711800.0,0.0,1.0
2007-07-24,25.54,25.6,24.93,25.0,19.986082004700002,5483800.0,0.0,1.0
2007-07-25,24.76,24.84,23.75,24.1,19.2665830526,8391500.0,0.0,1.0
2007-07-26,23.26,24.88,22.75,24.62,19.6822935583,9834900.0,0.0,1.0
2007-07-27,24.26,24.7,23.33,23.33,18.6510117268,6678000.0,0.0,1.0
2007-07-30,23.4,23.93,22.37,23.57,18.8428781141,5056000.0,0.0,1.0
2007-07-31,23.65,24.1,22.83,23.05,18.427167608399998,4132300.0,0.0,1.0
2007-08-01,22.68,23.07,22.05,22.88,18.2912622507,5583900.0,0.0,1.0
2007-08-02,22.5,24.05,22.48,23.37,18.682989457999998,3032900.0,0.0,1.0
2007-08-03,22.66,23.11,21.53,21.99,17.5797577314,5256100.0,0.0,1.0
2007-08-06,22.24,23.53,21.25,22.15,17.7076686562,6010700.0,0.0,1.0
2007-08-07,22.05,23.53,21.72,22.88,18.2912622507,3885200.0,0.0,1.0
2007-08-08,23.5,24.57,23.0,24.29,19.4184772758,5645200.0,0.0,1.0
2007-08-09,23.4,23.96,22.06,22.16,17.715663089,4554600.0,0.0,1.0
2007-08-10,21.75,21.95,20.35,20.86,16.6763868247,10813200.0,0.0,1.0
2007-08-13,21.26,22.29,21.26,22.1,17.6676964922,7115200.0,0.0,1.0
2007-08-14,22.29,22.66,21.71,21.96,17.555774433,3845000.0,0.0,1.0
2007-08-15,21.89,22.4,21.16,21.66,17.315941448900002,3690300.0,0.0,1.0
2007-08-16,20.5,23.14,20.47,22.85,18.2672789523,5503500.0,0.0,1.0
2007-08-17,23.89,23.99,22.91,23.18,18.5310952348,5668600.0,0.0,1.0
2007-08-20,23.1,23.5,22.48,23.45,18.7469449204,3786500.0,0.0,1.0
2007-08-21,23.09,23.96,23.07,23.67,18.9228224421,2471000.0,0.0,1.0
2007-08-22,23.66,24.0,23.25,23.73,18.9707890389,3601000.0,0.0,1.0
2007-08-23,23.94,24.03,23.18,23.7,18.9468057405,2904000.0,0.0,1.0
2007-08-24,23.42,24.02,23.38,23.99,19.1786442917,2001000.0,0.0,1.0
2007-08-27,24.02,24.04,23.7,23.83,19.0507333669,1629600.0,0.0,1.0
2007-08-28,23.32,23.55,22.56,22.71,18.1553568931,4219100.0,0.0,1.0
2007-08-29,22.57,23.58,21.59,23.33,18.6510117268,2932600.0,0.0,1.0
2007-08-30,22.82,23.0,22.5,22.76,18.1953290571,2269400.0,0.0,1.0
2007-08-31,23.01,23.88,22.54,23.14,18.499117503599997,3092600.0,0.0,1.0
2007-09-04,23.05,23.56,22.63,23.43,18.7309560548,2459400.0,0.0,1.0
2007-09-05,22.68,23.12,22.36,22.55,18.0274459683,2703300.0,0.0,1.0
2007-09-06,22.51,22.52,22.05,22.28,17.8115962826,3297000.0,0.0,1.0
2007-09-07,21.98,21.98,20.86,21.11,16.8762476448,3985000.0,0.0,1.0
2007-09-10,21.17,21.52,20.25,20.56,16.4365538407,2746400.0,0.0,1.0
2007-09-11,20.52,21.15,20.47,20.61,16.476526004700002,2838100.0,0.0,1.0
2007-09-12,20.45,21.44,20.25,21.0,16.788308884,3052400.0,0.0,1.0
2007-09-13,21.0,21.74,21.0,21.34,17.0601195992,2328500.0,0.0,1.0
2007-09-14,21.29,21.56,21.01,21.27,17.0041585696,1839600.0,0.0,1.0
2007-09-17,21.21,21.41,20.5,21.32,17.0441307336,2233500.0,0.0,1.0
2007-09-18,21.4,23.09,21.16,23.09,18.4591453396,3637000.0,0.0,1.0
2007-09-19,23.22,23.82,23.02,23.41,18.7149671892,4394100.0,0.0,1.0
2007-09-20,23.27,24.0,22.61,22.66,18.1153847291,2683300.0,0.0,1.0
2007-09-21,22.75,22.8,21.98,22.4,17.9075294762,10196300.0,0.0,1.0
2007-09-24,22.7,23.48,22.24,22.26,17.795607417,4334300.0,0.0,1.0
2007-09-25,22.26,22.26,21.17,21.72,17.3639080457,9227000.0,0.0,1.0
2007-09-26,21.65,21.94,21.21,21.25,16.988169704,4631500.0,0.0,1.0
2007-09-27,21.16,21.33,20.59,20.67,16.5244926015,5640600.0,0.0,1.0
2007-09-28,20.7,20.87,20.33,20.8,16.6284202279,3736300.0,0.0,1.0
2007-10-01,21.0,21.59,20.63,21.57,17.2439915537,3324900.0,0.0,1.0
2007-10-02,21.57,22.14,21.27,21.37,17.0841028976,2774300.0,0.0,1.0
2007-10-03,21.3,22.1,21.25,21.35,17.1160806289,2493400.0,0.06,1.0
2007-10-04,21.5,22.07,21.38,22.02,17.6532129015,3491400.0,0.0,1.0
2007-10-05,22.23,22.9,22.2,22.73,18.2224127725,3201100.0,0.0,1.0
2007-10-08,22.6,22.76,22.48,22.65,18.1582775758,2088800.0,0.0,1.0
2007-10-09,22.67,23.33,22.609,23.03,18.4629197603,3488500.0,0.0,1.0
2007-10-10,23.0,23.01,22.5,22.65,18.1582775758,4030500.0,0.0,1.0
2007-10-11,22.85,23.13,21.94,22.03,17.6612298011,3776600.0,0.0,1.0
2007-10-12,22.09,22.29,21.85,22.13,17.741398797000002,1775200.0,0.0,1.0
2007-10-15,22.1,22.2,20.91,21.38,17.1401313276,2822500.0,0.0,1.0
2007-10-16,21.34,21.37,20.77,20.93,16.779370846,3155500.0,0.0,1.0
2007-10-17,21.63,21.73,20.44,20.78,16.6591173521,3501000.0,0.0,1.0
2007-10-18,20.61,20.74,20.27,20.53,16.4586948623,4580600.0,0.0,1.0
2007-10-19,20.49,20.54,19.69,19.8,15.8734611921,7103200.0,0.0,1.0
2007-10-22,19.08,19.76,18.85,19.68,15.777258397,4088400.0,0.0,1.0
2007-10-23,20.0,20.1694,19.06,19.41,15.560802107999999,4104800.0,0.0,1.0
2007-10-24,19.39,19.5,17.79,18.39,14.743078349600001,8320900.0,0.0,1.0
2007-10-25,18.38,18.64,16.91,17.56,14.077675683499999,10096200.0,0.0,1.0
2007-10-26,18.68,19.01,17.99,18.93,15.1759909276,9463800.0,0.0,1.0
2007-10-29,19.16,19.87,19.16,19.49,15.6249373047,6023500.0,0.0,1.0
2007-10-30,19.4,20.41,19.133,20.14,16.146035778199998,5484300.0,0.0,1.0
2007-10-31,20.8,20.91,19.0,19.3,15.4726162125,8865500.0,0.0,1.0
2007-11-01,18.95,18.98,17.5,18.52,14.8472980443,7765900.0,0.0,1.0
2007-11-02,18.67,18.67,17.67,18.18,14.5747234582,10119800.0,0.0,1.0
2007-11-05,18.14,18.23,17.74,18.15,14.550672759400001,4607700.0,0.0,1.0
2007-11-06,18.14,18.47,17.86,18.24,14.6228248558,3727400.0,0.0,1.0
2007-11-07,17.5,18.02,17.14,17.26,13.837168695699999,7694400.0,0.0,1.0
2007-11-08,17.16,17.79,16.96,17.7,14.1899122778,5583200.0,0.0,1.0
2007-11-09,17.0,17.99,17.0,17.82,14.2861150729,4576800.0,0.0,1.0
2007-11-12,17.95,18.7,17.53,18.01,14.4384361651,5020800.0,0.0,1.0
2007-11-13,18.2,19.5,17.97,19.0,15.2321092247,6170400.0,0.0,1.0
2007-11-14,18.88,19.3,18.27,18.29,14.662909353699998,3774400.0,0.0,1.0
2007-11-15,18.18,18.3,17.59,17.68,14.173878478599999,4739100.0,0.0,1.0
2007-11-16,17.76,18.05,17.5,17.76,14.2380136753,3061800.0,0.0,1.0
2007-11-19,17.2,17.2,16.65,16.74,13.420289917,6857900.0,0.0,1.0
2007-11-20,16.89,17.09,15.98,16.44,13.1797829292,6536900.0,0.0,1.0
2007-11-21,15.72,16.55,15.72,16.25,13.0274618369,6162200.0,0.0,1.0
2007-11-23,16.39,16.85,15.95,16.68,13.3721885194,1605200.0,0.0,1.0
2007-11-26,17.0,17.0,16.2,16.3,13.0675463349,5691600.0,0.0,1.0
2007-11-27,16.391,16.79,16.25,16.75,13.428306816500001,3894100.0,0.0,1.0
2007-11-28,17.159000000000002,17.68,16.9,17.65,14.1498277798,4580500.0,0.0,1.0
2007-11-29,17.76,17.76,17.205,17.28,13.8532024949,3924100.0,0.0,1.0
2007-11-30,17.58,18.58,17.21,17.37,13.9253545912,7056800.0,0.0,1.0
2007-12-03,17.37,17.85,16.28,16.39,13.1396984312,7066400.0,0.0,1.0
2007-12-04,16.32,16.68,16.19,16.21,12.9953942386,5385500.0,0.0,1.0
2007-12-05,16.33,16.83,16.31,16.45,13.187799828800001,2925600.0,0.0,1.0
2007-12-06,16.63,17.32,16.47,17.32,13.885270093299999,2490100.0,0.0,1.0
2007-12-07,16.83,17.13,16.4,16.76,13.436323716099999,4843000.0,0.0,1.0
2007-12-10,16.77,17.75,16.68,17.27,13.8451855953,3549000.0,0.0,1.0
2007-12-11,17.26,17.26,16.29,16.32,13.0835801341,3755400.0,0.0,1.0
2007-12-12,16.82,17.1,16.115,16.51,13.235901226300001,7542400.0,0.0,1.0
2007-12-13,16.4,16.47,15.8,16.42,13.16374913,6276600.0,0.0,1.0
2007-12-14,16.16,16.19,15.5,15.64,12.538430961800001,6832200.0,0.0,1.0
2007-12-17,15.54,15.97,15.2,15.61,12.5143802631,4135200.0,0.0,1.0
2007-12-18,15.65,16.05,15.54,15.89,12.7388534516,4466000.0,0.0,1.0
2007-12-19,15.88,16.14,15.55,15.89,12.7388534516,3626800.0,0.0,1.0
2007-12-20,16.35,16.99,15.34,15.46,12.394126769200001,7280200.0,0.0,1.0
2007-12-21,15.7,15.75,15.31,15.5,12.426194367599999,6675500.0,0.0,1.0
2007-12-24,15.32,15.73,15.32,15.63,12.5304140622,1653300.0,0.0,1.0
2007-12-26,15.53,15.78,15.31,15.71,12.594549259,2503200.0,0.0,1.0
2007-12-27,15.72,15.78,15.2,15.2,12.185687379800001,3386300.0,0.0,1.0
2007-12-28,15.14,15.38,14.81,14.94,11.9772479904,3749400.0,0.0,1.0
2007-12-31,14.88,15.27,14.87,15.08,12.137585982200001,3255500.0,0.06,1.0
2008-01-02,15.15,15.49,14.84,14.9,11.992707635,4215300.0,0.0,1.0
2008-01-03,15.01,15.26,14.76,14.83,11.936366055499999,4608900.0,0.0,1.0
