Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,42.69,43.06,41.75,42.0,18.7225608851,500400.0,0.0,1.0
1999-11-02,42.06,43.75,42.06,43.06,19.1950826599,428600.0,0.0,1.0
1999-11-03,42.81,43.69,42.13,43.5,19.391223773900002,671700.0,0.0,1.0
1999-11-04,44.0,44.69,43.25,43.38,19.337730742799998,405700.0,0.0,1.0
1999-11-05,43.75,44.44,43.63,43.88,19.5606183724,349400.0,0.0,1.0
1999-11-08,44.06,44.25,43.38,43.5,19.391223773900002,277800.0,0.0,1.0
1999-11-09,43.63,43.94,42.94,43.88,19.5606183724,386500.0,0.0,1.0
1999-11-10,43.5,45.19,43.0,44.81,19.9751893634,422100.0,0.0,1.0
1999-11-11,45.0,45.94,44.75,44.75,19.9484428479,713100.0,0.0,1.0
1999-11-12,44.94,44.94,44.06,44.25,19.7255552183,416400.0,0.0,1.0
1999-11-15,44.13,44.75,43.56,44.56,19.863745548599997,593400.0,0.0,1.0
1999-11-16,45.0,45.31,44.44,44.56,19.863745548599997,918200.0,0.0,1.0
1999-11-17,44.56,44.88,44.5,44.56,19.863745548599997,502700.0,0.0,1.0
1999-11-18,44.56,44.69,43.81,44.0,19.6141114035,605000.0,0.0,1.0
1999-11-19,43.94,43.94,43.0,43.44,19.3644772583,459900.0,0.0,1.0
1999-11-22,43.0,43.19,42.5,43.06,19.1950826599,335300.0,0.0,1.0
1999-11-23,43.06,43.13,41.94,42.5,18.9454485147,1043000.0,0.0,1.0
1999-11-24,42.63,43.69,42.5,43.06,19.1950826599,246700.0,0.0,1.0
1999-11-26,43.13,43.38,42.69,43.13,19.2775510828,97100.0,0.115,1.0
1999-11-29,43.0,43.19,42.5,43.19,19.3043689141,266300.0,0.0,1.0
1999-11-30,43.0,44.25,43.0,43.5,19.4429277093,1021100.0,0.0,1.0
1999-12-01,44.5,45.69,44.5,44.81,20.0284503599,923600.0,0.0,1.0
1999-12-02,44.88,45.56,44.75,45.44,20.3100375887,545200.0,0.0,1.0
1999-12-03,45.69,47.63,45.69,46.88,20.9536655405,738000.0,0.0,1.0
