Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,19.62,19.88,19.62,19.62,6.0408195854299995,162000.0,0.0,1.0
1999-11-02,19.75,20.0,19.62,19.62,6.0408195854299995,279400.0,0.0,1.0
1999-11-03,19.62,20.0,19.62,19.94,6.13934467551,508100.0,0.0,1.0
1999-11-04,19.88,19.94,19.75,19.75,6.080845403270001,217200.0,0.0,1.0
1999-11-05,19.69,20.0,19.56,19.56,6.02234613104,258000.0,0.0,1.0
1999-11-08,19.81,20.0,19.75,19.81,6.09931885766,348800.0,0.0,1.0
1999-11-09,19.75,19.75,19.5,19.56,6.02234613104,129400.0,0.0,1.0
1999-11-10,19.75,19.75,18.94,19.5,6.0038726766499995,491900.0,0.0,1.0
1999-11-11,19.5,19.5,19.0,19.19,5.90842649564,201100.0,0.0,1.0
1999-11-12,19.25,19.5,18.88,18.94,5.83145376901,331400.0,0.0,1.0
1999-11-15,18.94,19.12,18.69,19.12,5.886874132180001,317300.0,0.0,1.0
1999-11-16,19.06,19.38,18.88,19.31,5.945373404419999,233900.0,0.0,1.0
1999-11-17,18.75,19.44,18.62,18.94,5.95153122255,268700.0,0.39,1.0
1999-11-18,18.88,19.0,18.69,18.75,5.89182737184,198000.0,0.0,1.0
1999-11-19,18.75,18.81,18.44,18.81,5.910681219430001,3228900.0,0.0,1.0
1999-11-22,18.62,18.88,18.44,18.56,5.83212352114,250800.0,0.0,1.0
1999-11-23,18.5,18.62,18.31,18.56,5.83212352114,280600.0,0.0,1.0
1999-11-24,18.31,18.69,18.31,18.56,5.83212352114,262800.0,0.0,1.0
1999-11-26,18.62,18.69,18.25,18.44,5.79441582596,126700.0,0.0,1.0
1999-11-29,18.5,18.62,18.44,18.44,5.79441582596,341200.0,0.0,1.0
1999-11-30,18.38,18.69,18.38,18.56,5.83212352114,510500.0,0.0,1.0
1999-12-01,18.5,18.94,18.5,18.81,5.910681219430001,428800.0,0.0,1.0
1999-12-02,18.75,18.81,18.44,18.44,5.79441582596,433300.0,0.0,1.0
1999-12-03,18.5,18.62,18.12,18.31,5.75356582285,514700.0,0.0,1.0
1999-12-06,18.31,18.44,18.12,18.19,5.71585812767,361200.0,0.0,1.0
1999-12-07,18.19,18.31,18.0,18.12,5.693861972150001,377700.0,0.0,1.0
1999-12-08,18.31,18.56,17.69,17.75,5.577596578680001,416400.0,0.0,1.0
1999-12-09,17.25,18.0,17.25,17.56,5.51789272798,504100.0,0.0,1.0
1999-12-10,17.75,17.75,17.12,17.31,5.43933502969,352200.0,0.0,1.0
1999-12-13,17.38,17.38,16.62,16.88,5.3042157886300005,924700.0,0.0,1.0
1999-12-14,16.94,17.38,16.62,16.81,5.2822196331,981700.0,0.0,1.0
1999-12-15,16.94,17.19,16.75,17.0,5.34192348381,376500.0,0.0,1.0
1999-12-16,17.0,17.69,17.0,17.38,5.461331185210001,373500.0,0.0,1.0
1999-12-17,17.38,18.5,17.38,18.19,5.71585812767,524400.0,0.0,1.0
1999-12-20,18.38,18.69,18.25,18.62,5.850977368730001,412200.0,0.0,1.0
1999-12-21,18.69,18.75,18.12,18.31,5.75356582285,433200.0,0.0,1.0
1999-12-22,18.31,18.69,18.12,18.38,5.77556197837,470200.0,0.0,1.0
1999-12-23,18.31,18.5,18.25,18.31,5.75356582285,446800.0,0.0,1.0
1999-12-27,18.38,18.5,18.19,18.25,5.734711975260001,275300.0,0.0,1.0
1999-12-28,18.19,18.75,18.19,18.75,5.89182737184,527600.0,0.0,1.0
1999-12-29,18.62,18.88,18.62,18.69,5.87297352425,193900.0,0.0,1.0
1999-12-30,18.75,19.19,18.75,18.88,5.932677374959999,318800.0,0.0,1.0
1999-12-31,18.81,19.5,18.75,19.5,6.127500466719999,314400.0,0.0,1.0
2000-01-03,19.12,19.12,18.12,19.0,5.970385070140001,297800.0,0.0,1.0
2000-01-04,18.81,18.88,18.56,18.88,5.932677374959999,621800.0,0.0,1.0
2000-01-05,18.81,19.06,18.75,18.94,5.95153122255,439900.0,0.0,1.0
2000-01-06,18.88,19.5,18.88,19.38,6.089792771540001,593400.0,0.0,1.0
2000-01-07,19.44,20.0,19.38,19.75,6.206058165009999,334800.0,0.0,1.0
2000-01-10,19.88,19.94,19.62,19.88,6.246908168119999,278200.0,0.0,1.0
2000-01-11,20.12,20.12,19.69,19.69,6.18720431742,243100.0,0.0,1.0
2000-01-12,19.75,19.81,19.5,19.5,6.127500466719999,151100.0,0.0,1.0
2000-01-13,19.69,19.69,19.5,19.56,6.14635431431,134700.0,0.0,1.0
2000-01-14,19.56,19.69,19.44,19.5,6.127500466719999,246200.0,0.0,1.0
2000-01-18,19.38,19.69,19.38,19.62,6.165208161900001,235600.0,0.0,1.0
2000-01-19,19.69,19.88,19.56,19.88,6.246908168119999,350100.0,0.0,1.0
2000-01-20,19.88,19.94,19.56,19.88,6.246908168119999,161400.0,0.0,1.0
2000-01-21,19.88,20.75,19.62,20.5,6.44173125988,325700.0,0.0,1.0
2000-01-24,20.5,20.56,20.0,20.0,6.2846158633,226200.0,0.0,1.0
2000-01-25,20.0,20.12,19.81,20.06,6.30346971089,257700.0,0.0,1.0
2000-01-26,20.0,20.0,19.62,19.81,6.2249120126,272900.0,0.0,1.0
2000-01-27,19.75,19.81,19.5,19.62,6.165208161900001,227100.0,0.0,1.0
2000-01-28,19.69,19.75,19.5,19.69,6.18720431742,169000.0,0.0,1.0
2000-01-31,19.81,20.06,19.62,19.81,6.2249120126,183000.0,0.0,1.0
2000-02-01,19.81,20.06,19.81,20.0,6.2846158633,150100.0,0.0,1.0
2000-02-02,20.19,20.38,20.0,20.06,6.30346971089,263100.0,0.0,1.0
2000-02-03,19.94,20.38,19.94,20.25,6.36317356159,116700.0,0.0,1.0
2000-02-04,20.06,20.19,20.0,20.12,6.322323558480001,113500.0,0.0,1.0
2000-02-07,19.88,20.25,19.88,20.12,6.322323558480001,248900.0,0.0,1.0
2000-02-08,20.19,20.25,20.12,20.12,6.322323558480001,208100.0,0.0,1.0
2000-02-09,19.94,20.0,19.69,19.75,6.32860817434,294600.0,0.39,1.0
2000-02-10,19.5,19.69,19.5,19.56,6.26772536153,201600.0,0.0,1.0
2000-02-11,19.56,20.06,19.5,19.5,6.24849921011,5817900.0,0.0,1.0
2000-02-14,18.5,19.38,18.5,19.12,6.126733584480001,336100.0,0.0,1.0
2000-02-15,19.31,19.38,18.75,18.94,6.06905513023,431100.0,0.0,1.0
2000-02-16,19.12,19.5,19.0,19.19,6.14916409446,140700.0,0.0,1.0
2000-02-17,19.25,19.81,19.12,19.31,6.1876163973,212000.0,0.0,1.0
2000-02-18,19.25,19.31,19.0,19.12,6.126733584480001,196800.0,0.0,1.0
2000-02-22,18.88,19.19,18.69,18.81,6.02739846883,209400.0,0.0,1.0
2000-02-23,18.69,18.94,18.69,18.81,6.02739846883,153300.0,0.0,1.0
2000-02-24,18.69,18.88,18.62,18.75,6.00817231742,149200.0,0.0,1.0
2000-02-25,18.75,18.75,18.5,18.56,5.9472895046000005,118500.0,0.0,1.0
2000-02-28,18.06,18.62,18.06,18.38,5.88961105035,267400.0,0.0,1.0
2000-02-29,18.38,18.44,18.19,18.38,5.88961105035,373900.0,0.0,1.0
2000-03-01,18.38,18.62,18.31,18.56,5.9472895046000005,350500.0,0.0,1.0
2000-03-02,18.5,18.62,18.19,18.5,5.928063353180001,193200.0,0.0,1.0
2000-03-03,18.31,18.56,18.19,18.25,5.84795438895,444000.0,0.0,1.0
2000-03-06,18.31,18.44,18.12,18.31,5.86718054037,119300.0,0.0,1.0
2000-03-07,18.12,18.25,17.88,18.0,5.76784542472,613400.0,0.0,1.0
2000-03-08,18.0,18.31,17.88,17.94,5.7486192733,227500.0,0.0,1.0
2000-03-09,17.94,18.12,17.88,18.0,5.76784542472,126900.0,0.0,1.0
2000-03-10,18.06,18.12,17.88,18.0,5.76784542472,107200.0,0.0,1.0
2000-03-13,17.94,18.0,17.75,17.94,5.7486192733,174400.0,0.0,1.0
2000-03-14,18.0,18.12,17.75,17.88,5.72939312189,215400.0,0.0,1.0
2000-03-15,17.88,18.0,17.75,18.0,5.76784542472,317600.0,0.0,1.0
2000-03-16,18.0,18.5,17.88,18.25,5.84795438895,537900.0,0.0,1.0
2000-03-17,18.38,18.5,17.94,17.94,5.7486192733,446800.0,0.0,1.0
2000-03-20,18.06,18.5,18.0,18.19,5.828728237540001,232100.0,0.0,1.0
2000-03-21,18.06,18.62,18.0,18.44,5.908837201769999,504700.0,0.0,1.0
2000-03-22,18.56,18.75,18.31,18.5,5.928063353180001,370600.0,0.0,1.0
2000-03-23,18.5,18.69,18.25,18.56,5.9472895046000005,259200.0,0.0,1.0
2000-03-24,18.38,18.62,18.31,18.56,5.9472895046000005,280800.0,0.0,1.0
2000-03-27,18.44,18.69,18.12,18.25,5.84795438895,393400.0,0.0,1.0
2000-03-28,18.25,18.5,18.06,18.12,5.80629772755,384900.0,0.0,1.0
2000-03-29,18.38,18.5,18.12,18.44,5.908837201769999,261100.0,0.0,1.0
2000-03-30,18.5,18.75,18.38,18.56,5.9472895046000005,383800.0,0.0,1.0
2000-03-31,18.56,19.12,18.5,19.12,6.126733584480001,423200.0,0.0,1.0
2000-04-03,19.0,19.19,18.62,18.94,6.06905513023,474200.0,0.0,1.0
2000-04-04,18.94,19.06,18.75,18.88,6.04982897882,208500.0,0.0,1.0
2000-04-05,18.75,19.19,18.56,19.19,6.14916409446,273000.0,0.0,1.0
2000-04-06,19.19,19.38,18.88,19.25,6.16839024588,428200.0,0.0,1.0
2000-04-07,19.19,19.75,19.12,19.62,6.28695151294,619200.0,0.0,1.0
2000-04-10,19.5,19.94,19.44,19.81,6.34783432576,591800.0,0.0,1.0
2000-04-11,19.94,19.94,19.5,19.56,6.26772536153,201800.0,0.0,1.0
2000-04-12,19.69,19.94,19.44,19.81,6.34783432576,324300.0,0.0,1.0
2000-04-13,19.88,20.19,19.62,20.0,6.40871713858,361600.0,0.0,1.0
2000-04-14,19.94,20.06,19.69,19.94,6.389490987159999,362600.0,0.0,1.0
2000-04-17,19.56,19.88,19.56,19.81,6.34783432576,229400.0,0.0,1.0
2000-04-18,19.81,19.94,19.69,19.81,6.34783432576,156800.0,0.0,1.0
2000-04-19,19.81,19.94,19.75,19.81,6.34783432576,238300.0,0.0,1.0
2000-04-20,19.88,20.44,19.88,20.0,6.40871713858,464000.0,0.0,1.0
2000-04-24,20.0,20.12,19.94,20.0,6.40871713858,283100.0,0.0,1.0
2000-04-25,20.25,20.81,20.19,20.62,6.60738736987,257200.0,0.0,1.0
2000-04-26,20.44,21.38,20.44,21.12,6.76760529834,395900.0,0.0,1.0
2000-04-27,21.0,21.44,21.0,21.31,6.82848811115,258200.0,0.0,1.0
2000-04-28,21.38,21.69,21.25,21.69,6.950253736789999,252400.0,0.0,1.0
2000-05-01,21.69,22.25,21.44,22.19,7.1104716652499995,501800.0,0.0,1.0
2000-05-02,22.06,22.5,22.0,22.31,7.148923968080001,342300.0,0.0,1.0
2000-05-03,22.56,22.56,22.06,22.19,7.1104716652499995,224000.0,0.0,1.0
2000-05-04,21.81,22.12,21.75,22.0,7.04958885243,317700.0,0.0,1.0
2000-05-05,22.0,22.0,21.88,21.94,7.03036270102,192600.0,0.0,1.0
2000-05-08,21.88,22.0,21.81,21.88,7.011136549600001,164600.0,0.0,1.0
2000-05-09,21.69,22.0,21.69,21.88,7.011136549600001,285200.0,0.0,1.0
2000-05-10,21.81,22.0,21.75,22.0,7.04958885243,146200.0,0.0,1.0
2000-05-11,21.69,21.75,21.5,21.56,7.03356705959,154200.0,0.39,1.0
2000-05-12,21.5,21.69,21.38,21.69,7.075977250580001,352800.0,0.0,1.0
2000-05-15,21.56,22.06,21.56,22.0,7.17710924448,1447200.0,0.0,1.0
2000-05-16,22.12,22.12,21.81,21.94,7.157535310169999,210700.0,0.0,1.0
2000-05-17,21.94,21.94,21.81,21.81,7.11512511918,91900.0,0.0,1.0
2000-05-18,21.75,22.0,21.56,21.75,7.095551184880001,162400.0,0.0,1.0
2000-05-19,21.69,21.75,21.56,21.75,7.095551184880001,111400.0,0.0,1.0
2000-05-22,21.56,21.81,21.56,21.75,7.095551184880001,320200.0,0.0,1.0
2000-05-23,21.88,22.0,21.75,21.88,7.13796137587,218000.0,0.0,1.0
2000-05-24,21.88,21.94,21.62,21.62,7.05314099389,122300.0,0.0,1.0
2000-05-25,21.62,21.69,21.25,21.44,6.99441919098,229900.0,0.0,1.0
2000-05-26,21.38,21.44,21.0,21.12,6.8900248747,162800.0,0.0,1.0
2000-05-30,21.38,21.38,20.81,21.25,6.932435065689999,469400.0,0.0,1.0
2000-05-31,21.38,21.75,21.25,21.56,7.03356705959,243000.0,0.0,1.0
2000-06-01,21.44,21.75,21.19,21.44,6.99441919098,189200.0,0.0,1.0
2000-06-02,21.31,21.75,21.31,21.69,7.075977250580001,180400.0,0.0,1.0
2000-06-05,21.56,21.94,21.5,21.75,7.095551184880001,184100.0,0.0,1.0
2000-06-06,21.88,22.12,21.81,22.0,7.17710924448,236600.0,0.0,1.0
2000-06-07,21.81,22.06,21.81,22.0,7.17710924448,133000.0,0.0,1.0
2000-06-08,22.06,22.31,22.0,22.19,7.23909336977,163300.0,0.0,1.0
2000-06-09,22.44,22.62,22.31,22.5,7.34022536367,187000.0,0.0,1.0
2000-06-12,22.56,22.69,22.25,22.59,7.36958626512,130900.0,0.0,1.0
2000-06-13,22.62,23.0,22.56,23.0,7.50334148286,249900.0,0.0,1.0
2000-06-14,23.12,23.88,23.06,23.5,7.666457602060001,223200.0,0.0,1.0
2000-06-15,23.19,23.62,23.19,23.5,7.666457602060001,476300.0,0.0,1.0
2000-06-16,23.56,23.56,23.44,23.5,7.666457602060001,290700.0,0.0,1.0
2000-06-19,23.5,23.5,23.12,23.12,7.5424893514699995,134000.0,0.0,1.0
2000-06-20,22.94,23.25,22.94,23.12,7.5424893514699995,558600.0,0.0,1.0
2000-06-21,23.25,23.5,22.88,23.5,7.666457602060001,265800.0,0.0,1.0
2000-06-22,23.69,23.75,23.31,23.5,7.666457602060001,166100.0,0.0,1.0
2000-06-23,23.5,23.62,23.19,23.38,7.627309733450001,86100.0,0.0,1.0
2000-06-26,23.44,23.44,22.88,23.0,7.50334148286,219500.0,0.0,1.0
2000-06-27,23.06,23.19,23.0,23.0,7.50334148286,162800.0,0.0,1.0
2000-06-28,23.0,23.06,22.75,23.0,7.50334148286,174700.0,0.0,1.0
2000-06-29,23.06,23.06,23.0,23.0,7.50334148286,120500.0,0.0,1.0
2000-06-30,23.0,23.06,22.12,22.38,7.30107749506,484000.0,0.0,1.0
2000-07-03,22.62,23.19,22.62,23.19,7.565325608160001,149400.0,0.0,1.0
2000-07-05,23.19,23.31,23.06,23.19,7.565325608160001,249500.0,0.0,1.0
2000-07-06,23.12,23.75,23.06,23.56,7.686031536360001,369500.0,0.0,1.0
2000-07-07,23.69,23.94,23.62,23.78,7.7578026288,307300.0,0.0,1.0
2000-07-10,23.62,23.75,23.59,23.59,7.695818503510001,81400.0,0.0,1.0
2000-07-11,23.62,23.75,23.12,23.28,7.594686509610001,164300.0,0.0,1.0
