Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,19.31,19.31,18.81,18.81,7.12837731878,295000.0,0.0,1.0
1999-11-02,18.94,19.38,18.94,19.13,7.249646895710001,259800.0,0.0,1.0
1999-11-03,19.13,19.75,19.13,19.19,7.27238494138,352867.0,0.0,1.0
1999-11-04,19.25,20.06,19.25,19.75,7.484606701000001,291800.0,0.0,1.0
1999-11-05,19.94,20.19,19.69,19.69,7.46186865533,643000.0,0.0,1.0
1999-11-08,19.75,20.5,19.75,20.25,7.67409041495,323800.0,0.0,1.0
1999-11-09,20.38,20.38,19.31,19.31,7.31786103273,423467.0,0.0,1.0
1999-11-10,19.19,19.63,19.13,19.38,7.3443887526800005,231667.0,0.0,1.0
1999-11-11,19.38,19.56,19.25,19.5,7.38986484403,256200.0,0.0,1.0
1999-11-12,19.38,19.88,19.38,19.69,7.46186865533,127667.0,0.0,1.0
1999-11-15,19.75,20.25,19.75,19.88,7.53387246663,199000.0,0.0,1.0
1999-11-16,19.94,20.0,19.63,19.75,7.484606701000001,230467.0,0.0,1.0
1999-11-17,19.75,19.88,19.38,19.38,7.3443887526800005,394000.0,0.0,1.0
1999-11-18,19.44,19.63,18.81,18.81,7.12837731878,514067.0,0.0,1.0
1999-11-19,18.56,18.69,17.81,18.0,6.821413702180001,330400.0,0.0,1.0
1999-11-22,18.13,18.31,17.88,18.09,6.85552077069,320800.0,0.0,1.0
1999-11-23,17.94,17.94,17.38,17.56,6.6546680339,303467.0,0.0,1.0
1999-11-24,17.56,17.63,17.0,17.19,6.514450085580001,302667.0,0.0,1.0
1999-11-26,17.19,17.5,17.13,17.13,6.4917120399099995,84400.0,0.0,1.0
1999-11-29,17.13,17.88,16.88,17.88,6.775937610830001,285267.0,0.0,1.0
1999-11-30,17.88,17.88,17.38,17.81,6.749409890880001,717867.0,0.0,1.0
1999-12-01,17.94,18.31,17.75,17.88,6.775937610830001,457867.0,0.0,1.0
1999-12-02,17.88,17.94,17.06,17.31,6.55992617693,231200.0,0.0,1.0
1999-12-03,17.38,18.13,17.38,17.94,6.79867565651,304000.0,0.0,1.0
1999-12-06,17.94,17.94,17.56,17.63,6.68119575386,169667.0,0.0,1.0
1999-12-07,17.56,17.81,17.25,17.44,6.609191942560001,347067.0,0.0,1.0
1999-12-08,17.31,17.69,17.13,17.25,6.537188131259999,240600.0,0.0,1.0
1999-12-09,17.19,17.31,16.44,16.56,6.275700606,235267.0,0.0,1.0
1999-12-10,16.81,16.81,16.19,16.5,6.25296256033,226600.0,0.0,1.0
1999-12-13,16.44,16.88,16.13,16.31,6.18095874903,314467.0,0.0,1.0
1999-12-14,16.06,16.56,16.0,16.5,6.25296256033,420867.0,0.0,1.0
1999-12-15,16.31,16.81,16.25,16.38,6.20748646898,315400.0,0.0,1.0
1999-12-16,16.13,16.25,15.88,15.94,6.04074080071,321467.0,0.0,1.0
