Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,33.19,34.25,33.06,33.81,13.3532204807,473100.0,0.0,1.0
1999-11-02,34.0,35.25,33.94,34.81,13.748169326700001,1033700.0,0.0,1.0
1999-11-03,34.94,34.94,34.44,34.81,13.748169326700001,526300.0,0.0,1.0
1999-11-04,35.0,35.0,33.88,34.13,13.4796041114,427200.0,0.0,1.0
1999-11-05,34.56,34.88,34.31,34.81,13.748169326700001,465700.0,0.0,1.0
1999-11-08,34.63,34.88,34.44,34.81,13.748169326700001,247600.0,0.0,1.0
1999-11-09,34.63,34.75,34.0,34.0,13.4282607615,1536900.0,0.0,1.0
1999-11-10,33.75,34.13,33.56,33.56,13.254483269300001,454400.0,0.0,1.0
1999-11-11,33.06,33.81,33.06,33.69,13.305826619200001,476300.0,0.0,1.0
1999-11-12,33.63,34.13,33.38,33.56,13.254483269300001,458000.0,0.0,1.0
1999-11-15,33.56,33.75,33.19,33.38,13.183392477,206500.0,0.0,1.0
1999-11-16,33.63,33.69,33.38,33.5,13.2307863385,259600.0,0.0,1.0
1999-11-17,33.56,33.63,33.38,33.5,13.2307863385,318300.0,0.0,1.0
1999-11-18,33.63,33.75,33.38,33.5,13.2307863385,263500.0,0.0,1.0
1999-11-19,33.31,33.5,33.06,33.25,13.132049127,413600.0,0.0,1.0
1999-11-22,33.0,33.13,32.56,32.84,12.970120100199999,354600.0,0.0,1.0
1999-11-23,32.44,32.5,32.0,32.06,12.6620600004,291200.0,0.0,1.0
1999-11-24,32.25,32.94,32.0,32.69,12.9108777733,772900.0,0.0,1.0
1999-11-26,33.31,33.31,32.81,32.81,12.9582716348,161400.0,0.0,1.0
1999-11-29,32.56,32.56,31.5,32.06,12.6620600004,397800.0,0.0,1.0
1999-11-30,32.06,33.06,32.0,33.06,13.0570088463,1157600.0,0.0,1.0
1999-12-01,33.0,33.06,32.5,32.63,12.8871808425,618800.0,0.0,1.0
1999-12-02,32.69,33.06,32.69,32.94,13.0096149848,108500.0,0.0,1.0
1999-12-03,33.19,33.75,33.19,33.44,13.2070894077,212600.0,0.0,1.0
1999-12-06,33.25,33.5,33.06,33.38,13.183392477,473500.0,0.0,1.0
1999-12-07,33.38,33.75,33.38,33.5,13.2307863385,741400.0,0.0,1.0
1999-12-08,33.44,33.56,33.38,33.46,13.2149883847,419600.0,0.0,1.0
1999-12-09,33.44,33.63,33.38,33.44,13.2070894077,616700.0,0.0,1.0
1999-12-10,33.44,33.44,32.63,32.63,12.8871808425,450500.0,0.0,1.0
1999-12-13,32.88,32.88,32.25,32.31,12.7607972119,490800.0,0.0,1.0
1999-12-14,32.38,32.44,32.0,32.38,12.7884436311,385300.0,0.0,1.0
1999-12-15,32.38,32.69,32.13,32.31,12.7607972119,6488600.0,0.0,1.0
1999-12-16,32.0,32.5,31.5,31.69,12.719327583,1359000.0,0.515,1.0
1999-12-17,31.56,31.56,31.56,31.56,12.667149842899999,450400.0,0.0,1.0
1999-12-20,31.5,32.0,31.31,31.57,12.6711635152,327800.0,0.0,1.0
1999-12-21,31.88,32.44,31.5,32.19,12.920011199000001,904900.0,0.0,1.0
1999-12-22,32.06,32.19,31.31,31.56,12.667149842899999,379500.0,0.0,1.0
1999-12-23,31.69,32.19,31.56,32.06,12.867833458900002,169900.0,0.0,1.0
1999-12-27,32.0,32.31,31.63,31.63,12.695245549100001,330800.0,0.0,1.0
1999-12-28,31.56,32.06,31.56,31.75,12.743409617000001,95700.0,0.0,1.0
1999-12-29,31.63,31.75,31.19,31.19,12.518643967000001,120200.0,0.0,1.0
1999-12-30,31.44,31.56,31.25,31.38,12.5949037411,236300.0,0.0,1.0
1999-12-31,31.75,31.75,31.06,31.63,12.695245549100001,183900.0,0.0,1.0
2000-01-03,31.38,31.38,29.88,30.06,12.0650989948,572300.0,0.0,1.0
2000-01-04,29.56,30.13,29.56,30.13,12.0931947011,561200.0,0.0,1.0
2000-01-05,30.31,31.44,30.31,31.19,12.518643967000001,378200.0,0.0,1.0
2000-01-06,31.0,31.38,30.69,30.94,12.418302159000001,288500.0,0.0,1.0
2000-01-07,31.0,31.25,30.88,31.25,12.542726000899998,567300.0,0.0,1.0
2000-01-10,31.94,32.13,31.31,31.44,12.618985775,632800.0,0.0,1.0
2000-01-11,31.31,31.44,31.0,31.44,12.618985775,359700.0,0.0,1.0
2000-01-12,31.31,31.94,31.25,31.56,12.667149842899999,1021700.0,0.0,1.0
2000-01-13,31.69,31.75,31.19,31.5,12.643067808900001,321400.0,0.0,1.0
2000-01-14,31.56,31.75,31.0,31.19,12.518643967000001,409900.0,0.0,1.0
2000-01-18,31.19,31.31,30.5,30.81,12.366124418800002,251200.0,0.0,1.0
2000-01-19,31.0,32.13,30.88,31.88,12.7955873571,581500.0,0.0,1.0
2000-01-20,32.0,34.06,31.88,33.88,13.598321821199999,985800.0,0.0,1.0
2000-01-21,34.75,37.5,33.88,37.19,14.9268473592,1231300.0,0.0,1.0
2000-01-24,39.0,41.31,37.38,37.56,15.075353235,1822600.0,0.0,1.0
2000-01-25,37.63,38.0,35.25,35.75,14.3488785451,773400.0,0.0,1.0
2000-01-26,35.81,35.88,35.38,35.88,14.4010562852,443300.0,0.0,1.0
2000-01-27,35.75,35.75,34.5,35.0,14.047853121,963600.0,0.0,1.0
2000-01-28,34.5,34.69,33.25,33.25,13.345460465,394300.0,0.0,1.0
2000-01-31,33.63,35.0,33.38,34.75,13.947511313,906000.0,0.0,1.0
2000-02-01,34.88,35.31,34.69,34.75,13.947511313,637000.0,0.0,1.0
2000-02-02,34.44,34.56,33.62,33.69,13.5220620471,386000.0,0.0,1.0
2000-02-03,33.69,34.56,33.69,34.25,13.746827697,623600.0,0.0,1.0
2000-02-04,34.31,34.38,33.13,33.25,13.345460465,546600.0,0.0,1.0
2000-02-07,33.25,33.25,32.63,33.0,13.245118657,372800.0,0.0,1.0
2000-02-08,33.19,33.25,32.94,33.0,13.245118657,580600.0,0.0,1.0
2000-02-09,33.0,33.38,32.38,32.38,12.9962709731,521800.0,0.0,1.0
2000-02-10,32.63,32.69,31.88,32.19,12.920011199000001,662500.0,0.0,1.0
2000-02-11,32.19,32.69,32.19,32.5,13.044435041,327200.0,0.0,1.0
2000-02-14,32.75,33.38,32.44,32.69,13.1206948151,509800.0,0.0,1.0
2000-02-15,32.81,33.25,32.63,33.0,13.245118657,517600.0,0.0,1.0
2000-02-16,33.06,33.25,32.5,32.56,13.0685170749,377800.0,0.0,1.0
2000-02-17,33.0,33.19,32.38,32.5,13.044435041,475400.0,0.0,1.0
2000-02-18,32.5,32.56,32.06,32.13,12.8959291651,328000.0,0.0,1.0
2000-02-22,32.38,32.5,31.69,31.81,12.767491650899998,324800.0,0.0,1.0
2000-02-23,31.56,31.63,30.75,30.88,12.3942201251,302100.0,0.0,1.0
2000-02-24,31.06,31.19,29.81,30.06,12.0650989948,620100.0,0.0,1.0
2000-02-25,30.06,30.19,29.13,29.44,11.816251310999998,451100.0,0.0,1.0
2000-02-28,29.38,30.19,29.13,29.75,11.940675152899999,750600.0,0.0,1.0
2000-02-29,29.75,30.31,29.5,30.19,12.117276735,437900.0,0.0,1.0
2000-03-01,30.0,30.38,29.19,29.38,11.792169277000001,361500.0,0.0,1.0
2000-03-02,29.75,29.75,29.19,29.38,11.792169277000001,608500.0,0.0,1.0
2000-03-03,29.25,29.63,29.13,29.5,11.8403333449,496600.0,0.0,1.0
2000-03-06,31.0,31.0,29.63,29.81,11.9647571868,1142100.0,0.0,1.0
2000-03-07,29.81,30.44,29.38,29.38,11.792169277000001,833100.0,0.0,1.0
2000-03-08,29.31,30.0,29.13,29.75,11.940675152899999,572100.0,0.0,1.0
2000-03-09,29.75,30.25,29.69,30.25,12.141358768900002,878900.0,0.0,1.0
2000-03-10,30.5,31.19,30.38,30.75,12.342042384900001,843600.0,0.0,1.0
2000-03-13,30.0,31.06,29.94,30.56,12.265782610799999,896700.0,0.0,1.0
2000-03-14,30.56,30.94,29.75,30.0,12.041016960899999,1096300.0,0.0,1.0
2000-03-15,30.06,31.94,30.0,31.44,12.618985775,1075200.0,0.0,1.0
2000-03-16,30.56,32.31,30.5,31.88,13.0022914816,2414700.0,0.515,1.0
2000-03-17,31.31,31.63,30.19,30.44,12.4149859693,580200.0,0.0,1.0
2000-03-20,30.63,30.94,30.38,30.69,12.516948731800001,454200.0,0.0,1.0
2000-03-21,30.94,30.94,29.56,30.06,12.2600025702,397800.0,0.0,1.0
2000-03-22,30.0,30.0,28.44,29.25,11.9296432195,737400.0,0.0,1.0
2000-03-23,29.44,30.25,29.44,29.88,12.1865893811,689300.0,0.0,1.0
2000-03-24,29.81,29.94,29.31,29.75,12.1335687446,541900.0,0.0,1.0
2000-03-27,29.94,30.44,29.75,29.75,12.1335687446,349600.0,0.0,1.0
2000-03-28,29.75,30.25,29.63,30.0,12.235531507200001,636600.0,0.0,1.0
2000-03-29,29.81,30.25,29.75,29.75,12.1335687446,578300.0,0.0,1.0
2000-03-30,29.94,30.38,29.5,29.63,12.0846266186,813400.0,0.0,1.0
2000-03-31,29.75,29.75,28.88,29.19,11.9051721565,1806800.0,0.0,1.0
2000-04-03,29.13,29.38,28.88,29.31,11.9541142825,564000.0,0.0,1.0
2000-04-04,29.25,29.94,29.06,29.63,12.0846266186,805000.0,0.0,1.0
2000-04-05,29.63,30.44,29.44,29.75,12.1335687446,637500.0,0.0,1.0
2000-04-06,30.0,30.0,29.06,29.63,12.0846266186,535800.0,0.0,1.0
2000-04-07,29.31,29.69,29.06,29.44,12.007134919,348200.0,0.0,1.0
2000-04-10,29.31,30.19,29.25,30.13,12.288552143699999,417500.0,0.0,1.0
2000-04-11,30.13,30.56,29.81,29.81,12.1580398076,376000.0,0.0,1.0
2000-04-12,29.69,30.69,29.69,29.81,12.1580398076,805400.0,0.0,1.0
