Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,135.5,139.0,135.0,137.0,7.09646406079,3228500.0,0.0,1.0
1999-11-02,135.9,136.0,128.0,131.3,6.80120971666,6084300.0,0.0,1.0
1999-11-03,132.6,132.9,126.3,127.1,6.58365388414,3978300.0,0.0,1.0
1999-11-04,128.4,133.0,128.0,130.0,6.73387100659,3327000.0,0.0,1.0
1999-11-05,133.1,134.9,131.0,133.3,6.90480773214,2742900.0,0.0,1.0
1999-11-08,132.4,140.3,132.1,137.0,7.09646406079,4038900.0,0.0,1.0
1999-11-09,139.3,139.4,132.8,134.9,6.9876861445300005,2134600.0,0.0,1.0
1999-11-10,134.4,138.5,131.5,133.3,6.90480773214,2392200.0,0.0,1.0
1999-11-11,133.3,135.8,131.0,133.1,6.894447930589999,2039700.0,0.0,1.0
1999-11-12,133.6,138.3,130.6,136.9,7.09128416002,2440600.0,0.0,1.0
1999-11-15,136.8,142.0,136.0,140.7,7.288120389439999,2557800.0,0.0,1.0
1999-11-16,140.6,146.5,139.0,146.3,7.578194832799999,3461800.0,0.0,1.0
1999-11-17,145.3,150.4,140.5,141.1,7.308839992539999,2544600.0,0.0,1.0
1999-11-18,142.3,154.0,142.0,152.3,7.888988879260001,3841000.0,0.0,1.0
1999-11-19,149.8,150.6,144.5,145.9,7.5574752297000005,2501300.0,0.0,1.0
1999-11-22,145.4,158.8,144.6,154.3,7.99258689474,4994500.0,0.0,1.0
1999-11-23,153.0,173.0,151.8,167.3,8.6659739954,7988200.0,0.0,1.0
1999-11-24,168.8,179.7,167.4,179.5,9.29792188987,4966800.0,0.0,1.0
1999-11-26,182.0,186.0,176.5,177.2,9.17878417206,1902500.0,0.0,1.0
1999-11-29,178.6,180.0,169.2,169.6,8.785111713210004,3696300.0,0.0,1.0
1999-11-30,169.0,171.6,164.5,165.1,8.55201617837,2866800.0,0.0,1.0
1999-12-01,157.0,164.9,156.0,160.0,8.28784123888,3254000.0,0.0,1.0
1999-12-02,160.3,167.5,159.9,167.1,8.65561419386,2591400.0,0.0,1.0
1999-12-03,169.9,181.4,169.5,178.8,9.26166258445,5176400.0,0.0,1.0
1999-12-06,177.8,181.9,173.0,176.5,9.142524866639999,1976700.0,0.0,1.0
1999-12-07,176.7,178.3,162.4,163.8,8.484677468300001,5327500.0,0.0,1.0
1999-12-08,164.0,170.1,160.2,162.4,8.41215885746,3882700.0,0.0,1.0
1999-12-09,166.3,169.5,157.9,160.6,8.318920643530001,3713300.0,0.0,1.0
1999-12-10,166.5,167.3,160.1,164.4,8.51575687295,3100100.0,0.0,1.0
1999-12-13,164.8,170.1,160.5,162.1,8.39661915514,2362100.0,0.0,1.0
1999-12-14,161.6,162.6,150.1,150.6,7.8009305661,2834200.0,0.0,1.0
1999-12-15,154.5,159.9,145.5,145.9,7.5574752297000005,4628600.0,0.0,1.0
