Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,34.0,34.25,33.5,34.25,13.352019651400001,280700.0,0.0,1.0
1999-11-02,34.19,34.56,33.88,34.19,13.3286292521,205500.0,0.0,1.0
1999-11-03,34.19,34.63,33.75,34.0,13.254559654000001,336100.0,0.0,1.0
1999-11-04,34.0,34.44,34.0,34.0,13.254559654000001,291100.0,0.0,1.0
1999-11-05,34.25,34.44,33.69,33.94,13.231169254600001,305300.0,0.0,1.0
1999-11-08,34.19,34.75,34.19,34.56,13.472870048299999,176200.0,0.0,1.0
1999-11-09,34.56,34.69,33.81,33.88,13.207778855199999,408000.0,0.0,1.0
1999-11-10,33.88,35.13,33.88,35.0,13.644399643800002,223100.0,0.0,1.0
1999-11-11,34.81,35.5,34.81,35.25,13.741859641300001,278000.0,0.0,1.0
1999-11-12,35.38,36.13,34.63,34.88,13.597618845,537500.0,0.0,1.0
1999-11-15,34.81,36.19,34.81,36.19,14.108309231700002,304400.0,0.0,1.0
1999-11-16,36.19,37.38,36.19,36.94,14.4006892241,406600.0,0.0,1.0
1999-11-17,37.38,37.81,37.25,37.63,14.669678817000001,426600.0,0.0,1.0
1999-11-18,37.81,37.81,36.5,36.88,14.3772988247,258500.0,0.0,1.0
1999-11-19,36.63,36.81,36.13,36.5,14.2291596285,225800.0,0.0,1.0
1999-11-22,36.75,36.75,35.5,36.0,14.034239633599999,313200.0,0.0,1.0
1999-11-23,36.0,36.13,34.69,34.81,13.570330045699999,395500.0,0.0,1.0
1999-11-24,34.94,35.0,34.19,34.94,13.6210092444,200700.0,0.0,1.0
1999-11-26,34.69,34.94,34.5,34.75,13.5469396464,48600.0,0.0,1.0
1999-11-29,34.5,34.5,33.44,33.56,13.083030058499999,349500.0,0.0,1.0
1999-11-30,33.5,35.31,33.5,34.63,13.5001588476,348700.0,0.0,1.0
1999-12-01,34.38,35.19,34.19,34.56,13.472870048299999,399000.0,0.0,1.0
1999-12-02,34.63,34.94,34.56,34.75,13.5469396464,202500.0,0.0,1.0
1999-12-03,34.63,36.0,34.63,35.25,13.741859641300001,485300.0,0.0,1.0
1999-12-06,35.0,35.25,34.38,34.63,13.5001588476,311600.0,0.0,1.0
1999-12-07,34.88,34.88,33.75,34.13,13.3052388527,334200.0,0.0,1.0
1999-12-08,34.0,34.06,33.38,33.94,13.231169254600001,260300.0,0.0,1.0
1999-12-09,33.88,34.13,33.63,33.75,13.157099656500002,234500.0,0.0,1.0
1999-12-10,33.69,33.81,32.88,33.69,13.1337092571,228200.0,0.0,1.0
1999-12-13,33.44,34.13,33.38,33.81,13.1804900559,281300.0,0.0,1.0
1999-12-14,33.56,34.38,33.5,33.94,13.231169254600001,415600.0,0.0,1.0
1999-12-15,33.75,34.94,33.5,34.81,13.570330045699999,377500.0,0.0,1.0
1999-12-16,35.0,36.25,34.75,35.63,13.8899988374,598600.0,0.0,1.0
