Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,37.88,38.25,37.63,38.06,13.084749273499998,173100.0,0.0,1.0
1999-11-02,38.0,38.88,37.75,37.75,12.9781735438,207200.0,0.0,1.0
1999-11-03,37.88,38.19,37.63,38.0,13.0641217129,293100.0,0.0,1.0
1999-11-04,38.0,38.06,37.06,37.63,12.9369184226,296600.0,0.0,1.0
1999-11-05,38.25,38.38,37.88,37.88,13.022866591700001,325800.0,0.0,1.0
1999-11-08,38.0,38.38,37.25,37.31,12.826904766099998,615800.0,0.0,1.0
1999-11-09,37.5,37.5,36.63,36.75,12.6343808671,572600.0,0.0,1.0
1999-11-10,36.63,36.75,36.5,36.75,12.6343808671,583500.0,0.0,1.0
1999-11-11,36.75,36.94,36.19,36.81,12.6550084277,309300.0,0.0,1.0
1999-11-12,36.81,37.19,36.63,36.75,12.6343808671,1653200.0,0.0,1.0
1999-11-15,36.13,36.44,35.88,36.19,12.6257860502,436200.0,0.535,1.0
1999-11-16,36.63,36.63,36.0,36.13,12.6048535505,450700.0,0.0,1.0
1999-11-17,36.19,36.25,36.0,36.0,12.559499801300001,553400.0,0.0,1.0
1999-11-18,36.06,36.13,35.94,36.0,12.559499801300001,381900.0,0.0,1.0
1999-11-19,36.0,36.13,35.94,36.06,12.580432300899998,544300.0,0.0,1.0
1999-11-22,36.0,36.0,35.5,35.5,12.385062304000002,979200.0,0.0,1.0
1999-11-23,35.44,35.5,34.81,34.88,12.1687598074,396200.0,0.0,1.0
1999-11-24,34.88,35.19,34.81,34.94,12.1896923071,544600.0,0.0,1.0
1999-11-26,34.88,35.0,34.81,34.88,12.1687598074,122600.0,0.0,1.0
1999-11-29,34.75,34.75,33.63,33.88,11.819884813,452800.0,0.0,1.0
1999-11-30,34.25,35.19,34.19,34.5,12.0361873095,1239900.0,0.0,1.0
1999-12-01,34.38,34.56,34.25,34.5,12.0361873095,932500.0,0.0,1.0
1999-12-02,34.38,34.75,34.38,34.56,12.057119809200001,535300.0,0.0,1.0
1999-12-03,34.63,35.19,34.63,35.0,12.2106248068,619500.0,0.0,1.0
1999-12-06,35.0,35.13,34.81,35.0,12.2106248068,543700.0,0.0,1.0
1999-12-07,35.25,35.25,35.0,35.0,12.2106248068,942700.0,0.0,1.0
1999-12-08,35.0,35.0,34.56,34.75,12.123406058199999,1055000.0,0.0,1.0
1999-12-09,34.81,34.81,34.44,34.56,12.057119809200001,644600.0,0.0,1.0
1999-12-10,34.69,34.69,34.0,34.38,11.9943223102,418200.0,0.0,1.0
1999-12-13,34.13,34.13,33.63,33.95,11.8443060626,512000.0,0.0,1.0
1999-12-14,34.0,34.19,33.81,33.94,11.8408173126,523700.0,0.0,1.0
1999-12-15,33.94,34.56,33.88,34.56,12.057119809200001,1216800.0,0.0,1.0
1999-12-16,34.75,34.75,34.0,34.0,11.8617498123,589600.0,0.0,1.0
1999-12-17,33.75,34.19,33.56,33.75,11.7745310637,1259500.0,0.0,1.0
1999-12-20,33.75,34.38,33.75,34.25,11.9489685609,685900.0,0.0,1.0
1999-12-21,34.25,35.13,34.19,35.0,12.2106248068,825000.0,0.0,1.0
1999-12-22,34.81,34.81,34.56,34.63,12.081541058800001,647900.0,0.0,1.0
1999-12-23,34.88,35.25,34.81,35.13,12.255978556099999,175400.0,0.0,1.0
