Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,27.16,27.66,26.97,27.35,13.167433116199998,530700.0,0.0,1.0
1999-11-02,27.16,28.09,27.16,27.47,13.2252061317,664900.0,0.0,1.0
1999-11-03,27.41,27.84,27.22,27.41,13.196319624000001,344300.0,0.0,1.0
1999-11-04,27.41,27.66,27.04,27.1,13.0470726673,255200.0,0.0,1.0
1999-11-05,27.35,27.9,27.35,27.35,13.167433116199998,215900.0,0.0,1.0
1999-11-08,27.28,27.59,27.04,27.47,13.2252061317,332800.0,0.0,1.0
1999-11-09,27.66,27.66,26.11,26.48,12.7485787539,518300.0,0.0,1.0
1999-11-10,26.6,27.16,26.42,26.79,12.8978257106,288500.0,0.0,1.0
1999-11-11,26.6,26.79,26.04,26.35,12.6859913204,468200.0,0.0,1.0
1999-11-12,25.92,25.92,24.37,25.49,12.271951375999999,1655700.0,0.0,1.0
1999-11-15,25.49,26.29,25.24,26.04,12.536744363699999,642200.0,0.0,1.0
1999-11-16,26.04,26.91,25.86,26.73,12.8689392028,540500.0,0.0,1.0
1999-11-17,26.73,26.79,25.8,25.86,12.450084840399999,243000.0,0.0,1.0
1999-11-18,25.98,26.48,25.42,25.49,12.271951375999999,244500.0,0.0,1.0
1999-11-19,25.05,25.55,24.62,25.55,12.300837883699998,400400.0,0.0,1.0
1999-11-22,25.33,25.33,24.58,24.64,11.9072592156,241600.0,0.0925,1.0
1999-11-23,24.83,24.83,23.65,23.84,11.5206598905,721600.0,0.0,1.0
1999-11-24,23.71,23.9,22.9,23.71,11.4578375001,725800.0,0.0,1.0
1999-11-26,23.9,24.15,23.65,24.02,11.6076447386,297100.0,0.0,1.0
1999-11-29,23.52,24.64,23.52,24.27,11.7284570277,747600.0,0.0,1.0
1999-11-30,24.02,24.96,23.9,24.64,11.9072592156,464200.0,0.0,1.0
1999-12-01,24.21,24.77,23.96,24.33,11.7574519771,418000.0,0.0,1.0
1999-12-02,24.21,24.46,23.9,23.96,11.5786497892,280600.0,0.0,1.0
1999-12-03,24.02,24.46,24.02,24.08,11.636639687999999,254500.0,0.0,1.0
1999-12-06,23.96,24.33,23.9,23.9,11.5496548398,314700.0,0.0,1.0
