Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,29.63,29.63,28.88,28.94,16.1425076982,1368700.0,0.0,1.0
1999-11-02,28.94,29.19,28.31,28.94,16.1425076982,925500.0,0.0,1.0
1999-11-03,28.81,28.81,28.31,28.5,15.8970791084,899900.0,0.0,1.0
1999-11-04,28.75,29.06,28.44,28.75,16.0365271708,998000.0,0.0,1.0
1999-11-05,28.94,29.13,28.75,28.81,16.0699947057,853400.0,0.0,1.0
1999-11-08,28.38,28.69,28.38,28.5,15.8970791084,506500.0,0.0,1.0
1999-11-09,28.31,28.5,28.0,28.5,15.8970791084,687500.0,0.0,1.0
1999-11-10,28.25,28.38,27.69,27.81,15.5122024563,772700.0,0.0,1.0
1999-11-11,27.88,28.38,27.88,28.31,15.791098580999998,981000.0,0.0,1.0
1999-11-12,28.5,28.5,28.19,28.5,15.8970791084,357300.0,0.0,1.0
1999-11-15,28.31,28.44,28.06,28.19,15.724163511099999,356100.0,0.0,1.0
1999-11-16,28.31,28.5,27.81,27.94,15.584715448699999,1038900.0,0.0,1.0
1999-11-17,27.94,27.94,27.44,27.69,15.445267386400001,726600.0,0.0,1.0
1999-11-18,27.63,27.75,27.19,27.38,15.2723517891,451500.0,0.0,1.0
1999-11-19,27.25,27.38,26.94,27.0,15.0603907343,664900.0,0.0,1.0
1999-11-22,27.0,27.13,26.31,26.59,14.831695912,563100.0,0.0,1.0
1999-11-23,26.5,26.5,25.75,26.25,14.6420465472,700700.0,0.0,1.0
1999-11-24,26.44,26.94,26.38,26.94,15.0269231993,818400.0,0.0,1.0
1999-11-26,26.69,26.81,26.44,26.44,14.7480270746,208300.0,0.0,1.0
1999-11-29,26.31,26.5,25.75,25.88,14.4356634149,523600.0,0.0,1.0
1999-11-30,25.5,26.81,25.5,26.5,14.781494609600001,912900.0,0.0,1.0
1999-12-01,26.5,26.75,26.38,26.38,14.7145595397,440000.0,0.0,1.0
1999-12-02,26.19,27.0,26.19,26.94,15.0269231993,694700.0,0.0,1.0
1999-12-03,27.06,27.25,26.88,27.06,15.0938582693,1179100.0,0.0,1.0
1999-12-06,26.94,27.0,25.75,26.06,14.5360660198,535700.0,0.0,1.0
1999-12-07,26.0,26.19,25.25,25.31,14.1177218328,821800.0,0.0,1.0
1999-12-08,25.5,25.63,24.94,25.06,13.9782737704,673800.0,0.0,1.0
1999-12-09,25.19,25.5,24.75,24.75,13.8053581731,785500.0,0.0,1.0
1999-12-10,24.75,24.94,24.5,24.5,13.665910110699999,529900.0,0.0,1.0
1999-12-13,24.56,24.56,24.19,24.25,13.526462048399999,789400.0,0.0,1.0
1999-12-14,24.31,24.88,24.25,24.44,13.632442575799999,542800.0,0.0,1.0
1999-12-15,24.5,25.25,24.25,25.25,14.0842542978,832400.0,0.0,1.0
1999-12-16,25.38,25.38,25.06,25.13,14.0173192279,1007700.0,0.0,1.0
1999-12-17,25.75,25.75,25.25,25.31,14.1177218328,1088400.0,0.0,1.0
1999-12-20,25.44,25.75,25.25,25.75,14.3631504225,736000.0,0.0,1.0
1999-12-21,25.5,26.56,25.5,26.19,14.6085790123,979000.0,0.0,1.0
1999-12-22,26.13,26.63,26.0,26.5,14.781494609600001,657100.0,0.0,1.0
1999-12-23,26.5,27.06,26.5,26.94,15.0269231993,829700.0,0.0,1.0
1999-12-27,26.94,27.19,26.63,26.63,14.854007602000001,378900.0,0.0,1.0
1999-12-28,26.63,26.94,26.38,26.56,14.8149621446,435300.0,0.0,1.0
1999-12-29,26.44,26.44,25.94,26.13,14.5751114773,512000.0,0.0,1.0
1999-12-30,25.88,26.31,25.88,26.25,14.6420465472,369200.0,0.0,1.0
1999-12-31,26.06,26.38,26.06,26.19,14.6085790123,16138200.0,0.0,1.0
2000-01-03,25.5,25.56,24.81,25.06,14.1288776778,755000.0,0.27,1.0
2000-01-04,24.88,25.63,24.88,25.31,14.269828173399999,715400.0,0.0,1.0
2000-01-05,25.94,27.5,25.81,27.0,15.222653523499998,1330000.0,0.0,1.0
2000-01-06,26.69,26.88,26.13,26.88,15.154997285599999,1210100.0,0.0,1.0
2000-01-07,27.0,28.0,27.0,28.0,15.7864555059,2816800.0,0.0,1.0
2000-01-10,27.94,28.06,27.63,28.0,15.7864555059,912200.0,0.0,1.0
2000-01-11,28.0,28.06,27.75,27.94,15.7526273869,960100.0,0.0,1.0
2000-01-12,27.81,28.19,27.81,27.94,15.7526273869,618300.0,0.0,1.0
2000-01-13,27.81,28.0,27.69,27.75,15.645505010299999,848500.0,0.0,1.0
2000-01-14,27.5,27.63,27.25,27.5,15.5045545147,712800.0,0.0,1.0
2000-01-18,27.25,27.5,26.75,27.0,15.222653523499998,1032700.0,0.0,1.0
2000-01-19,26.56,27.38,26.56,27.25,15.3636040191,1014000.0,0.0,1.0
2000-01-20,26.88,26.94,26.69,26.81,15.1155311469,787500.0,0.0,1.0
2000-01-21,27.0,27.5,26.88,27.44,15.4707263958,1016200.0,0.0,1.0
2000-01-24,27.63,29.31,27.56,28.5,16.0683564971,1592700.0,0.0,1.0
2000-01-25,28.5,29.06,28.5,28.88,16.2826012504,2807400.0,0.0,1.0
2000-01-26,28.94,29.06,28.81,29.0,16.3502574882,896900.0,0.0,1.0
2000-01-27,28.81,29.56,28.69,29.0,16.3502574882,1649600.0,0.0,1.0
2000-01-28,29.0,29.0,28.25,28.25,15.927406001500001,869500.0,0.0,1.0
2000-01-31,28.31,29.13,28.0,29.13,16.4235517459,965200.0,0.0,1.0
2000-02-01,29.38,29.38,28.13,28.63,16.1416507548,1351400.0,0.0,1.0
2000-02-02,28.56,28.69,28.38,28.56,16.102184616,943300.0,0.0,1.0
2000-02-03,28.5,30.0,28.5,29.5,16.6321584794,1030100.0,0.0,1.0
2000-02-04,29.44,29.5,28.13,28.38,16.000700259200002,838100.0,0.0,1.0
2000-02-07,28.13,28.38,27.88,28.38,16.000700259200002,855100.0,0.0,1.0
2000-02-08,28.19,28.19,27.63,27.88,15.718799268,1400500.0,0.0,1.0
2000-02-09,27.81,28.13,27.5,28.0,15.7864555059,1100700.0,0.0,1.0
2000-02-10,27.69,28.38,27.5,27.5,15.5045545147,756100.0,0.0,1.0
2000-02-11,27.56,28.25,27.56,27.75,15.645505010299999,487000.0,0.0,1.0
2000-02-14,27.75,28.25,27.69,27.94,15.7526273869,624800.0,0.0,1.0
2000-02-15,28.0,28.13,27.88,28.0,15.7864555059,524600.0,0.0,1.0
2000-02-16,28.06,28.5,28.0,28.38,16.000700259200002,600200.0,0.0,1.0
2000-02-17,28.31,28.44,27.94,28.06,15.8202836248,381000.0,0.0,1.0
2000-02-18,28.06,28.13,27.13,27.25,15.3636040191,929100.0,0.0,1.0
2000-02-22,27.25,27.44,26.88,27.31,15.3974321381,570400.0,0.0,1.0
2000-02-23,27.44,27.44,26.63,26.69,15.047874909,629800.0,0.0,1.0
2000-02-24,26.13,26.13,25.0,25.31,14.269828173399999,1181500.0,0.0,1.0
2000-02-25,25.56,25.81,25.31,25.75,14.517901045599999,838700.0,0.0,1.0
2000-02-28,25.75,26.81,25.63,26.5,14.9407525324,1114200.0,0.0,1.0
2000-02-29,26.38,26.38,25.75,26.25,14.799802036800001,715300.0,0.0,1.0
2000-03-01,26.0,26.19,25.25,25.75,14.517901045599999,683600.0,0.0,1.0
2000-03-02,25.38,25.75,25.38,25.63,14.450244807699999,747300.0,0.0,1.0
2000-03-03,25.75,26.0,25.5,25.63,14.450244807699999,591100.0,0.0,1.0
2000-03-06,18.38,19.63,17.5,17.94,10.1146075634,7939800.0,0.0,1.0
2000-03-07,18.44,18.44,16.0,16.0,9.02083171765,7697000.0,0.0,1.0
2000-03-08,16.31,16.31,15.88,16.25,9.161782213239999,4156800.0,0.0,1.0
2000-03-09,16.38,16.44,15.44,15.69,8.84605310312,4243400.0,0.0,1.0
2000-03-10,15.69,15.75,15.25,15.31,8.63180834982,3127100.0,0.0,1.0
2000-03-13,15.5,16.44,15.44,16.31,9.195610332180001,2262100.0,0.0,1.0
2000-03-14,16.31,16.38,15.38,15.56,8.77275884541,1930600.0,0.0,1.0
2000-03-15,15.63,15.63,15.38,15.44,8.70510260753,4160000.0,0.0,1.0
2000-03-16,15.5,16.63,15.38,16.63,9.37602696653,3011500.0,0.0,1.0
2000-03-17,16.88,16.88,16.38,16.5,9.302732708819999,1714200.0,0.0,1.0
2000-03-20,16.5,16.75,16.06,16.38,9.23507647094,2209900.0,0.0,1.0
2000-03-21,16.38,16.38,15.5,15.75,8.879881222060002,4099000.0,0.0,1.0
2000-03-22,15.81,15.88,15.56,15.69,8.84605310312,1459000.0,0.0,1.0
2000-03-23,15.88,16.19,15.75,16.13,9.09412597535,2910700.0,0.0,1.0
2000-03-24,16.0,16.06,15.75,16.0,9.02083171765,5091500.0,0.0,1.0
2000-03-27,16.06,16.56,15.94,16.25,9.161782213239999,1886300.0,0.0,1.0
2000-03-28,16.31,16.44,15.94,15.94,8.98700359871,975100.0,0.0,1.0
2000-03-29,16.06,16.56,16.06,16.5,9.302732708819999,2507700.0,0.0,1.0
2000-03-30,16.56,16.69,16.38,16.63,9.37602696653,1006900.0,0.0,1.0
2000-03-31,16.56,16.69,16.5,16.56,9.336560827769999,1433900.0,0.0,1.0
2000-04-03,16.38,16.94,16.31,16.88,9.674842017180001,2032100.0,0.28,1.0
2000-04-04,16.94,17.5,16.63,16.75,9.600331977949999,1911900.0,0.0,1.0
2000-04-05,16.75,17.25,16.69,16.81,9.63472122682,1954400.0,0.0,1.0
2000-04-06,17.06,17.13,16.81,17.06,9.778009763810001,857000.0,0.0,1.0
2000-04-07,16.81,16.94,16.75,16.81,9.63472122682,441100.0,0.0,1.0
2000-04-10,16.63,17.19,16.63,16.94,9.70923126605,1015400.0,0.0,1.0
2000-04-11,16.94,17.13,16.88,16.94,9.70923126605,1243100.0,0.0,1.0
2000-04-12,17.19,17.31,17.06,17.13,9.81813055416,1546900.0,0.0,1.0
2000-04-13,17.06,17.56,17.0,17.44,9.99580834002,1505800.0,0.0,1.0
2000-04-14,17.5,17.56,16.94,17.06,9.778009763810001,2005400.0,0.0,1.0
2000-04-17,17.19,18.13,17.13,18.0,10.3167746629,2643200.0,0.0,1.0
2000-04-18,18.0,18.13,17.56,18.13,10.3912847021,1891100.0,0.0,1.0
2000-04-19,17.88,18.13,17.75,17.81,10.2078753748,2039400.0,0.0,1.0
2000-04-20,17.88,18.0,17.81,17.94,10.282385414,912100.0,0.0,1.0
2000-04-24,18.0,18.88,17.94,18.88,10.821150313099999,987900.0,0.0,1.0
2000-04-25,18.63,19.13,18.25,19.0,10.889928810799999,1603300.0,0.0,1.0
2000-04-26,19.0,19.44,18.94,19.38,11.107727387,1141600.0,0.0,1.0
2000-04-27,19.31,19.31,18.88,19.25,11.033217347799999,889700.0,0.0,1.0
2000-04-28,19.06,19.13,18.75,19.06,10.924318059700001,1322200.0,0.0,1.0
2000-05-01,18.81,19.63,18.81,19.31,11.067606596700001,1840100.0,0.0,1.0
2000-05-02,19.19,19.44,18.81,18.94,10.8555395619,1642600.0,0.0,1.0
2000-05-03,18.75,19.25,18.63,19.06,10.924318059700001,1507900.0,0.0,1.0
2000-05-04,19.06,19.56,18.88,19.31,11.067606596700001,947900.0,0.0,1.0
2000-05-05,19.25,20.0,19.06,19.38,11.107727387,903100.0,0.0,1.0
2000-05-08,19.19,20.06,19.19,19.5,11.176505884800001,857100.0,0.0,1.0
2000-05-09,19.56,19.63,19.19,19.44,11.142116635899999,1659100.0,0.0,1.0
2000-05-10,19.19,19.56,19.19,19.38,11.107727387,1094900.0,0.0,1.0
2000-05-11,19.31,19.88,19.31,19.75,11.319794421800001,1003000.0,0.0,1.0
2000-05-12,19.69,19.88,19.56,19.75,11.319794421800001,1392600.0,0.0,1.0
2000-05-15,19.75,20.19,19.69,20.0,11.4630829587,448700.0,0.0,1.0
2000-05-16,19.75,20.0,19.44,19.81,11.3541836706,846500.0,0.0,1.0
2000-05-17,19.56,19.81,19.5,19.63,11.251015924,1201600.0,0.0,1.0
2000-05-18,19.75,20.44,19.69,20.38,11.680881535,851400.0,0.0,1.0
2000-05-19,20.0,20.5,20.0,20.25,11.6063714957,926400.0,0.0,1.0
2000-05-22,20.19,20.69,20.19,20.5,11.7496600327,1258800.0,0.0,1.0
2000-05-23,20.81,20.81,20.31,20.63,11.824170071900001,1070700.0,0.0,1.0
2000-05-24,20.63,21.0,20.44,20.69,11.8585593208,1351000.0,0.0,1.0
2000-05-25,20.63,20.69,20.34,20.63,11.824170071900001,940500.0,0.0,1.0
2000-05-26,20.75,21.13,20.75,20.81,11.927337818599998,2283900.0,0.0,1.0
2000-05-30,20.88,21.06,20.44,21.06,12.0706263556,1023800.0,0.0,1.0
2000-05-31,21.13,21.81,21.13,21.63,12.3973242199,1730500.0,0.0,1.0
2000-06-01,21.44,21.63,21.38,21.56,12.3572034295,666700.0,0.0,1.0
2000-06-02,21.56,21.56,20.94,20.94,12.0018478578,1056200.0,0.0,1.0
2000-06-05,21.0,21.06,20.31,20.56,11.784049281600002,684300.0,0.0,1.0
2000-06-06,20.5,21.19,20.44,21.06,12.0706263556,895300.0,0.0,1.0
