Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,46.69,46.88,45.63,45.88,17.3952731258,458400.0,0.0,1.0
1999-11-02,46.63,46.63,45.69,46.0,17.4407707887,473500.0,0.0,1.0
1999-11-03,45.75,45.88,45.44,45.63,17.300486327999998,179300.0,0.0,1.0
1999-11-04,45.5,45.88,44.75,45.19,17.133661564,318300.0,0.0,1.0
1999-11-05,45.63,46.0,44.94,45.25,17.1564103954,248800.0,0.0,1.0
1999-11-08,45.38,45.38,44.0,44.44,16.8493011707,345000.0,0.0,1.0
1999-11-09,44.44,44.69,43.5,43.75,16.5876896088,699200.0,0.0,1.0
1999-11-10,44.0,44.0,42.81,42.94,16.280580384100002,813100.0,0.0,1.0
1999-11-11,43.0,44.5,42.75,44.44,16.8493011707,466100.0,0.0,1.0
1999-11-12,44.5,45.06,43.38,43.38,16.4474051481,365700.0,0.0,1.0
1999-11-15,43.63,43.94,42.44,42.63,16.1630447549,986000.0,0.0,1.0
1999-11-16,42.63,42.75,41.25,41.81,15.852144058199999,816000.0,0.0,1.0
1999-11-17,41.94,42.0,41.06,41.56,15.7573572604,511900.0,0.0,1.0
1999-11-18,41.56,42.25,41.5,42.06,15.9469308559,924000.0,0.0,1.0
1999-11-19,42.88,43.13,41.5,43.13,16.3526183504,963600.0,0.0,1.0
1999-11-22,43.0,43.5,42.75,43.44,16.4701539796,573500.0,0.0,1.0
1999-11-23,43.56,44.31,43.06,44.0,16.6824764066,399700.0,0.0,1.0
1999-11-24,44.19,45.38,44.13,44.25,16.7772632044,495400.0,0.0,1.0
1999-11-26,44.56,44.69,43.75,44.06,16.7052252381,112700.0,0.0,1.0
1999-11-29,44.69,45.13,43.75,44.0,16.6824764066,456400.0,0.0,1.0
1999-11-30,44.19,44.31,42.19,42.19,15.996219990799998,516100.0,0.0,1.0
1999-12-01,42.63,43.13,41.81,42.13,15.9734711593,473300.0,0.0,1.0
1999-12-02,42.06,42.75,41.63,42.56,16.136504451500002,658000.0,0.0,1.0
