Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,38.81,38.81,37.63,37.75,9.68021151899,199100.0,0.0,1.0
1999-11-02,37.5,38.41,37.25,38.25,9.80842624109,152400.0,0.0,1.0
1999-11-03,38.0,38.31,37.88,38.25,9.80842624109,142200.0,0.0,1.0
1999-11-04,38.06,39.0,38.06,38.75,9.9366409632,128900.0,0.0,1.0
1999-11-05,38.5,39.25,37.94,37.94,9.72893311339,251000.0,0.0,1.0
1999-11-08,38.0,38.25,37.75,38.13,9.77765470779,146300.0,0.0,1.0
1999-11-09,38.0,38.94,37.88,38.94,9.9853625576,146300.0,0.0,1.0
1999-11-10,39.06,39.06,38.31,38.56,9.8879193688,235900.0,0.0,1.0
1999-11-11,38.5,38.63,37.63,38.63,9.90586942989,179900.0,0.0,1.0
1999-11-12,38.38,38.44,37.63,38.31,9.823812007739999,155000.0,0.0,1.0
1999-11-15,38.19,39.25,38.19,39.25,10.0648556853,139200.0,0.0,1.0
1999-11-16,39.19,39.94,39.0,39.44,10.1135772797,178700.0,0.0,1.0
1999-11-17,39.31,39.63,38.69,38.88,9.96997679094,128900.0,0.0,1.0
1999-11-18,38.88,39.5,38.75,39.31,10.080241452000001,177700.0,0.0,1.0
1999-11-19,39.25,39.44,38.5,39.25,10.0648556853,257500.0,0.0,1.0
1999-11-22,39.25,39.28,38.75,39.0,10.0007483242,252400.0,0.0,1.0
1999-11-23,39.13,39.75,38.88,39.19,10.0494699186,373900.0,0.0,1.0
1999-11-24,39.19,39.44,39.0,39.13,10.034084152,197500.0,0.0,1.0
1999-11-26,38.88,39.5,38.88,39.06,10.0161340909,101900.0,0.0,1.0
1999-11-29,38.81,38.81,38.19,38.81,9.952026729850001,254800.0,0.0,1.0
1999-11-30,39.0,39.19,38.56,38.88,9.96997679094,373300.0,0.0,1.0
1999-12-01,38.69,39.0,38.69,38.81,9.952026729850001,362000.0,0.0,1.0
1999-12-02,40.25,41.06,39.5,40.75,10.449499851599999,916000.0,0.0,1.0
1999-12-03,41.0,42.5,40.88,42.13,10.8033724846,562000.0,0.0,1.0
1999-12-06,42.13,42.5,42.0,42.13,10.8033724846,332300.0,0.0,1.0
1999-12-07,42.5,42.5,41.13,41.38,10.6110504015,467900.0,0.0,1.0
1999-12-08,41.25,42.63,41.25,42.0,10.7700366569,482000.0,0.0,1.0
1999-12-09,42.13,43.0,41.94,43.0,11.026466101099999,631300.0,0.0,1.0
1999-12-10,43.0,45.13,43.0,45.0,11.5393249895,480800.0,0.0,1.0
1999-12-13,44.25,45.69,44.19,44.75,11.5880465839,514100.0,0.44,1.0
1999-12-14,44.75,46.63,44.75,46.19,11.960935680699999,417500.0,0.0,1.0
1999-12-15,46.06,46.56,45.88,46.25,11.9764727264,252700.0,0.0,1.0
1999-12-16,46.13,46.5,45.19,45.38,11.751185563800002,339000.0,0.0,1.0
1999-12-17,45.44,46.19,45.25,46.19,11.960935680699999,346600.0,0.0,1.0
1999-12-20,46.5,46.5,43.94,44.44,11.507771847799999,480800.0,0.0,1.0
1999-12-21,44.44,45.31,44.44,44.94,11.6372472286,314600.0,0.0,1.0
1999-12-22,44.81,45.5,44.75,44.88,11.6217101829,186600.0,0.0,1.0
1999-12-23,45.0,45.88,45.0,45.19,11.701984919000001,274700.0,0.0,1.0
1999-12-27,45.13,45.56,45.0,45.19,11.701984919000001,241800.0,0.0,1.0
1999-12-28,44.81,47.06,44.81,46.88,12.139611706199998,154800.0,0.0,1.0
1999-12-29,47.0,49.0,47.0,48.44,12.5435748944,229600.0,0.0,1.0
1999-12-30,47.63,48.25,47.63,47.63,12.3338247775,194600.0,0.0,1.0
1999-12-31,47.69,47.69,47.31,47.69,12.349361823199999,143500.0,0.0,1.0
2000-01-03,47.94,48.31,46.38,46.44,12.025673371099998,251200.0,0.0,1.0
2000-01-04,46.44,47.06,45.19,45.31,11.7330590104,206200.0,0.0,1.0
2000-01-05,45.88,47.44,45.81,46.75,12.1059481072,299300.0,0.0,1.0
2000-01-06,47.56,50.75,47.5,50.56,13.0925505091,253000.0,0.0,1.0
2000-01-07,50.56,50.63,49.75,50.44,13.0614764177,415300.0,0.0,1.0
2000-01-10,50.19,50.19,48.56,48.88,12.657513229500001,255500.0,0.0,1.0
2000-01-11,49.13,49.56,48.25,48.31,12.5099112954,225900.0,0.0,1.0
2000-01-12,48.38,50.13,48.38,49.88,12.916463991199999,225400.0,0.0,1.0
2000-01-13,49.88,49.88,49.31,49.31,12.7688620571,132600.0,0.0,1.0
2000-01-14,49.19,49.19,48.44,48.5,12.5591119401,139600.0,0.0,1.0
2000-01-18,48.56,48.56,47.19,47.31,12.250960533699999,237500.0,0.0,1.0
2000-01-19,47.13,47.19,44.63,45.75,11.8469973456,450800.0,0.0,1.0
2000-01-20,46.0,46.19,44.06,44.88,11.6217101829,441600.0,0.0,1.0
2000-01-21,44.25,44.56,43.38,43.69,11.3135587766,486700.0,0.0,1.0
2000-01-24,43.75,44.25,43.5,43.63,11.298021730899999,383800.0,0.0,1.0
2000-01-25,43.75,43.75,40.25,41.06,10.6325182734,488000.0,0.0,1.0
2000-01-26,41.56,42.5,41.44,42.38,10.974333278800001,428200.0,0.0,1.0
