Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2000-08-11,12.75,14.0,12.0,13.12,343.67213549400003,25360000.0,0.0,1.0
2000-08-14,13.09,13.12,12.0,12.0,314.334270269,2566400.0,0.0,1.0
2000-08-15,12.16,12.38,12.0,12.12,317.477612971,1548800.0,0.0,1.0
2000-08-16,12.06,13.06,12.06,12.38,324.288188827,1347200.0,0.0,1.0
2000-08-17,12.25,12.5,11.94,12.0,314.334270269,1510400.0,0.0,1.0
2000-08-18,12.53,14.38,12.38,14.31,374.843617295,1932800.0,0.0,1.0
2000-08-21,15.06,16.25,13.94,15.19,397.894797115,2128000.0,0.0,1.0
2000-08-22,15.38,15.69,13.5,13.5,353.626054052,1081600.0,0.0,1.0
2000-08-23,13.56,13.75,12.75,13.0,340.528792791,572800.0,0.0,1.0
2000-08-24,12.94,13.06,12.06,12.06,315.90594162,588800.0,0.0,1.0
2000-08-25,12.56,12.94,12.12,12.88,337.38545008799997,643200.0,0.0,1.0
2000-08-28,13.41,13.55,12.5,13.12,343.67213549400003,620800.0,0.0,1.0
2000-08-29,13.44,13.5,12.62,13.38,350.482711349,726400.0,0.0,1.0
2000-08-30,13.34,14.69,13.25,14.19,371.700274593,633600.0,0.0,1.0
2000-08-31,15.06,16.5,14.88,16.19,424.08931963699996,2793600.0,0.0,1.0
2000-09-01,16.12,16.25,15.0,15.75,412.56372972699995,886400.0,0.0,1.0
2000-09-05,15.81,16.25,15.5,15.56,407.58677044800004,736000.0,0.0,1.0
2000-09-06,16.12,16.25,15.25,15.5,406.01509909699996,656000.0,0.0,1.0
2000-09-07,16.0,16.0,13.38,14.38,376.677233872,764800.0,0.0,1.0
2000-09-08,14.27,14.5,13.75,14.0,366.72331531300006,508800.0,0.0,1.0
2000-09-11,13.81,14.0,13.5,13.88,363.57997261099996,1104000.0,0.0,1.0
2000-09-12,13.59,13.81,12.88,13.0,340.528792791,1081600.0,0.0,1.0
2000-09-13,12.75,13.12,12.38,12.5,327.43153153,329600.0,0.0,1.0
2000-09-14,13.88,13.88,12.5,12.69,332.408490809,259200.0,0.0,1.0
2000-09-15,12.56,13.0,12.5,12.56,329.003202881,115200.0,0.0,1.0
2000-09-18,13.12,13.25,11.94,12.06,315.90594162,595200.0,0.0,1.0
2000-09-19,13.09,13.12,10.75,11.25,294.688378377,1536000.0,0.0,1.0
2000-09-20,11.5,11.56,9.75,10.38,271.899143782,771200.0,0.0,1.0
2000-09-21,10.31,10.75,10.19,10.62,278.185829188,806400.0,0.0,1.0
2000-09-22,9.59,10.81,9.44,10.56,276.614157836,268800.0,0.0,1.0
2000-09-25,10.62,10.81,9.38,9.44,247.27629261099997,672000.0,0.0,1.0
2000-09-26,9.88,9.94,9.0,9.25,242.299333332,627200.0,0.0,1.0
2000-09-27,9.41,9.44,8.62,9.34,244.65684035900003,534400.0,0.0,1.0
2000-09-28,9.25,10.75,9.12,10.0,261.945225224,704000.0,0.0,1.0
2000-09-29,10.09,10.12,8.72,8.88,232.607359999,611200.0,0.0,1.0
2000-10-02,9.38,9.41,8.38,8.5,222.65344144,217600.0,0.0,1.0
2000-10-03,8.59,8.88,7.75,7.94,207.984508828,323200.0,0.0,1.0
2000-10-04,8.0,8.06,6.75,7.12,186.505000359,467200.0,0.0,1.0
2000-10-05,6.94,8.12,6.5,6.56,171.83606774700002,483200.0,0.0,1.0
2000-10-06,6.95,7.0,5.94,6.09,159.524642161,364800.0,0.0,1.0
2000-10-09,6.56,6.69,5.78,6.19,162.144094414,339200.0,0.0,1.0
2000-10-10,6.31,6.38,5.5,5.69,149.046833152,422400.0,0.0,1.0
2000-10-11,5.25,5.75,4.06,4.12,107.921432792,1356800.0,0.0,1.0
2000-10-12,5.09,5.25,4.5,5.19,135.949571891,1190400.0,0.0,1.0
2000-10-13,5.69,7.88,5.53,7.56,198.03059026900002,1369600.0,0.0,1.0
2000-10-16,8.12,8.19,7.38,8.12,212.699522882,1232000.0,0.0,1.0
2000-10-17,8.5,8.56,7.62,7.81,204.5792209,352000.0,0.0,1.0
2000-10-18,7.75,8.38,5.94,8.06,211.12785153,617600.0,0.0,1.0
2000-10-19,8.5,9.31,6.75,6.91,181.00415063,828800.0,0.0,1.0
2000-10-20,7.5,7.5,7.0,7.31,191.48195963900002,694400.0,0.0,1.0
2000-10-23,7.38,8.41,7.12,8.25,216.10481081,569600.0,0.0,1.0
2000-10-24,8.3,8.5,8.12,8.44,221.081770089,630400.0,0.0,1.0
2000-10-25,8.36,8.5,7.88,8.5,222.65344144,422400.0,0.0,1.0
2000-10-26,8.47,9.62,8.44,9.06,237.322374053,278400.0,0.0,1.0
2000-10-27,9.11,9.12,8.62,9.0,235.750702701,105600.0,0.0,1.0
2000-10-30,8.94,9.38,8.62,8.94,234.17903135,243200.0,0.0,1.0
2000-10-31,9.12,10.25,8.75,9.75,255.396594593,332800.0,0.0,1.0
2000-11-01,9.73,10.5,9.56,9.75,255.396594593,368000.0,0.0,1.0
2000-11-02,9.73,9.88,8.88,9.25,242.299333332,249600.0,0.0,1.0
2000-11-03,8.97,9.44,8.97,9.12,238.89404540400002,246400.0,0.0,1.0
2000-11-06,9.25,9.38,8.69,8.88,232.607359999,310400.0,0.0,1.0
2000-11-07,9.0,9.0,8.75,8.88,232.607359999,211200.0,0.0,1.0
2000-11-08,8.88,8.88,7.53,8.06,211.12785153,668800.0,0.0,1.0
2000-11-09,7.5,8.0,7.5,7.91,207.198673152,403200.0,0.0,1.0
2000-11-10,7.64,7.75,7.44,7.44,194.887247567,579200.0,0.0,1.0
2000-11-13,6.94,7.06,6.81,7.06,184.933329008,438400.0,0.0,1.0
2000-11-14,7.03,7.31,6.5,6.62,173.40773909799998,502400.0,0.0,1.0
2000-11-15,6.88,6.94,6.31,6.31,165.287437116,652800.0,0.0,1.0
2000-11-16,6.52,6.62,6.25,6.34,166.073272792,124800.0,0.0,1.0
2000-11-17,6.84,6.88,6.38,6.62,173.40773909799998,451200.0,0.0,1.0
2000-11-20,6.53,6.56,6.31,6.31,165.287437116,172800.0,0.0,1.0
2000-11-21,6.34,6.5,6.19,6.19,162.144094414,262400.0,0.0,1.0
2000-11-22,6.25,6.25,6.0,6.0,157.167135134,364800.0,0.0,1.0
2000-11-24,6.08,6.12,6.0,6.03,157.95297081,57600.0,0.0,1.0
2000-11-27,6.38,6.62,5.94,6.0,157.167135134,166400.0,0.0,1.0
2000-11-28,6.12,6.12,5.38,5.44,142.498202522,124800.0,0.0,1.0
2000-11-29,5.44,5.56,4.5,4.88,127.82926990899999,544000.0,0.0,1.0
2000-11-30,4.75,4.84,4.25,4.38,114.73200864799999,339200.0,0.0,1.0
2000-12-01,4.38,5.06,4.34,4.81,125.99565333299999,217600.0,0.0,1.0
2000-12-04,4.84,5.12,4.84,4.94,129.400941261,76800.0,0.0,1.0
2000-12-05,5.08,5.19,4.88,5.06,132.544283963,150400.0,0.0,1.0
2000-12-06,5.03,5.06,4.56,4.81,125.99565333299999,163200.0,0.0,1.0
2000-12-07,4.78,5.19,4.5,4.5,117.875351351,435200.0,0.0,1.0
2000-12-08,4.75,6.0,4.75,5.5,144.069873873,182400.0,0.0,1.0
2000-12-11,5.53,5.81,5.5,5.5,144.069873873,80000.0,0.0,1.0
2000-12-12,5.67,7.31,5.5,6.62,173.40773909799998,320000.0,0.0,1.0
2000-12-13,7.36,7.62,6.88,7.06,184.933329008,211200.0,0.0,1.0
2000-12-14,7.3,7.31,6.81,7.0,183.361657657,156800.0,0.0,1.0
2000-12-15,6.95,7.05,6.69,6.69,175.241355675,80000.0,0.0,1.0
2000-12-18,7.09,7.12,5.62,5.84,152.976011531,99200.0,0.0,1.0
2000-12-19,5.41,5.94,5.12,5.56,145.641545224,160000.0,0.0,1.0
2000-12-20,5.5,5.58,4.69,4.88,127.82926990899999,262400.0,0.0,1.0
2000-12-21,4.5,4.62,3.94,4.06,106.349761441,534400.0,0.0,1.0
2000-12-22,4.58,4.62,4.0,4.0,104.77809009,451200.0,0.0,1.0
2000-12-26,4.06,4.44,3.81,3.94,103.206418738,348800.0,0.0,1.0
2000-12-27,3.94,4.0,3.5,3.81,99.80113081030001,220800.0,0.0,1.0
2000-12-28,3.75,3.81,3.25,3.5,91.6808288283,985600.0,0.0,1.0
2000-12-29,3.47,4.75,3.44,4.38,114.73200864799999,534400.0,0.0,1.0
2001-01-02,4.42,4.44,3.38,3.56,93.2525001797,432000.0,0.0,1.0
2001-01-03,3.44,4.5,3.25,3.62,94.824171531,835200.0,0.0,1.0
2001-01-04,3.92,4.19,3.5,3.62,94.824171531,310400.0,0.0,1.0
2001-01-05,3.75,4.06,3.56,4.0,104.77809009,160000.0,0.0,1.0
2001-01-08,4.0,4.06,3.75,3.94,103.206418738,166400.0,0.0,1.0
2001-01-09,4.0,4.0,3.56,3.72,97.4436237833,73600.0,0.0,1.0
2001-01-10,3.78,3.88,3.56,3.81,99.80113081030001,179200.0,0.0,1.0
2001-01-11,3.81,4.06,3.59,3.88,101.634747387,246400.0,0.0,1.0
2001-01-12,3.92,4.62,3.92,4.62,121.01869405299999,547200.0,0.0,1.0
2001-01-16,4.75,5.25,4.5,5.0,130.972612612,204800.0,0.0,1.0
2001-01-17,5.25,6.0,5.19,5.62,147.213216576,220800.0,0.0,1.0
2001-01-18,5.92,6.12,5.75,5.81,152.190175855,217600.0,0.0,1.0
2001-01-19,5.88,6.06,5.75,5.88,154.02379243200002,291200.0,0.0,1.0
2001-01-22,6.0,6.25,5.75,6.0,157.167135134,268800.0,0.0,1.0
2001-01-23,6.02,6.5,5.94,6.38,167.121053693,134400.0,0.0,1.0
2001-01-24,6.77,7.5,6.31,7.0,183.361657657,419200.0,0.0,1.0
2001-01-25,6.94,7.0,6.5,6.5,170.264396395,182400.0,0.0,1.0
2001-01-26,5.94,6.12,5.5,6.0,157.167135134,249600.0,0.0,1.0
2001-01-29,6.16,6.38,6.0,6.06,158.73880648600002,89600.0,0.0,1.0
