Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,24.5,25.81,24.5,25.75,251.311461994,7487000.0,0.0,1.0
1999-11-02,25.56,26.69,25.0,25.37,247.602787992,5173000.0,0.0,1.0
1999-11-03,26.31,26.37,25.69,26.19,255.605716102,6220000.0,0.0,1.0
1999-11-04,26.94,31.62,26.87,31.37,306.160798554,20827000.0,0.0,1.0
1999-11-05,33.13,34.63,30.0,30.75,300.109804129,16658000.0,0.0,1.0
1999-11-08,29.81,32.0,29.5,32.0,312.309389663,7115000.0,0.0,1.0
1999-11-09,32.44,32.72,31.06,32.31,315.334886875,4862000.0,0.0,1.0
1999-11-10,31.25,32.13,31.12,31.31,305.575218448,3321000.0,0.0,1.0
1999-11-11,32.25,33.0,30.5,30.94,301.96414113,5291000.0,0.0,1.0
1999-11-12,32.0,37.5,31.87,36.75,358.667814691,17949000.0,0.0,1.0
1999-11-15,37.13,39.69,37.0,38.13,372.13615712,12368000.0,0.0,1.0
1999-11-16,38.81,40.0,38.19,39.19,382.481405653,8528000.0,0.0,1.0
1999-11-17,38.88,38.94,34.75,34.94,341.002814838,8606000.0,0.0,1.0
1999-11-18,36.13,36.69,35.88,36.0,351.34806337099997,6028000.0,0.0,1.0
1999-11-19,35.94,36.38,35.5,35.69,348.322566159,3560000.0,0.0,1.0
1999-11-22,35.81,35.81,33.94,34.44,336.122980625,4509000.0,0.0,1.0
1999-11-23,33.13,34.25,30.75,32.0,312.309389663,11991000.0,0.0,1.0
1999-11-24,31.06,32.5,30.75,31.37,306.160798554,10205000.0,0.0,1.0
1999-11-26,32.0,32.38,31.75,31.94,311.723809557,2481000.0,0.0,1.0
1999-11-29,32.06,32.38,30.75,30.87,301.28096434099996,4950000.0,0.0,1.0
1999-11-30,31.0,31.56,29.75,30.06,293.375632915,6287000.0,0.0,1.0
1999-12-01,31.5,32.0,29.87,30.62,298.84104723400003,5462000.0,0.0,1.0
1999-12-02,30.87,31.37,30.44,31.06,303.135301342,4125000.0,0.0,1.0
1999-12-03,32.25,32.63,31.12,31.12,303.720881447,6283000.0,0.0,1.0
1999-12-06,31.12,31.5,30.12,30.31,295.815550021,3724000.0,0.0,1.0
1999-12-07,30.25,32.25,29.06,32.06,312.894969769,6949000.0,0.0,1.0
1999-12-08,31.62,31.81,30.19,30.62,298.84104723400003,6609000.0,0.0,1.0
1999-12-09,31.5,33.88,30.75,33.81,329.974389516,9160000.0,0.0,1.0
1999-12-10,34.88,36.0,33.5,35.56,347.053809263,10928000.0,0.0,1.0
1999-12-13,35.63,36.0,34.0,34.38,335.537400519,7465000.0,0.0,1.0
1999-12-14,34.0,34.06,31.06,31.37,306.160798554,7130000.0,0.0,1.0
1999-12-15,30.25,31.31,29.69,30.06,293.375632915,6528000.0,0.0,1.0
1999-12-16,30.87,30.87,30.0,30.31,295.815550021,5783000.0,0.0,1.0
1999-12-17,30.75,30.87,29.56,30.06,293.375632915,5341000.0,0.0,1.0
1999-12-20,29.37,30.25,28.25,28.94,282.444804277,6524000.0,0.0,1.0
1999-12-21,29.25,30.0,28.81,29.06,283.615964488,6248000.0,0.0,1.0
1999-12-22,28.75,28.81,26.75,27.44,267.80530163599997,5777000.0,0.0,1.0
1999-12-23,27.62,28.12,27.25,27.25,265.950964635,5104000.0,0.0,1.0
1999-12-27,27.44,29.0,27.37,27.81,271.41637895400004,6847000.0,0.0,1.0
1999-12-28,27.75,27.94,25.69,25.75,251.311461994,6516000.0,0.0,1.0
1999-12-29,27.06,28.94,27.0,28.5,278.15055016900004,8287000.0,0.0,1.0
1999-12-30,29.75,29.75,26.56,27.0,263.511047528,6006000.0,0.0,1.0
1999-12-31,26.37,26.87,26.0,26.12,254.922539312,3856000.0,0.0,1.0
2000-01-03,26.87,28.25,26.0,28.06,273.85629606099997,7281000.0,0.0,1.0
2000-01-04,28.0,29.87,27.25,27.31,266.536544741,7104000.0,0.0,1.0
2000-01-05,27.19,27.25,25.25,26.12,254.922539312,6909000.0,0.0,1.0
2000-01-06,26.5,27.75,26.0,26.37,257.362456419,5135000.0,0.0,1.0
2000-01-07,26.12,26.94,26.0,26.69,260.485550316,3774000.0,0.0,1.0
2000-01-10,27.44,28.5,26.69,28.06,273.85629606099997,4996000.0,0.0,1.0
2000-01-11,28.06,28.06,26.5,26.69,260.485550316,5057000.0,0.0,1.0
2000-01-12,26.62,27.37,25.69,26.06,254.336959207,8077000.0,0.0,1.0
2000-01-13,26.0,28.37,25.25,28.06,273.85629606099997,7810000.0,0.0,1.0
2000-01-14,28.56,29.0,27.25,28.75,280.590467275,6830000.0,0.0,1.0
2000-01-18,28.37,29.62,27.5,27.94,272.68513585,5922000.0,0.0,1.0
2000-01-19,29.2,29.25,26.06,26.19,255.605716102,10739000.0,0.0,1.0
2000-01-20,26.75,26.75,25.0,25.06,244.57729078,8461000.0,0.0,1.0
2000-01-21,25.12,25.2,22.87,23.56,229.93778813900002,8612000.0,0.0,1.0
2000-01-24,23.81,24.44,23.25,23.31,227.497871033,7279000.0,0.0,1.0
2000-01-25,23.56,23.62,22.06,22.56,220.178119712,9924000.0,0.0,1.0
2000-01-26,22.5,24.62,22.06,24.28,236.964749407,9812000.0,0.0,1.0
2000-01-27,24.69,24.87,22.31,23.37,228.083451138,5318000.0,0.0,1.0
2000-01-28,23.0,23.37,22.44,22.62,220.763699818,5008000.0,0.0,1.0
