Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,55.0,55.88,54.44,54.63,23.2107252781,2377849.0,0.0,1.0
1999-11-02,55.0,56.13,54.38,54.38,23.104507424899996,2111458.0,0.0,1.0
1999-11-03,54.44,54.69,53.13,53.75,22.8368384349,2838765.0,0.0,1.0
1999-11-04,54.0,54.19,53.06,53.06,22.543677160100003,2207702.0,0.0,1.0
1999-11-05,53.63,54.31,53.13,53.69,22.811346150100004,2264481.0,0.0,1.0
1999-11-08,53.31,54.06,53.13,53.63,22.7858538654,1466136.0,0.0,1.0
1999-11-09,54.44,54.5,53.56,54.06,22.968548572800003,1528835.0,0.0,1.0
1999-11-10,53.81,54.19,53.31,53.75,22.8368384349,2029790.0,0.0,1.0
1999-11-11,53.94,54.06,52.94,53.25,22.624402728499998,2753533.0,0.0,1.0
1999-11-12,53.75,53.75,53.31,53.38,22.6796360122,2618332.0,0.0,1.0
1999-11-15,53.38,55.0,53.31,54.63,23.2107252781,2495799.0,0.0,1.0
1999-11-16,54.75,55.38,54.38,54.63,23.2107252781,2253660.0,0.0,1.0
1999-11-17,54.0,54.13,52.56,52.63,22.360982452600002,4731509.0,0.0,1.0
1999-11-18,52.81,53.13,50.25,50.75,21.5622241967,6937810.0,0.0,1.0
1999-11-19,50.56,50.88,50.06,50.44,21.4305140587,4612858.0,0.0,1.0
1999-11-22,50.63,51.38,50.25,50.69,21.536731911900002,3763526.0,0.0,1.0
1999-11-23,51.0,51.06,50.5,50.5,21.4560063435,3111076.0,0.0,1.0
1999-11-24,50.5,51.88,50.13,51.56,21.906370041,2948186.0,0.0,1.0
1999-11-26,51.5,51.56,50.63,50.63,21.5112396271,945130.0,0.0,1.0
1999-11-29,50.44,51.56,50.31,51.31,21.800152187800002,3204965.0,0.0,1.0
1999-11-30,51.0,51.69,50.38,50.5,21.4560063435,3109739.0,0.0,1.0
1999-12-01,50.5,50.94,50.19,50.63,21.5112396271,2395863.0,0.0,1.0
1999-12-02,51.44,52.0,50.13,50.5,21.4560063435,4248759.0,0.0,1.0
1999-12-03,50.88,52.94,50.88,52.31,22.225023600500002,4382877.0,0.0,1.0
1999-12-06,52.44,53.5,52.31,52.38,22.2547645994,2614449.0,0.0,1.0
1999-12-07,51.5,51.69,50.13,50.13,21.298803920799998,3764036.0,0.0,1.0
1999-12-08,50.25,50.75,50.06,50.45,21.4347627728,2618651.0,0.0,1.0
1999-12-09,50.56,50.75,50.06,50.31,21.3752807751,2555379.0,0.0,1.0
1999-12-10,50.06,50.19,48.56,48.94,20.7932069396,4320687.0,0.0,1.0
1999-12-13,49.0,49.5,48.56,48.88,20.7677146548,2486378.0,0.0,1.0
1999-12-14,48.94,49.5,48.5,48.5,20.606263518,2867919.0,0.0,1.0
1999-12-15,49.69,50.44,48.75,49.44,21.005642646,5417759.0,0.0,1.0
1999-12-16,50.06,50.44,49.56,49.69,21.111860499200002,4053851.0,0.0,1.0
1999-12-17,49.63,50.44,49.13,50.06,21.2690629219,6212731.0,0.0,1.0
1999-12-20,49.81,50.94,49.81,50.5,21.4560063435,3592489.0,0.0,1.0
1999-12-21,50.5,50.81,50.5,50.75,21.5622241967,2313558.0,0.0,1.0
1999-12-22,50.94,51.56,50.5,51.0,21.668442049899998,3134882.0,0.0,1.0
1999-12-23,51.38,53.0,51.19,52.81,22.4374593069,2838129.0,0.0,1.0
1999-12-27,53.0,53.56,52.31,52.38,22.2547645994,2531190.0,0.0,1.0
1999-12-28,52.44,52.94,52.44,52.69,22.386474737399997,2170783.0,0.0,1.0
1999-12-29,53.5,53.75,52.88,52.88,22.4672003058,1563781.0,0.0,1.0
1999-12-30,53.0,53.94,52.81,53.56,22.7561128665,2137046.0,0.0,1.0
1999-12-31,53.5,53.63,53.25,53.31,22.6498950133,767791.0,0.0,1.0
2000-01-03,52.75,53.19,52.13,52.38,22.2547645994,2582177.0,0.0,1.0
2000-01-04,51.81,52.25,50.31,50.63,21.5112396271,4660980.0,0.0,1.0
2000-01-05,51.0,51.5,50.75,50.81,21.587716481399998,3207002.0,0.0,1.0
2000-01-06,51.0,51.81,50.38,50.88,21.6174574803,2892998.0,0.0,1.0
2000-01-07,52.5,55.0,52.13,54.63,23.2107252781,5898154.0,0.0,1.0
2000-01-10,54.75,55.19,53.0,53.63,22.7858538654,3154679.0,0.0,1.0
2000-01-11,52.5,53.5,51.75,52.19,22.174039031,2693253.0,0.0,1.0
2000-01-12,52.44,54.5,52.44,53.69,22.811346150100004,3131190.0,0.0,1.0
2000-01-13,54.38,54.38,52.88,53.06,22.543677160100003,2500700.0,0.0,1.0
2000-01-14,52.56,52.94,51.13,51.75,21.9870956094,4756652.0,0.0,1.0
2000-01-18,53.75,55.0,53.13,54.25,23.0492741413,4948822.0,0.0,1.0
2000-01-19,54.5,54.88,52.81,53.44,22.7051282969,2874602.0,0.0,1.0
2000-01-20,53.5,53.69,51.5,52.22,22.1867851734,4339465.0,0.0,1.0
2000-01-21,51.94,52.0,50.31,50.44,21.4305140587,5732018.0,0.0,1.0
2000-01-24,51.81,51.94,50.38,51.13,21.723675333499997,5042648.0,0.0,1.0
2000-01-25,51.19,51.25,49.13,50.13,21.298803920799998,4154997.0,0.0,1.0
2000-01-26,49.13,49.25,47.31,48.0,20.3938278116,9246849.0,0.0,1.0
2000-01-27,49.31,50.0,48.69,49.94,21.2180783523,6861680.0,0.0,1.0
2000-01-28,49.13,49.88,48.81,49.0,21.034533902,3837810.0,0.508,1.0
2000-01-31,49.81,50.19,49.13,49.75,21.3564910536,3154933.0,0.0,1.0
2000-02-01,49.63,50.0,48.5,49.81,21.3822476257,4719605.0,0.0,1.0
2000-02-02,49.94,50.56,47.94,48.63,20.8757017073,6361362.0,0.0,1.0
2000-02-03,47.88,48.88,47.81,48.75,20.9272148515,4003883.0,0.0,1.0
2000-02-04,48.88,49.0,48.0,48.06,20.6310142721,2743730.0,0.0,1.0
2000-02-07,48.5,48.5,47.19,47.94,20.5795011278,2376066.0,0.0,1.0
2000-02-08,48.38,48.88,48.0,48.13,20.6610636062,3339656.0,0.0,1.0
2000-02-09,47.63,47.75,47.13,47.19,20.257543976300003,2872820.0,0.0,1.0
2000-02-10,47.06,47.25,46.06,47.0,20.1759814979,3694398.0,0.0,1.0
2000-02-11,47.19,47.19,45.19,46.13,19.8025112021,3372693.0,0.0,1.0
2000-02-14,46.0,47.13,45.0,47.06,20.20173807,3634755.0,0.0,1.0
2000-02-15,46.88,46.88,45.44,46.38,19.9098302526,2931254.0,0.0,1.0
2000-02-16,45.69,46.44,45.25,46.31,19.879780918399998,3760471.0,0.0,1.0
2000-02-17,45.81,46.63,45.25,45.88,19.695192151500002,3883705.0,0.0,1.0
2000-02-18,45.19,45.44,43.38,43.38,18.622001646300003,5795544.0,0.0,1.0
2000-02-22,44.38,44.88,43.5,44.06,18.9139094638,4673838.0,0.0,1.0
2000-02-23,44.19,44.25,43.0,43.0,18.458876689500002,2420051.0,0.0,1.0
2000-02-24,43.0,43.25,41.19,42.5,18.2442385885,5534118.0,0.0,1.0
2000-02-25,42.38,44.25,42.25,42.94,18.4331201174,5209102.0,0.0,1.0
2000-02-28,44.25,44.25,42.56,42.69,18.325801066900002,5844621.0,0.0,1.0
2000-02-29,43.25,43.31,41.19,41.63,17.8707682927,4875302.0,0.0,1.0
2000-03-01,41.88,42.19,41.06,41.59,17.8535972446,6130681.0,0.0,1.0
2000-03-02,41.5,41.81,41.13,41.38,17.7634492422,3418396.0,0.0,1.0
2000-03-03,41.38,43.19,41.31,42.69,18.325801066900002,5297008.0,0.0,1.0
2000-03-06,42.88,43.63,41.5,41.94,18.0038439153,4476894.0,0.0,1.0
2000-03-07,42.0,42.44,40.63,41.13,17.6561301917,4395417.0,0.0,1.0
2000-03-08,41.13,42.63,40.25,42.56,18.2699951606,4986887.0,0.0,1.0
2000-03-09,42.06,42.19,40.81,41.63,17.8707682927,3761171.0,0.0,1.0
2000-03-10,40.81,41.81,40.63,41.06,17.6260808575,3830490.0,0.0,1.0
2000-03-13,40.56,42.63,40.5,42.56,18.2699951606,3779758.0,0.0,1.0
2000-03-14,41.94,41.94,40.25,41.0,17.6003242854,6227435.0,0.0,1.0
2000-03-15,41.0,44.06,40.88,44.06,18.9139094638,9524825.0,0.0,1.0
2000-03-16,44.0,44.38,42.75,43.81,18.8065904132,9314831.0,0.0,1.0
2000-03-17,44.44,46.0,44.25,44.63,19.1585968989,7679376.0,0.0,1.0
2000-03-20,44.06,44.25,43.13,43.75,18.780833841099998,4907320.0,0.0,1.0
2000-03-21,43.06,45.94,42.75,45.81,19.6651428174,5762699.0,0.0,1.0
2000-03-22,44.75,45.25,43.25,44.0,18.8881528916,5892043.0,0.0,1.0
2000-03-23,43.81,45.25,43.69,44.5,19.1027909927,7906174.0,0.0,1.0
2000-03-24,44.0,45.25,44.0,44.63,19.1585968989,4064036.0,0.0,1.0
2000-03-27,44.19,45.06,43.94,44.19,18.96971537,3644876.0,0.0,1.0
2000-03-28,43.88,44.75,43.69,44.5,19.1027909927,3293762.0,0.0,1.0
2000-03-29,44.69,45.75,44.69,44.81,19.2358666153,3824507.0,0.0,1.0
2000-03-30,45.75,46.63,45.19,46.63,20.0171493031,6263272.0,0.0,1.0
2000-03-31,46.56,46.69,45.69,45.94,19.720948723699998,3244621.0,0.0,1.0
2000-04-03,46.75,48.0,46.75,47.0,20.1759814979,5916932.0,0.0,1.0
2000-04-04,48.75,49.81,46.69,49.06,21.060290474200002,8764799.0,0.0,1.0
2000-04-05,48.69,49.63,48.0,49.31,21.1676095247,5010567.0,0.0,1.0
2000-04-06,49.88,50.31,49.63,49.94,21.438053532,5195290.0,0.0,1.0
2000-04-07,50.19,50.38,48.13,48.38,20.768382656700002,2851687.0,0.0,1.0
2000-04-10,49.75,52.0,49.5,51.06,21.918842878299998,6476321.0,0.0,1.0
2000-04-11,50.69,52.81,50.63,51.94,22.2966059362,5240356.0,0.0,1.0
2000-04-12,52.94,54.69,52.81,53.63,23.0220827177,6503692.0,0.0,1.0
2000-04-13,53.75,54.94,52.5,54.44,23.3697964414,6497454.0,0.0,1.0
