Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,14.16,14.5,14.16,14.31,1.56339485843,10500.0,0.0,1.0
1999-11-02,14.88,15.12,14.44,15.12,1.6518889070200002,5000.0,0.0,1.0
1999-11-03,15.0,15.75,15.0,15.12,1.6518889070200002,8000.0,0.0,1.0
1999-11-04,15.69,15.72,14.75,15.38,1.6802944040999999,10500.0,0.0,1.0
1999-11-05,15.0,15.88,14.62,15.0,1.6387786776,31400.0,0.0,1.0
1999-11-08,15.25,15.25,14.25,14.5,1.5841527216799998,15600.0,0.0,1.0
1999-11-09,14.5,14.88,14.12,14.31,1.56339485843,19100.0,0.0,1.0
1999-11-10,14.34,14.38,13.94,14.31,1.56339485843,18300.0,0.0,1.0
1999-11-11,14.66,14.88,14.19,14.88,1.62566844818,33900.0,0.0,1.0
1999-11-12,15.25,16.38,14.88,15.38,1.6802944040999999,21000.0,0.0,1.0
1999-11-15,15.5,16.12,15.5,15.75,1.72071761148,14700.0,0.0,1.0
1999-11-16,15.5,16.25,15.5,15.75,1.72071761148,16900.0,0.0,1.0
1999-11-17,16.06,16.44,15.75,16.44,1.79610143065,12500.0,0.0,1.0
1999-11-18,16.12,16.25,15.5,15.88,1.73492036002,34300.0,0.0,1.0
1999-11-19,15.62,16.38,15.5,16.12,1.7611408188599997,26100.0,0.0,1.0
1999-11-22,16.31,17.0,16.25,16.75,1.8299695233200002,26600.0,0.0,1.0
1999-11-23,16.12,16.88,15.5,16.5,1.8026565453599999,28200.0,0.0,1.0
1999-11-24,16.44,16.62,15.12,16.0,1.7480305894400001,15600.0,0.0,1.0
1999-11-26,16.0,16.38,15.62,15.62,1.70651486294,4700.0,0.0,1.0
1999-11-29,15.66,16.25,15.62,16.0,1.7480305894400001,25700.0,0.0,1.0
1999-11-30,15.62,16.0,15.25,15.25,1.66609165556,24200.0,0.0,1.0
1999-12-01,15.19,16.0,15.19,16.0,1.7480305894400001,10600.0,0.0,1.0
1999-12-02,16.0,16.0,15.38,15.38,1.6802944040999999,2100.0,0.0,1.0
1999-12-03,15.56,15.75,15.38,15.69,1.7141624967700002,16400.0,0.0,1.0
1999-12-06,14.75,15.12,14.0,15.12,1.6518889070200002,11900.0,0.0,1.0
1999-12-07,14.75,15.38,14.5,14.88,1.62566844818,42500.0,0.0,1.0
1999-12-08,14.5,14.94,14.5,14.5,1.5841527216799998,20700.0,0.0,1.0
1999-12-09,14.88,14.94,14.38,14.38,1.5710424922600001,26900.0,0.0,1.0
1999-12-10,14.75,14.94,14.38,14.75,1.6114656996399999,14700.0,0.0,1.0
1999-12-13,14.38,14.75,14.06,14.06,1.5360818804700003,18800.0,0.0,1.0
1999-12-14,14.38,14.38,14.12,14.38,1.5710424922600001,47400.0,0.0,1.0
1999-12-15,14.06,14.5,14.0,14.25,1.5568397437200001,6800.0,0.0,1.0
1999-12-16,14.59,15.25,14.19,15.25,1.66609165556,33200.0,0.0,1.0
1999-12-17,15.25,15.25,14.75,14.75,1.6114656996399999,4300.0,0.0,1.0
1999-12-20,14.75,15.0,13.19,13.75,1.5022137878,58500.0,0.0,1.0
1999-12-21,13.62,15.0,13.62,14.88,1.62566844818,46800.0,0.0,1.0
1999-12-22,14.88,15.5,14.88,15.06,1.64533379231,23600.0,0.0,1.0
1999-12-23,15.0,15.62,15.0,15.25,1.66609165556,8500.0,0.0,1.0
1999-12-27,15.25,15.25,14.0,15.0,1.6387786776,25000.0,0.0,1.0
1999-12-28,14.75,14.88,14.5,14.88,1.62566844818,34600.0,0.0,1.0
1999-12-29,15.0,17.0,14.75,17.0,1.8572825012799998,30200.0,0.0,1.0
1999-12-30,16.78,17.0,16.25,16.44,1.79610143065,12400.0,0.0,1.0
1999-12-31,16.38,16.38,16.0,16.25,1.7753435674,8000.0,0.0,1.0
2000-01-03,16.12,17.25,16.0,16.75,1.8299695233200002,13200.0,0.0,1.0
2000-01-04,16.12,16.25,15.44,15.44,1.6868495188100001,5000.0,0.0,1.0
2000-01-05,15.38,16.25,15.38,16.25,1.7753435674,29300.0,0.0,1.0
2000-01-06,15.62,16.12,15.62,16.12,1.7611408188599997,84900.0,0.0,1.0
2000-01-07,15.62,17.0,15.62,16.25,1.7753435674,35500.0,0.0,1.0
2000-01-10,16.0,16.75,16.0,16.5,1.8026565453599999,13300.0,0.0,1.0
2000-01-11,16.75,17.62,16.0,16.75,1.8299695233200002,17800.0,0.0,1.0
2000-01-12,16.69,17.31,16.69,17.25,1.8845954792400001,27500.0,0.0,1.0
2000-01-13,17.03,18.25,16.88,18.0,1.96653441312,37900.0,0.0,1.0
2000-01-14,18.12,18.12,17.69,17.81,1.9457765498700001,5400.0,0.0,1.0
2000-01-18,17.81,18.25,17.81,17.88,1.9534241837000001,18200.0,0.0,1.0
2000-01-19,17.94,19.0,17.94,18.44,2.01460525433,27800.0,0.0,1.0
2000-01-20,18.38,18.5,17.88,18.0,1.96653441312,91200.0,0.0,1.0
2000-01-21,17.88,18.12,17.75,18.0,1.96653441312,13300.0,0.0,1.0
2000-01-24,18.0,18.25,17.75,18.0,1.96653441312,12900.0,0.0,1.0
2000-01-25,17.62,18.0,17.5,17.5,1.9119084572,6300.0,0.0,1.0
2000-01-26,17.41,17.5,16.88,17.5,1.9119084572,7100.0,0.0,1.0
