Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,16.94,17.44,16.88,17.38,4.5836420373,254100.0,0.0,1.0
1999-11-02,17.31,17.38,17.0,17.06,4.499248167799999,31300.0,0.0,1.0
1999-11-03,16.94,17.06,16.88,17.06,4.53617048571,23200.0,0.14,1.0
1999-11-04,16.94,17.06,16.75,17.06,4.53617048571,32400.0,0.0,1.0
1999-11-05,17.0,17.0,16.88,16.94,4.50426307315,43100.0,0.0,1.0
1999-11-08,17.0,17.0,16.88,16.88,4.488309366869999,42300.0,0.0,1.0
1999-11-09,16.94,17.0,16.88,16.94,4.50426307315,19200.0,0.0,1.0
1999-11-10,16.94,17.19,16.81,16.88,4.488309366869999,44900.0,0.0,1.0
1999-11-11,16.94,16.94,16.75,16.75,4.45374300326,7500.0,0.0,1.0
1999-11-12,16.75,16.88,16.63,16.69,4.43778929698,29700.0,0.0,1.0
1999-11-15,16.31,16.63,16.31,16.56,4.4032229333699995,106800.0,0.0,1.0
1999-11-16,16.63,17.0,16.56,17.0,4.52021677943,120000.0,0.0,1.0
1999-11-17,17.0,17.13,16.88,17.06,4.53617048571,30400.0,0.0,1.0
1999-11-18,17.0,17.69,16.94,17.69,4.70368440165,27600.0,0.0,1.0
1999-11-19,17.75,17.75,17.19,17.31,4.60264426188,52000.0,0.0,1.0
1999-11-22,17.31,17.5,17.19,17.25,4.5866905556,32900.0,0.0,1.0
1999-11-23,17.25,17.25,16.88,16.88,4.488309366869999,29300.0,0.0,1.0
1999-11-24,16.88,17.31,16.44,16.44,4.37131552081,84300.0,0.0,1.0
1999-11-26,16.5,16.94,16.44,16.88,4.488309366869999,56500.0,0.0,1.0
1999-11-29,16.88,17.19,16.88,17.13,4.554783143030001,21000.0,0.0,1.0
1999-11-30,17.13,17.88,17.13,17.13,4.554783143030001,82500.0,0.0,1.0
1999-12-01,17.31,17.81,17.31,17.5,4.65316433176,67500.0,0.0,1.0
1999-12-02,17.31,17.56,17.31,17.56,4.669118038040001,20900.0,0.0,1.0
1999-12-03,17.56,17.63,17.44,17.5,4.65316433176,58000.0,0.0,1.0
1999-12-06,17.63,17.63,16.25,16.81,4.46969670954,159500.0,0.0,1.0
1999-12-07,16.69,16.69,15.81,16.19,4.30484174464,168400.0,0.0,1.0
1999-12-08,16.19,16.31,16.06,16.06,4.27027538104,48000.0,0.0,1.0
1999-12-09,16.06,16.06,15.38,15.69,4.17189419231,94400.0,0.0,1.0
1999-12-10,15.63,15.94,15.63,15.69,4.17189419231,60900.0,0.0,1.0
1999-12-13,15.94,16.19,15.94,16.19,4.30484174464,37400.0,0.0,1.0
1999-12-14,16.19,16.5,16.19,16.5,4.38726922709,148900.0,0.0,1.0
1999-12-15,16.5,16.5,16.0,16.25,4.3207954509199995,37500.0,0.0,1.0
1999-12-16,16.25,16.31,15.88,16.13,4.28888803836,39600.0,0.0,1.0
1999-12-17,16.0,16.19,15.62,15.62,4.1532815349800005,70600.0,0.0,1.0
1999-12-20,15.69,15.81,15.5,15.81,4.20380160487,67500.0,0.0,1.0
1999-12-21,15.81,16.38,15.81,16.25,4.3207954509199995,33600.0,0.0,1.0
1999-12-22,16.06,16.56,16.06,16.06,4.27027538104,41500.0,0.0,1.0
1999-12-23,16.31,16.56,16.0,16.06,4.27027538104,28900.0,0.0,1.0
1999-12-27,15.81,16.25,15.81,16.13,4.28888803836,47600.0,0.0,1.0
1999-12-28,16.06,17.0,16.06,16.69,4.43778929698,51100.0,0.0,1.0
1999-12-29,16.63,17.0,16.63,16.94,4.50426307315,87800.0,0.0,1.0
1999-12-30,16.88,17.19,16.88,16.88,4.488309366869999,25400.0,0.0,1.0
1999-12-31,16.88,17.0,16.75,17.0,4.52021677943,18800.0,0.0,1.0
2000-01-03,17.0,17.0,16.44,16.44,4.37131552081,67900.0,0.0,1.0
2000-01-04,16.5,17.0,16.13,16.13,4.28888803836,37100.0,0.0,1.0
2000-01-05,16.13,16.5,16.06,16.38,4.35536181453,39400.0,0.0,1.0
2000-01-06,16.38,16.44,16.13,16.44,4.37131552081,16600.0,0.0,1.0
2000-01-07,16.5,16.56,16.38,16.56,4.4032229333699995,28100.0,0.0,1.0
2000-01-10,16.5,16.5,16.0,16.25,4.3207954509199995,31300.0,0.0,1.0
2000-01-11,16.25,16.25,16.0,16.0,4.25432167476,22100.0,0.0,1.0
