Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2019-03-13,38.6,39.3,38.0,39.2,38.0762491682,305985.0,0.0,1.0
2019-03-14,39.5,40.65,39.32,39.96,38.814462162199995,279685.0,0.0,1.0
2019-03-15,40.55,41.05,40.5,41.02,39.8440750224,164177.0,0.0,1.0
2019-03-18,41.73,41.73,40.47,40.86,39.688661760500004,581700.0,0.0,1.0
2019-03-19,41.4,41.4,39.05,39.55,38.416215678600004,2540200.0,0.0,1.0
2019-03-20,39.85,39.851,37.46,37.6,36.522116549,5147900.0,0.0,1.0
2019-03-21,38.0,38.91,37.84,38.88,37.765422644299996,8865500.0,0.0,1.0
2019-03-22,38.76,38.84,36.55,37.46,36.3861299449,4902500.0,0.0,1.0
2019-03-25,37.57,37.81,36.35,36.45,35.4050837291,4035100.0,0.0,1.0
2019-03-26,36.46,37.35,36.46,36.71,35.6576302797,3350900.0,0.0,1.0
2019-03-27,36.75,37.17,36.06,36.2,35.1622505073,2871300.0,0.0,1.0
2019-03-28,36.14,36.47,35.55,35.67,34.6474440772,2220600.0,0.0,1.0
2019-03-29,35.88,36.17,35.39,35.88,34.8514239835,2679200.0,0.0,1.0
2019-04-01,36.17,36.34,35.94,36.15,35.113683863,4338400.0,0.0,1.0
2019-04-02,36.21,36.46,35.21,35.7,34.6765840639,1491200.0,0.0,1.0
2019-04-03,35.78,35.89,35.3,35.5,34.4823174865,2831600.0,0.0,1.0
2019-04-04,35.56,36.07,35.39,36.03,34.9971239165,2223200.0,0.0,1.0
2019-04-05,35.99,37.09,35.94,36.98,35.9198901591,2116200.0,0.0,1.0
2019-04-08,36.94,36.94,36.65,36.85,35.7936168838,1929000.0,0.0,1.0
2019-04-09,36.81,37.07,36.59,36.89,35.8324701993,1793900.0,0.0,1.0
2019-04-10,36.91,37.05,35.86,35.93,34.8999906278,843600.0,0.0,1.0
2019-04-11,35.98,36.5,35.53,36.41,35.3662304136,978200.0,0.0,1.0
2019-04-12,36.47,37.08,35.92,36.95,35.8907501725,3175200.0,0.0,1.0
2019-04-15,36.91,36.99,36.47,36.98,35.9198901591,891200.0,0.0,1.0
2019-04-16,37.11,37.28,36.93,37.21,36.1432967231,1869325.0,0.0,1.0
2019-04-17,37.18,38.25,37.18,38.21,37.1146296101,2122100.0,0.0,1.0
2019-04-18,38.34,38.37,37.92,37.92,36.8329430729,2315200.0,0.0,1.0
2019-04-22,37.84,37.88,37.11,37.24,36.1724367097,1665000.0,0.0,1.0
2019-04-23,37.22,37.82,37.07,37.6,36.522116549,5455100.0,0.0,1.0
2019-04-24,37.51,37.76,37.33,37.45,36.376416616,1230800.0,0.0,1.0
2019-04-25,37.48,37.68,37.04,37.64,36.560969864499995,1422800.0,0.0,1.0
2019-04-26,37.8,37.94,37.4,37.91,36.823229744,2505690.0,0.0,1.0
2019-04-29,37.74,38.91,37.69,38.73,37.6197227113,1716800.0,0.0,1.0
2019-04-30,38.59,38.78,37.89,38.5,37.3963161473,1810000.0,0.0,1.0
2019-05-01,38.66,38.8,38.09,38.74,37.6294360402,1475000.0,0.0,1.0
2019-05-02,38.75,38.8,36.5,36.84,35.783903555,2627700.0,0.0,1.0
