Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2019-03-12,38.0,38.0,38.0,38.0,36.918276425500004,10000.0,0.0,1.0
2019-03-13,39.0,39.9,38.7,39.75,38.6184602082,20477364.0,0.0,1.0
2019-03-14,39.75,41.4,39.75,40.65,39.4928404393,6248563.0,0.0,1.0
2019-03-15,41.38,41.87,41.24,41.7,40.512950709,7107258.0,0.0,1.0
2019-03-18,41.95,41.95,41.05,41.7,40.512950709,4020900.0,0.0,1.0
2019-03-19,41.55,41.7,39.84,40.34,39.191665026399995,10118500.0,0.0,1.0
2019-03-20,40.49,40.81,38.24,38.62,37.5206272514,15683200.0,0.0,1.0
2019-03-21,39.0,40.07,38.75,40.02,38.880774277600004,12751700.0,0.0,1.0
2019-03-22,39.93,39.99,37.69,38.72,37.6177806104,10898000.0,0.0,1.0
2019-03-25,38.89,38.96,37.39,37.44,36.374217615,9338900.0,0.0,1.0
2019-03-26,37.65,38.28,37.51,37.54,36.471370974,6287100.0,0.0,1.0
2019-03-27,37.52,37.91,36.76,36.92,35.8690201481,5578100.0,0.0,1.0
2019-03-28,36.85,37.15,36.34,36.4,35.3638226812,5326200.0,0.0,1.0
2019-03-29,36.55,36.91,36.15,36.71,35.6649980942,5895300.0,0.0,1.0
2019-04-01,36.91,37.15,36.71,36.85,35.801012796799995,5311200.0,0.0,1.0
2019-04-02,36.96,37.18,35.9,36.28,35.2472386504,6704600.0,0.0,1.0
2019-04-03,36.37,36.56,35.9,36.08,35.0529319324,8393500.0,0.0,1.0
2019-04-04,36.2,36.8,36.01,36.76,35.713574773699996,4908400.0,0.0,1.0
2019-04-05,36.79,37.85,36.69,37.68,36.607385676599996,7344900.0,0.0,1.0
2019-04-08,37.6,37.68,37.265,37.47,36.4033636227,3393300.0,0.0,1.0
2019-04-09,37.42,37.65,37.17,37.31,36.247918248299996,5725900.0,0.0,1.0
2019-04-10,37.33,37.53,36.36,36.48,35.4415453684,4828400.0,0.0,1.0
2019-04-11,36.57,37.16,35.99,37.09,36.0341808584,4791400.0,0.0,1.0
2019-04-12,37.15,37.62,36.47,37.53,36.4616556381,6368500.0,0.0,1.0
2019-04-15,37.46,37.57,36.99,37.53,36.4616556381,3927100.0,0.0,1.0
2019-04-16,37.67,37.85,37.47,37.75,36.6753930279,5721982.0,0.0,1.0
2019-04-17,37.87,38.85,37.76,38.84,37.734364641199996,7603800.0,0.0,1.0
2019-04-18,38.91,39.0,38.43,38.44,37.3457512051,4737400.0,0.0,1.0
2019-04-22,38.36,38.44,37.62,37.7,36.6268163484,7675300.0,0.0,1.0
2019-04-23,37.79,38.39,37.63,38.08,36.9959991127,6096400.0,0.0,1.0
2019-04-24,37.95,38.31,37.805,37.96,36.8794150819,5323500.0,0.0,1.0
2019-04-25,37.98,38.2,37.54,38.15,37.064006464,5309700.0,0.0,1.0
2019-04-26,38.08,38.53,37.9,38.48,37.3846125487,5297417.0,0.0,1.0
2019-04-29,38.54,39.525,38.31,39.2,38.0841167336,6885200.0,0.0,1.0
2019-04-30,39.19,39.33,38.47,38.99,37.8800946797,5044400.0,0.0,1.0
2019-05-01,39.12,39.49,38.66,39.4,38.2784234517,5149800.0,0.0,1.0
2019-05-02,39.23,39.47,37.08,37.28,36.218772240599996,11495900.0,0.0,1.0
2019-05-03,37.41,37.75,37.12,37.47,36.4033636227,4809800.0,0.0,1.0
2019-05-06,37.17,37.99,36.96,37.92,36.8405537383,4801300.0,0.0,1.0
2019-05-07,37.58,37.81,37.12,37.26,36.1993415688,6053300.0,0.0,1.0
2019-05-08,37.34,37.7,36.855,37.42,36.354786943200004,8635300.0,0.0,1.0
2019-05-09,38.5,39.25,37.51,38.5,37.4040432205,15210200.0,0.0,1.0
2019-05-10,38.64,38.75,37.44,38.53,37.4331892282,6742500.0,0.0,1.0
2019-05-13,37.77,38.68,37.73,37.97,36.889130417800004,5604000.0,0.0,1.0
2019-05-14,38.05,38.52,37.872,37.89,36.8114077305,6198600.0,0.0,1.0
2019-05-15,37.7,37.97,37.57,37.71,36.636531684299996,2975400.0,0.0,1.0
2019-05-16,37.91,38.08,36.7,36.74,35.6941441019,8704900.0,0.0,1.0
2019-05-17,36.56,37.59,36.55,37.32,36.4810863099,5508000.0,0.23,1.0
2019-05-20,37.18,37.64,37.0,37.14,36.3051325174,3670000.0,0.0,1.0
2019-05-21,37.26,38.0,37.1,37.69,36.8427691056,4668600.0,0.0,1.0
2019-05-22,37.66,37.76,37.055,37.12,36.285582096,3431200.0,0.0,1.0
2019-05-23,36.82,37.08,36.63,36.91,36.0803026714,4431900.0,0.0,1.0
2019-05-24,37.05,37.205,36.85,36.92,36.0900778821,2879000.0,0.0,1.0
2019-05-28,36.97,37.34,36.505,36.64,35.8163719827,4380400.0,0.0,1.0
2019-05-29,36.5,36.65,35.79,35.79,34.9854790737,3691300.0,0.0,1.0
2019-05-30,35.88,36.155,35.15,35.22,34.4282920642,4730400.0,0.0,1.0
2019-05-31,34.97,35.27,34.7,35.23,34.4380672749,6706100.0,0.0,1.0
2019-06-03,35.05,35.3,33.78,34.24,33.4703214162,7499800.0,0.0,1.0
2019-06-04,34.52,35.25,34.15,34.48,33.704926472800004,8058934.0,0.0,1.0
2019-06-05,34.62,34.98,34.28,34.36,33.587623944499995,6240600.0,0.0,1.0
2019-06-06,34.66,34.66,33.98,34.12,33.353018887800005,5288300.0,0.0,1.0
2019-06-07,34.18,34.44,34.0,34.01,33.2454915702,4226794.0,0.0,1.0
2019-06-10,34.05,34.4,33.9,34.03,33.2650419916,5620499.0,0.0,1.0
2019-06-11,34.23,34.41,34.01,34.18,33.411670152,3166900.0,0.0,1.0
2019-06-12,34.2,35.1,34.16,35.05,34.2621134824,4426800.0,0.0,1.0
2019-06-13,35.17,35.5,34.963,35.29,34.496718539,4384800.0,0.0,1.0
2019-06-14,35.24,35.5,34.93,35.24,34.4478424856,4362200.0,0.0,1.0
2019-06-17,35.42,36.325,35.34,36.13,35.3178362373,7195400.0,0.0,1.0
2019-06-18,36.45,37.05,36.08,36.19,35.3764875015,4921200.0,0.0,1.0
2019-06-19,36.26,36.42,35.6775,35.99,35.1809832876,4790143.0,0.0,1.0
2019-06-20,36.38,36.475,35.56,35.58,34.7801996491,5916524.0,0.0,1.0
2019-06-21,35.61,37.295,35.31,36.18,35.3667122908,11402200.0,0.0,1.0
2019-06-24,36.01,36.07,35.605,35.8,34.9952542844,5280100.0,0.0,1.0
2019-06-25,35.78,35.86,35.14,35.34,34.5455945925,7204300.0,0.0,1.0
2019-06-26,35.79,36.1,35.33,35.47,34.6726723315,4297300.0,0.0,1.0
2019-06-27,35.53,36.33,35.2,35.99,35.1809832876,5083900.0,0.0,1.0
2019-06-28,35.98,36.76,35.81,36.64,35.8163719827,10930000.0,0.0,1.0
2019-07-01,36.46,36.99,35.74,35.92,35.1125568127,6407200.0,0.0,1.0
2019-07-02,36.01,36.62,35.92,36.59,35.7674959292,3599500.0,0.0,1.0
2019-07-03,36.6,36.82,36.27,36.35,35.5328908726,3160300.0,0.0,1.0
2019-07-05,36.24,36.8,36.075,36.6,35.777271139899995,1982000.0,0.0,1.0
2019-07-08,36.53,36.675,36.08,36.13,35.3178362373,1644600.0,0.0,1.0
2019-07-09,36.03,36.27,35.82,36.02,35.2103089197,2379600.0,0.0,1.0
2019-07-10,36.19,36.43,36.075,36.14,35.327611448,2400700.0,0.0,1.0
2019-07-11,36.17,36.35,35.85,36.29,35.474239608400005,2987000.0,0.0,1.0
2019-07-12,36.46,37.04,36.1,36.96,36.1291787249,2755700.0,0.0,1.0
2019-07-15,37.03,37.16,36.64,37.01,36.1780547784,2861600.0,0.0,1.0
2019-07-16,36.93,37.11,36.63,36.69,35.8652480362,2721500.0,0.0,1.0
2019-07-17,36.73,36.76,36.11,36.17,35.3569370801,5740500.0,0.0,1.0
2019-07-18,36.17,36.72,35.96,36.55,35.7283950865,5313800.0,0.0,1.0
2019-07-19,36.7,36.74,36.14,36.43,35.6110925581,4402000.0,0.0,1.0
2019-07-22,36.51,36.61,36.06,36.1,35.2885106052,7865700.0,0.0,1.0
2019-07-23,36.19,36.39,35.84,36.22,35.4058131336,5573600.0,0.0,1.0
2019-07-24,36.13,36.86,36.13,36.6,35.777271139899995,5980600.0,0.0,1.0
2019-07-25,36.63,37.34,36.63,37.17,36.3344581495,3251600.0,0.0,1.0
2019-07-26,37.29,37.8,37.08,37.21,36.3735589923,2669100.0,0.0,1.0
2019-07-29,37.16,37.57,37.07,37.51,36.6668153131,2130600.0,0.0,1.0
2019-07-30,37.35,37.98,37.32,37.82,36.9698468446,2971800.0,0.0,1.0
2019-07-31,37.67,37.692,36.81,37.32,36.4810863099,5280600.0,0.0,1.0
2019-08-01,37.25,37.49,36.725,36.89,36.0607522501,3280700.0,0.0,1.0
2019-08-02,36.73,36.96,36.33,36.63,35.806596772,2419000.0,0.0,1.0
2019-08-05,36.47,36.56,35.77,36.05,35.2396345518,4517200.0,0.0,1.0
2019-08-06,36.16,36.6,35.93,36.45,35.630642979499996,3366700.0,0.0,1.0
2019-08-07,35.89,37.15,35.8,37.04,36.2073804105,4657400.0,0.0,1.0
2019-08-08,37.22,37.25,35.0,35.13,34.3403151679,9539900.0,0.0,1.0
2019-08-09,35.11,35.65,34.98,35.4,34.604245856700004,4234400.0,0.0,1.0
2019-08-12,35.04,35.32,34.7,34.95,34.1643613754,4172900.0,0.0,1.0
2019-08-13,34.84,35.59,34.8,35.06,34.2718886931,2940800.0,0.0,1.0
2019-08-14,34.7,34.75,33.38,33.69,32.932684828,7489800.0,0.0,1.0
2019-08-15,33.88,34.09,32.725,32.75,32.0138150228,7037700.0,0.0,1.0
2019-08-16,33.0,33.3,32.67,32.99,32.2484200794,3256831.0,0.0,1.0
2019-08-19,33.32,34.025,33.29,33.87,33.1086386205,3915100.0,0.0,1.0
