Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,18.44,18.94,18.25,18.75,7.599710230299999,73700.0,0.0,1.0
1999-11-02,18.75,19.38,18.75,19.13,7.7537310242999995,58700.0,0.0,1.0
1999-11-03,19.25,19.63,19.0,19.56,7.92801771225,117500.0,0.0,1.0
1999-11-04,19.63,19.75,19.38,19.63,7.956389963769999,236600.0,0.0,1.0
1999-11-05,19.31,19.5,19.0,19.5,7.903698639510001,90400.0,0.0,1.0
1999-11-08,19.5,19.56,19.25,19.5,7.903698639510001,202100.0,0.0,1.0
1999-11-09,19.5,19.63,19.31,19.38,7.855060494039999,122200.0,0.0,1.0
1999-11-10,19.38,19.5,19.13,19.19,7.77805009704,67400.0,0.0,1.0
1999-11-11,19.25,19.25,19.06,19.13,7.7537310242999995,86600.0,0.0,1.0
1999-11-12,19.13,19.38,19.13,19.25,7.80236916977,61300.0,0.0,1.0
1999-11-15,19.38,19.44,19.0,19.19,7.77805009704,70500.0,0.0,1.0
1999-11-16,19.38,19.38,19.0,19.19,7.77805009704,171700.0,0.0,1.0
1999-11-17,19.06,19.19,18.94,19.06,7.72535877277,157200.0,0.0,1.0
1999-11-18,19.13,19.25,18.94,19.06,7.72535877277,32100.0,0.0,1.0
1999-11-19,19.13,19.25,18.63,19.25,7.80236916977,72400.0,0.0,1.0
1999-11-22,19.38,19.5,19.0,19.0,7.701039700039999,39300.0,0.0,1.0
1999-11-23,18.81,19.13,18.5,18.75,7.599710230299999,57300.0,0.0,1.0
1999-11-24,18.88,19.0,18.63,18.88,7.652401554560001,81400.0,0.0,1.0
1999-11-26,18.88,18.88,18.5,18.69,7.57539115756,13100.0,0.0,1.0
1999-11-29,18.5,18.75,18.25,18.38,7.449742615089999,90700.0,0.0,1.0
1999-11-30,18.31,18.44,17.88,18.0,7.29572182109,250000.0,0.0,1.0
1999-12-01,18.0,18.19,17.88,18.13,7.348413145349999,245000.0,0.0,1.0
1999-12-02,18.0,18.38,18.0,18.13,7.348413145349999,59200.0,0.0,1.0
1999-12-03,18.25,18.5,18.0,18.0,7.29572182109,95200.0,0.0,1.0
1999-12-06,17.88,18.38,17.88,17.94,7.271402748350001,163000.0,0.0,1.0
1999-12-07,18.06,18.19,17.88,18.06,7.32004089382,86700.0,0.0,1.0
1999-12-08,18.0,18.06,17.88,18.0,7.29572182109,191200.0,0.0,1.0
1999-12-09,17.88,18.13,17.81,17.81,7.218711424089999,167000.0,0.0,1.0
1999-12-10,17.94,18.13,17.81,17.88,7.247083675610001,88200.0,0.0,1.0
1999-12-13,17.88,18.0,17.5,17.75,7.19439235135,164500.0,0.0,1.0
1999-12-14,17.75,18.06,17.13,17.25,6.991733411869999,249300.0,0.0,1.0
1999-12-15,17.19,17.31,16.38,16.63,6.740436326930001,225900.0,0.0,1.0
1999-12-16,16.63,17.38,16.63,16.94,6.866084869400001,1148800.0,0.0,1.0
1999-12-17,17.12,18.38,17.0,17.5,7.09306288161,166600.0,0.0,1.0
1999-12-20,17.63,17.94,17.38,17.88,7.247083675610001,176200.0,0.0,1.0
1999-12-21,17.75,18.19,17.63,18.0,7.29572182109,147700.0,0.0,1.0
1999-12-22,18.0,18.25,17.75,18.13,7.348413145349999,174800.0,0.0,1.0
1999-12-23,18.19,18.25,18.06,18.19,7.372732218089999,120200.0,0.0,1.0
1999-12-27,18.25,18.25,18.13,18.25,7.39705129082,116500.0,0.0,1.0
1999-12-28,18.19,18.63,18.13,18.44,7.474061687819999,123700.0,0.0,1.0
1999-12-29,18.88,19.13,18.81,18.94,7.6767206273,88600.0,0.0,1.0
1999-12-30,18.75,18.94,18.31,18.75,7.782103275830001,105900.0,0.45,1.0
1999-12-31,18.5,18.88,18.5,18.81,7.807006006310001,69700.0,0.0,1.0
2000-01-03,18.81,18.88,18.63,18.81,7.807006006310001,110000.0,0.0,1.0
2000-01-04,18.75,18.81,18.63,18.75,7.782103275830001,176500.0,0.0,1.0
2000-01-05,18.75,18.88,18.69,18.88,7.8360591918699996,135400.0,0.0,1.0
2000-01-06,18.75,19.25,18.63,19.25,7.98962602985,186800.0,0.0,1.0
2000-01-07,19.25,20.38,19.19,20.25,8.40467153789,190200.0,0.0,1.0
2000-01-10,20.31,20.5,20.06,20.38,8.45862745394,64400.0,0.0,1.0
2000-01-11,20.25,20.25,19.56,19.63,8.1473433229,56900.0,0.0,1.0
2000-01-12,19.75,20.25,19.75,20.0,8.30091016088,96100.0,0.0,1.0
2000-01-13,19.88,20.06,19.63,19.94,8.2760074304,164200.0,0.0,1.0
2000-01-14,20.0,20.06,19.75,19.75,8.19714878387,53400.0,0.0,1.0
2000-01-18,20.0,20.06,19.81,20.0,8.30091016088,64000.0,0.0,1.0
2000-01-19,19.88,20.13,19.75,20.13,8.354866076930001,154100.0,0.0,1.0
2000-01-20,20.19,20.25,20.13,20.19,8.37976880741,51900.0,0.0,1.0
2000-01-21,20.19,20.19,20.06,20.19,8.37976880741,29200.0,0.0,1.0
2000-01-24,20.13,20.19,20.0,20.0,8.30091016088,52600.0,0.0,1.0
2000-01-25,20.0,20.13,19.88,20.0,8.30091016088,66700.0,0.0,1.0
2000-01-26,20.06,20.06,20.0,20.0,8.30091016088,34200.0,0.0,1.0
2000-01-27,20.06,20.13,20.0,20.06,8.32581289136,61000.0,0.0,1.0
