Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,87.0,87.0,85.56,85.88,11.4245694648,627000.0,0.0,1.0
1999-11-02,85.94,86.06,84.06,84.25,11.2077314556,640100.0,0.0,1.0
1999-11-03,84.81,85.63,84.25,84.63,11.2582826479,518900.0,0.0,1.0
1999-11-04,84.63,84.63,82.88,83.31,11.0826837693,755900.0,0.0,1.0
1999-11-05,83.0,83.13,82.38,82.69,11.000205508199999,303700.0,0.0,1.0
1999-11-08,83.19,83.69,82.94,83.38,11.091995831099998,289700.0,0.0,1.0
1999-11-09,42.0,42.0,40.81,41.19,10.9589663776,253550.0,0.0,2.0
1999-11-10,41.44,41.63,40.75,41.25,10.974929912,741700.0,0.0,1.0
1999-11-11,41.13,41.56,40.75,41.06,10.9243787197,377600.0,0.0,1.0
1999-11-12,41.88,41.88,40.81,40.88,10.876488116400001,579100.0,0.0,1.0
1999-11-15,40.63,41.06,40.25,40.5,10.7753857318,469000.0,0.0,1.0
1999-11-16,40.5,41.0,40.38,40.75,10.8419004585,442600.0,0.0,1.0
1999-11-17,40.69,40.94,40.31,40.31,10.7248345395,681200.0,0.0,1.0
1999-11-18,40.31,40.5,38.5,39.06,10.3922609058,2040300.0,0.0,1.0
1999-11-19,39.25,39.69,38.88,39.19,10.4268485637,653500.0,0.0,1.0
1999-11-22,38.81,39.0,38.5,38.71,10.2991402883,1634800.0,0.0,1.0
1999-11-23,39.0,39.0,38.06,38.38,10.211340849099999,602300.0,0.0,1.0
1999-11-24,38.0,38.31,37.69,38.06,10.1262019988,736400.0,0.0,1.0
1999-11-26,37.94,38.25,37.38,37.88,10.0783113956,267100.0,0.0,1.0
1999-11-29,37.38,38.06,37.31,38.0,10.1102384644,1298800.0,0.0,1.0
1999-11-30,37.5,38.06,37.44,37.69,10.0277602032,877400.0,0.0,1.0
1999-12-01,37.44,38.19,37.19,37.69,10.0277602032,913600.0,0.0,1.0
1999-12-02,37.56,38.06,37.38,37.75,10.0437237377,897100.0,0.0,1.0
1999-12-03,37.75,38.56,37.75,37.94,10.09427493,1210800.0,0.0,1.0
1999-12-06,36.75,37.94,36.69,37.38,9.94528194209,1133300.0,0.0,1.0
1999-12-07,37.06,37.5,37.0,37.0,9.84417955745,1708900.0,0.0,1.0
1999-12-08,37.06,37.13,35.63,35.88,9.54619358165,1323100.0,0.0,1.0
1999-12-09,35.88,36.13,35.13,35.31,9.39454000469,955800.0,0.0,1.0
1999-12-10,35.06,35.25,34.69,34.81,9.26151055121,913100.0,0.0,1.0
1999-12-13,35.19,35.19,33.94,34.13,9.08059049448,1171600.0,0.0,1.0
1999-12-14,33.63,34.19,33.19,33.63,8.947561041,1303900.0,0.0,1.0
1999-12-15,33.88,34.81,33.13,34.69,9.22958348237,1976900.0,0.0,1.0
1999-12-16,33.19,33.63,32.5,32.75,8.71342920288,2147500.0,0.0,1.0
1999-12-17,32.75,34.62,32.75,33.69,8.96352457542,3388800.0,0.0,1.0
1999-12-20,34.56,34.81,33.69,33.88,9.01407576774,1571800.0,0.0,1.0
1999-12-21,33.81,34.25,33.56,33.69,8.96352457542,1641900.0,0.0,1.0
1999-12-22,33.13,33.69,33.0,33.06,8.79590746403,1535600.0,0.0,1.0
1999-12-23,33.63,34.13,33.56,33.88,9.01407576774,1182600.0,0.0,1.0
1999-12-27,33.94,34.63,33.88,34.44,9.16306875564,1206000.0,0.0,1.0
1999-12-28,34.31,34.75,34.19,34.19,9.0965540289,951800.0,0.0,1.0
1999-12-29,35.0,35.13,34.63,34.63,9.21361994796,898400.0,0.0,1.0
1999-12-30,34.63,35.75,34.63,35.31,9.39454000469,901000.0,0.0,1.0
1999-12-31,35.19,36.31,35.19,35.75,9.51160592375,764500.0,0.0,1.0
2000-01-03,35.38,35.5,34.06,34.44,9.16306875564,1039100.0,0.0,1.0
2000-01-04,34.06,34.44,33.56,33.81,8.99545164425,773400.0,0.0,1.0
2000-01-05,33.19,34.19,33.19,34.0,9.046002836569999,1009400.0,0.0,1.0
2000-01-06,33.56,34.0,32.94,33.56,9.002103116930002,1646300.0,0.275,1.0
2000-01-07,34.44,34.56,33.5,33.63,9.02087985167,2264500.0,0.0,1.0
2000-01-10,33.63,33.81,32.88,32.94,8.835794894860001,733100.0,0.0,1.0
2000-01-11,33.0,33.56,32.94,33.38,8.953820084710001,926200.0,0.0,1.0
2000-01-12,33.25,33.94,33.19,33.31,8.93504334996,1093400.0,0.0,1.0
2000-01-13,33.0,33.88,32.88,33.44,8.969914428780001,688800.0,0.0,1.0
2000-01-14,32.94,33.38,32.44,32.69,8.7687351279,757500.0,0.0,1.0
2000-01-18,32.0,33.25,31.81,33.0,8.85188923893,941600.0,0.0,1.0
2000-01-19,32.88,33.31,32.31,32.69,8.7687351279,1287700.0,0.0,1.0
2000-01-20,32.38,32.69,31.81,32.13,8.61852124991,968300.0,0.0,1.0
2000-01-21,32.13,32.25,31.31,31.5,8.44953063716,1143600.0,0.0,1.0
2000-01-24,31.5,32.0,31.0,31.19,8.36637652613,981400.0,0.0,1.0
2000-01-25,30.75,31.31,30.19,30.19,8.09813745828,578600.0,0.0,1.0
2000-01-26,31.44,31.56,30.56,31.0,8.315411103239999,693800.0,0.0,1.0
2000-01-27,31.25,31.56,30.31,30.38,8.14910288117,660400.0,0.0,1.0
2000-01-28,30.88,30.94,30.0,30.25,8.11423180235,743000.0,0.0,1.0
2000-01-31,30.13,31.31,30.06,31.19,8.36637652613,671500.0,0.0,1.0
2000-02-01,31.56,31.63,30.0,30.25,8.11423180235,1628000.0,0.0,1.0
2000-02-02,30.25,30.81,29.5,30.13,8.08204311421,1287400.0,0.0,1.0
2000-02-03,30.13,30.69,29.38,30.63,8.21616264814,996900.0,0.0,1.0
2000-02-04,30.5,30.56,30.0,30.38,8.14910288117,717500.0,0.0,1.0
2000-02-07,30.88,31.13,29.5,30.56,8.19738591339,1205200.0,0.0,1.0
2000-02-08,30.94,31.0,30.56,30.81,8.264445680349999,1179200.0,0.0,1.0
2000-02-09,30.81,30.94,30.44,30.5,8.181291569319999,1513400.0,0.0,1.0
2000-02-10,30.38,30.5,29.75,30.06,8.063266379460003,1892000.0,0.0,1.0
2000-02-11,30.44,30.69,30.13,30.44,8.16519722524,913700.0,0.0,1.0
2000-02-14,30.5,31.0,30.5,31.0,8.315411103239999,1206600.0,0.0,1.0
2000-02-15,31.25,32.44,31.25,32.44,8.70167536094,1401400.0,0.0,1.0
2000-02-16,32.06,32.25,31.56,32.06,8.599744515160001,866800.0,0.0,1.0
2000-02-17,32.13,32.56,31.75,32.38,8.68558101687,981600.0,0.0,1.0
2000-02-18,32.13,32.38,31.69,32.06,8.599744515160001,714100.0,0.0,1.0
2000-02-22,32.06,33.56,32.06,33.44,8.969914428780001,1170100.0,0.0,1.0
2000-02-23,33.19,33.81,32.88,33.44,8.969914428780001,1564900.0,0.0,1.0
2000-02-24,33.38,33.38,32.63,33.13,8.88676031775,1523400.0,0.0,1.0
2000-02-25,32.94,33.13,32.69,33.0,8.85188923893,1681700.0,0.0,1.0
2000-02-28,32.94,33.13,32.81,32.94,8.835794894860001,1030800.0,0.0,1.0
2000-02-29,32.94,33.19,32.75,32.94,8.835794894860001,1217100.0,0.0,1.0
2000-03-01,33.06,33.81,32.94,33.19,8.90285466182,1431500.0,0.0,1.0
2000-03-02,32.81,32.88,31.5,32.19,8.63461559398,1595000.0,0.0,1.0
2000-03-03,32.19,32.75,31.88,32.38,8.68558101687,908000.0,0.0,1.0
2000-03-06,32.75,32.75,31.56,31.75,8.516590404119999,1314100.0,0.0,1.0
2000-03-07,32.0,32.0,30.5,31.0,8.315411103239999,2457500.0,0.0,1.0
2000-03-08,30.75,31.69,30.31,31.38,8.417341949019999,1846200.0,0.0,1.0
2000-03-09,31.25,31.88,31.06,31.56,8.46562498123,1424800.0,0.0,1.0
2000-03-10,31.31,31.63,30.88,31.38,8.417341949019999,1221000.0,0.0,1.0
2000-03-13,30.63,31.44,30.44,31.0,8.315411103239999,1207600.0,0.0,1.0
2000-03-14,30.69,31.25,30.56,30.63,8.21616264814,741300.0,0.0,1.0
2000-03-15,30.63,32.94,30.38,32.75,8.784829471970001,1229300.0,0.0,1.0
2000-03-16,33.0,35.69,32.88,35.19,9.43933279752,1689500.0,0.0,1.0
2000-03-17,35.13,35.5,34.5,34.5,9.2542478407,1398400.0,0.0,1.0
2000-03-20,34.56,35.44,34.5,34.81,9.33740195173,1132400.0,0.0,1.0
2000-03-21,35.06,35.06,34.13,34.75,9.32130760766,1406600.0,0.0,1.0
2000-03-22,34.5,35.19,34.31,34.69,9.30521326359,1115600.0,0.0,1.0
2000-03-23,35.06,35.06,34.25,34.94,9.37227303055,1401800.0,0.0,1.0
2000-03-24,35.19,35.38,34.25,34.25,9.18718807374,555000.0,0.0,1.0
2000-03-27,34.0,34.5,34.0,34.13,9.1549993856,777900.0,0.0,1.0
2000-03-28,34.13,34.75,34.13,34.31,9.20328241781,803200.0,0.0,1.0
2000-03-29,34.0,35.25,34.0,34.81,9.33740195173,1517000.0,0.0,1.0
2000-03-30,34.63,35.88,34.63,35.88,9.62441775433,1740700.0,0.0,1.0
2000-03-31,36.0,36.69,35.69,36.19,9.70757186536,992000.0,0.0,1.0
2000-04-03,36.06,36.38,35.56,35.81,9.60564101958,847400.0,0.0,1.0
2000-04-04,35.81,37.75,35.81,37.0,9.924845510319999,1694800.0,0.0,1.0
2000-04-05,36.88,37.44,36.31,36.5,9.79072597639,606800.0,0.0,1.0
2000-04-06,36.31,36.56,35.81,36.06,9.7464665302,542700.0,0.275,1.0
2000-04-07,35.81,36.0,35.19,35.38,9.56267292952,585500.0,0.0,1.0
2000-04-10,35.13,35.81,34.94,35.06,9.476181823320001,948800.0,0.0,1.0
2000-04-11,35.19,35.88,35.06,35.63,9.63024410624,1083000.0,0.0,1.0
2000-04-12,35.88,36.94,35.75,36.5,9.86539180123,1330000.0,0.0,1.0
2000-04-13,36.25,37.5,36.13,37.06,10.016751237100001,1085100.0,0.0,1.0
2000-04-14,36.31,37.19,36.06,36.19,9.78160354209,1035000.0,0.0,1.0
2000-04-17,36.25,36.81,35.94,36.69,9.916745895539998,936200.0,0.0,1.0
2000-04-18,36.69,36.69,35.94,36.13,9.76538645968,639600.0,0.0,1.0
2000-04-19,36.0,36.44,35.81,36.06,9.7464665302,834200.0,0.0,1.0
2000-04-20,36.31,36.31,35.88,36.19,9.78160354209,531500.0,0.0,1.0
