Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,31.13,32.06,31.13,31.56,11.4406318842,507289.0,0.0,1.0
1999-11-02,31.56,32.63,31.56,32.06,11.6218839736,254267.0,0.0,1.0
1999-11-03,32.25,32.25,31.5,31.5,11.4188816334,351067.0,0.0,1.0
1999-11-04,31.56,33.25,31.5,32.25,11.6907597676,404622.0,0.0,1.0
1999-11-05,34.0,34.5,33.88,34.25,12.4157681252,603022.0,0.0,1.0
1999-11-08,34.38,34.81,34.25,34.38,12.4628936685,527200.0,0.0,1.0
1999-11-09,34.38,34.44,33.5,33.81,12.2562662865,520000.0,0.0,1.0
1999-11-10,33.88,33.88,33.25,33.5,12.143889991099998,293289.0,0.0,1.0
1999-11-11,33.75,34.25,33.69,34.06,12.3468923312,356222.0,0.0,1.0
1999-11-12,34.06,34.94,33.75,34.38,12.4628936685,554222.0,0.0,1.0
1999-11-15,34.44,34.75,34.06,34.5,12.5063941699,272089.0,0.0,1.0
1999-11-16,34.44,36.0,34.44,35.94,13.0284001875,1777067.0,0.0,1.0
1999-11-17,35.81,35.94,34.94,35.31,12.8000225548,322622.0,0.0,1.0
1999-11-18,35.31,35.31,34.0,34.31,12.437518376,199467.0,0.0,1.0
1999-11-19,34.06,34.63,34.0,34.19,12.394017874500001,212400.0,0.0,1.0
1999-11-22,34.0,34.25,33.75,33.88,12.2816415791,273022.0,0.0,1.0
1999-11-23,33.88,33.88,33.25,33.63,12.1910155343,308000.0,0.0,1.0
1999-11-24,33.25,33.38,32.81,32.81,11.8937621077,317422.0,0.0,1.0
1999-11-26,32.94,32.94,32.19,32.25,11.6907597676,78889.0,0.0,1.0
1999-11-29,32.44,32.44,31.63,31.81,11.5312579289,448000.0,0.0,1.0
1999-11-30,31.56,32.19,31.56,31.75,11.5095076781,295022.0,0.0,1.0
1999-12-01,31.5,31.75,31.06,31.06,11.259379794700001,829200.0,0.0,1.0
1999-12-02,31.19,31.88,31.06,31.19,11.306505338,575200.0,0.0,1.0
1999-12-03,31.88,32.88,31.63,31.88,11.5566332214,308000.0,0.0,1.0
1999-12-06,31.63,31.63,31.38,31.5,11.4188816334,272622.0,0.0,1.0
1999-12-07,31.31,31.5,30.75,30.75,11.1470034993,444489.0,0.0,1.0
1999-12-08,30.94,30.94,30.06,30.06,10.896875615899999,161822.0,0.0,1.0
1999-12-09,29.81,30.25,29.5,30.19,10.9440011591,728089.0,0.0,1.0
1999-12-10,30.19,30.75,29.75,30.13,10.922250908399999,127689.0,0.0,1.0
1999-12-13,30.13,30.63,29.63,29.88,10.831624863699998,224489.0,0.0,1.0
1999-12-14,29.75,29.81,29.25,29.44,10.672123025,256222.0,0.0,1.0
1999-12-15,29.69,29.69,28.75,28.88,10.4691206849,377689.0,0.0,1.0
1999-12-16,28.63,29.0,28.25,28.44,10.3096188462,295467.0,0.0,1.0
1999-12-17,26.56,28.31,26.56,28.0,10.1501170075,1155200.0,0.0,1.0
1999-12-20,28.19,28.5,27.75,27.94,10.1283667568,191467.0,0.0,1.0
1999-12-21,27.88,28.31,27.13,27.81,10.0812412135,342622.0,0.0,1.0
1999-12-22,27.69,28.25,27.56,27.88,10.106616506,193600.0,0.0,1.0
1999-12-23,28.13,29.44,27.88,29.06,10.5343714371,330222.0,0.0,1.0
1999-12-27,28.81,30.0,28.75,28.88,10.4691206849,279822.0,0.0,1.0
1999-12-28,28.81,29.19,28.63,28.81,10.4437453923,126667.0,0.0,1.0
1999-12-29,29.06,29.06,28.56,28.81,10.4437453923,93867.0,0.0,1.0
1999-12-30,28.81,29.13,28.63,28.94,10.4908709356,179689.0,0.0,1.0
1999-12-31,29.13,29.25,28.94,29.06,10.5343714371,51689.0,0.0,1.0
2000-01-03,28.81,28.94,28.0,28.31,10.2624933029,241067.0,0.0,1.0
2000-01-04,27.88,28.06,27.63,27.75,10.0594909628,286889.0,0.0,1.0
2000-01-05,28.13,28.13,27.75,27.75,10.0921163389,177867.0,0.09,1.0
2000-01-06,27.5,28.13,27.0,27.69,10.070295546799999,145422.0,0.0,1.0
2000-01-07,27.75,28.56,27.75,28.25,10.2739562729,165600.0,0.0,1.0
2000-01-10,28.5,28.56,27.69,27.88,10.1393947217,192222.0,0.0,1.0
2000-01-11,27.63,28.0,27.31,27.81,10.113937131,468222.0,0.0,1.0
2000-01-12,27.88,28.0,27.38,27.69,10.070295546799999,264489.0,0.0,1.0
2000-01-13,27.63,28.25,27.44,27.94,10.1612155138,313422.0,0.0,1.0
2000-01-14,28.0,28.25,27.19,27.38,9.957554787689999,604489.0,0.0,1.0
2000-01-18,27.25,27.25,25.75,25.75,9.36475660274,877689.0,0.0,1.0
2000-01-19,25.94,26.0,24.38,24.38,8.86651518348,759689.0,0.0,1.0
2000-01-20,24.63,24.69,23.38,23.63,8.593755282430001,734622.0,0.0,1.0
2000-01-21,23.88,23.88,23.06,23.31,8.477377724650001,679067.0,0.0,1.0
2000-01-24,23.56,23.75,23.13,23.5,8.54647689959,424222.0,0.0,1.0
2000-01-25,23.81,24.0,23.06,23.31,8.477377724650001,438489.0,0.0,1.0
2000-01-26,23.56,24.25,22.63,23.69,8.61557607452,779422.0,0.0,1.0
