Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,42.5,43.63,42.5,42.63,29.2700106689,399000.0,0.0,1.0
1999-11-02,42.56,42.75,41.63,41.88,28.7550562236,150700.0,0.0,1.0
1999-11-03,41.94,42.0,41.0,41.38,28.411753260100003,208500.0,0.0,1.0
1999-11-04,41.94,42.25,40.63,41.06,28.301896311799997,327100.0,0.16,1.0
1999-11-05,40.81,42.31,40.75,41.69,28.7361436249,310900.0,0.0,1.0
1999-11-08,41.81,43.5,41.06,41.81,28.818857398800002,306900.0,0.0,1.0
1999-11-09,43.0,43.38,41.0,41.94,28.908463987199998,274400.0,0.0,1.0
1999-11-10,41.69,42.56,40.75,41.69,28.7361436249,209600.0,0.0,1.0
1999-11-11,41.69,47.06,41.69,46.38,31.9688736225,1424600.0,0.0,1.0
1999-11-12,46.44,46.94,44.81,45.06,31.0590221093,604800.0,0.0,1.0
1999-11-15,46.31,46.63,45.13,45.31,31.231342471599998,407400.0,0.0,1.0
1999-11-16,45.56,47.19,45.56,46.94,32.354871234099996,419400.0,0.0,1.0
1999-11-17,46.69,46.75,45.06,45.44,31.320949060100002,499700.0,0.0,1.0
1999-11-18,45.31,45.88,44.75,45.75,31.5346263094,303400.0,0.0,1.0
1999-11-19,44.25,45.25,44.25,45.0,31.0176652223,197000.0,0.0,1.0
1999-11-22,44.81,45.25,44.38,44.38,30.5903107237,266700.0,0.0,1.0
1999-11-23,44.44,44.44,43.13,43.81,30.1974202976,337900.0,0.0,1.0
1999-11-24,44.63,46.0,44.44,45.81,31.5759831963,437600.0,0.0,1.0
1999-11-26,45.88,46.5,45.75,46.31,31.920623921,166500.0,0.0,1.0
1999-11-29,46.38,48.31,46.38,47.88,33.0027957966,853800.0,0.0,1.0
1999-11-30,47.88,47.94,46.19,47.13,32.4858347095,336700.0,0.0,1.0
1999-12-01,46.63,47.5,45.56,47.44,32.6995119588,379500.0,0.0,1.0
1999-12-02,47.44,47.56,46.63,47.25,32.5685484835,209900.0,0.0,1.0
1999-12-03,48.5,49.0,47.56,47.75,32.9131892081,420000.0,0.0,1.0
1999-12-06,48.0,48.81,47.56,48.38,33.347436521300004,432800.0,0.0,1.0
1999-12-07,48.63,49.56,48.5,48.94,33.7334341329,425600.0,0.0,1.0
1999-12-08,48.88,50.56,48.63,49.5,34.1194317446,586400.0,0.0,1.0
1999-12-09,49.75,49.75,47.13,47.5,32.7408688458,302200.0,0.0,1.0
1999-12-10,47.63,47.63,46.31,46.63,32.1411939848,420700.0,0.0,1.0
1999-12-13,48.63,50.63,47.88,49.23,33.9333257532,486600.0,0.0,1.0
1999-12-14,49.63,49.69,48.5,48.5,33.4301502952,556600.0,0.0,1.0
1999-12-15,48.63,48.63,47.25,47.81,32.9545460951,552200.0,0.0,1.0
1999-12-16,47.5,47.5,45.63,46.19,31.8379101471,846200.0,0.0,1.0
1999-12-17,46.25,48.88,46.12,46.25,31.8792670341,582900.0,0.0,1.0
1999-12-20,47.25,47.38,46.0,46.63,32.1411939848,368300.0,0.0,1.0
1999-12-21,46.5,47.06,46.38,46.75,32.2239077588,211300.0,0.0,1.0
1999-12-22,46.38,46.56,45.56,45.94,31.6655897848,272500.0,0.0,1.0
1999-12-23,46.19,47.69,46.19,47.56,32.7822257328,230400.0,0.0,1.0
1999-12-27,47.0,47.69,46.5,47.25,32.5685484835,267400.0,0.0,1.0
1999-12-28,47.19,49.25,47.19,48.5,33.4301502952,438600.0,0.0,1.0
1999-12-29,48.0,48.0,46.81,48.0,33.0855095705,287300.0,0.0,1.0
1999-12-30,48.0,48.13,47.5,48.0,33.0855095705,146800.0,0.0,1.0
1999-12-31,47.75,48.0,46.88,47.81,32.9545460951,129000.0,0.0,1.0
2000-01-03,47.62,47.69,45.19,45.94,31.6655897848,334100.0,0.0,1.0
2000-01-04,45.75,46.0,44.56,44.63,30.7626310861,216500.0,0.0,1.0
2000-01-05,44.38,45.0,44.38,45.0,31.0176652223,277100.0,0.0,1.0
2000-01-06,45.0,45.13,44.75,45.06,31.0590221093,206300.0,0.0,1.0
2000-01-07,42.5,45.75,41.25,44.38,30.5903107237,1686300.0,0.0,1.0
2000-01-10,44.63,46.31,43.56,46.31,31.920623921,562100.0,0.0,1.0
2000-01-11,46.06,48.88,45.63,48.5,33.4301502952,942300.0,0.0,1.0
2000-01-12,48.44,50.75,48.44,50.13,34.5536790577,1412800.0,0.0,1.0
2000-01-13,50.5,52.0,50.25,52.0,35.842635368,892200.0,0.0,1.0
2000-01-14,52.75,56.25,52.75,55.63,38.344727029299996,1107900.0,0.0,1.0
2000-01-18,55.63,55.69,53.63,54.63,37.6554455799,582300.0,0.0,1.0
2000-01-19,53.88,54.88,53.69,54.88,37.8277659423,305500.0,0.0,1.0
2000-01-20,55.0,55.25,53.88,54.63,37.6554455799,534900.0,0.0,1.0
2000-01-21,53.38,54.25,53.38,54.06,37.2625551538,537000.0,0.0,1.0
2000-01-24,54.06,54.5,54.0,54.19,37.352161742199996,890100.0,0.0,1.0
2000-01-25,54.19,54.25,49.5,51.44,35.4566377564,796300.0,0.0,1.0
2000-01-26,50.44,51.38,49.88,50.38,34.72599942,617500.0,0.0,1.0
2000-01-27,50.44,52.0,49.25,50.25,34.6363928316,426300.0,0.0,1.0
2000-01-28,50.0,50.06,48.13,48.13,33.175116158899996,374800.0,0.0,1.0
2000-01-31,48.25,49.44,47.06,47.94,33.0441526835,595600.0,0.0,1.0
2000-02-01,48.0,48.0,46.63,46.94,32.354871234099996,541300.0,0.0,1.0
2000-02-02,47.0,47.81,47.0,47.44,32.6995119588,479100.0,0.0,1.0
2000-02-03,47.0,48.88,45.88,47.5,32.8511538777,695900.0,0.16,1.0
2000-02-04,47.38,48.31,47.0,48.0,33.1969554975,301400.0,0.0,1.0
2000-02-07,47.75,48.25,47.63,48.0,33.1969554975,204400.0,0.0,1.0
