Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2011-03-22,35.72,37.6,34.0,37.49,33.543839063200004,491400.0,0.0,1.0
2011-03-23,37.07,37.8,36.95,37.25,33.3291012298,601200.0,0.0,1.0
2011-03-24,37.5,37.5,37.15,37.25,33.3291012298,230400.0,0.0,1.0
2011-03-25,37.5,39.25,37.25,39.25,35.118583175,497400.0,0.0,1.0
2011-03-28,39.0,39.0,37.75,37.75,33.7764717161,53100.0,0.0,1.0
2011-03-29,37.76,37.95,37.47,37.5,33.5527864729,269300.0,0.0,1.0
2011-03-30,37.95,38.49,36.58,38.2,34.1791051537,8573500.0,0.0,1.0
2011-03-31,38.45,42.74,38.0,41.5,37.1317503634,2653000.0,0.0,1.0
2011-04-01,40.99,42.44,39.84,40.04,35.8254285433,2222900.0,0.0,1.0
2011-04-04,39.86,41.02,39.14,40.15,35.923850050300004,1122700.0,0.0,1.0
2011-04-05,39.53,40.33,38.73,40.25,36.0133241476,1373400.0,0.0,1.0
2011-04-06,39.86,40.31,39.12,39.68,35.5033217932,2080100.0,0.0,1.0
2011-04-07,38.25,39.25,37.51,38.8,34.7159497373,2134600.0,0.0,1.0
2011-04-08,38.33,38.88,38.2,38.5,34.4475274455,1307200.0,0.0,1.0
2011-04-11,38.5,38.58,38.28,38.32,34.2864740705,1563100.0,0.0,1.0
2011-04-12,37.91,38.42,37.66,38.05,34.0448940078,1637500.0,0.0,1.0
2011-04-13,37.71,38.37,37.28,38.0,34.0001569592,1649100.0,0.0,1.0
2011-04-14,37.9,39.36,37.85,38.77,34.6891075081,1232400.0,0.0,1.0
2011-04-15,38.89,40.75,38.81,40.14,35.9149026406,1502100.0,0.0,1.0
2011-04-18,39.45,40.22,38.59,40.05,35.8343759531,793700.0,0.0,1.0
2011-04-19,40.08,40.12,39.49,39.78,35.5927958905,802400.0,0.0,1.0
2011-04-20,40.14,40.36,39.5,40.06,35.8433233628,358200.0,0.0,1.0
2011-04-21,40.03,40.19,39.18,39.31,35.1722676333,799400.0,0.0,1.0
2011-04-25,39.13,39.41,38.61,39.07,34.957529799899994,298000.0,0.0,1.0
2011-04-26,38.97,39.71,38.7,39.34,35.1991098625,696700.0,0.0,1.0
2011-04-27,38.97,40.2,38.1,40.01,35.7985863142,772000.0,0.0,1.0
2011-04-28,40.0,40.24,39.58,39.99,35.7806914947,692000.0,0.0,1.0
2011-04-29,40.0,40.17,39.94,40.0,35.7896389044,556000.0,0.0,1.0
2011-05-02,39.41,41.19,39.05,40.98,36.6664850576,542100.0,0.0,1.0
2011-05-03,40.89,41.09,40.38,40.5,36.2370093907,539000.0,0.0,1.0
2011-05-04,40.4,40.67,39.59,39.95,35.7449018558,591800.0,0.0,1.0
2011-05-05,39.81,41.2,39.5,39.84,35.646480348800004,635800.0,0.0,1.0
2011-05-06,40.01,40.15,39.34,39.5,35.3422684181,413800.0,0.0,1.0
2011-05-09,39.33,39.85,38.86,39.6,35.431742515399996,368900.0,0.0,1.0
2011-05-10,39.79,40.34,39.77,40.17,35.9417448698,709100.0,0.0,1.0
2011-05-11,39.48,39.5,38.5,38.78,34.6980549179,1297900.0,0.0,1.0
2011-05-12,38.8,38.9,38.27,38.39,34.349105938499996,382000.0,0.0,1.0
2011-05-13,38.31,38.61,37.97,38.46,34.4117378066,435000.0,0.0,1.0
2011-05-16,38.2,38.89,38.2,38.69,34.6175282303,303700.0,0.0,1.0
2011-05-17,38.41,38.88,38.41,38.78,34.6980549179,369700.0,0.0,1.0
2011-05-18,38.64,38.65,38.09,38.5,34.4475274455,559900.0,0.0,1.0
2011-05-19,38.45,38.68,38.0,38.38,34.3401585288,519700.0,0.0,1.0
