Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,74.19,75.56,73.63,74.63,12.329339516700001,3739000.0,0.0,1.0
1999-11-02,75.0,75.06,72.19,72.25,11.9361487349,4173000.0,0.0,1.0
1999-11-03,73.94,73.94,71.81,73.38,12.1228317531,4137000.0,0.0,1.0
1999-11-04,74.31,76.94,73.81,76.69,12.669664311099998,4383700.0,0.0,1.0
1999-11-05,78.69,79.88,77.44,77.63,12.8249581493,4185700.0,0.0,1.0
1999-11-08,78.31,79.69,78.13,79.38,13.114069018299999,2478500.0,0.0,1.0
1999-11-09,79.75,80.44,77.31,77.69,12.834870522000001,2895500.0,0.0,1.0
1999-11-10,77.5,77.75,73.13,74.0,12.225259603900001,6342100.0,0.0,1.0
1999-11-11,74.0,75.0,73.25,73.81,12.193870423800002,3919600.0,0.0,1.0
1999-11-12,74.88,76.69,73.25,76.69,12.669664311099998,4384300.0,0.0,1.0
1999-11-15,76.56,76.56,74.56,74.63,12.329339516700001,3948600.0,0.0,1.0
1999-11-16,74.88,76.13,74.44,76.13,12.577148832999999,4331900.0,0.0,1.0
1999-11-17,75.75,81.25,75.19,81.0,13.3817030799,6138400.0,0.0,1.0
1999-11-18,85.38,94.69,85.13,94.31,15.5805977465,21429600.0,0.0,1.0
1999-11-19,93.63,95.44,92.75,93.63,15.4682575231,7394600.0,0.0,1.0
1999-11-22,93.63,94.75,93.25,93.81,15.497994641099998,4904700.0,0.0,1.0
1999-11-23,93.88,94.94,93.5,93.88,15.509559075799999,4028100.0,0.0,1.0
1999-11-24,93.75,97.63,93.31,97.38,16.0877808139,3845100.0,0.0,1.0
1999-11-26,97.5,98.44,95.25,95.38,15.7573683921,1425900.0,0.0,1.0
1999-11-29,95.5,97.56,94.88,96.0,15.8597962429,2877400.0,0.0,1.0
1999-11-30,97.44,99.31,94.5,94.88,15.674765286700001,4008500.0,0.0,1.0
1999-12-01,95.13,97.56,95.06,96.5,15.942399348299999,3923200.0,0.0,1.0
1999-12-02,99.44,101.4,98.0,99.75,16.4793195336,5678300.0,0.0,1.0
1999-12-03,102.8,107.2,102.3,105.0,17.3466521406,5880300.0,0.0,1.0
1999-12-06,107.1,107.8,101.8,104.7,17.2970902774,3534800.0,0.0,1.0
1999-12-07,103.3,109.9,103.3,106.3,17.561420214800002,4330700.0,0.0,1.0
1999-12-08,109.0,110.4,107.3,109.8,18.139641952799998,4248600.0,0.0,1.0
1999-12-09,112.8,112.8,108.0,110.5,18.255286300399998,5521900.0,0.0,1.0
1999-12-10,110.8,111.4,108.2,109.0,18.007476984100002,4640500.0,0.0,1.0
1999-12-13,109.5,109.5,105.1,107.7,17.79270891,4263700.0,0.0,1.0
1999-12-14,105.0,105.7,102.5,103.4,17.0823222033,4065900.0,0.0,1.0
1999-12-15,103.1,103.4,99.06,101.1,16.7023479183,4281400.0,0.0,1.0
1999-12-16,101.1,106.8,100.8,106.6,17.610982078,4340800.0,0.0,1.0
1999-12-17,106.9,108.4,105.1,105.3,17.396214003900003,4672400.0,0.0,1.0
1999-12-20,105.4,108.4,103.1,106.0,17.511858351500003,2359100.0,0.0,1.0
1999-12-21,104.2,108.9,104.1,108.8,17.9744357419,2126200.0,0.0,1.0
1999-12-22,108.1,108.1,105.5,106.9,17.660543941300002,2102500.0,0.0,1.0
1999-12-23,107.9,112.9,107.8,112.6,18.602219343199998,2776300.0,0.0,1.0
1999-12-27,112.4,113.4,108.2,108.5,17.924873878699998,2495300.0,0.0,1.0
1999-12-28,108.8,112.9,108.8,111.3,18.3874512691,1800400.0,0.0,1.0
1999-12-29,112.0,115.9,111.7,113.6,18.7674255541,2189700.0,0.0,1.0
1999-12-30,115.6,117.9,114.0,115.3,19.0482761125,2071300.0,0.0,1.0
1999-12-31,114.6,115.4,113.8,113.8,18.8004667962,687400.0,0.0,1.0
2000-01-03,113.75,118.81,113.25,117.44,19.401817403800003,4170900.0,0.0,1.0
2000-01-04,114.0,115.5,107.8,108.6,17.9413944998,3690100.0,0.0,1.0
2000-01-05,107.2,110.5,104.3,109.1,18.023997605199998,5084800.0,0.0,1.0
2000-01-06,106.9,107.8,101.0,101.0,16.6858272972,3619600.0,0.0,1.0
2000-01-07,104.9,106.0,101.1,103.9,17.1649253087,3697700.0,0.0,1.0
2000-01-10,107.4,111.8,107.3,111.1,18.354410026900002,3462400.0,0.0,1.0
2000-01-11,107.6,111.8,107.6,108.4,17.908353257599998,2372600.0,0.0,1.0
2000-01-12,108.4,113.1,106.2,112.4,18.569178101,3311400.0,0.0,1.0
2000-01-13,113.0,113.3,109.8,112.8,18.6352605854,2655200.0,0.0,1.0
2000-01-14,114.9,114.9,111.0,112.5,18.585698722100002,2861100.0,0.0,1.0
2000-01-18,111.0,116.5,110.9,113.6,18.7674255541,3224800.0,0.0,1.0
2000-01-19,114.1,116.4,111.4,116.0,19.163920460099998,3480100.0,0.0,1.0
2000-01-20,117.3,117.9,112.9,116.1,19.180441081199998,3073300.0,0.0,1.0
2000-01-21,116.5,116.5,112.9,113.1,18.6848224486,2929500.0,0.0,1.0
2000-01-24,114.5,114.7,111.7,113.0,18.6683018275,2847600.0,0.0,1.0
2000-01-25,112.8,113.3,107.9,112.6,18.602219343199998,3627700.0,0.0,1.0
2000-01-26,111.0,111.3,107.0,108.8,17.9744357419,3703500.0,0.0,1.0
2000-01-27,111.9,113.9,107.0,108.5,17.924873878699998,4519400.0,0.0,1.0
2000-01-28,108.3,111.9,107.3,108.8,17.9744357419,2951600.0,0.0,1.0
2000-01-31,108.9,109.8,103.9,108.3,17.891832636500002,2776700.0,0.0,1.0
2000-02-01,109.4,109.4,104.0,105.8,17.4788171093,3276500.0,0.0,1.0
2000-02-02,107.2,112.7,106.4,110.6,18.2718069215,3417500.0,0.0,1.0
2000-02-03,111.0,116.5,111.0,113.5,18.750904933,3966700.0,0.0,1.0
2000-02-04,114.5,119.6,114.4,118.0,19.4943328819,4611000.0,0.0,1.0
2000-02-07,118.9,129.0,117.2,128.5,21.2289980959,6287800.0,0.0,1.0
2000-02-08,127.3,127.5,122.5,124.2,20.5186113892,4721200.0,0.0,1.0
2000-02-09,123.0,127.0,122.3,124.0,20.485570147,4129800.0,0.0,1.0
2000-02-10,125.0,126.5,123.1,126.0,20.815982568800003,2527200.0,0.0,1.0
2000-02-11,126.0,126.0,119.9,121.4,20.0560339988,2787500.0,0.0,1.0
2000-02-14,121.3,124.3,120.5,123.0,20.3203639362,3278200.0,0.0,1.0
2000-02-15,124.4,126.3,121.9,124.8,20.6177351157,4129100.0,0.0,1.0
2000-02-16,126.3,132.0,125.6,131.0,21.6420136231,5056600.0,0.0,1.0
2000-02-17,128.0,128.5,123.6,128.0,21.1463949905,5281000.0,0.0,1.0
2000-02-18,128.0,130.4,127.6,129.0,21.311601201400002,5603600.0,0.0,1.0
2000-02-22,129.3,129.3,125.1,128.0,21.1463949905,3823900.0,0.0,1.0
2000-02-23,127.0,131.0,125.4,130.8,21.608972380900003,3465900.0,0.0,1.0
2000-02-24,129.1,130.4,127.0,129.5,21.3942043068,3770900.0,0.0,1.0
2000-02-25,129.0,129.5,124.6,124.6,20.5846938736,3824000.0,0.0,1.0
2000-02-28,127.5,129.3,122.4,128.9,21.2950805803,4959700.0,0.0,1.0
2000-02-29,127.7,138.3,127.7,134.5,22.220235361100002,5393800.0,0.0,1.0
2000-03-01,132.3,137.8,132.2,133.6,22.071549771300003,3809100.0,0.0,1.0
2000-03-02,135.0,135.0,132.3,134.0,22.1376322557,2455900.0,0.0,1.0
2000-03-03,134.5,139.9,134.1,138.6,22.8975808256,4442000.0,0.0,1.0
2000-03-06,137.0,152.1,136.8,146.5,24.2027098915,6092700.0,0.0,1.0
2000-03-07,151.0,151.1,142.0,143.0,23.6244881534,6035600.0,0.0,1.0
2000-03-08,143.0,144.2,139.7,140.9,23.277555110599998,4012700.0,0.0,1.0
2000-03-09,143.0,153.8,141.4,151.9,25.094823430100003,4581000.0,0.0,1.0
2000-03-10,151.9,155.5,146.0,146.9,24.2687923758,3299000.0,0.0,1.0
2000-03-13,142.0,149.4,141.8,146.5,24.2027098915,3263400.0,0.0,1.0
2000-03-14,147.5,150.0,139.8,139.8,23.095828278699997,3284300.0,0.0,1.0
2000-03-15,140.5,140.9,129.8,132.0,21.807219834,5296800.0,0.0,1.0
2000-03-16,130.5,133.0,124.0,133.0,21.9724260448,7672000.0,0.0,1.0
2000-03-17,133.0,143.1,133.0,139.0,22.96366331,6948900.0,0.0,1.0
2000-03-20,138.5,146.8,138.3,144.0,23.789694364299997,3689400.0,0.0,1.0
2000-03-21,142.5,143.7,138.8,141.9,23.4427613215,3667200.0,0.0,1.0
2000-03-22,143.1,146.8,141.8,146.2,24.1531480282,2665200.0,0.0,1.0
2000-03-23,143.5,149.5,142.6,147.3,24.3348748602,2689100.0,0.0,1.0
2000-03-24,147.25,149.62,140.06,142.38,23.522060302699998,2928700.0,0.0,1.0
2000-03-27,143.6,148.9,143.6,146.2,24.1531480282,2307700.0,0.0,1.0
2000-03-28,146.3,146.8,140.0,140.7,23.2445138685,2646500.0,0.0,1.0
2000-03-29,140.7,140.8,133.9,135.0,22.302838466500003,3838100.0,0.0,1.0
2000-03-30,133.7,135.0,130.1,130.8,21.608972380900003,3349000.0,0.0,1.0
2000-03-31,132.9,137.5,130.0,132.6,21.9063435605,3893800.0,0.0,1.0
2000-04-03,133.6,136.5,130.3,132.6,21.9063435605,3575100.0,0.0,1.0
2000-04-04,133.9,139.8,129.0,138.1,22.814977720199998,4876900.0,0.0,1.0
2000-04-05,138.0,148.2,137.0,142.0,23.4592819426,5350900.0,0.0,1.0
2000-04-06,145.4,148.6,143.0,148.1,24.4670398288,3516900.0,0.0,1.0
2000-04-07,148.2,156.0,146.6,156.0,25.7721688947,3245900.0,0.0,1.0
2000-04-10,153.3,153.4,145.9,147.3,24.3348748602,3853800.0,0.0,1.0
2000-04-11,144.1,149.9,140.9,145.8,24.0870655439,3405000.0,0.0,1.0
2000-04-12,146.8,147.4,133.3,135.0,22.302838466500003,4670200.0,0.0,1.0
2000-04-13,133.8,138.6,131.6,131.9,21.790699212899998,4642400.0,0.0,1.0
2000-04-14,130.6,135.8,120.9,123.0,20.3203639362,6249300.0,0.0,1.0
2000-04-17,123.1,133.8,123.1,133.8,22.1045910135,5597400.0,0.0,1.0
2000-04-18,134.6,141.0,132.8,139.1,22.9801839311,5329000.0,0.0,1.0
2000-04-19,138.6,139.4,134.5,135.8,22.4350034352,3376900.0,0.0,1.0
2000-04-20,136.0,139.9,135.3,139.5,23.046266415399998,2993400.0,0.0,1.0
2000-04-24,135.5,138.2,130.2,132.3,21.8567816972,4072600.0,0.0,1.0
2000-04-25,134.5,140.0,133.6,139.3,23.0132251733,3890000.0,0.0,1.0
2000-04-26,139.0,143.9,138.3,140.6,23.227993247399997,4031700.0,0.0,1.0
2000-04-27,136.3,140.1,135.3,137.9,22.781936478000002,3762600.0,0.0,1.0
2000-04-28,138.0,138.7,134.2,135.0,22.302838466500003,2474100.0,0.0,1.0
2000-05-01,136.0,141.6,132.5,139.0,22.96366331,3829900.0,0.0,1.0
2000-05-02,140.5,142.0,138.0,138.1,22.814977720199998,2538300.0,0.0,1.0
2000-05-03,135.5,136.4,129.0,132.5,21.889822939400002,3445500.0,0.0,1.0
2000-05-04,132.5,133.0,127.6,132.1,21.823740455,2894200.0,0.0,1.0
2000-05-05,132.0,138.8,130.8,136.8,22.6002096461,2419000.0,0.0,1.0
2000-05-08,136.6,136.7,133.4,135.7,22.4184828141,1647200.0,0.0,1.0
2000-05-09,135.4,135.4,131.3,132.8,21.939384802600003,1995100.0,0.0,1.0
2000-05-10,131.0,131.9,122.6,126.3,20.865544432,3698300.0,0.0,1.0
2000-05-11,126.3,131.4,123.8,130.9,21.625493002,3236600.0,0.0,1.0
2000-05-12,132.5,138.5,131.1,131.6,21.7411373496,3153900.0,0.0,1.0
2000-05-15,133.5,134.5,127.4,134.0,22.1376322557,2832300.0,0.0,1.0
2000-05-16,135.0,141.5,134.6,138.5,22.8810602046,4553100.0,0.0,1.0
2000-05-17,135.5,135.5,128.3,130.1,21.4933280333,5546800.0,0.0,1.0
2000-05-18,131.5,132.6,129.9,131.7,21.757657970700002,3321900.0,0.0,1.0
2000-05-19,131.8,131.8,124.7,126.2,20.8490238109,3301700.0,0.0,1.0
2000-05-22,126.3,126.9,118.5,122.8,20.287322694,3701900.0,0.0,1.0
2000-05-23,120.0,124.9,120.0,120.7,19.9403896512,2636900.0,0.0,1.0
2000-05-24,120.1,120.4,113.2,118.6,19.5934566084,5212900.0,0.0,1.0
2000-05-25,115.1,121.9,115.0,116.3,19.213482323399997,3756700.0,0.0,1.0
2000-05-26,114.6,119.9,114.6,118.1,19.510853503,2303800.0,0.0,1.0
2000-05-30,119.8,124.8,119.6,124.5,20.5681732525,2459900.0,0.0,1.0
2000-05-31,123.1,124.4,120.6,121.0,19.9899515145,3654100.0,0.0,1.0
2000-06-01,125.0,134.9,124.4,134.3,22.1871941189,7156200.0,0.0,1.0
2000-06-02,136.5,145.4,134.1,142.1,23.4758025637,5799300.0,0.0,1.0
2000-06-05,114.5,138.0,114.3,120.3,19.8743071669,5597000.0,0.0,1.0
2000-06-06,118.8,119.9,116.0,118.0,19.4943328819,4696700.0,0.0,1.0
2000-06-07,118.1,124.5,117.0,122.6,20.2542814518,5244600.0,0.0,1.0
2000-06-08,122.6,127.8,120.5,125.9,20.7994619477,5167200.0,0.0,1.0
2000-06-09,127.5,130.4,127.4,128.0,21.1463949905,4126600.0,0.0,1.0
2000-06-12,126.9,127.8,124.6,126.0,20.815982568800003,3262800.0,0.0,1.0
2000-06-13,120.5,120.6,117.0,119.0,19.6595390927,8768500.0,0.0,1.0
2000-06-14,119.5,119.6,114.0,114.0,18.833508038399998,5017900.0,0.0,1.0
2000-06-15,115.0,119.9,114.5,117.0,19.329126670999997,4228600.0,0.0,1.0
2000-06-16,116.8,116.9,114.0,114.1,18.8500286595,3934900.0,0.0,1.0
2000-06-19,116.1,119.5,114.3,117.8,19.4612916397,2862900.0,0.0,1.0
2000-06-20,118.4,120.4,116.1,116.5,19.2465235656,2571300.0,0.0,1.0
2000-06-21,115.1,119.9,115.1,119.5,19.7421421982,2572700.0,0.0,1.0
2000-06-22,119.8,121.6,118.1,118.6,19.5934566084,3572400.0,0.0,1.0
2000-06-23,120.0,120.0,116.7,117.1,19.3456472921,2377500.0,0.0,1.0
2000-06-26,118.6,121.8,118.0,120.0,19.8247453036,2141100.0,0.0,1.0
2000-06-27,119.5,122.3,116.6,116.6,19.2630441867,2847700.0,0.0,1.0
2000-06-28,120.8,124.9,120.1,123.8,20.4525289049,4553400.0,0.0,1.0
2000-06-29,123.7,123.9,119.0,119.8,19.7917040614,4623000.0,0.0,1.0
2000-06-30,120.0,125.0,119.9,124.9,20.6342557368,4265500.0,0.0,1.0
2000-07-03,124.0,124.9,123.1,124.3,20.5351320103,1003900.0,0.0,1.0
2000-07-05,124.4,124.4,119.6,119.6,19.7586628192,2773400.0,0.0,1.0
2000-07-06,121.8,121.8,115.6,118.4,19.560415366199997,4324200.0,0.0,1.0
2000-07-07,119.3,125.0,118.4,124.8,20.6177351157,3616500.0,0.0,1.0
2000-07-10,123.5,124.8,122.0,123.7,20.4360082838,2153500.0,0.0,1.0
2000-07-11,123.0,126.9,122.8,126.6,20.9151062953,3470100.0,0.0,1.0
2000-07-12,127.3,130.3,126.0,128.4,21.2124774748,3717200.0,0.0,1.0
2000-07-13,128.5,135.2,128.1,134.9,22.2863178455,3747800.0,0.0,1.0
2000-07-14,134.9,136.2,133.0,133.8,22.1045910135,3274600.0,0.0,1.0
2000-07-17,133.9,135.7,132.0,134.8,22.2697972244,2410200.0,0.0,1.0
2000-07-18,133.8,133.8,130.6,131.0,21.6420136231,2313800.0,0.0,1.0
2000-07-19,130.8,132.4,129.5,129.8,21.443766170099998,2357200.0,0.0,1.0
2000-07-20,130.9,132.4,128.0,130.0,21.4768074122,2511300.0,0.0,1.0
