Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,7.188,7.938,7.063,7.438,6.84389951248,1907700.0,0.0,1.0
1999-11-02,7.625,8.375,7.563,8.125,7.476026289169999,2081600.0,0.0,1.0
1999-11-03,8.375,8.375,7.938,8.187999999999999,7.533994246860001,1139700.0,0.0,1.0
1999-11-04,9.187999999999999,9.25,7.875,8.0,7.361010500110003,2566000.0,0.0,1.0
1999-11-05,8.062999999999999,8.25,7.938,8.062999999999999,7.4189784578,1453000.0,0.0,1.0
1999-11-08,8.125,8.25,7.875,8.0,7.361010500110003,1081900.0,0.0,1.0
1999-11-09,8.0,8.062999999999999,7.688,7.75,7.130978921980001,1027600.0,0.0,1.0
1999-11-10,7.75,7.938,7.625,7.75,7.130978921980001,482400.0,0.0,1.0
1999-11-11,7.875,7.875,7.313,7.5,6.9009473438499995,1149700.0,0.0,1.0
1999-11-12,7.625,7.625,7.375,7.5,6.9009473438499995,542400.0,0.0,1.0
1999-11-15,7.625,7.625,7.375,7.438,6.84389951248,385600.0,0.0,1.0
1999-11-16,7.563,7.75,7.375,7.5,6.9009473438499995,1008100.0,0.0,1.0
1999-11-17,7.313,7.688,7.313,7.438,6.84389951248,882900.0,0.0,1.0
1999-11-18,7.438,7.688,7.25,7.25,6.670915765730001,841300.0,0.0,1.0
1999-11-19,7.375,7.938,7.313,7.688,7.073931090610001,1122200.0,0.0,1.0
1999-11-22,7.938,8.25,7.875,8.25,7.591042078239999,1109300.0,0.0,1.0
1999-11-23,8.125,8.312999999999999,8.0,8.125,7.476026289169999,1301200.0,0.0,1.0
1999-11-24,8.0,8.0,7.375,7.438,6.84389951248,720500.0,0.0,1.0
1999-11-26,7.438,7.625,7.313,7.438,6.84389951248,481400.0,0.0,1.0
1999-11-29,7.375,7.375,6.938,7.0,6.4408841876,948000.0,0.0,1.0
1999-11-30,7.0,7.125,6.938,7.0,6.4408841876,709400.0,0.0,1.0
1999-12-01,7.125,7.188,6.938,7.0,6.4408841876,654700.0,0.0,1.0
1999-12-02,7.063,7.313,6.938,7.0,6.4408841876,1057100.0,0.0,1.0
1999-12-03,7.25,7.313,6.875,6.938,6.38383635622,1250600.0,0.0,1.0
1999-12-06,6.938,7.0,6.875,6.938,6.38383635622,576800.0,0.0,1.0
1999-12-07,7.063,7.625,7.0,7.563,6.958915301539999,1204100.0,0.0,1.0
1999-12-08,7.438,7.813,7.0,7.0,6.4408841876,1212700.0,0.0,1.0
1999-12-09,7.0,7.188,6.75,6.75,6.21085260947,1056200.0,0.0,1.0
1999-12-10,7.0,7.625,6.813,7.563,6.958915301539999,1668400.0,0.0,1.0
1999-12-13,7.375,7.438,7.0,7.375,6.785931554789999,1274000.0,0.0,1.0
1999-12-14,7.25,7.375,7.125,7.375,6.785931554789999,549100.0,0.0,1.0
1999-12-15,7.188,7.375,7.125,7.375,6.785931554789999,623700.0,0.0,1.0
1999-12-16,7.25,7.375,7.0,7.063,6.498852145290001,1306400.0,0.0,1.0
1999-12-17,7.188,7.188,7.188,7.188,6.613867934349999,1050400.0,0.0,1.0
1999-12-20,7.188,7.313,7.0,7.125,6.55589997666,956900.0,0.0,1.0
1999-12-21,7.063,7.188,6.938,7.188,6.613867934349999,919100.0,0.0,1.0
1999-12-22,7.063,7.375,7.0,7.375,6.785931554789999,939300.0,0.0,1.0
1999-12-23,7.25,7.5,7.188,7.438,6.84389951248,665600.0,0.0,1.0
1999-12-27,7.563,7.875,7.438,7.5,6.9009473438499995,1358200.0,0.0,1.0
1999-12-28,7.688,7.75,7.438,7.563,6.958915301539999,760300.0,0.0,1.0
1999-12-29,7.625,8.062999999999999,7.625,7.75,7.130978921980001,1020900.0,0.0,1.0
1999-12-30,7.813,8.062999999999999,7.688,7.8439999999999985,7.21747079536,1205500.0,0.0,1.0
1999-12-31,8.062999999999999,8.187999999999999,7.875,8.187999999999999,7.533994246860001,724600.0,0.0,1.0
2000-01-03,8.312999999999999,8.375,7.5,7.563,6.958915301539999,1287300.0,0.0,1.0
2000-01-04,7.375,7.875,7.375,7.625,7.01596313292,1238300.0,0.0,1.0
2000-01-05,7.5,7.875,7.5,7.75,7.130978921980001,1096300.0,0.0,1.0
2000-01-06,7.75,8.25,7.5,8.125,7.476026289169999,1026700.0,0.0,1.0
2000-01-07,8.187999999999999,9.125,8.062999999999999,8.75,8.0511052345,2419300.0,0.0,1.0
2000-01-10,8.875,8.937999999999997,8.375,8.375,7.7060578673,1276200.0,0.0,1.0
2000-01-11,8.375,8.75,8.25,8.25,7.591042078239999,693700.0,0.0,1.0
2000-01-12,8.375,8.687999999999999,8.25,8.437999999999999,7.764025824989999,764000.0,0.0,1.0
2000-01-13,8.562999999999999,9.5,8.562999999999999,9.25,8.51116839075,1760600.0,0.0,1.0
2000-01-14,9.375,9.625,8.25,8.25,7.591042078239999,1429000.0,0.0,1.0
2000-01-18,9.0,9.0,8.375,8.625,7.936089445429999,776600.0,0.0,1.0
2000-01-19,8.687999999999999,8.687999999999999,8.0,8.0,7.361010500110003,1220100.0,0.0,1.0
2000-01-20,8.0,8.062999999999999,7.688,7.75,7.130978921980001,1744500.0,0.0,1.0
2000-01-21,7.75,8.062999999999999,7.688,7.813,7.1889468796700005,1670100.0,0.0,1.0
2000-01-24,7.938,8.125,7.625,7.938,7.3039626687300006,1001400.0,0.0,1.0
2000-01-25,7.5,7.813,7.5,7.75,7.130978921980001,994500.0,0.0,1.0
2000-01-26,7.75,8.062999999999999,7.75,7.875,7.24599471105,821500.0,0.0,1.0
2000-01-27,8.0,8.062999999999999,7.625,7.625,7.01596313292,421200.0,0.0,1.0
2000-01-28,7.375,8.062999999999999,7.125,7.625,7.01596313292,1775700.0,0.0,1.0
2000-01-31,7.625,8.187999999999999,7.625,8.0,7.361010500110003,858700.0,0.0,1.0
2000-02-01,8.0,8.375,8.0,8.25,7.591042078239999,783600.0,0.0,1.0
2000-02-02,8.312999999999999,8.625,8.25,8.312999999999999,7.649010035930001,597300.0,0.0,1.0
2000-02-03,8.312999999999999,8.625,8.312999999999999,8.437999999999999,7.764025824989999,773500.0,0.0,1.0
2000-02-04,8.562999999999999,8.687999999999999,8.375,8.375,7.7060578673,481200.0,0.0,1.0
2000-02-07,8.5,8.625,8.312999999999999,8.437999999999999,7.764025824989999,574300.0,0.0,1.0
2000-02-08,8.437999999999999,8.562999999999999,8.062999999999999,8.187999999999999,7.533994246860001,713800.0,0.0,1.0
2000-02-09,7.813,8.125,7.438,7.563,6.958915301539999,1495000.0,0.0,1.0
2000-02-10,7.438,7.5,7.0,7.188,6.613867934349999,1307800.0,0.0,1.0
2000-02-11,7.125,7.125,6.688,6.875,6.325868398530001,983900.0,0.0,1.0
2000-02-14,6.938,7.5,6.813,7.438,6.84389951248,902200.0,0.0,1.0
2000-02-15,7.563,7.688,7.375,7.563,6.958915301539999,753600.0,0.0,1.0
2000-02-16,7.563,7.688,7.188,7.375,6.785931554789999,535300.0,0.0,1.0
2000-02-17,7.438,7.438,7.063,7.125,6.55589997666,417200.0,0.0,1.0
2000-02-18,7.125,7.25,7.0,7.063,6.498852145290001,357400.0,0.0,1.0
2000-02-22,7.0,7.063,6.875,7.063,6.498852145290001,517200.0,0.0,1.0
2000-02-23,7.0,7.25,6.813,7.125,6.55589997666,628800.0,0.0,1.0
2000-02-24,7.25,7.25,6.875,6.875,6.325868398530001,467600.0,0.0,1.0
2000-02-25,6.875,7.063,6.625,6.625,6.0958368204,457300.0,0.0,1.0
2000-02-28,6.813,6.875,6.5,6.625,6.0958368204,496300.0,0.0,1.0
2000-02-29,6.625,6.938,6.563,6.813,6.26882056716,528900.0,0.0,1.0
2000-03-01,7.375,7.75,6.75,7.75,7.130978921980001,1445100.0,0.0,1.0
2000-03-02,7.75,7.875,6.875,6.938,6.38383635622,1200200.0,0.0,1.0
2000-03-03,7.188,7.375,7.063,7.313,6.728883723409999,904700.0,0.0,1.0
2000-03-06,7.063,7.125,6.875,7.0,6.4408841876,479500.0,0.0,1.0
2000-03-07,7.0,7.0,6.125,6.125,5.635773664149999,759200.0,0.0,1.0
2000-03-08,6.563,6.75,6.25,6.5,5.9808210313400005,1122700.0,0.0,1.0
2000-03-09,6.438,6.688,6.313,6.563,6.03878898903,523300.0,0.0,1.0
2000-03-10,6.5,6.563,6.313,6.438,5.923773199959999,487000.0,0.0,1.0
2000-03-13,6.438,6.75,6.438,6.688,6.1538047780900005,448100.0,0.0,1.0
2000-03-14,6.688,6.813,6.5,6.625,6.0958368204,464800.0,0.0,1.0
2000-03-15,6.75,7.188,6.563,7.188,6.613867934349999,718100.0,0.0,1.0
2000-03-16,7.063,7.313,6.875,7.25,6.670915765730001,513900.0,0.0,1.0
2000-03-17,7.25,7.313,6.875,7.0,6.4408841876,527100.0,0.0,1.0
2000-03-20,7.188,7.188,7.0,7.125,6.55589997666,303000.0,0.0,1.0
2000-03-21,7.25,7.313,7.063,7.188,6.613867934349999,417300.0,0.0,1.0
2000-03-22,7.063,7.375,7.063,7.188,6.613867934349999,316200.0,0.0,1.0
2000-03-23,7.125,7.5,7.063,7.5,6.9009473438499995,504200.0,0.0,1.0
2000-03-24,7.313,7.5,7.25,7.313,6.728883723409999,274300.0,0.0,1.0
2000-03-27,7.375,7.375,7.125,7.188,6.613867934349999,303100.0,0.0,1.0
2000-03-28,7.063,7.375,7.063,7.313,6.728883723409999,287000.0,0.0,1.0
2000-03-29,7.25,7.75,7.25,7.5,6.9009473438499995,566200.0,0.0,1.0
2000-03-30,7.625,8.0,7.563,7.563,6.958915301539999,768900.0,0.0,1.0
2000-03-31,7.438,7.563,7.25,7.313,6.728883723409999,370500.0,0.0,1.0
2000-04-03,7.438,7.875,7.375,7.688,7.073931090610001,392300.0,0.0,1.0
2000-04-04,7.5,7.75,7.188,7.625,7.01596313292,437700.0,0.0,1.0
2000-04-05,7.625,7.625,7.188,7.5,6.9009473438499995,317200.0,0.0,1.0
2000-04-06,7.5,8.062999999999999,7.5,7.938,7.3039626687300006,734700.0,0.0,1.0
2000-04-07,7.938,8.25,7.938,8.187999999999999,7.533994246860001,709200.0,0.0,1.0
2000-04-10,8.062999999999999,8.437999999999999,8.062999999999999,8.312999999999999,7.649010035930001,716600.0,0.0,1.0
2000-04-11,8.187999999999999,8.25,8.0,8.125,7.476026289169999,638000.0,0.0,1.0
2000-04-12,8.125,8.187999999999999,8.0,8.062999999999999,7.4189784578,673600.0,0.0,1.0
2000-04-13,7.563,7.875,7.563,7.813,7.1889468796700005,720100.0,0.0,1.0
2000-04-14,7.75,7.75,7.125,7.125,6.55589997666,636500.0,0.0,1.0
2000-04-17,7.125,7.375,7.0,7.188,6.613867934349999,580500.0,0.0,1.0
2000-04-18,7.188,7.5,7.063,7.313,6.728883723409999,417300.0,0.0,1.0
2000-04-19,7.5,8.0,7.5,7.875,7.24599471105,494700.0,0.0,1.0
2000-04-20,7.875,8.0,7.688,7.875,7.24599471105,280600.0,0.0,1.0
2000-04-24,7.813,8.812999999999997,7.813,8.687999999999999,7.994057403119999,1399200.0,0.0,1.0
2000-04-25,8.375,8.625,8.312999999999999,8.437999999999999,7.764025824989999,516600.0,0.0,1.0
2000-04-26,8.687999999999999,8.75,8.125,8.187999999999999,7.533994246860001,319100.0,0.0,1.0
2000-04-27,8.125,8.437999999999999,8.062999999999999,8.375,7.7060578673,1046400.0,0.0,1.0
2000-04-28,8.375,8.437999999999999,7.688,7.688,7.073931090610001,729200.0,0.0,1.0
2000-05-01,7.688,7.938,7.625,7.75,7.130978921980001,678300.0,0.0,1.0
2000-05-02,7.438,8.0,7.438,8.0,7.361010500110003,530000.0,0.0,1.0
2000-05-03,7.625,7.688,6.563,6.688,6.1538047780900005,1594200.0,0.0,1.0
2000-05-04,6.938,6.938,6.438,6.625,6.0958368204,1084600.0,0.0,1.0
2000-05-05,6.625,7.0,6.438,7.0,6.4408841876,459700.0,0.0,1.0
2000-05-08,6.688,6.75,6.375,6.5,5.9808210313400005,682100.0,0.0,1.0
2000-05-09,6.5,6.563,6.25,6.313,5.8087574109,527200.0,0.0,1.0
2000-05-10,6.5,6.5,6.063,6.125,5.635773664149999,837100.0,0.0,1.0
2000-05-11,6.25,6.438,6.125,6.313,5.8087574109,457400.0,0.0,1.0
2000-05-12,6.313,6.375,6.125,6.25,5.7507894532099995,378000.0,0.0,1.0
2000-05-15,6.5,6.688,6.5,6.5,5.9808210313400005,617000.0,0.0,1.0
2000-05-16,6.688,6.75,6.5,6.563,6.03878898903,441400.0,0.0,1.0
2000-05-17,6.563,6.688,6.5,6.5,5.9808210313400005,437200.0,0.0,1.0
2000-05-18,6.5,6.75,6.5,6.625,6.0958368204,526900.0,0.0,1.0
2000-05-19,6.5,6.563,6.188,6.375,5.86580524228,548600.0,0.0,1.0
