Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,98.5,98.81,96.37,96.75,61.535121574399994,9551800.0,0.0,1.0
1999-11-02,96.75,96.81,93.69,94.81,60.3012390332,11105400.0,0.0,1.0
1999-11-03,95.87,95.94,93.5,94.37,60.0213893847,10369100.0,0.0,1.0
1999-11-04,94.44,94.44,90.0,91.56,58.234167765900004,16697600.0,0.0,1.0
1999-11-05,92.75,92.94,90.19,90.25,57.40097903970001,13737600.0,0.0,1.0
1999-11-08,90.5,93.94,90.5,93.94,59.82422258689999,8522300.0,0.12,1.0
1999-11-09,95.06,95.5,92.12,93.62,59.6204355822,9551200.0,0.0,1.0
1999-11-10,94.62,97.06,94.12,97.0,61.77293582,8680300.0,0.0,1.0
1999-11-11,97.5,97.5,94.87,95.0,60.4992670402,7147500.0,0.0,1.0
1999-11-12,96.0,96.25,93.0,95.87,61.053312959399996,9668400.0,0.0,1.0
1999-11-15,96.0,96.37,93.87,94.06,59.9006427137,6259400.0,0.0,1.0
1999-11-16,94.62,95.0,93.0,94.62,60.2572699721,8537400.0,0.0,1.0
1999-11-17,94.87,94.87,92.62,93.75,59.703224052799996,8355100.0,0.0,1.0
1999-11-18,94.0,98.25,93.56,98.0,62.409770209899996,18720500.0,0.0,1.0
1999-11-19,99.0,105.12,98.37,103.94,66.1925664859,19678400.0,0.0,1.0
1999-11-22,105.5,108.44,104.44,107.87,68.6953256382,13681600.0,0.0,1.0
1999-11-23,108.81,109.87,106.0,106.06,67.5426553925,10665200.0,0.0,1.0
1999-11-24,105.0,105.0,101.81,104.5,66.5491937442,9710400.0,0.0,1.0
1999-11-26,105.94,106.0,104.12,105.0,66.8676109392,3108400.0,0.0,1.0
1999-11-29,104.94,104.94,103.37,104.19,66.3517750834,5677700.0,0.0,1.0
1999-11-30,103.69,104.5,102.12,103.06,65.6321522228,5758700.0,0.0,1.0
1999-12-01,102.56,104.44,102.25,103.42,65.8614126031,5336400.0,0.0,1.0
1999-12-02,103.44,106.31,103.37,105.27,67.0395562245,6216900.0,0.0,1.0
1999-12-03,109.81,112.87,107.94,111.87,71.2426631978,14680300.0,0.0,1.0
1999-12-06,113.0,116.5,112.5,116.0,73.872789228,9928300.0,0.0,1.0
1999-12-07,117.0,119.19,115.44,116.62,74.2676265498,11326100.0,0.0,1.0
1999-12-08,116.25,121.0,115.5,118.28,75.324771637,8139800.0,0.0,1.0
1999-12-09,120.5,122.12,112.25,113.37,72.19791478260001,16643000.0,0.0,1.0
1999-12-10,111.62,111.94,107.56,109.0,69.4149484988,12588800.0,0.0,1.0
1999-12-13,108.12,112.75,106.56,109.7,69.8607325717,7135200.0,0.0,1.0
1999-12-14,110.19,110.19,106.87,109.25,69.5741570962,7437900.0,0.0,1.0
1999-12-15,107.75,107.94,104.5,107.0,68.141279719,9437900.0,0.0,1.0
1999-12-16,108.0,109.69,105.75,109.19,69.5359470329,7122300.0,0.0,1.0
1999-12-17,110.69,111.06,108.62,110.0,70.0517828887,7676800.0,0.0,1.0
1999-12-20,109.06,110.44,107.75,109.2,69.5423153768,4836300.0,0.0,1.0
1999-12-21,108.5,110.12,108.06,110.12,70.1282030155,4773500.0,0.0,1.0
1999-12-22,109.87,110.31,108.0,108.0,68.7781141089,4005600.0,0.0,1.0
1999-12-23,109.12,110.44,108.19,108.62,69.17295143060001,4528700.0,0.0,1.0
1999-12-27,109.69,110.0,108.12,109.75,69.89257429119999,3740700.0,0.0,1.0
1999-12-28,109.56,110.75,109.06,109.81,69.93078435460001,4083100.0,0.0,1.0
1999-12-29,110.44,110.5,108.75,109.0,69.4149484988,2683300.0,0.0,1.0
1999-12-30,109.69,110.5,108.56,108.75,69.2557399013,3435100.0,0.0,1.0
1999-12-31,109.19,109.5,106.62,107.87,68.6953256382,2870300.0,0.0,1.0
2000-01-03,112.44,116.0,111.87,116.0,73.872789228,10347700.0,0.0,1.0
2000-01-04,114.0,114.5,110.87,112.06,71.3636617319,8227800.0,0.0,1.0
2000-01-05,112.94,119.75,112.12,116.0,73.872789228,12733200.0,0.0,1.0
2000-01-06,118.0,118.94,113.5,114.0,72.5991204483,7971900.0,0.0,1.0
2000-01-07,117.25,117.94,110.62,113.5,72.2807032533,11856700.0,0.0,1.0
2000-01-10,117.25,119.37,115.37,118.0,75.14645800779999,8540500.0,0.0,1.0
2000-01-11,117.87,121.12,116.62,119.0,75.78329239770001,7873300.0,0.0,1.0
2000-01-12,119.62,122.0,118.25,119.5,76.1017095927,6803800.0,0.0,1.0
2000-01-13,119.94,121.0,115.75,118.25,75.3056666053,8489700.0,0.0,1.0
2000-01-14,120.94,123.31,117.5,119.62,76.17812971949999,10956600.0,0.0,1.0
2000-01-18,119.69,119.75,115.0,115.75,73.7135806306,7643900.0,0.0,1.0
2000-01-19,115.56,122.0,112.69,119.5,76.1017095927,8634500.0,0.0,1.0
2000-01-20,123.0,124.75,119.0,119.0,75.78329239770001,17783400.0,0.0,1.0
2000-01-21,121.87,123.0,119.94,121.5,77.3753783725,7868700.0,0.0,1.0
2000-01-24,121.87,122.87,116.56,121.5,77.3753783725,6499200.0,0.0,1.0
2000-01-25,116.75,119.5,116.0,119.12,75.8597125245,6936900.0,0.0,1.0
2000-01-26,119.06,119.94,116.0,116.75,74.35041502050001,4895100.0,0.0,1.0
2000-01-27,118.0,118.44,111.62,113.5,72.2807032533,8324600.0,0.0,1.0
2000-01-28,112.75,114.19,110.06,111.56,71.0452445369,6669400.0,0.0,1.0
2000-01-31,111.37,112.81,109.62,112.25,71.4846602659,6202700.0,0.0,1.0
2000-02-01,112.37,113.44,109.12,110.0,70.0517828887,7304700.0,0.0,1.0
2000-02-02,112.0,115.81,110.37,113.5,72.2807032533,7707700.0,0.0,1.0
