Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,24.81,25.0,24.69,24.81,7.939027706839999,16444.0,0.0,1.0
1999-11-02,24.94,25.0,24.38,24.5,7.839829859630001,15378.0,0.0,1.0
1999-11-03,24.63,25.19,24.5,25.19,8.06062506793,17644.0,0.0,1.0
1999-11-04,25.06,26.0,25.06,25.44,8.140623331799999,26044.0,0.0,1.0
1999-11-05,25.5,25.5,24.81,24.88,7.96142722072,42978.0,0.0,1.0
1999-11-08,24.88,24.94,24.25,24.44,7.8206302763,11467.0,0.0,1.0
1999-11-09,24.38,24.63,24.13,24.5,7.839829859630001,12400.0,0.0,1.0
1999-11-10,24.5,24.88,24.5,24.75,7.91982812351,12267.0,0.0,1.0
1999-11-11,24.75,25.0,24.63,24.88,7.96142722072,26000.0,0.0,1.0
1999-11-12,24.94,26.13,24.88,26.06,8.33901902621,24444.0,0.0,1.0
1999-11-15,26.06,28.0,26.06,26.5,8.479815970619999,59378.0,0.0,1.0
1999-11-16,27.44,27.63,27.25,27.44,8.780609442789999,21200.0,0.0,1.0
1999-11-17,27.38,27.38,26.75,26.88,8.60141333171,36800.0,0.0,1.0
1999-11-18,26.88,26.88,26.38,26.81,8.579013817829999,20178.0,0.0,1.0
1999-11-19,27.06,27.63,27.06,27.5,8.79980902612,34444.0,0.0,1.0
1999-11-22,27.38,27.81,27.38,27.56,8.81900860945,26844.0,0.0,1.0
1999-11-23,27.44,27.63,27.25,27.63,8.84140812333,33378.0,0.0,1.0
1999-11-24,27.63,28.0,27.56,27.81,8.89900687332,25244.0,0.0,1.0
1999-11-26,27.75,27.75,27.31,27.38,8.76140985946,5378.0,0.0,1.0
1999-11-29,27.38,27.63,27.25,27.56,8.81900860945,28978.0,0.0,1.0
1999-11-30,27.44,27.56,27.19,27.56,8.81900860945,24000.0,0.0,1.0
1999-12-01,27.56,27.69,27.5,27.56,8.81900860945,31244.0,0.0,1.0
1999-12-02,27.5,27.81,27.5,27.81,8.89900687332,15378.0,0.0,1.0
1999-12-03,28.0,28.31,28.0,28.31,9.05900340107,22844.0,0.0,1.0
1999-12-06,28.31,28.31,28.06,28.19,9.020604234410001,21867.0,0.0,1.0
1999-12-07,28.13,28.19,28.06,28.06,8.9790051372,26578.0,0.0,1.0
1999-12-08,28.06,28.31,28.06,28.31,9.05900340107,8267.0,0.0,1.0
1999-12-09,28.06,28.06,27.44,27.56,8.81900860945,46800.0,0.0,1.0
1999-12-10,27.81,28.0,27.56,27.75,8.87980728999,46267.0,0.0,1.0
1999-12-13,27.75,27.75,27.44,27.56,8.81900860945,52444.0,0.0,1.0
1999-12-14,27.38,27.5,26.81,26.88,8.60141333171,112000.0,0.0,1.0
1999-12-15,26.88,26.88,25.75,26.31,8.41901729008,188444.0,0.0,1.0
1999-12-16,26.31,26.94,26.19,26.63,8.52141506784,98000.0,0.0,1.0
1999-12-17,26.87,27.63,26.87,27.13,8.68141159559,45644.0,0.0,1.0
1999-12-20,27.13,27.88,27.13,27.69,8.86060770666,46400.0,0.0,1.0
1999-12-21,27.5,27.88,27.5,27.88,8.92140638721,26400.0,0.0,1.0
1999-12-22,27.75,27.88,27.63,27.81,8.89900687332,9600.0,0.0,1.0
1999-12-23,27.88,28.38,27.69,27.69,8.86060770666,48044.0,0.0,1.0
1999-12-27,27.81,31.44,27.69,31.44,10.0605816648,99200.0,0.0,1.0
1999-12-28,31.31,31.31,29.88,30.47,9.750188400939999,109778.0,0.0,1.0
1999-12-29,29.88,30.5,29.88,30.06,9.61899124819,54800.0,0.0,1.0
1999-12-30,30.06,30.13,29.69,29.69,9.50059381765,22400.0,0.0,1.0
1999-12-31,29.56,30.38,29.56,30.38,9.72138902595,31467.0,0.0,1.0
2000-01-03,30.5,30.5,30.0,30.19,9.6605903454,66044.0,0.0,1.0
2000-01-04,30.06,30.06,28.5,28.81,9.218999928819999,28178.0,0.0,1.0
2000-01-05,28.63,28.88,28.13,28.88,9.2413994427,37600.0,0.0,1.0
2000-01-06,28.56,29.13,28.31,28.69,9.180600762160001,27200.0,0.0,1.0
2000-01-07,28.56,29.63,28.56,29.5,9.439795137110002,17778.0,0.0,1.0
2000-01-10,29.69,29.81,29.13,29.81,9.538992984310001,27600.0,0.0,1.0
2000-01-11,29.69,29.94,29.63,29.81,9.538992984310001,15778.0,0.0,1.0
2000-01-12,29.69,29.88,29.69,29.88,9.5613924982,16800.0,0.0,1.0
2000-01-13,29.56,30.75,29.56,30.38,9.76618805372,34667.0,0.14,1.0
2000-01-14,30.38,31.0,30.38,30.81,9.9044191552,19644.0,0.0,1.0
2000-01-18,30.44,30.81,29.81,30.44,9.785476114389999,34178.0,0.0,1.0
2000-01-19,30.44,30.88,30.13,30.81,9.9044191552,30044.0,0.0,1.0
2000-01-20,30.69,31.38,30.69,31.38,10.0876557316,20444.0,0.0,1.0
2000-01-21,31.0,31.0,30.63,30.75,9.885131094530001,24667.0,0.0,1.0
2000-01-24,31.19,31.19,29.5,29.5,9.48329649719,24044.0,0.0,1.0
2000-01-25,29.56,29.56,27.81,28.13,9.042885778510001,42578.0,0.0,1.0
2000-01-26,28.13,28.31,27.88,27.88,8.96251885904,29600.0,0.0,1.0
2000-01-27,27.63,27.69,27.06,27.06,8.698915363180001,53644.0,0.0,1.0
2000-01-28,27.06,27.38,27.0,27.25,8.759994221980001,114444.0,0.0,1.0
2000-01-31,27.25,27.38,26.88,26.88,8.641051181169999,50978.0,0.0,1.0
