Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,38.0,38.38,37.31,38.25,23.9539581159,201300.0,0.0,1.0
1999-11-02,38.5,38.5,37.31,37.38,23.409122990100002,253000.0,0.0,1.0
1999-11-03,37.31,37.31,36.81,37.0,23.1711490271,246500.0,0.0,1.0
1999-11-04,37.0,37.44,36.75,37.19,23.2901360086,226900.0,0.0,1.0
1999-11-05,37.19,37.88,37.19,37.5,23.484272662600002,196100.0,0.0,1.0
1999-11-08,37.56,37.63,36.63,37.44,23.446697826399998,222900.0,0.0,1.0
1999-11-09,37.25,37.38,36.25,36.63,22.9394375369,168500.0,0.0,1.0
1999-11-10,36.13,37.88,36.13,37.63,23.5656848079,185900.0,0.0,1.0
1999-11-11,37.63,39.25,37.63,38.13,23.8788084434,374700.0,0.0,1.0
1999-11-12,38.13,38.56,37.5,37.63,23.5656848079,157400.0,0.0,1.0
1999-11-15,37.13,38.0,36.5,37.94,23.7598214619,249200.0,0.0,1.0
1999-11-16,37.94,38.31,37.63,38.25,23.9539581159,226200.0,0.0,1.0
1999-11-17,38.13,38.56,37.81,38.31,23.991532952100002,261800.0,0.0,1.0
1999-11-18,38.31,39.13,38.13,38.56,24.1480947699,245400.0,0.0,1.0
1999-11-19,38.38,39.0,38.31,38.94,24.3860687329,274500.0,0.0,1.0
1999-11-22,38.63,38.63,37.63,38.31,23.991532952100002,220200.0,0.0,1.0
1999-11-23,38.06,38.19,37.44,37.88,23.7222466256,246800.0,0.0,1.0
1999-11-24,37.56,38.0,37.56,37.94,23.7598214619,194100.0,0.0,1.0
1999-11-26,37.94,37.94,37.5,37.75,23.6408344804,78800.0,0.0,1.0
1999-11-29,37.75,37.75,36.44,37.06,23.208723863400003,209600.0,0.0,1.0
1999-11-30,36.81,37.5,36.75,36.81,23.0521620456,178600.0,0.0,1.0
1999-12-01,36.63,37.69,36.5,36.81,23.0521620456,210700.0,0.0,1.0
1999-12-02,36.63,37.25,36.56,37.06,23.208723863400003,122800.0,0.0,1.0
1999-12-03,37.06,38.38,37.06,38.38,24.035370261100002,134500.0,0.0,1.0
1999-12-06,38.0,38.19,37.31,37.56,23.521847498899998,148400.0,0.0,1.0
1999-12-07,37.0,37.88,36.44,37.63,23.5656848079,229100.0,0.0,1.0
1999-12-08,37.38,37.44,35.81,35.81,22.4259147746,145300.0,0.0,1.0
1999-12-09,36.06,36.06,35.13,35.63,22.3131902658,194200.0,0.0,1.0
1999-12-10,35.63,36.75,35.0,35.31,22.112791139099997,273700.0,0.0,1.0
1999-12-13,35.38,35.69,34.94,35.13,22.0000666303,245000.0,0.0,1.0
1999-12-14,34.88,35.44,34.56,34.94,21.8810796489,274400.0,0.0,1.0
1999-12-15,34.69,37.31,34.56,36.25,22.7014635739,360400.0,0.0,1.0
1999-12-16,35.63,36.13,35.31,35.56,22.2693529569,254000.0,0.0,1.0
1999-12-17,35.5,36.81,35.25,36.81,23.0521620456,491000.0,0.0,1.0
1999-12-20,36.13,36.5,35.38,36.25,22.9394375369,289100.0,0.38,1.0
1999-12-21,36.0,36.38,34.94,36.13,22.8635000885,631800.0,0.0,1.0
1999-12-22,36.25,36.5,35.5,36.19,22.9014688127,278900.0,0.0,1.0
1999-12-23,36.19,36.38,35.75,36.0,22.7812345194,288300.0,0.0,1.0
1999-12-27,34.25,36.75,34.25,36.25,22.9394375369,279600.0,0.0,1.0
1999-12-28,36.5,36.88,35.63,36.63,23.179906123400002,263300.0,0.0,1.0
1999-12-29,37.44,37.44,36.0,36.75,23.2558435718,186300.0,0.0,1.0
1999-12-30,36.75,37.88,36.5,37.5,23.7304526243,192800.0,0.0,1.0
1999-12-31,37.75,38.0,36.69,37.63,23.812718193400002,116600.0,0.0,1.0
2000-01-03,37.62,37.94,35.0,35.56,22.5027972086,312300.0,0.0,1.0
2000-01-04,35.0,35.5,34.56,35.13,22.2306880185,318300.0,0.0,1.0
2000-01-05,35.38,35.44,34.56,35.31,22.3445941911,255400.0,0.0,1.0
2000-01-06,35.13,37.13,35.0,36.25,22.9394375369,212700.0,0.0,1.0
2000-01-07,36.5,37.63,36.38,37.31,23.610218331,153000.0,0.0,1.0
2000-01-10,36.75,36.88,35.75,36.38,23.021703106,185400.0,0.0,1.0
2000-01-11,36.25,36.81,35.81,36.44,23.0596718301,140500.0,0.0,1.0
2000-01-12,36.69,37.25,36.0,36.31,22.9774062611,183400.0,0.0,1.0
2000-01-13,36.25,37.56,36.25,36.94,23.3760778651,209400.0,0.0,1.0
2000-01-14,36.38,37.25,36.06,36.94,23.3760778651,406000.0,0.0,1.0
2000-01-18,36.0,36.75,35.75,36.44,23.0596718301,185100.0,0.0,1.0
2000-01-19,36.31,37.06,36.22,36.69,23.2178748476,248300.0,0.0,1.0
2000-01-20,36.69,37.06,36.56,36.81,23.293812296,236200.0,0.0,1.0
2000-01-21,37.5,37.5,36.56,36.63,23.179906123400002,246300.0,0.0,1.0
2000-01-24,36.38,36.56,35.81,35.81,22.6610002261,283600.0,0.0,1.0
2000-01-25,35.56,36.19,34.88,35.63,22.5470940535,404600.0,0.0,1.0
2000-01-26,35.63,36.25,34.75,36.19,22.9014688127,245600.0,0.0,1.0
2000-01-27,35.75,36.38,35.38,36.06,22.8192032436,154900.0,0.0,1.0
2000-01-28,36.06,36.19,34.69,35.88,22.705297071,425100.0,0.0,1.0
2000-01-31,35.88,36.13,35.5,35.69,22.5850627777,206000.0,0.0,1.0
2000-02-01,35.44,35.63,35.0,35.44,22.4268597602,169500.0,0.0,1.0
2000-02-02,35.38,35.63,35.0,35.31,22.3445941911,269300.0,0.0,1.0
2000-02-03,35.0,36.31,35.0,36.19,22.9014688127,320200.0,0.0,1.0
2000-02-04,36.19,36.19,35.44,35.5,22.4648284844,224700.0,0.0,1.0
2000-02-07,35.25,35.5,34.88,35.0,22.1484224494,317700.0,0.0,1.0
2000-02-08,34.0,34.56,33.5,34.56,21.8699851386,326900.0,0.0,1.0
2000-02-09,33.88,33.88,32.25,33.31,21.0789700511,510600.0,0.0,1.0
2000-02-10,33.31,33.75,32.75,33.5,21.199204344400002,274700.0,0.0,1.0
2000-02-11,33.0,33.75,31.56,32.56,20.6043609986,374900.0,0.0,1.0
2000-02-14,32.0,32.44,31.31,32.44,20.5284235502,274300.0,0.0,1.0
2000-02-15,32.25,33.88,32.13,33.5,21.199204344400002,276800.0,0.0,1.0
2000-02-16,33.5,33.5,32.19,33.13,20.9650638785,204100.0,0.0,1.0
2000-02-17,33.38,33.5,31.75,32.38,20.490454826,257600.0,0.0,1.0
2000-02-18,32.0,32.0,31.5,31.75,20.091783221900002,196700.0,0.0,1.0
2000-02-22,31.31,32.44,31.13,31.69,20.0538144977,375700.0,0.0,1.0
2000-02-23,31.75,31.75,30.25,30.31,19.1805338412,381100.0,0.0,1.0
2000-02-24,30.38,30.38,29.31,30.25,19.142565117,780100.0,0.0,1.0
2000-02-25,29.94,30.25,29.25,29.75,18.826159082,224200.0,0.0,1.0
2000-02-28,29.75,30.19,29.69,29.81,18.8641278062,476900.0,0.0,1.0
2000-02-29,29.56,30.63,29.19,30.0,18.9843620995,471200.0,0.0,1.0
2000-03-01,30.25,30.25,29.56,29.94,18.9463933753,296700.0,0.0,1.0
2000-03-02,30.19,30.19,29.0,29.31,18.5477217712,5187800.0,0.0,1.0
2000-03-03,29.25,32.0,28.81,30.0,18.9843620995,1271000.0,0.0,1.0
2000-03-06,30.38,30.38,28.75,29.88,18.9084246511,469300.0,0.0,1.0
2000-03-07,29.88,30.44,28.88,29.13,18.4338155986,646000.0,0.0,1.0
2000-03-08,29.13,30.69,29.13,29.88,18.9084246511,438400.0,0.0,1.0
2000-03-09,30.06,31.63,30.06,30.75,19.458971152,502100.0,0.0,1.0
2000-03-10,30.38,31.63,29.38,31.25,19.775377186900002,473100.0,0.0,1.0
2000-03-13,31.0,31.38,30.5,31.0,19.617174169400002,396700.0,0.0,1.0
2000-03-14,31.0,31.25,30.56,31.13,19.6994397385,223400.0,0.0,1.0
2000-03-15,31.94,34.19,31.0,33.81,21.3953760861,426500.0,0.0,1.0
2000-03-16,33.5,35.5,32.88,35.38,22.388891036,517700.0,0.0,1.0
2000-03-17,35.44,35.44,34.5,35.0,22.1484224494,368500.0,0.0,1.0
2000-03-20,35.0,35.0,34.19,34.44,21.7940476902,395800.0,0.0,1.0
2000-03-21,34.69,35.13,34.0,34.81,22.0281881561,256800.0,0.0,1.0
2000-03-22,34.13,34.25,33.19,33.44,21.4017042068,283400.0,0.38,1.0
2000-03-23,33.25,34.75,33.19,34.25,21.920106730900002,158200.0,0.0,1.0
2000-03-24,34.0,34.5,33.81,34.19,21.881706544,219100.0,0.0,1.0
2000-03-27,33.94,34.0,32.94,32.94,21.0817026487,202500.0,0.0,1.0
2000-03-28,33.06,33.88,32.69,32.69,20.9217018696,185800.0,0.0,1.0
2000-03-29,32.94,33.94,32.94,33.69,21.5617049859,202400.0,0.0,1.0
2000-03-30,33.69,35.06,33.38,33.81,21.6385053598,366100.0,0.0,1.0
2000-03-31,34.0,35.5,33.63,35.06,22.4385092551,176900.0,0.0,1.0
2000-04-03,35.0,36.38,34.75,35.81,22.9185115923,260900.0,0.0,1.0
2000-04-04,35.56,36.88,34.69,35.69,22.8417112183,304100.0,0.0,1.0
2000-04-05,35.75,36.44,34.88,35.19,22.5217096602,181400.0,0.0,1.0
2000-04-06,34.5,35.19,34.38,34.81,22.278508476,215900.0,0.0,1.0
2000-04-07,34.75,35.31,34.5,34.81,22.278508476,199100.0,0.0,1.0
2000-04-10,34.63,35.69,34.63,35.38,22.6433102523,129900.0,0.0,1.0
2000-04-11,36.0,36.75,36.0,36.69,23.481714334499998,212000.0,0.0,1.0
2000-04-12,36.44,37.81,36.25,36.31,23.2385131504,267200.0,0.0,1.0
2000-04-13,36.44,37.38,36.44,36.94,23.6417151136,167300.0,0.0,1.0
2000-04-14,36.25,36.69,34.63,34.94,22.3617088811,272700.0,0.0,1.0
2000-04-17,35.06,36.63,34.25,36.44,23.3217135555,300000.0,0.0,1.0
2000-04-18,36.25,36.25,34.13,35.25,22.5601098472,217700.0,0.0,1.0
2000-04-19,35.0,35.0,34.19,34.38,22.003307136100002,183500.0,0.0,1.0
2000-04-20,35.0,35.38,34.0,34.75,22.2401082891,230700.0,0.0,1.0
